Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,32.6,33.0,32.6,32.85,118205.0,0.0,1.0,32.6,33.0,32.6,32.85,118205.0
2016-11-16,32.25,32.4,31.95,32.4,131676.0,0.0,1.0,32.25,32.4,31.95,32.4,131676.0
2016-11-15,33.5,33.5,32.2,32.3,152734.0,0.0,1.0,33.5,33.5,32.2,32.3,152734.0
2016-11-14,32.25,33.1,32.2,33.05,198598.0,0.0,1.0,32.25,33.1,32.2,33.05,198598.0
2016-11-11,30.4,32.2,30.4,32.2,291535.0,0.0,1.0,30.4,32.2,30.4,32.2,291535.0
2016-11-10,29.95,30.6,29.3,30.375,259836.0,0.0,1.0,29.95,30.6,29.3,30.375,259836.0
2016-11-09,28.35,30.1,28.15,29.8,151909.0,0.0,1.0,28.35,30.1,28.15,29.8,151909.0
2016-11-08,28.25,28.7,28.075,28.35,80178.0,0.0,1.0,28.25,28.7,28.075,28.35,80178.0
2016-11-07,28.1,28.5,27.9,28.35,96460.0,0.0,1.0,28.1,28.5,27.9,28.35,96460.0
2016-11-04,27.5,28.81,27.5,27.55,155491.0,0.0,1.0,27.5,28.81,27.5,27.55,155491.0
2016-11-03,28.75,28.75,27.45,27.55,187533.0,0.0,1.0,28.75,28.75,27.45,27.55,187533.0
2016-11-02,29.05,29.28,28.55,28.55,114020.0,0.0,1.0,29.05,29.28,28.55,28.55,114020.0
2016-11-01,30.1,30.1855,28.55,29.05,147700.0,0.0,1.0,30.1,30.1855,28.55,29.05,147700.0
2016-10-31,29.6,30.0,29.15,29.95,126282.0,0.0,1.0,29.6,30.0,29.15,29.95,126282.0
2016-10-28,29.4,29.6,29.25,29.45,95156.0,0.0,1.0,29.4,29.6,29.25,29.45,95156.0
2016-10-27,29.25,29.55,29.05,29.5,109523.0,0.0,1.0,29.25,29.55,29.05,29.5,109523.0
2016-10-26,29.3,29.55,28.9,29.15,145995.0,0.0,1.0,29.3,29.55,28.9,29.15,145995.0
2016-10-25,29.8,29.8,29.15,29.55,133713.0,0.0,1.0,29.8,29.8,29.15,29.55,133713.0
2016-10-24,29.75,30.1,29.25,29.8,121453.0,0.0,1.0,29.75,30.1,29.25,29.8,121453.0
2016-10-21,28.6,29.6,28.6,29.55,111994.0,0.0,1.0,28.6,29.6,28.6,29.55,111994.0
2016-10-20,28.55,29.15,28.5,28.9,79453.0,0.0,1.0,28.55,29.15,28.5,28.9,79453.0
2016-10-19,29.3,29.3,28.6641,28.85,116445.0,0.0,1.0,29.3,29.3,28.6641,28.85,116445.0
2016-10-18,29.6,29.85,29.1,29.2,114940.0,0.0,1.0,29.6,29.85,29.1,29.2,114940.0
2016-10-17,29.25,29.35,28.9,29.3,71003.0,0.0,1.0,29.25,29.35,28.9,29.3,71003.0
2016-10-14,29.5,29.7,29.25,29.35,66956.0,0.0,1.0,29.5,29.7,29.25,29.35,66956.0
2016-10-13,29.5,29.5,29.05,29.3,74671.0,0.0,1.0,29.5,29.5,29.05,29.3,74671.0
2016-10-12,29.45,30.35,29.4,29.6,66268.0,0.0,1.0,29.45,30.35,29.4,29.6,66268.0
2016-10-11,29.95,30.0898,29.35,29.5,117897.0,0.0,1.0,29.95,30.0898,29.35,29.5,117897.0
2016-10-10,29.6,30.1,29.6,29.95,52244.0,0.0,1.0,29.6,30.1,29.6,29.95,52244.0
2016-10-07,30.64,30.64,29.53,29.59,272569.0,0.0,1.0,30.64,30.64,29.53,29.59,272569.0
2016-10-06,30.51,30.75,30.208,30.73,131345.0,0.0,1.0,30.51,30.75,30.208,30.73,131345.0
2016-10-05,30.05,30.8,29.86,30.48,158562.0,0.0,1.0,30.05,30.8,29.86,30.48,158562.0
2016-10-04,29.11,29.98,29.11,29.9,210849.0,0.0,1.0,29.11,29.98,29.11,29.9,210849.0
2016-10-03,28.72,29.22,28.355,29.17,118624.0,0.0,1.0,28.72,29.22,28.355,29.17,118624.0
2016-09-30,28.41,29.02,28.29,28.82,162466.0,0.0,1.0,28.41,29.02,28.29,28.82,162466.0
2016-09-29,28.34,28.52,28.2,28.22,66047.0,0.0,1.0,28.34,28.52,28.2,28.22,66047.0
2016-09-28,28.38,28.49,28.14,28.36,90435.0,0.0,1.0,28.38,28.49,28.14,28.36,90435.0
2016-09-27,28.07,28.4,27.96,28.32,76135.0,0.0,1.0,28.07,28.4,27.96,28.32,76135.0
