Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,163.44,166.97,162.34,166.32,1496362.0,0.0,1.0,163.44,166.97,162.34,166.32,1496362.0
2016-11-16,163.21,163.74,160.95,162.98,1880534.0,0.0,1.0,163.21,163.74,160.95,162.98,1880534.0
2016-11-15,164.0,166.9,161.5278,164.33,7219345.0,0.0,1.0,164.0,166.9,161.5278,164.33,7219345.0
2016-11-14,145.28,147.0,142.2,142.9,3031060.0,0.0,1.0,145.28,147.0,142.2,142.9,3031060.0
2016-11-11,145.11,147.23,143.63,145.0,1452574.0,0.0,1.0,145.11,147.23,143.63,145.0,1452574.0
2016-11-10,140.85,146.45,140.85,145.82,2272017.0,0.0,1.0,140.85,146.45,140.85,145.82,2272017.0
2016-11-09,134.79,140.54,134.08,140.33,1349546.0,0.0,1.0,134.79,140.54,134.08,140.33,1349546.0
2016-11-08,137.45,139.0,136.1,137.67,921046.0,0.0,1.0,137.45,139.0,136.1,137.67,921046.0
2016-11-07,137.54,137.83,136.22,137.54,857325.0,0.0,1.0,137.54,137.83,136.22,137.54,857325.0
2016-11-04,138.85,140.0,135.76,136.19,1095257.0,0.0,1.0,138.85,140.0,135.76,136.19,1095257.0
2016-11-03,138.8,140.29,138.23,138.85,1020029.0,0.0,1.0,138.8,140.29,138.23,138.85,1020029.0
2016-11-02,139.66,140.0,137.12,138.14,731731.0,0.0,1.0,139.66,140.0,137.12,138.14,731731.0
2016-11-01,139.88,140.92,138.54,139.79,802125.0,0.0,1.0,139.88,140.92,138.54,139.79,802125.0
2016-10-31,140.33,140.815,138.83,140.08,1277397.0,0.0,1.0,140.33,140.815,138.83,140.08,1277397.0
2016-10-28,138.45,141.41,138.19,140.2,1014696.0,0.0,1.0,138.45,141.41,138.19,140.2,1014696.0
2016-10-27,143.44,144.54,138.98,139.22,1362860.0,0.0,1.0,143.44,144.54,138.98,139.22,1362860.0
2016-10-26,143.52,144.66,142.69,143.96,869980.0,0.0,1.0,143.52,144.66,142.69,143.96,869980.0
2016-10-25,140.43,144.26,140.09,143.81,1117818.0,0.0,1.0,140.43,144.26,140.09,143.81,1117818.0
2016-10-24,142.92,143.54,140.64,141.1,1012819.0,0.0,1.0,142.92,143.54,140.64,141.1,1012819.0
2016-10-21,140.68,142.2,139.76,141.93,502210.0,0.0,1.0,140.68,142.2,139.76,141.93,502210.0
2016-10-20,142.09,142.73,140.87,141.3,923677.0,0.0,1.0,142.09,142.73,140.87,141.3,923677.0
2016-10-19,142.06,145.0,138.02,142.23,2178405.0,0.0,1.0,142.06,145.0,138.02,142.23,2178405.0
2016-10-18,144.15,144.89,140.58,142.99,1504130.0,0.0,1.0,144.15,144.89,140.58,142.99,1504130.0
2016-10-17,146.39,146.72,143.14,143.27,804150.0,0.0,1.0,146.39,146.72,143.14,143.27,804150.0
2016-10-14,147.58,148.56,146.3,146.64,564504.0,0.0,1.0,147.58,148.56,146.3,146.64,564504.0
2016-10-13,147.26,147.61,145.1,146.78,767171.0,0.0,1.0,147.26,147.61,145.1,146.78,767171.0
2016-10-12,146.63,149.07,146.57,147.96,512985.0,0.0,1.0,146.63,149.07,146.57,147.96,512985.0
2016-10-11,147.96,148.47,146.45,146.76,622484.0,0.0,1.0,147.96,148.47,146.45,146.76,622484.0
2016-10-10,149.0,149.82,147.805,148.06,436449.0,0.0,1.0,149.0,149.82,147.805,148.06,436449.0
2016-10-07,149.39,149.67,147.23,148.13,396756.0,0.0,1.0,149.39,149.67,147.23,148.13,396756.0
2016-10-06,148.67,149.09,147.42,148.71,608373.0,0.0,1.0,148.67,149.09,147.42,148.71,608373.0
2016-10-05,147.62,149.4,147.5,148.93,699015.0,0.0,1.0,147.62,149.4,147.5,148.93,699015.0
2016-10-04,147.32,148.09,146.11,146.54,592278.0,0.0,1.0,147.32,148.09,146.11,146.54,592278.0
2016-10-03,148.53,149.26,146.56,146.94,627453.0,0.0,1.0,148.53,149.26,146.56,146.94,627453.0
2016-09-30,147.11,149.505,146.26,149.12,1008212.0,0.0,1.0,147.11,149.505,146.26,149.12,1008212.0
2016-09-29,148.92,148.93,146.08,146.74,811899.0,0.0,1.0,148.92,148.93,146.08,146.74,811899.0
2016-09-28,151.25,151.34,148.69,149.0,1119480.0,0.0,1.0,151.25,151.34,148.69,149.0,1119480.0
2016-09-27,151.58,152.7,150.59,151.01,1150960.0,0.0,1.0,151.58,152.7,150.59,151.01,1150960.0
2016-09-26,148.73,150.24,147.8,150.1,997011.0,0.0,1.0,148.73,150.24,147.8,150.1,997011.0
2016-09-23,149.0,149.82,148.23,149.24,1374715.0,0.0,1.0,149.0,149.82,148.23,149.24,1374715.0
2016-09-22,147.62,149.74,147.0002,149.15,1569299.0,0.0,1.0,147.62,149.74,147.0002,149.15,1569299.0
2016-09-21,145.58,146.57,145.15,146.33,1116960.0,0.06,1.0,145.58,146.57,145.15,146.33,1116960.0
2016-09-20,149.05,149.26,145.28,145.89,1197142.0,0.0,1.0,148.9889097616,149.19882369014,145.22045494911,145.83020493203,1197142.0
2016-09-19,148.11,148.97,147.44,148.44,971957.0,0.0,1.0,148.04929503381,148.90894255072,147.37956964274,148.37915977867,971957.0
2016-09-16,148.26,148.99,147.73,148.11,959250.0,0.0,1.0,148.1992335542,148.92893435344,147.66945078216,148.04929503381,959250.0
2016-09-15,150.49,150.85,148.71,148.94,1049325.0,0.0,1.0,150.42831955735,150.78817200628,148.64904911538,148.87895484664,1049325.0
2016-09-14,151.54,152.49,150.14,150.72,699930.0,0.0,1.0,151.47788920008,152.42749982922,150.07846300977,150.65822528861,699930.0
2016-09-13,152.93,154.01,150.66,151.18,1177009.0,0.0,1.0,152.86731948904,153.94687683585,150.59824988046,151.11803675114,1177009.0
2016-09-12,152.72,153.88,151.42,153.37,2162811.0,0.0,1.0,152.65740556049,153.81693011818,151.35793838377,153.30713914885,2162811.0
2016-09-09,156.86,157.74,152.96,152.96,1493896.0,0.0,1.0,156.79570872327,157.6753480429,152.89730719311,152.89730719311,1493896.0
2016-09-08,160.67,161.14,157.211,158.87,1739213.0,0.0,1.0,160.6041471412,161.07395450509,157.14656486099,158.80488489651,1739213.0
2016-09-07,160.3,162.2799,160.0203,161.88,798584.0,0.0,1.0,160.2342987909,162.21338730105,159.95471342988,161.81365120568,798584.0
2016-09-06,158.81,160.86,158.7329,160.14,724388.0,0.0,1.0,158.74490948835,160.79406926703,158.66784108887,160.07436436915,724388.0
2016-09-02,158.79,159.65,158.05,158.57,635260.0,0.0,1.0,158.72491768563,159.58456520254,157.98522098504,158.50500785573,635260.0
2016-09-01,158.2,159.62,157.75,158.76,721415.0,0.0,1.0,158.13515950543,159.55457749846,157.68534394426,158.69492998156,721415.0
2016-08-31,156.79,157.86,155.89,157.38,646179.0,0.0,1.0,156.72573741376,157.79529885921,155.82610629141,157.31549559396,646179.0
2016-08-30,157.98,157.98,156.08,156.67,701129.0,0.0,1.0,157.91524967552,157.91524967552,156.01602841724,156.60578659745,701129.0
2016-08-29,156.83,158.39,156.71,157.67,548029.0,0.0,1.0,156.7657210192,158.32508163126,156.64577020288,157.60537673338,548029.0
2016-08-26,159.69,160.62,156.2,156.83,957635.0,0.0,1.0,159.62454880798,160.5541676344,156.13597923355,156.7657210192,957635.0
2016-08-25,160.05,160.92,158.94,160.18,783602.0,0.0,1.0,159.98440125692,160.85404467518,158.87485620602,160.11434797459,783602.0
2016-08-24,158.93,163.97,158.93,160.36,1747368.0,0.0,1.0,158.86486030467,163.90279458979,158.86486030467,160.29427419906,1747368.0
2016-08-23,159.37,159.91,157.76,157.94,996135.0,0.0,1.0,159.30467996448,159.84445863789,157.69533984562,157.87526607009,996135.0
2016-08-22,158.97,160.96,158.04,158.47,1150116.0,0.0,1.0,158.9048439101,160.89402828062,157.97522508368,158.40504884213,1150116.0
2016-08-19,156.97,159.72,156.97,158.04,1140454.0,0.0,1.0,156.90566363823,159.65453651206,156.90566363823,157.97522508368,1140454.0
2016-08-18,158.5,158.795,156.63,157.43,1370640.0,0.0,1.0,158.43503654621,158.72991563631,156.56580299201,157.36547510076,1370640.0
2016-08-17,160.0,160.415,156.93,158.05,1986782.0,0.0,1.0,159.93442175012,160.34925165653,156.86568003279,157.98522098504,1986782.0
2016-08-16,162.0,165.4,160.34,160.4,3029802.0,0.0,1.0,161.933602022,165.33220848419,160.27428239634,160.33425780449,3029802.0
2016-08-15,166.75,169.9,165.55,167.76,1854523.0,0.0,1.0,166.6816551677,169.83036409591,165.48214700458,167.691241205,1854523.0
2016-08-12,166.09,166.5,163.49,166.0,1165191.0,0.0,1.0,166.02192567798,166.43175763372,163.42299132454,165.93196256575,1165191.0
2016-08-11,167.8,170.42,166.66,166.71,828370.0,0.0,1.0,167.73122481044,170.3501509666,166.59169205547,166.64167156227,828370.0
2016-08-10,166.57,167.48,165.57,166.65,765636.0,0.0,1.0,166.50172894323,167.41135596694,165.5021388073,166.58169615411,765636.0
2016-08-09,168.75,169.56,166.29,166.5,513143.0,0.0,1.0,168.68083543958,169.49050344969,166.22184370517,166.43175763372,513143.0
2016-08-08,170.49,171.31,168.75,168.88,1111651.0,0.0,1.0,170.42012227611,171.23978618758,168.68083543958,168.81078215725,1111651.0
2016-08-05,170.5,171.95,170.2,170.49,1090294.0,0.0,1.0,170.43011817747,171.87952387458,170.13024113669,170.42012227611,1090294.0
2016-08-04,168.38,170.38,168.31,170.18,1102690.0,0.0,1.0,168.31098708928,170.31016736116,168.24101577977,170.11024933397,1102690.0
2016-08-03,166.44,168.66,164.9901,168.65,594501.0,0.0,1.0,166.37178222556,168.59087232734,164.92247648746,168.58087642599,594501.0
2016-08-02,168.17,168.48,165.35,166.61,881808.0,0.0,1.0,168.10107316074,168.41094610288,165.28222897739,166.54171254867,881808.0
2016-08-01,169.26,169.57,168.07,168.5,843227.0,0.0,1.0,169.19062640891,169.50049935105,168.00111414714,168.43093790559,843227.0
2016-07-29,170.0,170.29,168.5,169.86,1365591.0,0.0,1.0,169.9303231095,170.22020424892,168.43093790559,169.79038049047,1365591.0
2016-07-28,164.67,172.87,164.41,170.34,1756217.0,0.0,1.0,164.60250768495,172.79914679964,164.34261424961,170.27018375572,1756217.0
2016-07-27,167.02,167.66,164.47,164.73,836093.0,0.0,1.0,166.95154450441,167.59128219141,164.40258965776,164.66248309311,836093.0
2016-07-26,166.94,168.115,165.67,166.23,877996.0,0.0,1.0,166.87157729353,168.04609570326,165.60209782089,166.16186829701,877996.0
2016-07-25,165.99,166.7699,165.38,166.67,502959.0,0.0,1.0,165.92196666439,166.70154701141,165.31221668147,166.60168795683,502959.0
2016-07-22,164.71,166.23,164.2,166.03,586043.0,0.0,1.0,164.64249129039,166.16186829701,164.13270032106,165.96195026983,586043.0
2016-07-21,163.49,164.36,162.992,164.09,418690.0,0.0,1.0,163.42299132454,164.29263474281,162.92519543685,164.02274540611,418690.0
2016-07-20,164.61,164.61,163.42,163.75,444858.0,0.0,1.0,164.54253227679,164.54253227679,163.35302001503,163.68288475989,444858.0
2016-07-19,163.17,163.77,161.66,163.7,854661.0,0.0,1.0,163.10312248104,163.70287656261,161.59374137578,163.63290525309,854661.0
2016-07-18,164.92,164.92,163.95,164.4,516779.0,0.0,1.0,164.85240521894,164.85240521894,163.88280278708,164.33261834825,516779.0
2016-07-15,165.45,165.79,164.39,164.59,677140.0,0.0,1.0,165.38218799098,165.7220486372,164.32262244689,164.52254047408,677140.0
2016-07-14,163.46,165.46,162.44,164.96,575344.0,0.0,1.0,163.39300362047,165.39218389234,162.37342168181,164.89238882437,575344.0
2016-07-13,164.15,164.7299,160.54,162.91,906127.0,0.0,1.0,164.08272081426,164.66238313409,160.47420042353,162.8432290457,906127.0
2016-07-12,164.5,164.92,162.55,163.55,860218.0,0.0,1.0,164.43257736184,164.85240521894,162.48337659676,163.4829667327,860218.0
2016-07-11,164.85,166.3199,163.58,163.69,679249.0,0.0,1.0,164.78243390942,166.25173145024,163.51295443678,163.62290935173,679249.0
2016-07-08,162.29,165.26,161.68,164.85,898822.0,0.0,1.0,162.22348316142,165.19226586515,161.6137331785,164.78243390942,898822.0
2016-07-07,161.54,162.6075,160.05,161.13,672446.0,0.0,1.0,161.47379055946,162.54085302958,159.98440125692,161.06395860373,672446.0
2016-07-06,161.06,161.94,160.4,161.45,1160066.0,0.0,1.0,160.99398729421,161.87362661384,160.33425780449,161.38382744723,1160066.0
2016-07-05,162.46,163.64,160.32,161.19,753167.0,0.0,1.0,162.39341348453,163.57292984493,160.25429059362,161.12393401189,753167.0
2016-07-01,162.16,164.7,161.7784,164.33,875617.0,0.0,1.0,162.09353644375,164.63249538903,161.71209284787,164.26264703873,875617.0
2016-06-30,161.02,161.7,159.5,161.63,791648.0,0.0,1.0,160.95400368878,161.63372498121,159.43462668215,161.5637536717,791648.0
2016-06-29,158.03,161.78,158.03,161.01,1559967.0,0.0,1.0,157.96522918232,161.71369219209,157.96522918232,160.94400778742,1559967.0
2016-06-28,154.87,157.16,154.28,156.98,1530564.0,0.0,1.0,154.80652435276,157.09558576405,154.21676617255,156.91565953959,1530564.0
2016-06-27,153.74,155.7,152.2,153.78,2242512.0,0.0,1.0,153.67698749915,155.63618416559,152.1376186898,153.71697110458,2242512.0
2016-06-24,151.0,155.97,150.915,154.52,1745692.0,0.0,1.0,150.93811052668,155.90607350229,150.85314536512,154.45666780518,1745692.0
2016-06-23,154.44,155.11,153.71,154.93,830173.0,0.0,1.0,154.3767005943,155.04642598538,153.64699979507,154.86649976091,830173.0
2016-06-22,154.57,155.25,153.09,153.16,716795.0,0.0,1.0,154.50664731197,155.18636860441,153.02725391079,153.0972252203,716795.0
2016-06-21,155.56,156.31,153.89,154.44,806759.0,0.0,1.0,155.49624154655,156.24593414851,153.82692601954,154.3767005943,806759.0
2016-06-20,155.74,157.27,155.34,155.58,704923.0,0.0,1.0,155.67616777102,157.20554067901,155.27633171665,155.51623334927,704923.0
2016-06-17,153.57,155.0,152.41,154.55,1035943.0,0.0,1.0,153.50705717604,154.93647107043,152.34753261835,154.48665550926,1035943.0
2016-06-16,152.41,154.22,151.74,153.94,937139.0,0.0,1.0,152.34753261835,154.1567907644,151.67780722727,153.87690552633,937139.0
2016-06-15,152.88,155.18,152.6801,153.64,866306.0,0.06,1.0,152.81733998224,155.1163972949,152.61752191407,153.57702848555,866306.0
2016-06-14,152.75,153.59,151.1,152.63,1038151.0,0.0,1.0,152.62778855672,153.46711649379,150.97910868033,152.50788456571,1038151.0
2016-06-13,152.49,155.07,152.49,152.55,859896.0,0.0,1.0,152.3679965762,154.94593238292,152.3679965762,152.4279485717,859896.0
2016-06-10,154.9,155.64,152.7,153.02,965721.0,0.0,1.0,154.77606839565,155.51547634022,152.57782856047,152.89757253649,965721.0
2016-06-09,153.89,157.46,153.89,156.78,2680410.0,0.0,1.0,153.76687647132,157.33402020387,153.76687647132,156.65456425481,2680410.0
2016-06-08,151.5,154.19,151.475,153.52,1620313.0,0.0,1.0,151.37878865037,154.06663644884,151.35380865224,153.39717249904,1620313.0
2016-06-07,150.32,152.055,149.445,151.71,1136008.0,0.0,1.0,150.19973273877,151.93334460879,149.32543280432,151.58862063463,1136008.0
2016-06-06,150.71,150.72,148.51,150.24,855158.0,0.0,1.0,150.58942070955,150.5994127088,148.39118087436,150.11979674476,855158.0
2016-06-03,151.67,152.67,149.73,150.71,895179.0,0.0,1.0,151.54865263763,152.54785256271,149.61020478297,150.58942070955,895179.0
2016-06-02,151.39,153.16,150.58,152.15,1319925.0,0.0,1.0,151.26887665861,153.03746052601,150.45952471929,152.02826860167,1319925.0
2016-06-01,153.84,153.89,151.93,153.34,1364858.0,0.0,1.0,153.71691647506,153.76687647132,151.80844461815,153.21731651252,1364858.0
