Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,52.63,53.29,52.03,52.9,176712.0,0.0,1.0,52.63,53.29,52.03,52.9,176712.0
2016-11-16,52.96,53.05,52.05,52.4,122519.0,0.0,1.0,52.96,53.05,52.05,52.4,122519.0
2016-11-15,52.48,53.42,52.27,52.99,165700.0,0.0,1.0,52.48,53.42,52.27,52.99,165700.0
2016-11-14,52.18,53.12,51.73,52.43,159428.0,0.0,1.0,52.18,53.12,51.73,52.43,159428.0
2016-11-11,50.1,52.5,46.825,51.23,265823.0,0.0,1.0,50.1,52.5,46.825,51.23,265823.0
2016-11-10,49.99,50.51,48.47,49.92,184006.0,0.0,1.0,49.99,50.51,48.47,49.92,184006.0
2016-11-09,47.55,49.54,46.08,49.45,128257.0,0.0,1.0,47.55,49.54,46.08,49.45,128257.0
2016-11-08,47.81,48.7,45.76,48.27,77486.0,0.0,1.0,47.81,48.7,45.76,48.27,77486.0
2016-11-07,47.27,48.12,46.61,47.85,109080.0,0.0,1.0,47.27,48.12,46.61,47.85,109080.0
2016-11-04,46.27,47.39,46.2,46.34,133934.0,0.0,1.0,46.27,47.39,46.2,46.34,133934.0
2016-11-03,46.44,46.84,45.88,45.88,111760.0,0.0,1.0,46.44,46.84,45.88,45.88,111760.0
2016-11-02,46.35,46.89,46.15,46.16,111956.0,0.0,1.0,46.35,46.89,46.15,46.16,111956.0
2016-11-01,47.69,47.79,46.23,46.4,197875.0,0.0,1.0,47.69,47.79,46.23,46.4,197875.0
2016-10-31,47.28,47.86,46.72,47.74,176364.0,0.0,1.0,47.28,47.86,46.72,47.74,176364.0
2016-10-28,47.08,48.27,46.835,47.39,110372.0,0.0,1.0,47.08,48.27,46.835,47.39,110372.0
2016-10-27,47.23,48.575,46.71,47.13,210275.0,0.0,1.0,47.23,48.575,46.71,47.13,210275.0
2016-10-26,46.0,47.92,45.57,47.04,717921.0,0.0,1.0,46.0,47.92,45.57,47.04,717921.0
2016-10-25,53.07,53.92,50.4,50.69,269975.0,0.0,1.0,53.07,53.92,50.4,50.69,269975.0
2016-10-24,52.95,53.09,52.21,52.98,204203.0,0.0,1.0,52.95,53.09,52.21,52.98,204203.0
2016-10-21,52.27,52.92,50.275,52.56,85305.0,0.0,1.0,52.27,52.92,50.275,52.56,85305.0
2016-10-20,52.43,52.81,51.8075,52.75,51221.0,0.0,1.0,52.43,52.81,51.8075,52.75,51221.0
2016-10-19,52.49,53.09,51.765,52.4,91529.0,0.0,1.0,52.49,53.09,51.765,52.4,91529.0
2016-10-18,52.95,54.23,52.24,52.61,113232.0,0.0,1.0,52.95,54.23,52.24,52.61,113232.0
2016-10-17,52.0,52.6,51.41,52.37,47240.0,0.0,1.0,52.0,52.6,51.41,52.37,47240.0
2016-10-14,52.82,52.82,51.94,51.98,65657.0,0.0,1.0,52.82,52.82,51.94,51.98,65657.0
2016-10-13,52.23,52.77,51.74,52.27,84341.0,0.0,1.0,52.23,52.77,51.74,52.27,84341.0
2016-10-12,52.54,52.86,51.86,52.5,87868.0,0.0,1.0,52.54,52.86,51.86,52.5,87868.0
2016-10-11,53.49,53.49,51.8684,52.35,83230.0,0.0,1.0,53.49,53.49,51.8684,52.35,83230.0
2016-10-10,52.76,54.1699,52.76,53.83,79778.0,0.0,1.0,52.76,54.1699,52.76,53.83,79778.0
2016-10-07,52.36,52.7,51.87,52.52,77188.0,0.0,1.0,52.36,52.7,51.87,52.52,77188.0
2016-10-06,52.54,52.54,51.81,52.245,90340.0,0.0,1.0,52.54,52.54,51.81,52.245,90340.0
2016-10-05,52.44,53.21,52.08,52.79,134283.0,0.0,1.0,52.44,53.21,52.08,52.79,134283.0
2016-10-04,51.94,52.7,51.81,52.16,126316.0,0.0,1.0,51.94,52.7,51.81,52.16,126316.0
2016-10-03,51.59,52.03,50.83,52.0,137092.0,0.0,1.0,51.59,52.03,50.83,52.0,137092.0
2016-09-30,50.88,51.94,50.48,51.62,106392.0,0.0,1.0,50.88,51.94,50.48,51.62,106392.0
2016-09-29,51.0,51.0,50.13,50.5,153389.0,0.0,1.0,51.0,51.0,50.13,50.5,153389.0
2016-09-28,50.73,51.635,50.64,50.88,89764.0,0.0,1.0,50.73,51.635,50.64,50.88,89764.0
2016-09-27,50.7,50.99,50.26,50.84,80540.0,0.0,1.0,50.7,50.99,50.26,50.84,80540.0
2016-09-26,51.63,51.63,50.56,50.57,98860.0,0.0,1.0,51.63,51.63,50.56,50.57,98860.0
2016-09-23,52.81,52.85,51.98,52.09,127927.0,0.0,1.0,52.81,52.85,51.98,52.09,127927.0
2016-09-22,52.13,52.87,51.77,52.84,127807.0,0.0,1.0,52.13,52.87,51.77,52.84,127807.0
2016-09-21,51.31,52.21,51.08,51.845,139847.0,0.0,1.0,51.31,52.21,51.08,51.845,139847.0
2016-09-20,51.14,52.15,50.95,51.48,161048.0,0.0,1.0,51.14,52.15,50.95,51.48,161048.0
2016-09-19,49.16,50.93,49.16,50.75,177348.0,0.0,1.0,49.16,50.93,49.16,50.75,177348.0
2016-09-16,49.1,49.46,48.66,49.17,278697.0,0.0,1.0,49.1,49.46,48.66,49.17,278697.0
2016-09-15,48.03,48.97,47.95,48.95,78957.0,0.0,1.0,48.03,48.97,47.95,48.95,78957.0
2016-09-14,47.54,48.33,47.54,47.89,85984.0,0.0,1.0,47.54,48.33,47.54,47.89,85984.0
2016-09-13,47.97,48.02,46.87,47.6,89781.0,0.0,1.0,47.97,48.02,46.87,47.6,89781.0
2016-09-12,47.61,48.18,47.03,48.16,109498.0,0.0,1.0,47.61,48.18,47.03,48.16,109498.0
2016-09-09,48.85,49.11,47.56,47.59,150262.0,0.0,1.0,48.85,49.11,47.56,47.59,150262.0
2016-09-08,49.29,49.59,49.29,49.36,108527.0,0.0,1.0,49.29,49.59,49.29,49.36,108527.0
2016-09-07,49.0,49.31,48.76,49.17,131219.0,0.0,1.0,49.0,49.31,48.76,49.17,131219.0
2016-09-06,49.3,49.48,48.19,49.47,283859.0,0.0,1.0,49.3,49.48,48.19,49.47,283859.0
2016-09-02,50.58,50.58,49.33,49.5,147250.0,0.0,1.0,50.58,50.58,49.33,49.5,147250.0
2016-09-01,50.37,50.74,49.96,50.4,109051.0,0.0,1.0,50.37,50.74,49.96,50.4,109051.0
2016-08-31,50.67,50.94,49.9311,50.14,85046.0,0.0,1.0,50.67,50.94,49.9311,50.14,85046.0
2016-08-30,50.63,51.29,50.63,50.85,91472.0,0.12,1.0,50.63,51.29,50.63,50.85,91472.0
2016-08-29,50.48,50.98,50.14,50.83,100412.0,0.0,1.0,50.361153619776,50.859976456739,50.021954090642,50.71032960565,100412.0
2016-08-26,49.63,50.48,49.501,50.39,64906.0,0.0,1.0,49.513154796939,50.361153619776,49.384458505003,50.271365509123,64906.0
2016-08-25,49.12,50.56,49.12,49.75,81297.0,0.0,1.0,49.004355503237,50.44096527369,49.004355503237,49.63287227781,81297.0
2016-08-24,50.05,50.64,49.28,49.44,64064.0,0.0,1.0,49.932165979988,50.520776927604,49.163978811065,49.323602118893,64064.0
2016-08-23,50.15,50.69,50.15,50.25,64522.0,0.0,1.0,50.031930547381,50.570659211301,50.031930547381,50.131695114773,64522.0
2016-08-22,48.87,50.51,48.8501,49.83,84580.0,0.0,1.0,48.754944084756,50.391082989994,48.735090935845,49.712683931725,84580.0
2016-08-19,49.11,49.14,48.51,49.01,79919.0,0.0,1.0,48.994379046498,49.024308416716,48.395791642142,48.894614479105,79919.0
2016-08-18,49.0,49.46,48.86,49.34,86092.0,0.0,1.0,48.884638022366,49.343555032372,48.744967628016,49.223837551501,86092.0
2016-08-17,49.47,49.47,48.83,49.02,70746.0,0.0,1.0,49.353531489111,49.353531489111,48.715038257799,48.904590935845,70746.0
2016-08-16,49.61,49.8,48.9,49.48,131874.0,0.0,1.0,49.493201883461,49.682754561507,48.784873454974,49.363507945851,131874.0
2016-08-15,49.49,50.61,49.49,49.9,82502.0,0.0,1.0,49.37348440259,50.490847557387,49.37348440259,49.782519128899,82502.0
2016-08-12,49.74,49.95,49.239,49.65,61217.0,0.0,1.0,49.622895821071,49.832401412596,49.123075338434,49.533107710418,61217.0
2016-08-11,49.56,50.08,49.04,49.7,89145.0,0.0,1.0,49.443319599765,49.962095350206,48.924543849323,49.582989994114,89145.0
2016-08-10,49.71,49.71,48.9943,49.53,79700.0,0.0,1.0,49.592966450853,49.592966450853,48.878951442025,49.413390229547,79700.0
2016-08-09,49.07,49.86,48.835,49.84,169198.0,0.0,1.0,48.954473219541,49.742613301942,48.720026486168,49.722660388464,169198.0
2016-08-08,49.15,49.49,48.68,48.93,89995.0,0.0,1.0,49.034284873455,49.37348440259,48.56539140671,48.814802825191,89995.0
2016-08-05,49.27,50.4,49.0,49.34,185329.0,0.0,1.0,49.154002354326,50.281341965862,48.884638022366,49.223837551501,185329.0
2016-08-04,49.51,49.79,48.98,49.04,76789.0,0.0,1.0,49.393437316068,49.672778104768,48.864685108888,48.924543849323,76789.0
2016-08-03,48.75,49.56,48.73,49.38,81269.0,0.0,1.0,48.635226603885,49.443319599765,48.615273690406,49.263743378458,81269.0
2016-08-02,48.86,49.74,48.42,48.62,140966.0,0.0,1.0,48.744967628016,49.622895821071,48.306003531489,48.505532666274,140966.0
2016-08-01,49.33,49.83,48.73,49.14,111389.0,0.0,1.0,49.213861094762,49.712683931725,48.615273690406,49.024308416716,111389.0
2016-07-29,49.75,50.24,49.39,49.46,188553.0,0.0,1.0,49.63287227781,50.121718658034,49.273719835197,49.343555032372,188553.0
2016-07-28,48.8,50.29,48.8,49.72,166214.0,0.0,1.0,48.685108887581,50.17160094173,48.685108887581,49.602942907593,166214.0
2016-07-27,48.96,49.42,48.675,49.14,142599.0,0.0,1.0,48.844732195409,49.303649205415,48.56040317834,49.024308416716,142599.0
2016-07-26,47.72,49.23,47.21,48.75,263479.0,0.0,1.0,47.607651559741,49.114096527369,47.098852266039,48.635226603885,263479.0
2016-07-25,46.29,47.94,46.041,47.81,359587.0,0.0,1.0,46.181018246027,47.827133608005,45.93260447322,47.697439670394,359587.0
2016-07-22,49.5,49.5,46.015,46.36,1096678.0,0.0,1.0,49.383460859329,49.383460859329,45.906665685697,46.250853443202,1096678.0
2016-07-21,54.25,54.98,54.02,54.75,324801.0,0.0,1.0,54.122277810477,54.850559152443,53.892819305474,54.62110064744,324801.0
2016-07-20,53.49,54.64,53.2,54.32,224795.0,0.0,1.0,53.364067098293,54.511359623308,53.074749852855,54.192113007652,224795.0
2016-07-19,53.4,53.81,52.76,53.09,82622.0,0.0,1.0,53.27427898764,53.683313713949,52.635785756327,52.965008828723,82622.0
2016-07-18,53.89,54.26,53.26,53.36,153772.0,0.0,1.0,53.763125367863,54.132254267216,53.13460859329,53.234373160683,153772.0
2016-07-15,53.57,54.14,52.75,53.86,167283.0,0.0,1.0,53.443878752207,54.012536786345,52.625809299588,53.733195997646,167283.0
2016-07-14,53.64,53.7,52.8,53.22,112885.0,0.0,1.0,53.513713949382,53.573572689818,52.675691583284,53.094702766333,112885.0
2016-07-13,52.86,53.5,52.54,53.37,206155.0,0.0,1.0,52.73555032372,53.374043555032,52.416303708064,53.244349617422,206155.0
2016-07-12,52.11,52.59,51.87,52.52,174940.0,0.0,1.0,51.987316068275,52.46618599176,51.747881106533,52.396350794585,174940.0
2016-07-11,51.06,52.04,50.52,52.0,195402.0,0.0,1.0,50.939788110653,51.917480871101,50.401059446733,51.877575044144,195402.0
2016-07-08,48.83,51.03,48.67,50.95,194509.0,0.0,1.0,48.715038257799,50.909858740436,48.555414949971,50.830047086521,194509.0
2016-07-07,48.64,49.0,48.25,48.41,79635.0,0.0,1.0,48.525485579753,48.884638022366,48.136403766922,48.29602707475,79635.0
2016-07-06,47.8,48.71,47.42,48.61,122613.0,0.0,1.0,47.687463213655,48.595320776928,47.308357857563,48.495556209535,122613.0
2016-07-05,48.47,48.6,47.935,48.19,106308.0,0.0,1.0,48.355885815185,48.485579752796,47.822145379635,48.076545026486,106308.0
2016-07-01,47.18,48.39,47.18,48.35,116624.0,0.0,1.0,47.068922895821,48.276074161271,47.068922895821,48.236168334314,116624.0
2016-06-30,46.26,47.38,45.77,47.23,184323.0,0.0,1.0,46.151088875809,47.268452030606,45.662242495586,47.118805179517,184323.0
2016-06-29,44.87,46.23,44.74,46.16,100737.0,0.0,1.0,44.764361389052,46.121159505592,44.634667451442,46.051324308417,100737.0
2016-06-28,44.2,44.925,43.8,44.51,111746.0,0.0,1.0,44.095938787522,44.819231901118,43.696880517952,44.405208946439,111746.0
2016-06-27,44.13,44.51,43.57,43.97,132590.0,0.0,1.0,44.026103590347,44.405208946439,43.467422012949,43.866480282519,132590.0
2016-06-24,45.12,46.42,44.39,44.75,139773.0,0.0,1.0,45.013772807534,46.310712183637,44.285491465568,44.644643908181,139773.0
2016-06-23,45.62,47.11,45.07,47.11,115528.0,0.0,1.0,45.512595644497,46.999087698646,44.963890523838,46.999087698646,115528.0
2016-06-22,46.11,46.64,45.27,45.3,77210.0,0.0,1.0,46.00144202472,46.530194231901,45.163419658623,45.19334902884,77210.0
2016-06-21,45.5674,46.2,45.32,45.98,91845.0,0.0,1.0,45.460119482048,46.091230135374,45.213301942319,45.87174808711,91845.0
2016-06-20,45.31,46.3399,44.82,45.36,102462.0,0.0,1.0,45.20332548558,46.230800765156,44.714479105356,45.253207769276,102462.0
2016-06-17,46.06,46.13,44.28,44.8,259778.0,0.0,1.0,45.951559741024,46.021394938199,44.175750441436,44.694526191878,259778.0
2016-06-16,45.13,46.15,44.62,45.96,184529.0,0.0,1.0,45.023749264273,46.041347851677,44.514949970571,45.851795173632,184529.0
2016-06-15,45.72,45.997,45.16,45.47,82196.0,0.0,1.0,45.612360211889,45.888708063567,45.053678634491,45.362948793408,82196.0
