Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-07-07,44.23,44.25,44.23,44.24,906990.0,0.0,1.0,44.23,44.25,44.23,44.24,906990.0
2015-07-06,44.22,44.25,44.19,44.25,1001105.0,0.0,1.0,44.22,44.25,44.19,44.25,1001105.0
2015-07-02,44.22,44.23,44.21,44.23,321751.0,0.0,1.0,44.22,44.23,44.21,44.23,321751.0
2015-07-01,44.21,44.24,44.21,44.21,382502.0,0.0,1.0,44.21,44.24,44.21,44.21,382502.0
2015-06-30,44.22,44.23,44.2,44.21,769818.0,0.0,1.0,44.22,44.23,44.2,44.21,769818.0
2015-06-29,44.2,44.23,44.18,44.22,549284.0,0.0,1.0,44.2,44.23,44.18,44.22,549284.0
2015-06-26,44.22,44.24,44.13,44.21,627222.0,0.0,1.0,44.22,44.24,44.13,44.21,627222.0
2015-06-25,44.23,44.23,44.2,44.2,353794.0,0.0,1.0,44.23,44.23,44.2,44.2,353794.0
2015-06-24,44.19,44.21,44.18,44.2,1365629.0,0.0,1.0,44.19,44.21,44.18,44.2,1365629.0
2015-06-23,44.22,44.23,44.179,44.2,288244.0,0.0,1.0,44.22,44.23,44.179,44.2,288244.0
2015-06-22,44.19,44.23,44.16,44.21,330645.0,0.0,1.0,44.19,44.23,44.16,44.21,330645.0
2015-06-19,44.18,44.22,44.15,44.2,780775.0,0.0,1.0,44.18,44.22,44.15,44.2,780775.0
2015-06-18,44.12,44.19,44.11,44.18,2383052.0,0.0,1.0,44.12,44.19,44.11,44.18,2383052.0
2015-06-17,43.5,43.6,43.37,43.56,981391.0,0.0,1.0,43.5,43.6,43.37,43.56,981391.0
2015-06-16,43.6,43.63,43.27,43.4,720276.0,0.0,1.0,43.6,43.63,43.27,43.4,720276.0
2015-06-15,43.62,43.76,43.55,43.55,527709.0,0.0,1.0,43.62,43.76,43.55,43.55,527709.0
2015-06-12,43.75,43.82,43.58,43.63,621736.0,0.0,1.0,43.75,43.82,43.58,43.63,621736.0
