Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,21.88,22.17,21.53,21.9,758873.0,0.0,1.0,21.88,22.17,21.53,21.9,758873.0
2016-11-16,21.77,21.9,21.16,21.75,1075086.0,0.0,1.0,21.77,21.9,21.16,21.75,1075086.0
2016-11-15,20.96,21.83,20.46,21.77,1124586.0,0.0,1.0,20.96,21.83,20.46,21.77,1124586.0
2016-11-14,20.98,21.915,20.84,21.16,1411494.0,0.0,1.0,20.98,21.915,20.84,21.16,1411494.0
2016-11-11,20.09,20.77,19.9209,20.63,943622.0,0.0,1.0,20.09,20.77,19.9209,20.63,943622.0
2016-11-10,18.82,20.34,18.75,20.19,1804314.0,0.0,1.0,18.82,20.34,18.75,20.19,1804314.0
2016-11-09,17.06,18.64,16.79,18.32,741255.0,0.0,1.0,17.06,18.64,16.79,18.32,741255.0
2016-11-08,16.78,16.96,16.5065,16.77,318387.0,0.0,1.0,16.78,16.96,16.5065,16.77,318387.0
2016-11-07,16.44,17.05,16.38,16.8,734209.0,0.0,1.0,16.44,17.05,16.38,16.8,734209.0
2016-11-04,15.89,16.56,15.64,15.93,940198.0,0.0,1.0,15.89,16.56,15.64,15.93,940198.0
2016-11-03,16.5,17.02,15.39,15.71,1519756.0,0.0,1.0,16.5,17.02,15.39,15.71,1519756.0
2016-11-02,17.71,17.81,17.3,17.46,673845.0,0.0,1.0,17.71,17.81,17.3,17.46,673845.0
2016-11-01,18.08,18.08,17.39,17.81,403432.0,0.0,1.0,18.08,18.08,17.39,17.81,403432.0
2016-10-31,17.92,18.11,17.8,17.93,355597.0,0.0,1.0,17.92,18.11,17.8,17.93,355597.0
2016-10-28,18.15,18.2,17.71,17.89,331282.0,0.0,1.0,18.15,18.2,17.71,17.89,331282.0
2016-10-27,17.85,18.27,17.73,18.11,442510.0,0.0,1.0,17.85,18.27,17.73,18.11,442510.0
2016-10-26,17.32,17.69,17.19,17.69,389281.0,0.0,1.0,17.32,17.69,17.19,17.69,389281.0
2016-10-25,17.83,17.99,17.34,17.45,286800.0,0.0,1.0,17.83,17.99,17.34,17.45,286800.0
2016-10-24,17.81,18.84,17.625,17.82,605974.0,0.0,1.0,17.81,18.84,17.625,17.82,605974.0
2016-10-21,17.6,17.76,17.44,17.65,287087.0,0.0,1.0,17.6,17.76,17.44,17.65,287087.0
2016-10-20,18.04,18.17,17.65,17.84,247654.0,0.0,1.0,18.04,18.17,17.65,17.84,247654.0
2016-10-19,18.16,18.31,18.03,18.12,232011.0,0.0,1.0,18.16,18.31,18.03,18.12,232011.0
2016-10-18,18.17,18.18,17.935,17.98,263723.0,0.0,1.0,18.17,18.18,17.935,17.98,263723.0
2016-10-17,17.96,18.07,17.76,17.86,237085.0,0.0,1.0,17.96,18.07,17.76,17.86,237085.0
2016-10-14,17.88,18.25,17.81,17.87,267306.0,0.0,1.0,17.88,18.25,17.81,17.87,267306.0
2016-10-13,17.89,17.89,17.311,17.69,479008.0,0.0,1.0,17.89,17.89,17.311,17.69,479008.0
2016-10-12,18.21,18.48,18.105,18.12,452256.0,0.0,1.0,18.21,18.48,18.105,18.12,452256.0
2016-10-11,18.12,18.4,18.02,18.18,474479.0,0.0,1.0,18.12,18.4,18.02,18.18,474479.0
2016-10-10,17.99,18.25,17.82,18.17,337601.0,0.0,1.0,17.99,18.25,17.82,18.17,337601.0
2016-10-07,17.98,18.01,17.55,17.86,473107.0,0.0,1.0,17.98,18.01,17.55,17.86,473107.0
2016-10-06,18.27,18.38,17.78,18.02,375353.0,0.0,1.0,18.27,18.38,17.78,18.02,375353.0
2016-10-05,17.98,18.46,17.82,18.24,543948.0,0.0,1.0,17.98,18.46,17.82,18.24,543948.0
2016-10-04,17.59,18.015,17.49,17.78,441051.0,0.0,1.0,17.59,18.015,17.49,17.78,441051.0
2016-10-03,17.54,17.73,17.42,17.55,464105.0,0.0,1.0,17.54,17.73,17.42,17.55,464105.0
2016-09-30,17.62,17.83,17.32,17.73,571125.0,0.0,1.0,17.62,17.83,17.32,17.73,571125.0
2016-09-29,18.02,18.24,17.43,17.46,474696.0,0.0,1.0,18.02,18.24,17.43,17.46,474696.0
2016-09-28,17.78,18.02,17.511,18.0,642993.0,0.0,1.0,17.78,18.02,17.511,18.0,642993.0
2016-09-27,17.47,17.77,17.22,17.75,673733.0,0.0,1.0,17.47,17.77,17.22,17.75,673733.0
2016-09-26,17.74,17.74,17.25,17.59,902916.0,0.0,1.0,17.74,17.74,17.25,17.59,902916.0
2016-09-23,17.95,18.11,17.59,17.85,1035307.0,0.0,1.0,17.95,18.11,17.59,17.85,1035307.0
2016-09-22,18.13,18.32,17.935,17.98,597390.0,0.0,1.0,18.13,18.32,17.935,17.98,597390.0
2016-09-21,17.79,18.15,17.69,17.98,461474.0,0.0,1.0,17.79,18.15,17.69,17.98,461474.0
2016-09-20,17.88,17.92,17.53,17.61,362054.0,0.0,1.0,17.88,17.92,17.53,17.61,362054.0
2016-09-19,17.69,17.998,17.58,17.69,428940.0,0.0,1.0,17.69,17.998,17.58,17.69,428940.0
2016-09-16,17.65,17.69,17.3,17.53,1476068.0,0.0,1.0,17.65,17.69,17.3,17.53,1476068.0
2016-09-15,17.26,17.93,17.245,17.83,391225.0,0.0,1.0,17.26,17.93,17.245,17.83,391225.0
2016-09-14,17.61,17.6229,17.25,17.29,658828.0,0.0,1.0,17.61,17.6229,17.25,17.29,658828.0
2016-09-13,17.59,17.77,17.35,17.63,423943.0,0.0,1.0,17.59,17.77,17.35,17.63,423943.0
2016-09-12,17.64,17.97,17.26,17.89,540638.0,0.0,1.0,17.64,17.97,17.26,17.89,540638.0
2016-09-09,17.93,18.21,17.8,17.81,543824.0,0.0,1.0,17.93,18.21,17.8,17.81,543824.0
2016-09-08,18.12,18.22,17.91,18.05,383277.0,0.0,1.0,18.12,18.22,17.91,18.05,383277.0
2016-09-07,17.67,18.12,17.66,18.12,533278.0,0.0,1.0,17.67,18.12,17.66,18.12,533278.0
2016-09-06,17.85,17.98,17.35,17.63,396245.0,0.0,1.0,17.85,17.98,17.35,17.63,396245.0
2016-09-02,17.73,17.98,17.69,17.85,422505.0,0.0,1.0,17.73,17.98,17.69,17.85,422505.0
2016-09-01,17.69,17.87,17.25,17.69,453480.0,0.0,1.0,17.69,17.87,17.25,17.69,453480.0
2016-08-31,17.8,17.895,17.475,17.62,1015099.0,0.0,1.0,17.8,17.895,17.475,17.62,1015099.0
2016-08-30,17.71,17.96,17.71,17.83,496090.0,0.0,1.0,17.71,17.96,17.71,17.83,496090.0
2016-08-29,17.4,17.87,17.4,17.71,365084.0,0.0,1.0,17.4,17.87,17.4,17.71,365084.0
2016-08-26,17.23,17.695,17.08,17.42,800363.0,0.0,1.0,17.23,17.695,17.08,17.42,800363.0
2016-08-25,16.7,17.11,16.7,17.11,489433.0,0.0,1.0,16.7,17.11,16.7,17.11,489433.0
2016-08-24,16.58,16.845,16.58,16.73,401452.0,0.0,1.0,16.58,16.845,16.58,16.73,401452.0
2016-08-23,16.62,16.8,16.51,16.59,390260.0,0.0,1.0,16.62,16.8,16.51,16.59,390260.0
2016-08-22,16.47,16.53,16.19,16.51,457603.0,0.0,1.0,16.47,16.53,16.19,16.51,457603.0
2016-08-19,16.22,16.56,16.15,16.56,1050357.0,0.0,1.0,16.22,16.56,16.15,16.56,1050357.0
