Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,62.37,63.24,61.55,62.81,495706.0,0.0,1.0,62.37,63.24,61.55,62.81,495706.0
2016-11-16,66.64,67.5,61.87,61.94,773079.0,0.0,1.0,66.64,67.5,61.87,61.94,773079.0
2016-11-15,66.35,67.74,64.54,67.25,535558.0,0.0,1.0,66.35,67.74,64.54,67.25,535558.0
2016-11-14,64.98,67.43,63.01,66.98,862276.0,0.0,1.0,64.98,67.43,63.01,66.98,862276.0
2016-11-11,62.5,64.66,61.221,64.22,862957.0,0.0,1.0,62.5,64.66,61.221,64.22,862957.0
2016-11-10,60.0,64.5,59.74,63.77,1206813.0,0.0,1.0,60.0,64.5,59.74,63.77,1206813.0
2016-11-09,56.56,60.0,55.68,59.5,1131401.0,0.0,1.0,56.56,60.0,55.68,59.5,1131401.0
2016-11-08,52.01,55.19,50.62,54.03,610202.0,0.0,1.0,52.01,55.19,50.62,54.03,610202.0
2016-11-07,50.62,52.5,49.8,52.29,631231.0,0.0,1.0,50.62,52.5,49.8,52.29,631231.0
2016-11-04,47.29,49.72,46.68,49.46,866556.0,0.0,1.0,47.29,49.72,46.68,49.46,866556.0
2016-11-03,49.05,49.1,45.73,47.63,1089551.0,0.0,1.0,49.05,49.1,45.73,47.63,1089551.0
2016-11-02,48.1,48.23,45.89,46.1,1180486.0,0.0,1.0,48.1,48.23,45.89,46.1,1180486.0
2016-11-01,48.14,49.08,46.58,48.29,570168.0,0.0,1.0,48.14,49.08,46.58,48.29,570168.0
2016-10-31,48.93,49.55,47.69,47.84,284063.0,0.0,1.0,48.93,49.55,47.69,47.84,284063.0
2016-10-28,48.07,50.1,47.39,48.58,574024.0,0.0,1.0,48.07,50.1,47.39,48.58,574024.0
2016-10-27,49.41,50.24,47.97,48.26,450110.0,0.0,1.0,49.41,50.24,47.97,48.26,450110.0
2016-10-26,48.56,49.61,48.1035,48.72,470996.0,0.0,1.0,48.56,49.61,48.1035,48.72,470996.0
2016-10-25,48.83,49.925,48.31,48.72,306464.0,0.0,1.0,48.83,49.925,48.31,48.72,306464.0
2016-10-24,49.92,50.1,48.57,49.01,371045.0,0.0,1.0,49.92,50.1,48.57,49.01,371045.0
2016-10-21,49.87,51.125,49.0,49.12,702600.0,0.0,1.0,49.87,51.125,49.0,49.12,702600.0
2016-10-20,48.11,51.33,48.11,50.33,525795.0,0.0,1.0,48.11,51.33,48.11,50.33,525795.0
2016-10-19,49.42,49.5099,47.65,48.32,332520.0,0.0,1.0,49.42,49.5099,47.65,48.32,332520.0
2016-10-18,48.48,50.12,48.48,49.26,466328.0,0.0,1.0,48.48,50.12,48.48,49.26,466328.0
2016-10-17,47.52,48.375,46.68,47.52,538801.0,0.0,1.0,47.52,48.375,46.68,47.52,538801.0
2016-10-14,51.13,51.17,47.48,47.78,706977.0,0.0,1.0,51.13,51.17,47.48,47.78,706977.0
2016-10-13,49.75,51.965,49.13,50.72,532766.0,0.0,1.0,49.75,51.965,49.13,50.72,532766.0
2016-10-12,53.16,54.085,50.25,50.45,571855.0,0.0,1.0,53.16,54.085,50.25,50.45,571855.0
2016-10-11,54.26,55.52,52.64,53.26,397502.0,0.0,1.0,54.26,55.52,52.64,53.26,397502.0
2016-10-10,53.46,55.55,53.12,55.02,353347.0,0.0,1.0,53.46,55.55,53.12,55.02,353347.0
2016-10-07,53.91,54.015,51.26,52.69,614305.0,0.0,1.0,53.91,54.015,51.26,52.69,614305.0
2016-10-06,53.47,54.19,52.845,53.8,579015.0,0.0,1.0,53.47,54.19,52.845,53.8,579015.0
2016-10-05,53.69,55.14,52.86,54.4,369778.0,0.0,1.0,53.69,55.14,52.86,54.4,369778.0
2016-10-04,52.96,53.48,52.45,53.3,435807.0,0.0,1.0,52.96,53.48,52.45,53.3,435807.0
2016-10-03,52.36,53.48,51.1033,52.84,432637.0,0.0,1.0,52.36,53.48,51.1033,52.84,432637.0
2016-09-30,52.2,53.43,51.89,52.82,553401.0,0.0,1.0,52.2,53.43,51.89,52.82,553401.0
2016-09-29,53.76,54.27,51.535,51.82,694267.0,0.0,1.0,53.76,54.27,51.535,51.82,694267.0
2016-09-28,54.65,54.99,52.38,54.15,541018.0,0.0,1.0,54.65,54.99,52.38,54.15,541018.0
2016-09-27,52.68,54.65,52.38,54.55,365909.0,0.0,1.0,52.68,54.65,52.38,54.55,365909.0
2016-09-26,52.46,53.72,52.08,52.7,360219.0,0.0,1.0,52.46,53.72,52.08,52.7,360219.0
2016-09-23,52.81,54.2,51.521,53.03,757213.0,0.0,1.0,52.81,54.2,51.521,53.03,757213.0
2016-09-22,52.81,53.39,51.41,53.05,839624.0,0.0,1.0,52.81,53.39,51.41,53.05,839624.0
2016-09-21,50.48,52.48,49.61,52.29,936875.0,0.0,1.0,50.48,52.48,49.61,52.29,936875.0
2016-09-20,47.9,50.26,47.6,49.83,1092518.0,0.0,1.0,47.9,50.26,47.6,49.83,1092518.0
2016-09-19,46.9,47.825,46.1,47.57,682717.0,0.0,1.0,46.9,47.825,46.1,47.57,682717.0
2016-09-16,45.19,46.8,45.0,46.59,1130277.0,0.0,1.0,45.19,46.8,45.0,46.59,1130277.0
2016-09-15,46.35,47.31,45.26,45.89,2220587.0,0.0,1.0,46.35,47.31,45.26,45.89,2220587.0
2016-09-14,43.99,45.78,43.3,45.26,943814.0,0.0,1.0,43.99,45.78,43.3,45.26,943814.0
2016-09-13,45.5,46.68,44.0,45.95,696802.0,0.0,1.0,45.5,46.68,44.0,45.95,696802.0
2016-09-12,43.09,45.87,43.02,45.8,918255.0,0.0,1.0,43.09,45.87,43.02,45.8,918255.0
2016-09-09,45.76,46.05,42.95,43.0,1079515.0,0.0,1.0,45.76,46.05,42.95,43.0,1079515.0
2016-09-08,47.6,48.0,45.67,46.66,941159.0,0.0,1.0,47.6,48.0,45.67,46.66,941159.0
2016-09-07,44.6,47.75,44.15,46.98,4725952.0,0.0,1.0,44.6,47.75,44.15,46.98,4725952.0
2016-09-06,36.63,37.91,36.495,37.32,392611.0,0.0,1.0,36.63,37.91,36.495,37.32,392611.0
2016-09-02,36.99,37.28,36.25,36.35,296566.0,0.0,1.0,36.99,37.28,36.25,36.35,296566.0
2016-09-01,36.82,37.22,36.37,36.74,244045.0,0.0,1.0,36.82,37.22,36.37,36.74,244045.0
2016-08-31,36.5,37.21,35.84,36.84,481771.0,0.0,1.0,36.5,37.21,35.84,36.84,481771.0
2016-08-30,37.68,37.925,36.33,36.62,802223.0,0.0,1.0,37.68,37.925,36.33,36.62,802223.0
2016-08-29,38.29,38.35,37.37,37.76,304171.0,0.0,1.0,38.29,38.35,37.37,37.76,304171.0
2016-08-26,38.03,39.29,37.05,38.03,578843.0,0.0,1.0,38.03,39.29,37.05,38.03,578843.0
2016-08-25,39.02,39.4899,36.9245,38.08,911488.0,0.0,1.0,39.02,39.4899,36.9245,38.08,911488.0
2016-08-24,41.02,42.17,38.11,38.52,876953.0,0.0,1.0,41.02,42.17,38.11,38.52,876953.0
2016-08-23,40.56,41.365,40.16,40.99,506304.0,0.0,1.0,40.56,41.365,40.16,40.99,506304.0
2016-08-22,40.13,40.63,39.79,40.31,698006.0,0.0,1.0,40.13,40.63,39.79,40.31,698006.0
2016-08-19,40.23,40.89,39.32,39.9,374784.0,0.0,1.0,40.23,40.89,39.32,39.9,374784.0
2016-08-18,40.07,40.94,40.03,40.55,405062.0,0.0,1.0,40.07,40.94,40.03,40.55,405062.0
2016-08-17,40.8,41.05,39.1137,39.91,364624.0,0.0,1.0,40.8,41.05,39.1137,39.91,364624.0
2016-08-16,41.45,41.8,40.58,40.82,406611.0,0.0,1.0,41.45,41.8,40.58,40.82,406611.0
2016-08-15,40.8,41.9098,40.47,41.63,533333.0,0.0,1.0,40.8,41.9098,40.47,41.63,533333.0
2016-08-12,40.0,40.498,39.87,40.42,578019.0,0.0,1.0,40.0,40.498,39.87,40.42,578019.0
2016-08-11,39.94,40.9,39.62,39.93,699484.0,0.0,1.0,39.94,40.9,39.62,39.93,699484.0
2016-08-10,41.13,41.84,39.735,39.9,777866.0,0.0,1.0,41.13,41.84,39.735,39.9,777866.0
2016-08-09,40.69,41.385,40.11,40.96,515713.0,0.0,1.0,40.69,41.385,40.11,40.96,515713.0
2016-08-08,42.8,43.68,40.01,40.63,936014.0,0.0,1.0,42.8,43.68,40.01,40.63,936014.0
2016-08-05,43.8,44.46,42.895,43.12,594825.0,0.0,1.0,43.8,44.46,42.895,43.12,594825.0
2016-08-04,46.1,46.71,43.23,43.72,663032.0,0.0,1.0,46.1,46.71,43.23,43.72,663032.0
2016-08-03,44.71,46.1,44.71,46.02,506753.0,0.0,1.0,44.71,46.1,44.71,46.02,506753.0
2016-08-02,45.72,46.19,43.33,44.9,423581.0,0.0,1.0,45.72,46.19,43.33,44.9,423581.0
2016-08-01,45.23,46.359,44.6401,45.69,364084.0,0.0,1.0,45.23,46.359,44.6401,45.69,364084.0
2016-07-29,43.64,45.41,43.17,45.23,304842.0,0.0,1.0,43.64,45.41,43.17,45.23,304842.0
2016-07-28,45.59,45.59,43.21,43.86,288382.0,0.0,1.0,45.59,45.59,43.21,43.86,288382.0
2016-07-27,43.98,45.86,43.89,45.56,473416.0,0.0,1.0,43.98,45.86,43.89,45.56,473416.0
2016-07-26,41.99,44.11,41.68,43.93,335008.0,0.0,1.0,41.99,44.11,41.68,43.93,335008.0
2016-07-25,42.23,42.68,41.05,42.31,303559.0,0.0,1.0,42.23,42.68,41.05,42.31,303559.0
2016-07-22,43.13,43.73,42.0,42.23,355381.0,0.0,1.0,43.13,43.73,42.0,42.23,355381.0
2016-07-21,42.73,44.24,42.2,42.97,433605.0,0.0,1.0,42.73,44.24,42.2,42.97,433605.0
2016-07-20,40.08,42.67,39.03,42.53,525272.0,0.0,1.0,40.08,42.67,39.03,42.53,525272.0
2016-07-19,41.65,41.83,39.5,40.06,408232.0,0.0,1.0,41.65,41.83,39.5,40.06,408232.0
2016-07-18,41.75,42.2,41.1,41.71,342397.0,0.0,1.0,41.75,42.2,41.1,41.71,342397.0
2016-07-15,41.13,42.06,40.14,41.74,663774.0,0.0,1.0,41.13,42.06,40.14,41.74,663774.0
2016-07-14,41.38,42.297,40.01,41.21,529304.0,0.0,1.0,41.38,42.297,40.01,41.21,529304.0
2016-07-13,44.24,44.886,40.84,40.91,556059.0,0.0,1.0,44.24,44.886,40.84,40.91,556059.0
2016-07-12,43.01,44.69,42.72,44.05,397041.0,0.0,1.0,43.01,44.69,42.72,44.05,397041.0
2016-07-11,42.93,43.6,42.33,42.5,398013.0,0.0,1.0,42.93,43.6,42.33,42.5,398013.0
2016-07-08,42.71,43.5,42.26,42.75,342884.0,0.0,1.0,42.71,43.5,42.26,42.75,342884.0
2016-07-07,43.12,43.98,41.91,42.6,436132.0,0.0,1.0,43.12,43.98,41.91,42.6,436132.0
2016-07-06,40.93,43.14,40.15,43.03,539613.0,0.0,1.0,40.93,43.14,40.15,43.03,539613.0
2016-07-05,42.17,43.3,40.635,41.47,285429.0,0.0,1.0,42.17,43.3,40.635,41.47,285429.0
2016-07-01,41.65,43.47,40.51,42.77,728956.0,0.0,1.0,41.65,43.47,40.51,42.77,728956.0
2016-06-30,44.24,44.26,41.6,41.895,656389.0,0.0,1.0,44.24,44.26,41.6,41.895,656389.0
2016-06-29,44.46,45.87,44.05,44.6,686124.0,0.0,1.0,44.46,45.87,44.05,44.6,686124.0
2016-06-28,41.3,44.11,41.3,43.885,752920.0,0.0,1.0,41.3,44.11,41.3,43.885,752920.0
2016-06-27,43.69,44.26,39.84,40.285,805826.0,0.0,1.0,43.69,44.26,39.84,40.285,805826.0
2016-06-24,45.76,47.2767,44.21,44.27,910360.0,0.0,1.0,45.76,47.2767,44.21,44.27,910360.0
2016-06-23,47.87,48.73,47.29,48.5,949301.0,0.0,1.0,47.87,48.73,47.29,48.5,949301.0
2016-06-22,47.36,48.6599,46.2,47.07,643806.0,0.0,1.0,47.36,48.6599,46.2,47.07,643806.0
2016-06-21,49.51,49.9737,46.99,47.33,703679.0,0.0,1.0,49.51,49.9737,46.99,47.33,703679.0
2016-06-20,48.86,50.34,48.03,49.3,502218.0,0.0,1.0,48.86,50.34,48.03,49.3,502218.0
2016-06-17,49.08,49.74,47.25,47.48,1011351.0,0.0,1.0,49.08,49.74,47.25,47.48,1011351.0
2016-06-16,49.22,49.51,46.79,48.89,855178.0,0.0,1.0,49.22,49.51,46.79,48.89,855178.0
2016-06-15,49.14,50.73,48.36,49.66,506376.0,0.0,1.0,49.14,50.73,48.36,49.66,506376.0
2016-06-14,50.13,52.62,46.89,48.75,1701363.0,0.0,1.0,50.13,52.62,46.89,48.75,1701363.0
2016-06-13,54.56,54.68,48.52,51.97,3016133.0,0.0,1.0,54.56,54.68,48.52,51.97,3016133.0
2016-06-10,55.22,55.96,50.02,50.345,1820954.0,0.0,1.0,55.22,55.96,50.02,50.345,1820954.0
2016-06-09,63.67,64.67,54.02,56.22,3377004.0,0.0,1.0,63.67,64.67,54.02,56.22,3377004.0
2016-06-08,62.04,66.74,61.8,66.09,1308207.0,0.0,1.0,62.04,66.74,61.8,66.09,1308207.0
2016-06-07,59.44,61.8,58.79,61.62,858628.0,0.0,1.0,59.44,61.8,58.79,61.62,858628.0
2016-06-06,57.05,59.78,56.43,59.68,488719.0,0.0,1.0,57.05,59.78,56.43,59.68,488719.0
2016-06-03,60.38,60.89,56.22,56.8,747536.0,0.0,1.0,60.38,60.89,56.22,56.8,747536.0
2016-06-02,57.13,61.44,57.13,60.99,873694.0,0.0,1.0,57.13,61.44,57.13,60.99,873694.0
2016-06-01,55.5,58.56,54.82,57.34,824932.0,0.0,1.0,55.5,58.56,54.82,57.34,824932.0
2016-05-31,53.92,56.48,53.92,55.95,699957.0,0.0,1.0,53.92,56.48,53.92,55.95,699957.0
2016-05-27,52.83,53.805,52.0201,53.34,322677.0,0.0,1.0,52.83,53.805,52.0201,53.34,322677.0
2016-05-26,52.79,53.98,51.17,52.9,640093.0,0.0,1.0,52.79,53.98,51.17,52.9,640093.0
2016-05-25,48.72,52.71,48.0001,52.63,1052231.0,0.0,1.0,48.72,52.71,48.0001,52.63,1052231.0
2016-05-24,49.33,50.29,47.98,48.34,868740.0,0.0,1.0,49.33,50.29,47.98,48.34,868740.0
2016-05-23,45.44,48.9,45.21,48.58,752967.0,0.0,1.0,45.44,48.9,45.21,48.58,752967.0
2016-05-20,45.05,45.98,43.47,45.44,925312.0,0.0,1.0,45.05,45.98,43.47,45.44,925312.0
2016-05-19,50.14,51.0,45.1705,45.3,1196714.0,0.0,1.0,50.14,51.0,45.1705,45.3,1196714.0
2016-05-18,53.43,53.5,49.53,50.51,794489.0,0.0,1.0,53.43,53.5,49.53,50.51,794489.0
2016-05-17,50.21,52.1,50.1301,51.27,775910.0,0.0,1.0,50.21,52.1,50.1301,51.27,775910.0
2016-05-16,46.83,50.82,46.56,50.57,728066.0,0.0,1.0,46.83,50.82,46.56,50.57,728066.0
2016-05-13,44.95,48.56,43.4197,46.82,783612.0,0.0,1.0,44.95,48.56,43.4197,46.82,783612.0
2016-05-12,45.45,45.79,43.44,44.85,747530.0,0.0,1.0,45.45,45.79,43.44,44.85,747530.0
