Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,6.58,6.68,6.445,6.52,349047.0,0.0,1.0,6.58,6.68,6.445,6.52,349047.0
2016-11-16,6.47,6.59,6.47,6.59,450508.0,0.0,1.0,6.47,6.59,6.47,6.59,450508.0
2016-11-15,6.63,6.64,6.375,6.5,407158.0,0.0,1.0,6.63,6.64,6.375,6.5,407158.0
2016-11-14,6.28,6.62,6.25,6.61,647591.0,0.0,1.0,6.28,6.62,6.25,6.61,647591.0
2016-11-11,6.02,6.29,5.99,6.22,760591.0,0.0,1.0,6.02,6.29,5.99,6.22,760591.0
2016-11-10,6.19,6.19,5.8375,5.99,970084.0,0.0,1.0,6.19,6.19,5.8375,5.99,970084.0
2016-11-09,5.61,6.13,5.57,6.1,1029701.0,0.0,1.0,5.61,6.13,5.57,6.1,1029701.0
2016-11-08,5.58,5.86,5.5,5.79,725140.0,0.0,1.0,5.58,5.86,5.5,5.79,725140.0
2016-11-07,5.61,5.69,5.5616,5.6,928104.0,0.0,1.0,5.61,5.69,5.5616,5.6,928104.0
2016-11-04,5.53,5.59,5.35,5.48,654476.0,0.0,1.0,5.53,5.59,5.35,5.48,654476.0
2016-11-03,5.58,5.625,5.5,5.52,522817.0,0.0,1.0,5.58,5.625,5.5,5.52,522817.0
2016-11-02,5.54,5.6187,5.515,5.54,321761.0,0.0,1.0,5.54,5.6187,5.515,5.54,321761.0
2016-11-01,5.78,5.83,5.47,5.56,650710.0,0.0,1.0,5.78,5.83,5.47,5.56,650710.0
2016-10-31,5.85,5.88,5.76,5.81,355692.0,0.0,1.0,5.85,5.88,5.76,5.81,355692.0
2016-10-28,5.81,5.93,5.78,5.81,327205.0,0.0,1.0,5.81,5.93,5.78,5.81,327205.0
2016-10-27,6.03,6.03,5.79,5.82,441602.0,0.0,1.0,6.03,6.03,5.79,5.82,441602.0
2016-10-26,6.12,6.19,6.0,6.01,274938.0,0.0,1.0,6.12,6.19,6.0,6.01,274938.0
2016-10-25,6.25,6.2826,6.17,6.2,282757.0,0.0,1.0,6.25,6.2826,6.17,6.2,282757.0
2016-10-24,6.29,6.41,6.22,6.29,359542.0,0.0,1.0,6.29,6.41,6.22,6.29,359542.0
2016-10-21,6.18,6.29,6.1479,6.26,380114.0,0.0,1.0,6.18,6.29,6.1479,6.26,380114.0
2016-10-20,6.2,6.3,6.0701,6.29,501819.0,0.0,1.0,6.2,6.3,6.0701,6.29,501819.0
2016-10-19,6.19,6.3,6.19,6.2,460073.0,0.0,1.0,6.19,6.3,6.19,6.2,460073.0
2016-10-18,6.11,6.28,6.07,6.21,544708.0,0.0,1.0,6.11,6.28,6.07,6.21,544708.0
2016-10-17,6.05,6.1283,6.02,6.03,320799.0,0.0,1.0,6.05,6.1283,6.02,6.03,320799.0
2016-10-14,6.1,6.15,5.99,6.04,927653.0,0.0,1.0,6.1,6.15,5.99,6.04,927653.0
2016-10-13,6.17,6.27,5.99,6.1,836840.0,0.0,1.0,6.17,6.27,5.99,6.1,836840.0
2016-10-12,5.86,6.055,5.84,6.0,419885.0,0.0,1.0,5.86,6.055,5.84,6.0,419885.0
2016-10-11,5.92,5.93,5.795,5.86,657663.0,0.0,1.0,5.92,5.93,5.795,5.86,657663.0
2016-10-10,5.85,5.94,5.85,5.92,550145.0,0.0,1.0,5.85,5.94,5.85,5.92,550145.0
2016-10-07,5.9,5.99,5.77,5.81,228012.0,0.0,1.0,5.9,5.99,5.77,5.81,228012.0
