Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,8.72,9.04,8.72,8.98,258418.0,0.0,1.0,8.72,9.04,8.72,8.98,258418.0
2016-11-16,8.6,8.99,8.57,8.85,194761.0,0.0,1.0,8.6,8.99,8.57,8.85,194761.0
2016-11-15,9.14,9.14,8.63,8.65,247132.0,0.0,1.0,9.14,9.14,8.63,8.65,247132.0
2016-11-14,8.87,8.96,8.74,8.9,447829.0,0.0,1.0,8.87,8.96,8.74,8.9,447829.0
2016-11-11,8.66,8.88,8.4,8.77,383839.0,0.0,1.0,8.66,8.88,8.4,8.77,383839.0
2016-11-10,8.83,9.2,8.57,8.63,386195.0,0.0,1.0,8.83,9.2,8.57,8.63,386195.0
2016-11-09,8.21,8.65,7.9,8.63,265116.0,0.0,1.0,8.21,8.65,7.9,8.63,265116.0
2016-11-08,7.84,7.98,7.67,7.8,110250.0,0.0,1.0,7.84,7.98,7.67,7.8,110250.0
2016-11-07,7.57,7.87,7.44,7.84,160942.0,0.0,1.0,7.57,7.87,7.44,7.84,160942.0
2016-11-04,7.24,7.59,7.24,7.37,124451.0,0.0,1.0,7.24,7.59,7.24,7.37,124451.0
2016-11-03,7.38,7.5,7.16,7.19,125305.0,0.0,1.0,7.38,7.5,7.16,7.19,125305.0
2016-11-02,7.48,7.74,7.31,7.33,98333.0,0.0,1.0,7.48,7.74,7.31,7.33,98333.0
2016-11-01,7.5,7.59,7.43,7.49,88135.0,0.0,1.0,7.5,7.59,7.43,7.49,88135.0
2016-10-31,7.61,7.84,7.43,7.52,96274.0,0.0,1.0,7.61,7.84,7.43,7.52,96274.0
2016-10-28,7.59,7.705,7.4,7.58,124631.0,0.0,1.0,7.59,7.705,7.4,7.58,124631.0
2016-10-27,7.78,7.86,7.53,7.63,92154.0,0.0,1.0,7.78,7.86,7.53,7.63,92154.0
2016-10-26,7.81,7.8201,7.67,7.71,67650.0,0.0,1.0,7.81,7.8201,7.67,7.71,67650.0
2016-10-25,7.91,7.92,7.71,7.81,54572.0,0.0,1.0,7.91,7.92,7.71,7.81,54572.0
2016-10-24,8.14,8.14,7.86,7.89,54666.0,0.0,1.0,8.14,8.14,7.86,7.89,54666.0
2016-10-21,8.13,8.25,8.03,8.09,65131.0,0.0,1.0,8.13,8.25,8.03,8.09,65131.0
2016-10-20,8.0,8.34,7.89,8.2,125352.0,0.0,1.0,8.0,8.34,7.89,8.2,125352.0
2016-10-19,8.07,8.11,7.88,8.02,112381.0,0.0,1.0,8.07,8.11,7.88,8.02,112381.0
2016-10-18,8.07,8.2,7.74,8.03,99725.0,0.0,1.0,8.07,8.2,7.74,8.03,99725.0
2016-10-17,8.08,8.08,7.91,7.96,86691.0,0.0,1.0,8.08,8.08,7.91,7.96,86691.0
2016-10-14,8.37,8.46,7.74,8.1,161659.0,0.0,1.0,8.37,8.46,7.74,8.1,161659.0
2016-10-13,8.32,8.5,8.23,8.28,98262.0,0.0,1.0,8.32,8.5,8.23,8.28,98262.0
2016-10-12,8.74,8.77,8.27,8.43,91071.0,0.0,1.0,8.74,8.77,8.27,8.43,91071.0
2016-10-11,8.97,9.01,8.6102,8.76,92068.0,0.0,1.0,8.97,9.01,8.6102,8.76,92068.0
2016-10-10,8.9,9.1,8.84,9.08,145726.0,0.0,1.0,8.9,9.1,8.84,9.08,145726.0
2016-10-07,8.87,8.94,8.7001,8.86,109590.0,0.0,1.0,8.87,8.94,8.7001,8.86,109590.0
2016-10-06,9.03,9.06,8.8,8.87,95672.0,0.0,1.0,9.03,9.06,8.8,8.87,95672.0
2016-10-05,9.05,9.11,8.71,9.06,90723.0,0.0,1.0,9.05,9.11,8.71,9.06,90723.0
2016-10-04,9.01,9.08,8.92,8.96,59271.0,0.0,1.0,9.01,9.08,8.92,8.96,59271.0
2016-10-03,9.08,9.13,8.84,8.96,85587.0,0.0,1.0,9.08,9.13,8.84,8.96,85587.0
2016-09-30,8.77,9.085,8.56,9.05,143673.0,0.0,1.0,8.77,9.085,8.56,9.05,143673.0
2016-09-29,9.13,9.25,8.7,8.72,142054.0,0.0,1.0,9.13,9.25,8.7,8.72,142054.0
2016-09-28,9.08,9.14,8.9399,9.08,135088.0,0.0,1.0,9.08,9.14,8.9399,9.08,135088.0
2016-09-27,9.0,9.25,8.95,9.09,88158.0,0.0,1.0,9.0,9.25,8.95,9.09,88158.0
2016-09-26,9.1,9.2899,8.95,8.98,137726.0,0.0,1.0,9.1,9.2899,8.95,8.98,137726.0
2016-09-23,9.33,9.33,8.701,9.14,109403.0,0.0,1.0,9.33,9.33,8.701,9.14,109403.0
2016-09-22,9.35,9.38,9.16,9.25,156121.0,0.0,1.0,9.35,9.38,9.16,9.25,156121.0
2016-09-21,9.25,9.35,8.9,9.33,198250.0,0.0,1.0,9.25,9.35,8.9,9.33,198250.0
2016-09-20,9.17,9.36,9.06,9.25,465027.0,0.0,1.0,9.17,9.36,9.06,9.25,465027.0
2016-09-19,9.25,9.36,8.82,9.06,227428.0,0.0,1.0,9.25,9.36,8.82,9.06,227428.0
2016-09-16,8.58,9.01,8.5,8.98,408719.0,0.0,1.0,8.58,9.01,8.5,8.98,408719.0
2016-09-15,8.55,8.68,8.41,8.58,206029.0,0.0,1.0,8.55,8.68,8.41,8.58,206029.0
2016-09-14,8.37,8.66,8.23,8.54,101022.0,0.0,1.0,8.37,8.66,8.23,8.54,101022.0
2016-09-13,8.37,8.5,8.2001,8.36,62210.0,0.0,1.0,8.37,8.5,8.2001,8.36,62210.0
2016-09-12,8.2,8.52,8.2,8.48,129662.0,0.0,1.0,8.2,8.52,8.2,8.48,129662.0
2016-09-09,8.23,8.39,8.181,8.28,183683.0,0.0,1.0,8.23,8.39,8.181,8.28,183683.0
2016-09-08,8.46,8.53,8.15,8.4,134324.0,0.0,1.0,8.46,8.53,8.15,8.4,134324.0
2016-09-07,8.44,8.61,8.23,8.44,202062.0,0.0,1.0,8.44,8.61,8.23,8.44,202062.0
2016-09-06,8.23,8.5,8.15,8.38,511174.0,0.0,1.0,8.23,8.5,8.15,8.38,511174.0
2016-09-02,8.13,8.23,7.91,8.23,87395.0,0.0,1.0,8.13,8.23,7.91,8.23,87395.0
2016-09-01,8.12,8.17,7.95,8.11,97094.0,0.0,1.0,8.12,8.17,7.95,8.11,97094.0
2016-08-31,8.28,8.4,7.89,8.13,144519.0,0.0,1.0,8.28,8.4,7.89,8.13,144519.0
2016-08-30,8.1,8.32,8.0,8.3,109033.0,0.0,1.0,8.1,8.32,8.0,8.3,109033.0
2016-08-29,8.03,8.23,7.9,8.12,103777.0,0.0,1.0,8.03,8.23,7.9,8.12,103777.0
2016-08-26,8.16,8.23,7.9,8.11,136052.0,0.0,1.0,8.16,8.23,7.9,8.11,136052.0
2016-08-25,8.02,8.28,7.93,8.09,111409.0,0.0,1.0,8.02,8.28,7.93,8.09,111409.0
2016-08-24,8.44,8.58,7.9621,8.03,159581.0,0.0,1.0,8.44,8.58,7.9621,8.03,159581.0
2016-08-23,8.29,8.46,8.04,8.42,97438.0,0.0,1.0,8.29,8.46,8.04,8.42,97438.0
2016-08-22,7.99,8.35,7.9,8.22,151701.0,0.0,1.0,7.99,8.35,7.9,8.22,151701.0
2016-08-19,7.95,8.11,7.82,7.95,108713.0,0.0,1.0,7.95,8.11,7.82,7.95,108713.0
2016-08-18,7.9,8.15,7.845,7.98,59187.0,0.0,1.0,7.9,8.15,7.845,7.98,59187.0
2016-08-17,7.91,8.0,7.86,7.9,107531.0,0.0,1.0,7.91,8.0,7.86,7.9,107531.0
2016-08-16,8.03,8.11,7.9,8.0,97403.0,0.0,1.0,8.03,8.11,7.9,8.0,97403.0
2016-08-15,8.08,8.32,8.05,8.08,117670.0,0.0,1.0,8.08,8.32,8.05,8.08,117670.0
2016-08-12,7.96,8.13,7.96,8.08,154545.0,0.0,1.0,7.96,8.13,7.96,8.08,154545.0
2016-08-11,7.92,8.09,7.73,7.95,223957.0,0.0,1.0,7.92,8.09,7.73,7.95,223957.0
2016-08-10,8.16,8.16,7.64,7.89,305002.0,0.0,1.0,8.16,8.16,7.64,7.89,305002.0
2016-08-09,8.42,8.57,7.76,8.0,485357.0,0.0,1.0,8.42,8.57,7.76,8.0,485357.0
2016-08-08,8.85,9.06,8.7,8.73,116911.0,0.0,1.0,8.85,9.06,8.7,8.73,116911.0
2016-08-05,8.68,9.03,8.65,8.81,248040.0,0.0,1.0,8.68,9.03,8.65,8.81,248040.0
2016-08-04,8.95,9.1,8.6,8.64,125697.0,0.0,1.0,8.95,9.1,8.6,8.64,125697.0
2016-08-03,8.74,9.0,8.74,8.89,163239.0,0.0,1.0,8.74,9.0,8.74,8.89,163239.0
