Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,158.25,161.2,156.55,160.8,131119.0,0.0,1.0,158.25,161.2,156.55,160.8,131119.0
2016-11-16,157.3,159.0,154.9501,157.9,102530.0,0.0,1.0,157.3,159.0,154.9501,157.9,102530.0
2016-11-15,163.1,163.6,157.975,158.45,136462.0,0.0,1.0,163.1,163.6,157.975,158.45,136462.0
2016-11-14,157.25,161.53,156.35,161.25,110964.0,0.0,1.0,157.25,161.53,156.35,161.25,110964.0
2016-11-11,153.2,157.2,152.8,156.65,142510.0,0.0,1.0,153.2,157.2,152.8,156.65,142510.0
2016-11-10,148.85,154.225,148.55,152.95,141854.0,0.0,1.0,148.85,154.225,148.55,152.95,141854.0
2016-11-09,140.55,148.1,140.55,147.6,130883.0,0.0,1.0,140.55,148.1,140.55,147.6,130883.0
2016-11-08,140.2,143.75,136.7,143.1,158577.0,0.0,1.0,140.2,143.75,136.7,143.1,158577.0
2016-11-07,139.1,142.175,135.4,140.2,231969.0,0.0,1.0,139.1,142.175,135.4,140.2,231969.0
2016-11-04,135.55,139.3,135.25,136.35,91093.0,0.0,1.0,135.55,139.3,135.25,136.35,91093.0
2016-11-03,134.9,137.3,132.65,135.15,98229.0,0.0,1.0,134.9,137.3,132.65,135.15,98229.0
2016-11-02,135.55,137.95,134.5,134.9,98196.0,0.0,1.0,135.55,137.95,134.5,134.9,98196.0
2016-11-01,137.7,137.7,134.15,135.55,122040.0,0.0,1.0,137.7,137.7,134.15,135.55,122040.0
2016-10-31,137.5,138.3,133.3,137.9,177090.0,0.0,1.0,137.5,138.3,133.3,137.9,177090.0
2016-10-28,133.65,137.8,133.5645,136.1,134096.0,0.0,1.0,133.65,137.8,133.5645,136.1,134096.0
2016-10-27,142.9,150.0,133.15,133.95,439528.0,0.0,1.0,142.9,150.0,133.15,133.95,439528.0
2016-10-26,153.1,156.1,150.0,153.95,107199.0,0.0,1.0,153.1,156.1,150.0,153.95,107199.0
2016-10-25,154.45,156.95,152.65,153.9,91563.0,0.0,1.0,154.45,156.95,152.65,153.9,91563.0
2016-10-24,156.85,156.85,154.15,154.95,69231.0,0.0,1.0,156.85,156.85,154.15,154.95,69231.0
2016-10-21,155.1,156.45,154.05,155.55,90346.0,0.0,1.0,155.1,156.45,154.05,155.55,90346.0
2016-10-20,157.25,158.0,153.15,155.75,94993.0,0.0,1.0,157.25,158.0,153.15,155.75,94993.0
2016-10-19,154.3,157.6,152.65,157.2,112316.0,0.0,1.0,154.3,157.6,152.65,157.2,112316.0
2016-10-18,153.85,155.5,152.6,154.45,115971.0,0.0,1.0,153.85,155.5,152.6,154.45,115971.0
2016-10-17,153.35,155.0,152.75,153.1,105977.0,0.0,1.0,153.35,155.0,152.75,153.1,105977.0
2016-10-14,153.99,154.05,150.62,152.98,102876.0,0.0,1.0,153.99,154.05,150.62,152.98,102876.0
2016-10-13,149.18,154.021,146.961,153.45,137866.0,0.0,1.0,149.18,154.021,146.961,153.45,137866.0
2016-10-12,149.5,150.4,148.58,149.42,173000.0,0.0,1.0,149.5,150.4,148.58,149.42,173000.0
2016-10-11,149.39,150.53,147.61,148.81,138410.0,0.0,1.0,149.39,150.53,147.61,148.81,138410.0
2016-10-10,144.93,150.03,144.93,149.25,110004.0,0.0,1.0,144.93,150.03,144.93,149.25,110004.0
2016-10-07,143.37,149.24,143.24,144.93,350225.0,0.0,1.0,143.37,149.24,143.24,144.93,350225.0
2016-10-06,139.75,142.9,138.295,142.36,136889.0,0.0,1.0,139.75,142.9,138.295,142.36,136889.0
2016-10-05,140.73,141.82,139.04,139.63,111097.0,0.0,1.0,140.73,141.82,139.04,139.63,111097.0
2016-10-04,136.0,141.24,135.95,140.19,145258.0,0.0,1.0,136.0,141.24,135.95,140.19,145258.0
2016-10-03,132.09,136.315,131.45,135.67,115185.0,0.0,1.0,132.09,136.315,131.45,135.67,115185.0
2016-09-30,130.08,132.93,129.95,132.07,108008.0,0.0,1.0,130.08,132.93,129.95,132.07,108008.0
2016-09-29,132.93,133.37,129.7567,130.35,108934.0,0.0,1.0,132.93,133.37,129.7567,130.35,108934.0
2016-09-28,134.6,137.445,131.825,132.72,175420.0,0.0,1.0,134.6,137.445,131.825,132.72,175420.0
2016-09-27,130.08,134.12,130.08,134.05,109901.0,0.0,1.0,130.08,134.12,130.08,134.05,109901.0
2016-09-26,132.63,134.6,130.01,130.23,102645.0,0.0,1.0,132.63,134.6,130.01,130.23,102645.0
2016-09-23,131.02,134.51,128.235,133.7,233523.0,0.0,1.0,131.02,134.51,128.235,133.7,233523.0
2016-09-22,130.5,132.3112,127.5,127.87,209288.0,0.0,1.0,130.5,132.3112,127.5,127.87,209288.0
2016-09-21,130.49,134.8399,127.51,130.5,138766.0,0.0,1.0,130.49,134.8399,127.51,130.5,138766.0
2016-09-20,130.54,132.5,128.0,129.73,161199.0,0.0,1.0,130.54,132.5,128.0,129.73,161199.0
2016-09-19,130.9,132.0,129.27,129.96,78522.0,0.0,1.0,130.9,132.0,129.27,129.96,78522.0
2016-09-16,134.16,134.82,130.25,130.7,154625.0,0.0,1.0,134.16,134.82,130.25,130.7,154625.0
2016-09-15,133.65,135.265,132.53,133.23,104029.0,0.0,1.0,133.65,135.265,132.53,133.23,104029.0
2016-09-14,138.58,138.975,133.91,134.16,82947.0,0.0,1.0,138.58,138.975,133.91,134.16,82947.0
2016-09-13,141.14,142.59,138.19,138.66,101615.0,0.0,1.0,141.14,142.59,138.19,138.66,101615.0
2016-09-12,141.62,142.34,138.9,141.82,147236.0,0.0,1.0,141.62,142.34,138.9,141.82,147236.0
2016-09-09,144.4,146.18,141.92,142.13,84086.0,0.0,1.0,144.4,146.18,141.92,142.13,84086.0
2016-09-08,145.42,147.52,144.35,146.03,83635.0,0.0,1.0,145.42,147.52,144.35,146.03,83635.0
2016-09-07,136.48,147.55,136.41,146.01,178184.0,0.0,1.0,136.48,147.55,136.41,146.01,178184.0
2016-09-06,136.14,136.15,133.79,134.99,113250.0,0.0,1.0,136.14,136.15,133.79,134.99,113250.0
2016-09-02,136.55,137.42,135.0,136.37,88946.0,0.0,1.0,136.55,137.42,135.0,136.37,88946.0
2016-09-01,137.84,139.03,135.8,136.41,99001.0,0.0,1.0,137.84,139.03,135.8,136.41,99001.0
2016-08-31,139.89,139.89,136.07,138.24,88587.0,0.0,1.0,139.89,139.89,136.07,138.24,88587.0
2016-08-30,135.25,139.56,135.25,137.68,118667.0,0.0,1.0,135.25,139.56,135.25,137.68,118667.0
2016-08-29,136.81,137.37,134.08,135.57,100495.0,0.0,1.0,136.81,137.37,134.08,135.57,100495.0
2016-08-26,136.63,136.78,135.621,136.37,158562.0,0.0,1.0,136.63,136.78,135.621,136.37,158562.0
2016-08-25,133.75,136.48,133.75,136.38,131596.0,0.0,1.0,133.75,136.48,133.75,136.38,131596.0
2016-08-24,132.38,135.02,132.1,134.37,90161.0,0.0,1.0,132.38,135.02,132.1,134.37,90161.0
2016-08-23,131.18,133.18,131.0001,132.93,99785.0,0.0,1.0,131.18,133.18,131.0001,132.93,99785.0
2016-08-22,132.65,133.05,131.02,131.06,153495.0,0.0,1.0,132.65,133.05,131.02,131.06,153495.0
2016-08-19,131.35,135.12,130.94,133.55,172779.0,0.0,1.0,131.35,135.12,130.94,133.55,172779.0
2016-08-18,129.66,132.13,129.085,132.03,143929.0,0.0,1.0,129.66,132.13,129.085,132.03,143929.0
2016-08-17,129.13,130.18,127.994,130.05,117508.0,0.7,1.0,129.13,130.18,127.994,130.05,117508.0
2016-08-16,128.58,129.94,128.0,129.62,147263.0,0.0,1.0,127.89161759082,129.24433652008,127.31472275335,128.92604971319,147263.0
2016-08-15,127.3,129.52,126.61,128.5,113233.0,0.0,1.0,126.61847036329,128.82658508604,125.93216443595,127.8120458891,113233.0
2016-08-12,126.39,127.77,125.49,126.63,109783.0,0.0,1.0,125.71334225621,127.0859541109,124.81816061185,125.95205736138,109783.0
2016-08-11,127.01,128.0,125.15,126.67,114200.0,0.0,1.0,126.33002294455,127.31472275335,124.47998087954,125.99184321224,114200.0
2016-08-10,125.2,125.99,123.74,125.9,90273.0,0.0,1.0,124.52971319312,125.31548374761,123.07752963671,125.22596558317,90273.0
2016-08-09,127.88,128.29,123.93,125.17,151288.0,0.0,1.0,127.19536520076,127.60317017208,123.2665124283,124.49987380497,151288.0
2016-08-08,129.87,130.435,127.24,128.28,181766.0,0.0,1.0,129.17471128107,129.73668642447,126.558791587,127.59322370937,181766.0
2016-08-05,126.03,129.64,126.03,129.05,152178.0,0.0,1.0,125.35526959847,128.94594263862,125.35526959847,128.35910133843,152178.0
2016-08-04,123.32,125.65,122.83,124.89,229324.0,0.0,1.0,122.65977820268,124.9773040153,122.17240152964,124.22137284895,229324.0
2016-08-03,123.5,124.52,121.7,122.82,194388.0,0.0,1.0,122.83881453155,123.85335372849,121.04845124283,122.16245506692,194388.0
2016-08-02,127.83,130.035,122.19,123.24,327212.0,0.0,1.0,127.14563288719,129.33882791587,121.53582791587,122.58020650096,327212.0
2016-08-01,128.77,130.4512,125.805,128.26,261462.0,0.0,1.0,128.08060038241,129.75279969407,125.13147418738,127.57333078394,261462.0
2016-07-29,135.03,136.98,128.86,129.77,309801.0,0.0,1.0,134.30708604207,136.24664627151,128.17011854685,129.07524665392,309801.0
2016-07-28,134.66,135.515,132.95,134.9,245312.0,0.0,1.0,133.93906692161,134.78948948375,132.23822179732,134.17778202677,245312.0
2016-07-27,141.13,141.34,133.885,134.2,409502.0,0.0,1.0,140.37442829828,140.5833040153,133.16821606119,133.48152963671,409502.0
2016-07-26,141.3,141.85,140.12,140.6,184101.0,0.0,1.0,140.54351816444,141.09057361377,139.36983556405,139.84726577438,184101.0
2016-07-25,142.45,143.54,140.94,141.39,108926.0,0.0,1.0,141.68736137667,142.77152581262,140.18544550669,140.63303632887,108926.0
2016-07-22,141.0,143.78,140.68,142.81,288601.0,0.0,1.0,140.24512428298,143.01024091778,139.9268374761,142.04543403442,288601.0
2016-07-21,140.74,140.74,137.445,139.98,608784.0,0.0,1.0,139.98651625239,139.98651625239,136.70915678776,139.23058508604,608784.0
2016-07-20,145.06,145.85,141.29,141.45,166695.0,0.0,1.0,144.28338814532,145.06915869981,140.53357170172,140.69271510516,166695.0
2016-07-19,146.67,147.3,144.26,144.4,134288.0,0.0,1.0,145.88476864245,146.5113957935,143.48767112811,143.62692160612,134288.0
2016-07-18,148.03,148.441,147.1101,147.26,138567.0,0.0,1.0,147.2374875717,147.64628718929,146.32251246654,146.47160994264,138567.0
