Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,9.02,9.09,8.81,8.99,1502782.0,0.0,1.0,9.02,9.09,8.81,8.99,1502782.0
2016-11-16,8.6,8.92,8.6,8.7,1164269.0,0.0,1.0,8.6,8.92,8.6,8.7,1164269.0
2016-11-15,8.54,8.73,8.44,8.64,604699.0,0.0,1.0,8.54,8.73,8.44,8.64,604699.0
2016-11-14,8.57,8.67,8.31,8.5,772532.0,0.0,1.0,8.57,8.67,8.31,8.5,772532.0
2016-11-11,8.18,8.51,8.05,8.46,588715.0,0.0,1.0,8.18,8.51,8.05,8.46,588715.0
2016-11-10,8.35,8.57,8.08,8.21,829450.0,0.0,1.0,8.35,8.57,8.08,8.21,829450.0
2016-11-09,7.04,8.24,7.04,8.23,1194706.0,0.0,1.0,7.04,8.24,7.04,8.23,1194706.0
2016-11-08,7.12,7.25,7.02,7.12,487205.0,0.0,1.0,7.12,7.25,7.02,7.12,487205.0
2016-11-07,7.33,7.38,7.11,7.15,713399.0,0.0,1.0,7.33,7.38,7.11,7.15,713399.0
2016-11-04,7.28,7.42,7.16,7.17,493586.0,0.0,1.0,7.28,7.42,7.16,7.17,493586.0
2016-11-03,7.08,7.32,7.08,7.29,931925.0,0.0,1.0,7.08,7.32,7.08,7.29,931925.0
2016-11-02,7.56,7.58,6.98,7.09,1201013.0,0.0,1.0,7.56,7.58,6.98,7.09,1201013.0
2016-11-01,8.21,8.34,7.6,7.65,915671.0,0.0,1.0,8.21,8.34,7.6,7.65,915671.0
2016-10-31,8.0,8.15,7.985,8.06,620119.0,0.0,1.0,8.0,8.15,7.985,8.06,620119.0
2016-10-28,8.15,8.29,7.99,8.01,743279.0,0.0,1.0,8.15,8.29,7.99,8.01,743279.0
2016-10-27,8.25,8.48,8.09,8.1,673432.0,0.0,1.0,8.25,8.48,8.09,8.1,673432.0
2016-10-26,8.17,8.31,8.05,8.22,924488.0,0.0,1.0,8.17,8.31,8.05,8.22,924488.0
2016-10-25,8.13,8.4,8.13,8.24,534295.0,0.0,1.0,8.13,8.4,8.13,8.24,534295.0
2016-10-24,8.3,8.425,7.964,8.17,916307.0,0.0,1.0,8.3,8.425,7.964,8.17,916307.0
2016-10-21,8.1,8.395,8.04,8.28,681609.0,0.0,1.0,8.1,8.395,8.04,8.28,681609.0
2016-10-20,8.1,8.28,8.06,8.14,532635.0,0.0,1.0,8.1,8.28,8.06,8.14,532635.0
2016-10-19,8.2,8.35,8.0,8.15,897925.0,0.0,1.0,8.2,8.35,8.0,8.15,897925.0
2016-10-18,8.56,8.655,8.12,8.21,1503073.0,0.0,1.0,8.56,8.655,8.12,8.21,1503073.0
2016-10-17,8.65,8.65,8.185,8.43,969055.0,0.0,1.0,8.65,8.65,8.185,8.43,969055.0
2016-10-14,8.41,8.61,8.04,8.45,2784642.0,0.0,1.0,8.41,8.61,8.04,8.45,2784642.0
2016-10-13,8.8,8.83,8.56,8.6,907133.0,0.0,1.0,8.8,8.83,8.56,8.6,907133.0
2016-10-12,9.02,9.02,8.72,8.92,824224.0,0.0,1.0,9.02,9.02,8.72,8.92,824224.0
2016-10-11,9.27,9.29,8.81,9.07,2085309.0,0.0,1.0,9.27,9.29,8.81,9.07,2085309.0
2016-10-10,8.49,8.81,8.49,8.74,701181.0,0.0,1.0,8.49,8.81,8.49,8.74,701181.0
2016-10-07,8.48,8.51,8.27,8.36,881739.0,0.0,1.0,8.48,8.51,8.27,8.36,881739.0
2016-10-06,8.58,8.63,8.36,8.44,832102.0,0.0,1.0,8.58,8.63,8.36,8.44,832102.0
2016-10-05,8.59,8.77,8.51,8.56,1325061.0,0.0,1.0,8.59,8.77,8.51,8.56,1325061.0
2016-10-04,8.17,8.56,8.15,8.48,1428241.0,0.0,1.0,8.17,8.56,8.15,8.48,1428241.0
2016-10-03,8.06,8.19,7.98,8.16,1201777.0,0.0,1.0,8.06,8.19,7.98,8.16,1201777.0
2016-09-30,7.74,8.11,7.62,8.06,995598.0,0.0,1.0,7.74,8.11,7.62,8.06,995598.0
2016-09-29,8.21,8.25,7.615,7.7,1778307.0,0.0,1.0,8.21,8.25,7.615,7.7,1778307.0
2016-09-28,8.01,8.195,7.82,8.18,996502.0,0.0,1.0,8.01,8.195,7.82,8.18,996502.0
2016-09-27,7.82,8.04,7.75,7.98,725221.0,0.0,1.0,7.82,8.04,7.75,7.98,725221.0
2016-09-26,8.33,8.48,7.97,7.97,790076.0,0.0,1.0,8.33,8.48,7.97,7.97,790076.0
2016-09-23,8.4,8.55,8.205,8.31,536428.0,0.0,1.0,8.4,8.55,8.205,8.31,536428.0
2016-09-22,8.52,8.66,8.45,8.47,845119.0,0.0,1.0,8.52,8.66,8.45,8.47,845119.0
2016-09-21,8.48,8.58,8.26,8.4,758304.0,0.0,1.0,8.48,8.58,8.26,8.4,758304.0
2016-09-20,8.61,8.67,8.42,8.42,825055.0,0.0,1.0,8.61,8.67,8.42,8.42,825055.0
2016-09-19,8.6,8.74,8.52,8.64,1085400.0,0.0,1.0,8.6,8.74,8.52,8.64,1085400.0
2016-09-16,8.4,8.7,8.4,8.52,1134610.0,0.0,1.0,8.4,8.7,8.4,8.52,1134610.0
2016-09-15,8.27,8.67,8.27,8.49,1572035.0,0.0,1.0,8.27,8.67,8.27,8.49,1572035.0
2016-09-14,8.32,8.51,8.101,8.22,1599768.0,0.0,1.0,8.32,8.51,8.101,8.22,1599768.0
2016-09-13,7.99,8.32,7.97,8.17,1345597.0,0.0,1.0,7.99,8.32,7.97,8.17,1345597.0
2016-09-12,7.91,8.225,7.74,8.2,1996796.0,0.0,1.0,7.91,8.225,7.74,8.2,1996796.0
2016-09-09,8.17,8.27,7.98,8.01,1423459.0,0.0,1.0,8.17,8.27,7.98,8.01,1423459.0
2016-09-08,8.28,8.3798,8.16,8.28,1536752.0,0.0,1.0,8.28,8.3798,8.16,8.28,1536752.0
2016-09-07,8.23,8.38,8.12,8.17,1684200.0,0.0,1.0,8.23,8.38,8.12,8.17,1684200.0
2016-09-06,8.18,8.33,8.12,8.21,1347435.0,0.0,1.0,8.18,8.33,8.12,8.21,1347435.0
2016-09-02,8.12,8.28,8.07,8.16,778739.0,0.0,1.0,8.12,8.28,8.07,8.16,778739.0
2016-09-01,8.19,8.26,7.935,8.0,1196342.0,0.0,1.0,8.19,8.26,7.935,8.0,1196342.0
2016-08-31,8.32,8.47,8.04,8.18,1743847.0,0.0,1.0,8.32,8.47,8.04,8.18,1743847.0
2016-08-30,8.16,8.38,7.83,8.33,2182123.0,0.0,1.0,8.16,8.38,7.83,8.33,2182123.0
2016-08-29,7.63,8.41,7.62,8.17,4617376.0,0.0,1.0,7.63,8.41,7.62,8.17,4617376.0
2016-08-26,7.33,7.54,7.24,7.53,1835196.0,0.0,1.0,7.33,7.54,7.24,7.53,1835196.0
2016-08-25,7.28,7.36,7.055,7.2,1008456.0,0.0,1.0,7.28,7.36,7.055,7.2,1008456.0
2016-08-24,7.25,7.415,7.25,7.38,774595.0,0.0,1.0,7.25,7.415,7.25,7.38,774595.0
2016-08-23,7.21,7.39,7.21,7.31,922364.0,0.0,1.0,7.21,7.39,7.21,7.31,922364.0
2016-08-22,7.37,7.47,7.19,7.25,1121160.0,0.0,1.0,7.37,7.47,7.19,7.25,1121160.0
2016-08-19,7.31,7.55,7.24,7.45,972281.0,0.0,1.0,7.31,7.55,7.24,7.45,972281.0
