Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,30.39,30.8463,30.0,30.73,17551988.0,0.0,1.0,30.39,30.8463,30.0,30.73,17551988.0
2016-11-16,30.0,30.3,29.54,30.02,14495889.0,0.0,1.0,30.0,30.3,29.54,30.02,14495889.0
2016-11-15,29.31,29.64,29.1,29.61,12076469.0,0.0,1.0,29.31,29.64,29.1,29.61,12076469.0
2016-11-14,29.4,29.5,28.93,28.975,11432267.0,0.0,1.0,29.4,29.5,28.93,28.975,11432267.0
2016-11-11,28.5,28.84,28.24,28.82,12713190.0,0.0,1.0,28.5,28.84,28.24,28.82,12713190.0
2016-11-10,29.21,29.9,28.1,28.18,14565079.0,0.0,1.0,29.21,29.9,28.1,28.18,14565079.0
2016-11-09,29.33,29.33,28.36,29.13,12133334.0,0.0,1.0,29.33,29.33,28.36,29.13,12133334.0
2016-11-08,29.34,29.67,29.11,29.51,7195158.0,0.0,1.0,29.34,29.67,29.11,29.51,7195158.0
2016-11-07,28.67,29.35,28.63,29.33,11322457.0,0.0,1.0,28.67,29.35,28.63,29.33,11322457.0
2016-11-04,28.05,28.64,28.02,28.22,8665773.0,0.0,1.0,28.05,28.64,28.02,28.22,8665773.0
2016-11-03,28.52,28.59,28.12,28.27,12013760.0,0.0,1.0,28.52,28.59,28.12,28.27,12013760.0
2016-11-02,28.74,29.0875,28.47,28.59,9872695.0,0.0,1.0,28.74,29.0875,28.47,28.59,9872695.0
2016-11-01,29.11,29.23,28.51,28.9,10186090.0,0.0,1.0,29.11,29.23,28.51,28.9,10186090.0
2016-10-31,28.73,29.165,28.71,29.08,10638438.0,0.0,1.0,28.73,29.165,28.71,29.08,10638438.0
2016-10-28,28.96,29.175,28.57,28.66,11501638.0,0.0,1.0,28.96,29.175,28.57,28.66,11501638.0
2016-10-27,29.07,29.3,28.67,28.86,9088539.0,0.0,1.0,29.07,29.3,28.67,28.86,9088539.0
2016-10-26,28.71,29.02,28.6181,28.85,7244232.0,0.0,1.0,28.71,29.02,28.6181,28.85,7244232.0
2016-10-25,29.08,29.3,28.75,28.84,9585093.0,0.0,1.0,29.08,29.3,28.75,28.84,9585093.0
2016-10-24,28.71,29.16,28.65,29.15,11902785.0,0.0,1.0,28.71,29.16,28.65,29.15,11902785.0
2016-10-21,28.26,28.56,28.05,28.425,9331791.0,0.0,1.0,28.26,28.56,28.05,28.425,9331791.0
2016-10-20,28.22,28.45,28.02,28.385,11096992.0,0.0,1.0,28.22,28.45,28.02,28.385,11096992.0
2016-10-19,27.98,28.43,27.95,28.32,11600976.0,0.0,1.0,27.98,28.43,27.95,28.32,11600976.0
2016-10-18,28.24,28.34,27.955,28.02,11924928.0,0.0,1.0,28.24,28.34,27.955,28.02,11924928.0
2016-10-17,28.65,28.65,27.74,27.8,11001202.0,0.0,1.0,28.65,28.65,27.74,27.8,11001202.0
2016-10-14,27.95,28.405,27.82,28.07,11991941.0,0.0,1.0,27.95,28.405,27.82,28.07,11991941.0
2016-10-13,28.25,28.26,27.56,27.86,16962481.0,0.0,1.0,28.25,28.26,27.56,27.86,16962481.0
2016-10-12,28.66,28.8,28.26,28.64,11665290.0,0.0,1.0,28.66,28.8,28.26,28.64,11665290.0
2016-10-11,29.37,29.39,28.305,28.64,19782791.0,0.0,1.0,29.37,29.39,28.305,28.64,19782791.0
2016-10-10,29.97,30.0,29.35,29.38,10202853.0,0.0,1.0,29.97,30.0,29.35,29.38,10202853.0
2016-10-07,29.83,29.91,29.475,29.75,10331117.0,0.0,1.0,29.83,29.91,29.475,29.75,10331117.0
2016-10-06,30.05,30.0698,29.44,29.89,12977351.0,0.0,1.0,30.05,30.0698,29.44,29.89,12977351.0
2016-10-05,29.74,30.175,29.59,29.93,7916184.0,0.0,1.0,29.74,30.175,29.59,29.93,7916184.0
2016-10-04,29.9,30.13,29.52,29.61,8401484.0,0.0,1.0,29.9,30.13,29.52,29.61,8401484.0
2016-10-03,30.18,30.4,29.8,29.92,9718735.0,0.0,1.0,30.18,30.4,29.8,29.92,9718735.0
2016-09-30,29.68,30.21,29.66,30.15,12851840.0,0.0,1.0,29.68,30.21,29.66,30.15,12851840.0
2016-09-29,29.66,29.82,29.3,29.58,11382317.0,0.0,1.0,29.66,29.82,29.3,29.58,11382317.0
2016-09-28,29.73,29.98,29.47,29.74,14002604.0,0.0,1.0,29.73,29.98,29.47,29.74,14002604.0
2016-09-27,29.35,29.759,29.26,29.64,17179233.0,0.0,1.0,29.35,29.759,29.26,29.64,17179233.0
2016-09-26,29.49,29.62,29.2236,29.35,11916633.0,0.0,1.0,29.49,29.62,29.2236,29.35,11916633.0
2016-09-23,30.33,30.42,29.61,29.66,13838322.0,0.0,1.0,30.33,30.42,29.61,29.66,13838322.0
2016-09-22,30.76,31.07,30.17,30.285,15511121.0,0.0,1.0,30.76,31.07,30.17,30.285,15511121.0
2016-09-21,30.43,30.67,30.0,30.57,21208821.0,0.0,1.0,30.43,30.67,30.0,30.57,21208821.0
2016-09-20,30.6,30.709,30.19,30.39,12814302.0,0.0,1.0,30.6,30.709,30.19,30.39,12814302.0
2016-09-19,30.44,30.78,30.27,30.3,13509938.0,0.0,1.0,30.44,30.78,30.27,30.3,13509938.0
2016-09-16,30.38,30.44,29.89,30.07,15696028.0,0.0,1.0,30.38,30.44,29.89,30.07,15696028.0
2016-09-15,29.58,30.385,29.52,30.15,15333627.0,0.0,1.0,29.58,30.385,29.52,30.15,15333627.0
2016-09-14,29.38,29.5,29.27,29.43,11867537.0,0.0,1.0,29.38,29.5,29.27,29.43,11867537.0
2016-09-13,29.29,29.62,29.085,29.38,12828409.0,0.0,1.0,29.29,29.62,29.085,29.38,12828409.0
2016-09-12,28.64,29.77,28.53,29.59,15271214.0,0.0,1.0,28.64,29.77,28.53,29.59,15271214.0
2016-09-09,29.5,29.65,28.67,28.86,14351240.0,0.0,1.0,29.5,29.65,28.67,28.86,14351240.0
2016-09-08,29.86,29.965,29.64,29.79,7837115.0,0.0,1.0,29.86,29.965,29.64,29.79,7837115.0
2016-09-07,30.03,30.25,29.87,29.91,11204445.0,0.0,1.0,30.03,30.25,29.87,29.91,11204445.0
2016-09-06,30.04,30.22,29.79,29.98,14599128.0,0.0,1.0,30.04,30.22,29.79,29.98,14599128.0
2016-09-02,30.39,30.41,29.82,30.02,11503450.0,0.0,1.0,30.39,30.41,29.82,30.02,11503450.0
2016-09-01,29.94,30.29,29.825,30.29,10645392.0,0.0,1.0,29.94,30.29,29.825,30.29,10645392.0
2016-08-31,29.89,29.91,29.55,29.84,10254780.0,0.0,1.0,29.89,29.91,29.55,29.84,10254780.0
2016-08-30,30.19,30.2,29.7,29.99,12024750.0,0.0,1.0,30.19,30.2,29.7,29.99,12024750.0
2016-08-29,29.92,30.27,29.6,30.05,9283258.0,0.0,1.0,29.92,30.27,29.6,30.05,9283258.0
2016-08-26,29.78,30.155,29.7,29.97,12154149.0,0.0,1.0,29.78,30.155,29.7,29.97,12154149.0
2016-08-25,29.63,29.96,29.59,29.65,10220267.0,0.0,1.0,29.63,29.96,29.59,29.65,10220267.0
2016-08-24,29.95,30.0,29.61,29.7,11381621.0,0.0,1.0,29.95,30.0,29.61,29.7,11381621.0
2016-08-23,29.25,30.15,29.2,29.95,22852022.0,0.1,1.0,29.25,30.15,29.2,29.95,22852022.0
2016-08-22,29.5,29.53,28.87,29.15,29112225.0,0.0,1.0,29.401830282862,29.431730449251,28.773926788686,29.052995008319,29112225.0
2016-08-19,28.985,29.74,28.64,29.64,53303152.0,0.0,1.0,28.888544093178,29.641031613977,28.544692179701,29.541364392679,53303152.0
2016-08-18,27.6,27.71,27.256,27.68,18041570.0,0.0,1.0,27.508153078203,27.617787021631,27.165297836938,27.587886855241,18041570.0
2016-08-17,27.43,27.43,27.0,27.29,9960483.0,0.0,1.0,27.338718801997,27.338718801997,26.910149750416,27.19918469218,9960483.0
2016-08-16,27.43,27.5224,27.21,27.22,6498319.0,0.0,1.0,27.338718801997,27.430811314476,27.119450915141,27.129417637271,6498319.0
2016-08-15,27.4,27.75,27.35,27.47,10552652.0,0.0,1.0,27.308818635607,27.65765391015,27.258985024958,27.378585690516,10552652.0
2016-08-12,26.86,27.22,26.86,27.18,9753564.0,0.0,1.0,26.770615640599,27.129417637271,26.770615640599,27.089550748752,9753564.0
2016-08-11,26.56,26.99,26.4111,26.82,7508572.0,0.0,1.0,26.471613976705,26.900183028286,26.323209484193,26.73074875208,7508572.0
2016-08-10,26.8,26.86,26.37,26.41,6203279.0,0.0,1.0,26.71081530782,26.770615640599,26.28224625624,26.322113144759,6203279.0
2016-08-09,26.95,26.95,26.71,26.79,6509023.0,0.0,1.0,26.860316139767,26.860316139767,26.621114808652,26.700848585691,6509023.0
2016-08-08,26.85,26.92,26.72,26.83,5371401.0,0.0,1.0,26.760648918469,26.830415973378,26.631081530782,26.74071547421,5371401.0
2016-08-05,26.5,26.87,26.38,26.81,6914596.0,0.0,1.0,26.411813643927,26.780582362729,26.292212978369,26.72078202995,6914596.0
2016-08-04,26.2,26.37,26.14,26.37,4926186.0,0.0,1.0,26.112811980033,26.28224625624,26.053011647255,26.28224625624,4926186.0
2016-08-03,25.9,26.22,25.86,26.2,5615640.0,0.0,1.0,25.81381031614,26.132745424293,25.773943427621,26.112811980033,5615640.0
2016-08-02,26.23,26.25,25.68,25.97,10462246.0,0.0,1.0,26.142712146423,26.162645590682,25.594542429285,25.883577371048,10462246.0
2016-08-01,26.41,26.46,26.19,26.27,6174511.0,0.0,1.0,26.322113144759,26.371946755408,26.102845257903,26.182579034942,6174511.0
2016-07-29,26.58,26.68,26.16,26.29,8618242.0,0.0,1.0,26.491547420965,26.591214642263,26.072945091514,26.202512479201,8618242.0
2016-07-28,26.82,26.95,26.58,26.62,8239113.0,0.0,1.0,26.73074875208,26.860316139767,26.491547420965,26.531414309484,8239113.0
2016-07-27,26.88,27.1125,26.62,26.9,10220850.0,0.0,1.0,26.790549084859,27.022275374376,26.531414309484,26.810482529118,10220850.0
2016-07-26,26.66,26.83,26.46,26.81,11876967.0,0.0,1.0,26.571281198003,26.74071547421,26.371946755408,26.72078202995,11876967.0
2016-07-25,26.44,26.579,26.25,26.49,6859553.0,0.0,1.0,26.352013311148,26.490550748752,26.162645590682,26.401846921797,6859553.0
2016-07-22,26.39,26.41,26.08,26.37,5201842.0,0.0,1.0,26.302179700499,26.322113144759,25.993211314476,26.28224625624,5201842.0
2016-07-21,26.61,26.66,26.06,26.23,14575686.0,0.0,1.0,26.521447587354,26.571281198003,25.973277870216,26.142712146423,14575686.0
2016-07-20,26.57,26.765,26.42,26.65,9362841.0,0.0,1.0,26.481580698835,26.675931780366,26.332079866889,26.561314475874,9362841.0
2016-07-19,26.5,26.82,26.32,26.39,15455819.0,0.0,1.0,26.411813643927,26.73074875208,26.232412645591,26.302179700499,15455819.0
2016-07-18,26.53,26.64,26.36,26.6092,13096517.0,0.0,1.0,26.441713810316,26.551347753744,26.27227953411,26.520650249584,13096517.0
2016-07-15,26.15,26.34,25.95,26.34,10805252.0,0.0,1.0,26.062978369384,26.25234608985,25.863643926789,26.25234608985,10805252.0
2016-07-14,26.08,26.24,25.74,26.1,14298347.0,0.0,1.0,25.993211314476,26.152678868552,25.654342762063,26.013144758735,14298347.0
2016-07-13,25.49,25.97,25.42,25.91,15425114.0,0.0,1.0,25.405174708819,25.883577371048,25.33540765391,25.82377703827,15425114.0
2016-07-12,25.32,25.46,25.13,25.41,10562769.0,0.0,1.0,25.235740432612,25.375274542429,25.046372712146,25.32544093178,10562769.0
2016-07-11,25.0,25.3,24.998,25.15,10546323.0,0.0,1.0,24.916805324459,25.215806988353,24.914811980033,25.066306156406,10546323.0
2016-07-08,24.5,24.97,24.43,24.93,13442259.0,0.0,1.0,24.41846921797,24.88690515807,24.348702163062,24.847038269551,13442259.0
2016-07-07,24.02,24.46,24.0,24.29,10001970.0,0.0,1.0,23.94006655574,24.378602329451,23.920133111481,24.209168053245,10001970.0
2016-07-06,23.62,24.02,23.52,24.0,9563180.0,0.0,1.0,23.541397670549,23.94006655574,23.441730449251,23.920133111481,9563180.0
2016-07-05,23.75,23.87,23.49,23.84,8611464.0,0.0,1.0,23.670965058236,23.790565723794,23.411830282862,23.760665557404,8611464.0
2016-07-01,23.77,24.02,23.74,23.89,8545738.0,0.0,1.0,23.690898502496,23.94006655574,23.660998336106,23.810499168053,8545738.0
2016-06-30,23.71,23.98,23.465,23.97,10133276.0,0.0,1.0,23.631098169717,23.900199667221,23.386913477537,23.890232945092,10133276.0
2016-06-29,23.25,23.71,23.18,23.56,13055874.0,0.0,1.0,23.172628951747,23.631098169717,23.102861896839,23.48159733777,13055874.0
2016-06-28,22.75,22.97,22.56,22.94,13280187.0,0.0,1.0,22.674292845258,22.893560732113,22.484925124792,22.863660565724,13280187.0
2016-06-27,23.04,23.17,22.17,22.3,20288427.0,0.0,1.0,22.963327787022,23.092895174709,22.09622296173,22.225790349418,20288427.0
2016-06-24,23.5,23.96,23.145,23.23,29958723.0,0.0,1.0,23.421797004992,23.880266222962,23.067978369384,23.152695507488,29958723.0
2016-06-23,24.34,24.53,24.13,24.52,10701989.0,0.0,1.0,24.259001663894,24.448369384359,24.049700499168,24.43840266223,10701989.0
2016-06-22,23.83,24.27,23.78,23.97,10970409.0,0.0,1.0,23.750698835275,24.189234608985,23.700865224626,23.890232945092,10970409.0
2016-06-21,23.69,23.92,23.64,23.83,7639339.0,0.0,1.0,23.611164725458,23.840399334443,23.561331114809,23.750698835275,7639339.0
2016-06-20,23.87,23.96,23.63,23.63,12089459.0,0.0,1.0,23.790565723794,23.880266222962,23.551364392679,23.551364392679,12089459.0
2016-06-17,23.65,23.65,23.36,23.43,20961351.0,0.0,1.0,23.571297836938,23.571297836938,23.282262895175,23.352029950083,20961351.0
2016-06-16,23.52,23.745,23.32,23.695,12790216.0,0.0,1.0,23.441730449251,23.665981697171,23.242396006656,23.616148086522,12790216.0
2016-06-15,23.84,23.95,23.52,23.7,13719221.0,0.0,1.0,23.760665557404,23.870299500832,23.441730449251,23.621131447587,13719221.0
2016-06-14,23.72,23.88,23.46,23.74,14222983.0,0.0,1.0,23.641064891847,23.800532445923,23.381930116473,23.660998336106,14222983.0
2016-06-13,23.98,24.15,23.85,23.94,11096966.0,0.0,1.0,23.900199667221,24.069633943428,23.770632279534,23.860332778702,11096966.0
2016-06-10,24.4,24.45,23.96,24.07,12232487.0,0.0,1.0,24.318801996672,24.368635607321,23.880266222962,23.989900166389,12232487.0
2016-06-09,24.03,24.46,23.91,24.42,11467215.0,0.0,1.0,23.95003327787,24.378602329451,23.830432612313,24.338735440932,11467215.0
2016-06-08,24.2,24.3,24.09,24.23,7764993.0,0.0,1.0,24.119467554077,24.219134775374,24.009833610649,24.149367720466,7764993.0
2016-06-07,24.31,24.36,24.11,24.17,10283272.0,0.0,1.0,24.229101497504,24.278935108153,24.029767054908,24.089567387687,10283272.0
2016-06-06,24.42,24.53,24.095,24.17,12595577.0,0.0,1.0,24.338735440932,24.448369384359,24.014816971714,24.089567387687,12595577.0
2016-06-03,24.41,24.47,24.11,24.39,16008468.0,0.0,1.0,24.328768718802,24.388569051581,24.029767054908,24.308835274542,16008468.0
2016-06-02,24.5,24.65,24.44,24.52,16907337.0,0.0,1.0,24.41846921797,24.567970049917,24.358668885191,24.43840266223,16907337.0
2016-06-01,24.3,24.48,24.23,24.38,10288898.0,0.0,1.0,24.219134775374,24.39853577371,24.149367720466,24.298868552413,10288898.0
2016-05-31,24.32,24.465,24.1,24.42,16622037.0,0.0,1.0,24.239068219634,24.383585690516,24.019800332779,24.338735440932,16622037.0
2016-05-27,23.86,24.58,23.8,24.44,18262000.0,0.0,1.0,23.780599001664,24.498202995008,23.720798668885,24.358668885191,18262000.0
2016-05-26,23.67,23.87,23.6,23.73,12005916.0,0.0,1.0,23.591231281198,23.790565723794,23.52146422629,23.651031613977,12005916.0
2016-05-25,23.79,23.88,23.3842,23.66,14320323.0,0.0,1.0,23.710831946755,23.800532445923,23.306382362729,23.581264559068,14320323.0
2016-05-24,22.93,23.49,22.92,23.49,18470575.0,0.1,1.0,22.853693843594,23.411830282862,22.843727121464,23.411830282862,18470575.0
2016-05-23,22.88,23.02,22.77,22.9,24790573.0,0.0,1.0,22.707192745735,22.846135358689,22.598023549842,22.727041690442,24790573.0
2016-05-20,21.72,22.7775,21.7,22.66,53216087.0,0.0,1.0,21.555953952682,22.605466904107,21.536105007974,22.488854353949,53216087.0
2016-05-19,19.79,20.04,19.72,19.91,11264627.0,0.0,1.0,19.640530788378,19.888642597226,19.571059481901,19.759624456625,11264627.0
2016-05-18,19.64,20.1,19.59,19.92,9925068.0,0.0,1.0,19.491663703069,19.948189431349,19.4420413413,19.769548928979,9925068.0
2016-05-17,19.8,19.98,19.59,19.64,7676039.0,0.0,1.0,19.650455260732,19.829095763102,19.4420413413,19.491663703069,7676039.0
2016-05-16,19.54,19.98,19.54,19.85,7663011.0,0.0,1.0,19.39241897953,19.829095763102,19.39241897953,19.700077622501,7663011.0
2016-05-13,19.58,19.715,19.5211,19.61,10092013.0,0.0,1.0,19.432116868946,19.566097245724,19.373661726781,19.461890286008,10092013.0
2016-05-12,20.14,20.18,19.46,19.63,11703286.0,0.0,1.0,19.987887320765,20.02758521018,19.313023200699,19.481739230716,11703286.0
2016-05-11,19.89,20.16,19.84,20.01,20434615.0,0.0,1.0,19.739775511917,20.007736265472,19.690153150148,19.858869180164,20434615.0
2016-05-10,19.9,20.0,19.79,19.98,11599571.0,0.0,1.0,19.749699984271,19.84894470781,19.640530788378,19.829095763102,11599571.0
2016-05-09,19.87,20.009,19.8,19.89,5556042.0,0.0,1.0,19.719926567209,19.857876732929,19.650455260732,19.739775511917,5556042.0
2016-05-06,19.75,19.9,19.63,19.87,7034795.0,0.0,1.0,19.600832898962,19.749699984271,19.481739230716,19.719926567209,7034795.0
2016-05-05,19.89,19.975,19.7,19.85,9199100.0,0.0,1.0,19.739775511917,19.824133526925,19.551210537193,19.700077622501,9199100.0
2016-05-04,20.0,20.02,19.71,19.85,11942007.0,0.0,1.0,19.84894470781,19.868793652518,19.561135009547,19.700077622501,11942007.0
2016-05-03,20.11,20.34,19.98,20.1,16579933.0,0.0,1.0,19.958113903703,20.186376767843,19.829095763102,19.948189431349,16579933.0
2016-05-02,20.5,20.65,20.3,20.31,11747039.0,0.0,1.0,20.345168325505,20.494035410814,20.146678878427,20.156603350781,11747039.0
2016-04-29,20.65,20.67,20.1738,20.47,14760630.0,0.0,1.0,20.494035410814,20.513884355522,20.021432037321,20.315394908444,14760630.0
2016-04-28,21.26,21.29,20.72,20.81,10698788.0,0.0,1.0,21.099428224402,21.129201641464,20.563506717291,20.652826968476,10698788.0
2016-04-27,21.25,21.515,21.17,21.42,9512579.0,0.0,1.0,21.089503752048,21.352502269427,21.010107973217,21.258219782065,9512579.0
2016-04-26,21.12,21.45,21.0,21.27,9204348.0,0.0,1.0,20.960485611447,21.287993199126,20.841391943201,21.109352696756,9204348.0
2016-04-25,21.02,21.13,20.87,20.94,6738759.0,0.0,1.0,20.861240887908,20.970410083801,20.7123738026,20.781845109077,6738759.0
2016-04-22,20.94,21.26,20.87,21.1,9062469.0,0.0,1.0,20.781845109077,21.099428224402,20.7123738026,20.94063666674,9062469.0
2016-04-21,21.09,21.24,20.85,20.945,8905897.0,0.0,1.0,20.930712194386,21.079579279694,20.692524857892,20.786807345254,8905897.0
2016-04-20,21.13,21.32,20.97,21.14,13523702.0,0.0,1.0,20.970410083801,21.158975058525,20.811618526139,20.980334556155,13523702.0
2016-04-19,21.38,21.515,21.17,21.2,12187135.0,0.0,1.0,21.218521892649,21.352502269427,21.010107973217,21.039881390279,12187135.0
2016-04-18,21.4,21.67,21.26,21.56,9264068.0,0.0,1.0,21.238370837357,21.506331590912,21.099428224402,21.397162395019,9264068.0
2016-04-15,21.47,21.505,21.29,21.47,11934603.0,0.0,1.0,21.307842143834,21.342577797073,21.129201641464,21.307842143834,11934603.0
2016-04-14,21.33,21.52,20.72,21.48,17804030.0,0.0,1.0,21.168899530879,21.357464505604,20.563506717291,21.317766616188,17804030.0
2016-04-13,20.96,21.38,20.95,21.31,7925532.0,0.0,1.0,20.801694053785,21.218521892649,20.791769581431,21.149050586172,7925532.0
2016-04-12,21.03,21.04,20.77,20.93,7797587.0,0.0,1.0,20.871165360262,20.881089832616,20.613129079061,20.771920636723,7797587.0
2016-04-11,20.95,21.17,20.92,20.94,13672765.0,0.0,1.0,20.791769581431,21.010107973217,20.761996164369,20.781845109077,13672765.0
2016-04-08,21.04,21.225,20.7,20.79,8575864.0,0.0,1.0,20.881089832616,21.064692571163,20.543657772583,20.632978023768,8575864.0
2016-04-07,20.9,20.99,20.6822,20.8,8852049.0,0.0,1.0,20.742147219661,20.831467470847,20.525992211793,20.642902496122,8852049.0
2016-04-06,20.77,21.12,20.72,21.06,8646585.0,0.0,1.0,20.613129079061,20.960485611447,20.563506717291,20.900938777324,8646585.0
2016-04-05,21.0,21.13,20.88,20.95,8531710.0,0.0,1.0,20.841391943201,20.970410083801,20.722298274954,20.791769581431,8531710.0
2016-04-04,21.35,21.46,21.14,21.17,7867041.0,0.0,1.0,21.188748475587,21.29791767148,20.980334556155,21.010107973217,7867041.0
2016-04-01,20.99,21.42,20.89,21.42,11720349.0,0.0,1.0,20.831467470847,21.258219782065,20.732222747308,21.258219782065,11720349.0
2016-03-31,20.91,21.41,20.89,21.18,14090910.0,0.0,1.0,20.752071692015,21.248295309711,20.732222747308,21.020032445571,14090910.0
2016-03-30,20.81,21.2,20.81,21.04,12315681.0,0.0,1.0,20.652826968476,21.039881390279,20.652826968476,20.881089832616,12315681.0
2016-03-29,20.12,20.675,20.04,20.59,7577717.0,0.0,1.0,19.968038376057,20.518846591699,19.888642597226,20.43448857669,7577717.0
2016-03-28,20.22,20.32,20.15,20.2,5373362.0,0.0,1.0,20.067283099596,20.166527823135,19.997811793119,20.047434154888,5373362.0
2016-03-24,20.28,20.32,19.71,20.15,14005027.0,0.0,1.0,20.126829933719,20.166527823135,19.561135009547,19.997811793119,14005027.0
2016-03-23,20.68,20.76,20.2,20.28,12699150.0,0.0,1.0,20.523808827876,20.603204606707,20.047434154888,20.126829933719,12699150.0
2016-03-22,20.63,20.875,20.5,20.78,7568593.0,0.0,1.0,20.474186466106,20.717336038777,20.345168325505,20.623053551415,7568593.0
2016-03-21,20.46,20.9,20.35,20.73,13961016.0,0.0,1.0,20.30547043609,20.742147219661,20.196301240197,20.573431189645,13961016.0
2016-03-18,20.35,20.53,20.155,20.49,19742301.0,0.0,1.0,20.196301240197,20.374941742567,20.002774029296,20.335243853151,19742301.0
2016-03-17,19.87,20.435,19.87,20.28,13491109.0,0.0,1.0,19.719926567209,20.280659255205,19.719926567209,20.126829933719,13491109.0
2016-03-16,19.91,20.14,19.83,20.05,14169338.0,0.0,1.0,19.759624456625,19.987887320765,19.680228677794,19.89856706958,14169338.0
2016-03-15,19.81,19.94,19.77,19.9,9964465.0,0.0,1.0,19.660379733086,19.789397873687,19.62068184367,19.749699984271,9964465.0
2016-03-14,19.98,20.1,19.84,19.91,11444215.0,0.0,1.0,19.829095763102,19.948189431349,19.690153150148,19.759624456625,11444215.0
2016-03-11,19.7,20.1,19.6,20.035,14465587.0,0.0,1.0,19.551210537193,19.948189431349,19.451965813654,19.883680361049,14465587.0
2016-03-10,19.34,19.64,19.2,19.57,15303855.0,0.0,1.0,19.193929532452,19.491663703069,19.054986919498,19.422192396592,15303855.0
2016-03-09,19.01,19.28,18.94,19.17,9986862.0,0.0,1.0,18.866421944773,19.134382698329,18.796950638296,19.025213502436,9986862.0
2016-03-08,19.26,19.41,18.76,18.78,12363388.0,0.0,1.0,19.114533753621,19.26340083893,18.618310135926,18.638159080634,12363388.0
2016-03-07,19.21,19.5,19.19,19.44,7746084.0,0.0,1.0,19.064911391852,19.352721090115,19.045062447144,19.293174255991,7746084.0
2016-03-04,19.55,19.55,19.27,19.39,8854646.0,0.0,1.0,19.402343451884,19.402343451884,19.124458225975,19.243551894222,8854646.0
2016-03-03,19.4,19.55,19.31,19.45,8080976.0,0.0,1.0,19.253476366576,19.402343451884,19.164156115391,19.303098728345,8080976.0
2016-03-02,19.15,19.51,19.1,19.49,11202029.0,0.0,1.0,19.005364557728,19.362645562469,18.955742195959,19.342796617761,11202029.0
2016-03-01,19.09,19.38,18.99,19.37,9956546.0,0.0,1.0,18.945817723605,19.233627421868,18.846573000066,19.223702949514,9956546.0
2016-02-29,18.98,19.23,18.87,18.87,8732894.0,0.0,1.0,18.836648527712,19.084760336559,18.727479331819,18.727479331819,8732894.0
2016-02-26,19.0,19.015,18.81,19.0,10526877.0,0.0,1.0,18.85649747242,18.87138418095,18.667932497695,18.85649747242,10526877.0
2016-02-25,18.76,18.95,18.58,18.89,10061625.0,0.0,1.0,18.618310135926,18.80687511065,18.439669633555,18.747328276527,10061625.0
2016-02-24,18.28,18.72,18.09,18.69,10500639.0,0.0,1.0,18.141935462938,18.57861224651,17.953370488214,18.548838829448,10500639.0
2016-02-23,18.48,18.725,18.4172,18.51,11946831.0,0.1,1.0,18.340424910016,18.583574482687,18.278099223634,18.370198327078,11946831.0
2016-02-22,18.7,18.82,18.45,18.59,14567740.0,0.0,1.0,18.459038619901,18.577492343665,18.212260028726,18.350456039784,14567740.0
2016-02-19,18.5,18.845,18.23,18.38,34943352.0,0.0,1.0,18.261615746961,18.602170202783,17.995094868492,18.143162023197,34943352.0
2016-02-18,17.17,17.29,17.03,17.17,11945856.0,0.0,1.0,16.948753641909,17.067207365673,16.810557630851,16.948753641909,11945856.0
2016-02-17,16.89,17.27,16.78,17.14,11623082.0,0.0,1.0,16.672361619793,17.047465078379,16.563779039676,16.919140210968,11623082.0
2016-02-16,16.15,16.985,16.15,16.72,19921717.0,0.0,1.0,15.941896989915,16.76613748444,15.941896989915,16.504552177794,19921717.0
2016-02-12,15.8,16.14,15.5,16.06,8642729.0,0.0,1.0,15.596406962269,15.932025846268,15.300272652859,15.853056697092,8642729.0
2016-02-11,15.72,15.94,15.44,15.64,11084692.0,0.0,1.0,15.517437813093,15.734602973328,15.241045790977,15.438468663917,11084692.0
2016-02-10,16.19,16.3,15.95,15.99,12935070.0,0.0,1.0,15.981381564503,16.08996414462,15.744474116975,15.783958691563,12935070.0
2016-02-09,15.98,16.35,15.62,16.1,13294082.0,0.0,1.0,15.774087547916,16.139319862855,15.418726376623,15.89254127168,13294082.0
2016-02-08,16.56,16.57,15.865,16.19,14848912.0,0.0,1.0,16.346613879442,16.356485023089,15.660569395975,15.981381564503,14848912.0
2016-02-05,17.42,17.505,16.691,16.81,14522201.0,0.0,1.0,17.195532233084,17.279436954084,16.475925861218,16.593392470617,14522201.0
