Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,34.7,35.65,34.35,35.5,411055.0,0.0,1.0,34.7,35.65,34.35,35.5,411055.0
2016-11-16,34.3,34.7,34.15,34.5,504092.0,0.0,1.0,34.3,34.7,34.15,34.5,504092.0
2016-11-15,34.35,34.725,34.25,34.55,409474.0,0.0,1.0,34.35,34.725,34.25,34.55,409474.0
2016-11-14,34.85,34.95,34.35,34.5,312916.0,0.0,1.0,34.85,34.95,34.35,34.5,312916.0
2016-11-11,33.65,34.7,33.48,34.5,607060.0,0.0,1.0,33.65,34.7,33.48,34.5,607060.0
2016-11-10,33.85,34.15,33.1,33.4,308155.0,0.0,1.0,33.85,34.15,33.1,33.4,308155.0
2016-11-09,31.65,33.95,31.65,33.4,450051.0,0.0,1.0,31.65,33.95,31.65,33.4,450051.0
2016-11-08,32.35,32.9,31.6,32.25,400048.0,0.0,1.0,32.35,32.9,31.6,32.25,400048.0
2016-11-07,31.55,32.25,31.3,32.1,200842.0,0.0,1.0,31.55,32.25,31.3,32.1,200842.0
2016-11-04,30.95,31.8,30.95,31.3,250128.0,0.0,1.0,30.95,31.8,30.95,31.3,250128.0
2016-11-03,30.45,30.95,30.45,30.8,223145.0,0.0,1.0,30.45,30.95,30.45,30.8,223145.0
2016-11-02,30.7,30.85,30.4,30.6,236460.0,0.0,1.0,30.7,30.85,30.4,30.6,236460.0
2016-11-01,31.6,31.6,30.5,30.7,223178.0,0.0,1.0,31.6,31.6,30.5,30.7,223178.0
2016-10-31,31.25,31.55,31.15,31.45,204401.0,0.0,1.0,31.25,31.55,31.15,31.45,204401.0
2016-10-28,31.4,31.775,31.1,31.35,210850.0,0.0,1.0,31.4,31.775,31.1,31.35,210850.0
2016-10-27,31.9,31.9,31.05,31.45,174685.0,0.0,1.0,31.9,31.9,31.05,31.45,174685.0
2016-10-26,31.35,32.15,31.35,31.7,263565.0,0.0,1.0,31.35,32.15,31.35,31.7,263565.0
2016-10-25,32.15,32.2,31.45,31.6,218236.0,0.0,1.0,32.15,32.2,31.45,31.6,218236.0
2016-10-24,32.2,32.25,31.68,32.1,220556.0,0.0,1.0,32.2,32.25,31.68,32.1,220556.0
2016-10-21,31.5,31.925,31.3,31.8,208356.0,0.0,1.0,31.5,31.925,31.3,31.8,208356.0
2016-10-20,31.7,31.75,31.4,31.6,182940.0,0.0,1.0,31.7,31.75,31.4,31.6,182940.0
2016-10-19,31.8,31.8,31.35,31.55,145152.0,0.0,1.0,31.8,31.8,31.35,31.55,145152.0
2016-10-18,31.9,32.0,31.55,31.6,93830.0,0.0,1.0,31.9,32.0,31.55,31.6,93830.0
2016-10-17,31.6,31.75,31.45,31.55,114693.0,0.0,1.0,31.6,31.75,31.45,31.55,114693.0
2016-10-14,31.55,31.95,31.45,31.75,165720.0,0.0,1.0,31.55,31.95,31.45,31.75,165720.0
2016-10-13,31.55,31.7,31.3,31.35,195660.0,0.0,1.0,31.55,31.7,31.3,31.35,195660.0
2016-10-12,31.6,32.1,31.55,31.9,192670.0,0.0,1.0,31.6,32.1,31.55,31.9,192670.0
2016-10-11,32.35,32.5,31.45,31.5,205193.0,0.0,1.0,32.35,32.5,31.45,31.5,205193.0
2016-10-10,32.1,32.7,32.05,32.3,206578.0,0.0,1.0,32.1,32.7,32.05,32.3,206578.0
2016-10-07,32.61,32.8314,32.135,32.24,219938.0,0.0,1.0,32.61,32.8314,32.135,32.24,219938.0
2016-10-06,32.0,32.65,31.87,32.46,214002.0,0.0,1.0,32.0,32.65,31.87,32.46,214002.0
2016-10-05,31.81,32.1,31.63,31.94,180544.0,0.0,1.0,31.81,32.1,31.63,31.94,180544.0
2016-10-04,32.38,32.38,31.11,31.63,330114.0,0.0,1.0,32.38,32.38,31.11,31.63,330114.0
2016-10-03,31.85,32.22,31.32,32.22,255599.0,0.0,1.0,31.85,32.22,31.32,32.22,255599.0
2016-09-30,30.84,31.3,30.69,31.09,180272.0,0.0,1.0,30.84,31.3,30.69,31.09,180272.0
2016-09-29,31.38,31.54,30.78,30.8,138101.0,0.0,1.0,31.38,31.54,30.78,30.8,138101.0
2016-09-28,31.45,31.5,31.01,31.31,152519.0,0.0,1.0,31.45,31.5,31.01,31.31,152519.0
