Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,47.69,48.44,47.5,48.2,1894512.0,0.0,1.0,47.69,48.44,47.5,48.2,1894512.0
2016-11-16,47.9,48.16,47.44,47.46,2025413.0,0.0,1.0,47.9,48.16,47.44,47.46,2025413.0
2016-11-15,47.85,48.09,47.63,48.07,2116017.0,0.0,1.0,47.85,48.09,47.63,48.07,2116017.0
2016-11-14,47.51,47.98,47.29,47.84,2497048.0,0.0,1.0,47.51,47.98,47.29,47.84,2497048.0
2016-11-11,47.66,47.89,46.95,47.26,1786536.0,0.0,1.0,47.66,47.89,46.95,47.26,1786536.0
2016-11-10,47.29,48.08,47.25,47.92,3391563.0,0.0,1.0,47.29,48.08,47.25,47.92,3391563.0
2016-11-09,45.05,47.065,44.78,46.8,4064456.0,0.0,1.0,45.05,47.065,44.78,46.8,4064456.0
2016-11-08,44.89,45.565,44.59,45.41,2705343.0,0.0,1.0,44.89,45.565,44.59,45.41,2705343.0
2016-11-07,45.01,45.16,44.74,44.86,3143261.0,0.0,1.0,45.01,45.16,44.74,44.86,3143261.0
2016-11-04,44.26,44.9,44.18,44.39,7383656.0,0.0,1.0,44.26,44.9,44.18,44.39,7383656.0
2016-11-03,44.75,44.9,44.12,44.26,2909230.0,0.0,1.0,44.75,44.9,44.12,44.26,2909230.0
2016-11-02,44.37,45.01,43.98,44.1,3614528.0,0.0,1.0,44.37,45.01,43.98,44.1,3614528.0
2016-11-01,45.0,46.03,44.66,44.89,11642646.0,0.0,1.0,45.0,46.03,44.66,44.89,11642646.0
2016-10-31,44.35,44.465,44.06,44.1,2757118.0,0.0,1.0,44.35,44.465,44.06,44.1,2757118.0
2016-10-28,44.27,44.8,43.99,44.13,3736921.0,0.0,1.0,44.27,44.8,43.99,44.13,3736921.0
2016-10-27,44.93,44.99,44.16,44.19,2069151.0,0.0,1.0,44.93,44.99,44.16,44.19,2069151.0
2016-10-26,44.68,45.05,44.5205,44.83,1880591.0,0.0,1.0,44.68,45.05,44.5205,44.83,1880591.0
2016-10-25,45.08,45.25,44.77,44.8,914829.0,0.0,1.0,45.08,45.25,44.77,44.8,914829.0
2016-10-24,45.73,45.94,44.9,45.12,1830284.0,0.0,1.0,45.73,45.94,44.9,45.12,1830284.0
2016-10-21,45.1,45.34,44.79,45.25,1106404.0,0.0,1.0,45.1,45.34,44.79,45.25,1106404.0
2016-10-20,45.58,45.67,45.35,45.47,776990.0,0.0,1.0,45.58,45.67,45.35,45.47,776990.0
2016-10-19,45.67,45.81,45.53,45.67,837613.0,0.0,1.0,45.67,45.81,45.53,45.67,837613.0
2016-10-18,45.84,45.84,45.45,45.65,1005722.0,0.0,1.0,45.84,45.84,45.45,45.65,1005722.0
2016-10-17,45.84,45.92,45.44,45.45,740763.0,0.0,1.0,45.84,45.92,45.44,45.45,740763.0
2016-10-14,46.09,46.33,45.81,45.84,1132585.0,0.0,1.0,46.09,46.33,45.81,45.84,1132585.0
2016-10-13,45.88,45.91,45.55,45.7,1407911.0,0.0,1.0,45.88,45.91,45.55,45.7,1407911.0
