Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,0.8,0.8071,0.7608,0.7906,3013185.0,0.0,1.0,0.8,0.8071,0.7608,0.7906,3013185.0
2016-11-16,0.82,0.85,0.7901,0.8073,3126407.0,0.0,1.0,0.82,0.85,0.7901,0.8073,3126407.0
2016-11-15,0.8123,0.8499,0.79,0.7955,2895331.0,0.0,1.0,0.8123,0.8499,0.79,0.7955,2895331.0
2016-11-14,0.7887,0.825,0.7701,0.7972,2067259.0,0.0,1.0,0.7887,0.825,0.7701,0.7972,2067259.0
2016-11-11,0.75,0.801,0.75,0.7891,2058954.0,0.0,1.0,0.75,0.801,0.75,0.7891,2058954.0
2016-11-10,0.7667,0.8073,0.7501,0.762,2375485.0,0.0,1.0,0.7667,0.8073,0.7501,0.762,2375485.0
2016-11-09,0.72,0.83,0.715,0.7824,3778824.0,0.0,1.0,0.72,0.83,0.715,0.7824,3778824.0
2016-11-08,0.75,0.8375,0.71,0.8137,3874415.0,0.0,1.0,0.75,0.8375,0.71,0.8137,3874415.0
2016-11-07,0.8,0.81,0.75,0.77,2775796.0,0.0,1.0,0.8,0.81,0.75,0.77,2775796.0
2016-11-04,0.76,0.8282,0.67,0.8009,7062615.0,0.0,1.0,0.76,0.8282,0.67,0.8009,7062615.0
2016-11-03,1.05,1.08,0.77,0.77,15473004.0,0.0,1.0,1.05,1.08,0.77,0.77,15473004.0
2016-11-02,1.04,1.07,1.01,1.03,2618101.0,0.0,1.0,1.04,1.07,1.01,1.03,2618101.0
2016-11-01,1.02,1.08,1.0,1.06,3873698.0,0.0,1.0,1.02,1.08,1.0,1.06,3873698.0
2016-10-31,1.07,1.08,0.98,1.03,4559794.0,0.0,1.0,1.07,1.08,0.98,1.03,4559794.0
2016-10-28,1.04,1.07,0.96,1.05,6752732.0,0.0,1.0,1.04,1.07,0.96,1.05,6752732.0
2016-10-27,1.07,1.1,1.04,1.05,2224868.0,0.0,1.0,1.07,1.1,1.04,1.05,2224868.0
2016-10-26,1.04,1.14,1.02,1.09,7002709.0,0.0,1.0,1.04,1.14,1.02,1.09,7002709.0
2016-10-25,1.1,1.1,1.01,1.07,4237510.0,0.0,1.0,1.1,1.1,1.01,1.07,4237510.0
