Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-24,99.2,99.2,99.2,99.2,300.0,0.0,1.0,99.2,99.2,99.2,99.2,300.0
2016-06-23,99.23,99.27,99.2,99.2,5373306.0,0.0,1.0,99.23,99.27,99.2,99.2,5373306.0
2016-06-22,99.22,99.27,99.17,99.17,2432818.0,0.0,1.0,99.22,99.27,99.17,99.17,2432818.0
2016-06-21,99.26,99.26,99.1875,99.2,2952985.0,0.0,1.0,99.26,99.26,99.1875,99.2,2952985.0
2016-06-20,99.25,99.3,99.18,99.26,3239474.0,0.0,1.0,99.25,99.3,99.18,99.26,3239474.0
2016-06-17,99.29,99.29,99.16,99.17,4849596.0,0.0,1.0,99.29,99.29,99.16,99.17,4849596.0
2016-06-16,99.17,99.3,99.09,99.24,4752454.0,0.0,1.0,99.17,99.3,99.09,99.24,4752454.0
2016-06-15,99.17,99.26,99.1,99.1,4704574.0,0.0,1.0,99.17,99.26,99.1,99.1,4704574.0
2016-06-14,99.12,99.26,99.08,99.16,4143824.0,0.0,1.0,99.12,99.26,99.08,99.16,4143824.0
2016-06-13,99.14,99.3,99.08,99.1,4255829.0,0.0,1.0,99.14,99.3,99.08,99.1,4255829.0
2016-06-10,99.1,99.28,99.08,99.17,2461398.0,0.0,1.0,99.1,99.28,99.08,99.17,2461398.0
2016-06-09,99.21,99.34,99.0,99.08,3463080.0,0.0,1.0,99.21,99.34,99.0,99.08,3463080.0
2016-06-08,99.27,99.29,99.17,99.19,2464842.0,0.0,1.0,99.27,99.29,99.17,99.19,2464842.0
2016-06-07,99.24,99.33,99.14,99.21,2485861.0,0.0,1.0,99.24,99.33,99.14,99.21,2485861.0
2016-06-06,99.28,99.58,99.12,99.15,2475104.0,0.0,1.0,99.28,99.58,99.12,99.15,2475104.0
2016-06-03,99.28,99.423,99.19,99.3,3467968.0,0.0,1.0,99.28,99.423,99.19,99.3,3467968.0
2016-06-02,99.43,99.5,99.22,99.3,2778099.0,0.0,1.0,99.43,99.5,99.22,99.3,2778099.0
2016-06-01,99.28,99.57,99.24,99.4,1868296.0,0.0,1.0,99.28,99.57,99.24,99.4,1868296.0
