Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,57.77,59.372,57.44,58.49,115908.0,0.0,1.0,57.77,59.372,57.44,58.49,115908.0
2016-11-16,58.21,59.47,57.4,57.68,137487.0,0.0,1.0,58.21,59.47,57.4,57.68,137487.0
2016-11-15,59.8,59.8,57.53,58.57,190348.0,0.0,1.0,59.8,59.8,57.53,58.57,190348.0
2016-11-14,57.98,60.16,57.63,59.97,191206.0,0.0,1.0,57.98,60.16,57.63,59.97,191206.0
2016-11-11,56.06,58.47,55.4,57.57,237338.0,0.0,1.0,56.06,58.47,55.4,57.57,237338.0
2016-11-10,56.65,58.45,56.13,56.51,310360.0,0.0,1.0,56.65,58.45,56.13,56.51,310360.0
2016-11-09,52.92,55.505,52.92,55.27,274863.0,0.0,1.0,52.92,55.505,52.92,55.27,274863.0
2016-11-08,52.34,53.36,50.68,50.82,165717.0,0.0,1.0,52.34,53.36,50.68,50.82,165717.0
2016-11-07,51.23,53.05,51.22,52.84,260502.0,0.0,1.0,51.23,53.05,51.22,52.84,260502.0
2016-11-04,47.53,51.435,47.53,50.3,434276.0,0.0,1.0,47.53,51.435,47.53,50.3,434276.0
2016-11-03,54.75,60.8,47.25,47.51,846314.0,0.0,1.0,54.75,60.8,47.25,47.51,846314.0
2016-11-02,62.49,62.89,61.0,61.98,216984.0,0.0,1.0,62.49,62.89,61.0,61.98,216984.0
2016-11-01,59.8,62.89,59.69,62.62,279422.0,0.0,1.0,59.8,62.89,59.69,62.62,279422.0
2016-10-31,60.29,60.892,58.78,59.7,209779.0,0.0,1.0,60.29,60.892,58.78,59.7,209779.0
2016-10-28,65.49,65.65,60.22,60.32,293863.0,0.0,1.0,65.49,65.65,60.22,60.32,293863.0
2016-10-27,66.78,67.1,65.59,65.765,124859.0,0.0,1.0,66.78,67.1,65.59,65.765,124859.0
2016-10-26,66.35,66.94,65.9377,66.42,89155.0,0.0,1.0,66.35,66.94,65.9377,66.42,89155.0
2016-10-25,65.85,66.95,65.74,66.36,146698.0,0.0,1.0,65.85,66.95,65.74,66.36,146698.0
2016-10-24,66.5,67.4,65.53,65.66,139119.0,0.0,1.0,66.5,67.4,65.53,65.66,139119.0
2016-10-21,66.74,67.26,66.28,66.33,72634.0,0.0,1.0,66.74,67.26,66.28,66.33,72634.0
2016-10-20,65.5,67.17,65.5,66.77,76065.0,0.0,1.0,65.5,67.17,65.5,66.77,76065.0
2016-10-19,65.67,66.62,65.31,65.91,121794.0,0.0,1.0,65.67,66.62,65.31,65.91,121794.0
2016-10-18,65.68,66.55,65.1,65.76,106239.0,0.0,1.0,65.68,66.55,65.1,65.76,106239.0
2016-10-17,64.84,65.5545,63.38,64.87,121176.0,0.0,1.0,64.84,65.5545,63.38,64.87,121176.0
2016-10-14,66.91,67.67,64.62,64.78,136446.0,0.0,1.0,66.91,67.67,64.62,64.78,136446.0
2016-10-13,65.96,66.94,64.24,66.42,93028.0,0.0,1.0,65.96,66.94,64.24,66.42,93028.0
2016-10-12,68.01,68.61,66.27,66.74,136512.0,0.0,1.0,68.01,68.61,66.27,66.74,136512.0
2016-10-11,68.46,69.3,67.3101,67.93,134140.0,0.0,1.0,68.46,69.3,67.3101,67.93,134140.0
2016-10-10,68.42,69.71,67.403,68.78,189940.0,0.0,1.0,68.42,69.71,67.403,68.78,189940.0
2016-10-07,68.56,68.65,66.5712,67.78,128397.0,0.0,1.0,68.56,68.65,66.5712,67.78,128397.0
2016-10-06,68.39,68.81,67.52,68.48,155798.0,0.0,1.0,68.39,68.81,67.52,68.48,155798.0
2016-10-05,67.86,69.85,67.5701,68.96,285189.0,0.0,1.0,67.86,69.85,67.5701,68.96,285189.0
2016-10-04,67.25,68.619,66.91,67.86,136582.0,0.0,1.0,67.25,68.619,66.91,67.86,136582.0
2016-10-03,66.24,67.15,65.36,67.09,111181.0,0.0,1.0,66.24,67.15,65.36,67.09,111181.0
2016-09-30,66.41,67.49,66.115,66.35,132563.0,0.0,1.0,66.41,67.49,66.115,66.35,132563.0
2016-09-29,67.77,68.0,65.61,66.18,188417.0,0.0,1.0,67.77,68.0,65.61,66.18,188417.0
2016-09-28,68.56,68.56,66.765,67.66,145849.0,0.0,1.0,68.56,68.56,66.765,67.66,145849.0
2016-09-27,65.2,69.0,65.2,68.26,306003.0,0.0,1.0,65.2,69.0,65.2,68.26,306003.0
2016-09-26,66.05,66.63,65.11,65.36,110617.0,0.0,1.0,66.05,66.63,65.11,65.36,110617.0
2016-09-23,66.34,66.98,65.64,66.64,119824.0,0.0,1.0,66.34,66.98,65.64,66.64,119824.0
2016-09-22,65.48,67.15,64.815,66.81,262982.0,0.0,1.0,65.48,67.15,64.815,66.81,262982.0
2016-09-21,65.05,66.0,63.025,65.12,152130.0,0.0,1.0,65.05,66.0,63.025,65.12,152130.0
2016-09-20,62.99,65.91,62.6401,64.84,219184.0,0.0,1.0,62.99,65.91,62.6401,64.84,219184.0
2016-09-19,64.45,65.255,63.43,63.75,120487.0,0.0,1.0,64.45,65.255,63.43,63.75,120487.0
2016-09-16,63.46,64.5,62.5,64.3,323385.0,0.0,1.0,63.46,64.5,62.5,64.3,323385.0
2016-09-15,62.14,64.03,61.86,63.8,154384.0,0.0,1.0,62.14,64.03,61.86,63.8,154384.0
2016-09-14,61.58,63.25,61.425,61.85,181644.0,0.0,1.0,61.58,63.25,61.425,61.85,181644.0
2016-09-13,61.9,61.9,60.06,61.19,128745.0,0.0,1.0,61.9,61.9,60.06,61.19,128745.0
2016-09-12,59.74,62.42,59.5,62.14,162657.0,0.0,1.0,59.74,62.42,59.5,62.14,162657.0
2016-09-09,61.09,61.65,59.6533,60.13,225828.0,0.0,1.0,61.09,61.65,59.6533,60.13,225828.0
2016-09-08,60.47,62.2499,60.24,61.77,155617.0,0.0,1.0,60.47,62.2499,60.24,61.77,155617.0
2016-09-07,61.3,62.55,60.01,60.71,176031.0,0.0,1.0,61.3,62.55,60.01,60.71,176031.0
2016-09-06,60.05,61.775,59.755,61.55,260087.0,0.0,1.0,60.05,61.775,59.755,61.55,260087.0
2016-09-02,61.55,62.4599,59.2,59.86,207167.0,0.0,1.0,61.55,62.4599,59.2,59.86,207167.0
