Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,19.55,19.62,19.36,19.5,4190068.0,0.0,1.0,19.55,19.62,19.36,19.5,4190068.0
2016-11-16,19.75,19.8,19.45,19.61,4125636.0,0.0,1.0,19.75,19.8,19.45,19.61,4125636.0
2016-11-15,19.16,19.96,19.16,19.91,4835007.0,0.0,1.0,19.16,19.96,19.16,19.91,4835007.0
2016-11-14,18.94,19.12,18.83,19.09,5291173.0,0.0,1.0,18.94,19.12,18.83,19.09,5291173.0
2016-11-11,18.43,18.94,18.31,18.86,5303793.0,0.0,1.0,18.43,18.94,18.31,18.86,5303793.0
2016-11-10,17.55,18.53,17.55,18.45,12428516.0,0.0,1.0,17.55,18.53,17.55,18.45,12428516.0
2016-11-09,16.95,17.695,16.75,17.53,7490657.0,0.0,1.0,16.95,17.695,16.75,17.53,7490657.0
2016-11-08,17.36,17.55,17.22,17.41,6532706.0,0.09,1.0,17.36,17.55,17.22,17.41,6532706.0
2016-11-07,17.9,18.0,17.28,17.34,9256832.0,0.0,1.0,17.9,18.0,17.28,17.34,9256832.0
2016-11-04,17.6,17.8,17.51,17.68,9454502.0,0.0,1.0,17.6,17.8,17.51,17.68,9454502.0
2016-11-03,17.73,18.045,17.42,17.49,8453949.0,0.0,1.0,17.73,18.045,17.42,17.49,8453949.0
2016-11-02,18.86,18.97,17.63,17.94,16244854.0,0.0,1.0,18.762616179002,18.872048192771,17.538967297762,17.847366609294,16244854.0
2016-11-01,22.24,22.64,18.75,18.92,17883803.0,0.0,1.0,22.125163511188,22.523098106713,18.653184165232,18.82230636833,17883803.0
