Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,6.8,7.0,6.6,6.8,381664.0,0.0,1.0,6.8,7.0,6.6,6.8,381664.0
2016-11-16,6.2,7.295,6.2,6.8,864392.0,0.0,1.0,6.2,7.295,6.2,6.8,864392.0
2016-11-15,6.35,6.4304,5.95,6.2,644044.0,0.0,1.0,6.35,6.4304,5.95,6.2,644044.0
2016-11-14,6.55,6.75,6.35,6.4,438361.0,0.0,1.0,6.55,6.75,6.35,6.4,438361.0
2016-11-11,6.15,6.6,6.15,6.6,500776.0,0.0,1.0,6.15,6.6,6.15,6.6,500776.0
2016-11-10,5.7,6.35,5.55,6.2,553653.0,0.0,1.0,5.7,6.35,5.55,6.2,553653.0
2016-11-09,5.55,5.8087,5.4,5.6,430540.0,0.0,1.0,5.55,5.8087,5.4,5.6,430540.0
2016-11-08,5.5,5.75,5.4,5.65,195726.0,0.0,1.0,5.5,5.75,5.4,5.65,195726.0
2016-11-07,5.55,5.65,5.45,5.5,540139.0,0.0,1.0,5.55,5.65,5.45,5.5,540139.0
2016-11-04,5.6,5.61,5.35,5.5,494091.0,0.0,1.0,5.6,5.61,5.35,5.5,494091.0
2016-11-03,5.65,5.75,5.5,5.65,463464.0,0.0,1.0,5.65,5.75,5.5,5.65,463464.0
2016-11-02,5.6,5.7,5.0,5.65,1238492.0,0.0,1.0,5.6,5.7,5.0,5.65,1238492.0
2016-11-01,6.1,6.35,5.65,5.7,765160.0,0.0,1.0,6.1,6.35,5.65,5.7,765160.0
2016-10-31,6.35,6.35,5.85,5.85,402088.0,0.0,1.0,6.35,6.35,5.85,5.85,402088.0
2016-10-28,6.45,6.49,6.3,6.34,324421.0,0.0,1.0,6.45,6.49,6.3,6.34,324421.0
2016-10-27,6.46,6.55,6.38,6.5,232630.0,0.0,1.0,6.46,6.55,6.38,6.5,232630.0
2016-10-26,6.53,6.6099,6.38,6.41,239534.0,0.0,1.0,6.53,6.6099,6.38,6.41,239534.0
2016-10-25,6.6,6.67,6.52,6.54,223329.0,0.0,1.0,6.6,6.67,6.52,6.54,223329.0
2016-10-24,6.85,6.871,6.59,6.6,242356.0,0.0,1.0,6.85,6.871,6.59,6.6,242356.0
2016-10-21,6.71,6.93,6.68,6.84,265621.0,0.0,1.0,6.71,6.93,6.68,6.84,265621.0
2016-10-20,6.57,6.84,6.565,6.77,322240.0,0.0,1.0,6.57,6.84,6.565,6.77,322240.0
2016-10-19,6.65,6.75,6.58,6.6,399177.0,0.0,1.0,6.65,6.75,6.58,6.6,399177.0
2016-10-18,6.72,6.72,6.56,6.58,212251.0,0.0,1.0,6.72,6.72,6.56,6.58,212251.0
2016-10-17,6.65,6.65,6.57,6.58,186493.0,0.0,1.0,6.65,6.65,6.57,6.58,186493.0
2016-10-14,6.7,6.73,6.53,6.61,355927.0,0.0,1.0,6.7,6.73,6.53,6.61,355927.0
2016-10-13,6.76,6.78,6.65,6.66,337634.0,0.0,1.0,6.76,6.78,6.65,6.66,337634.0
2016-10-12,6.91,6.96,6.7615,6.85,208819.0,0.0,1.0,6.91,6.96,6.7615,6.85,208819.0
2016-10-11,7.07,7.09,6.86,6.91,226802.0,0.0,1.0,7.07,7.09,6.86,6.91,226802.0
2016-10-10,7.23,7.29,7.08,7.11,142470.0,0.0,1.0,7.23,7.29,7.08,7.11,142470.0
2016-10-07,7.24,7.32,7.12,7.15,163397.0,0.0,1.0,7.24,7.32,7.12,7.15,163397.0
2016-10-06,7.13,7.26,7.0949,7.25,200300.0,0.0,1.0,7.13,7.26,7.0949,7.25,200300.0
2016-10-05,7.14,7.22,7.08,7.1,172036.0,0.0,1.0,7.14,7.22,7.08,7.1,172036.0
2016-10-04,7.04,7.14,6.99,7.07,207471.0,0.0,1.0,7.04,7.14,6.99,7.07,207471.0
2016-10-03,6.85,7.14,6.79,7.03,264804.0,0.0,1.0,6.85,7.14,6.79,7.03,264804.0
2016-09-30,7.19,7.19,6.97,7.04,344371.0,0.0,1.0,7.19,7.19,6.97,7.04,344371.0
2016-09-29,7.33,7.42,7.05,7.08,180793.0,0.0,1.0,7.33,7.42,7.05,7.08,180793.0
2016-09-28,7.11,7.34,6.955,7.29,308066.0,0.0,1.0,7.11,7.34,6.955,7.29,308066.0
2016-09-27,7.06,7.13,6.93,7.08,286443.0,0.0,1.0,7.06,7.13,6.93,7.08,286443.0
2016-09-26,7.26,7.26,7.08,7.1,262867.0,0.0,1.0,7.26,7.26,7.08,7.1,262867.0
2016-09-23,7.25,7.28,7.05,7.06,194548.0,0.0,1.0,7.25,7.28,7.05,7.06,194548.0
2016-09-22,7.12,7.28,6.981,7.25,728473.0,0.0,1.0,7.12,7.28,6.981,7.25,728473.0
2016-09-21,7.02,7.05,6.85,7.03,331199.0,0.0,1.0,7.02,7.05,6.85,7.03,331199.0
2016-09-20,7.09,7.14,6.91,6.91,460816.0,0.0,1.0,7.09,7.14,6.91,6.91,460816.0
2016-09-19,7.23,7.29,7.06,7.09,304121.0,0.0,1.0,7.23,7.29,7.06,7.09,304121.0
2016-09-16,6.95,7.17,6.92,7.13,231458.0,0.0,1.0,6.95,7.17,6.92,7.13,231458.0
2016-09-15,7.07,7.17,6.99,7.04,155410.0,0.0,1.0,7.07,7.17,6.99,7.04,155410.0
2016-09-14,7.09,7.18,7.0,7.07,306858.0,0.0,1.0,7.09,7.18,7.0,7.07,306858.0
2016-09-13,7.08,7.2,7.01,7.11,324911.0,0.0,1.0,7.08,7.2,7.01,7.11,324911.0
2016-09-12,7.16,7.29,7.06,7.25,400024.0,0.0,1.0,7.16,7.29,7.06,7.25,400024.0
2016-09-09,7.41,7.47,7.23,7.24,240035.0,0.0,1.0,7.41,7.47,7.23,7.24,240035.0
2016-09-08,7.35,7.52,7.25,7.49,296574.0,0.0,1.0,7.35,7.52,7.25,7.49,296574.0
2016-09-07,7.15,7.28,7.04,7.22,474899.0,0.0,1.0,7.15,7.28,7.04,7.22,474899.0
2016-09-06,7.1,7.21,7.01,7.15,292899.0,0.0,1.0,7.1,7.21,7.01,7.15,292899.0
2016-09-02,6.99,7.14,6.895,7.09,278936.0,0.0,1.0,6.99,7.14,6.895,7.09,278936.0
2016-09-01,7.17,7.17,6.86,6.99,366295.0,0.0,1.0,7.17,7.17,6.86,6.99,366295.0
2016-08-31,7.02,7.34,6.98,7.22,487126.0,0.0,1.0,7.02,7.34,6.98,7.22,487126.0
2016-08-30,7.09,7.17,6.96,7.07,459390.0,0.0,1.0,7.09,7.17,6.96,7.07,459390.0
2016-08-29,7.1,7.26,7.05,7.07,244317.0,0.0,1.0,7.1,7.26,7.05,7.07,244317.0
2016-08-26,7.12,7.33,7.02,7.14,393316.0,0.0,1.0,7.12,7.33,7.02,7.14,393316.0
2016-08-25,7.32,7.51,6.95,7.11,988970.0,0.0,1.0,7.32,7.51,6.95,7.11,988970.0
2016-08-24,7.87,7.91,7.57,7.61,305400.0,0.0,1.0,7.87,7.91,7.57,7.61,305400.0
2016-08-23,7.84,7.98,7.79,7.84,169407.0,0.0,1.0,7.84,7.98,7.79,7.84,169407.0
2016-08-22,7.87,7.91,7.74,7.8,166390.0,0.0,1.0,7.87,7.91,7.74,7.8,166390.0
2016-08-19,7.92,7.97,7.75,7.95,264741.0,0.0,1.0,7.92,7.97,7.75,7.95,264741.0
2016-08-18,7.96,8.03,7.87,7.96,206222.0,0.0,1.0,7.96,8.03,7.87,7.96,206222.0
2016-08-17,7.83,7.93,7.68,7.9,331588.0,0.0,1.0,7.83,7.93,7.68,7.9,331588.0
2016-08-16,8.06,8.1,7.75,7.86,386880.0,0.0,1.0,8.06,8.1,7.75,7.86,386880.0
2016-08-15,7.8,8.06,7.78,8.04,301839.0,0.0,1.0,7.8,8.06,7.78,8.04,301839.0
2016-08-12,7.78,7.88,7.65,7.75,330220.0,0.11,1.0,7.78,7.88,7.65,7.75,330220.0
2016-08-11,7.94,8.03,7.76,7.89,347720.0,0.0,1.0,7.8288804071247,7.9176208651399,7.6513994910941,7.7795801526718,347720.0
2016-08-10,8.04,8.04,7.69,7.85,385771.0,0.0,1.0,7.9274809160305,7.9274809160305,7.5823791348601,7.7401399491094,385771.0
2016-08-09,8.0,8.05,7.83,7.93,257814.0,0.0,1.0,7.8880407124682,7.9373409669211,7.7204198473282,7.8190203562341,257814.0
2016-08-08,8.2,8.3698,7.99,8.01,388659.0,0.0,1.0,8.0852417302799,8.252665394402,7.8781806615776,7.8979007633588,388659.0
2016-08-05,7.8,8.2,7.76,8.16,341746.0,0.0,1.0,7.6908396946565,8.0852417302799,7.6513994910941,8.0458015267176,341746.0
2016-08-04,8.06,8.19,7.7,7.77,546648.0,0.0,1.0,7.9472010178117,8.0753816793893,7.5922391857506,7.6612595419847,546648.0
