Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,2.5,2.6,2.455,2.55,389819.0,0.0,1.0,2.5,2.6,2.455,2.55,389819.0
2016-11-16,2.45,2.5,2.45,2.5,292735.0,0.0,1.0,2.45,2.5,2.45,2.5,292735.0
2016-11-15,2.45,2.5,2.4,2.5,320251.0,0.0,1.0,2.45,2.5,2.4,2.5,320251.0
2016-11-14,2.45,2.45,2.35,2.4,415322.0,0.0,1.0,2.45,2.45,2.35,2.4,415322.0
2016-11-11,2.45,2.45,2.35,2.375,483525.0,0.0,1.0,2.45,2.45,2.35,2.375,483525.0
2016-11-10,2.25,2.45,2.25,2.45,716314.0,0.0,1.0,2.25,2.45,2.25,2.45,716314.0
2016-11-09,2.15,2.25,2.15,2.25,370678.0,0.0,1.0,2.15,2.25,2.15,2.25,370678.0
2016-11-08,2.3,2.3,2.15,2.2,1111130.0,0.0,1.0,2.3,2.3,2.15,2.2,1111130.0
2016-11-07,2.15,2.25,2.15,2.2,270880.0,0.0,1.0,2.15,2.25,2.15,2.2,270880.0
2016-11-04,2.2,2.2,2.125,2.15,490505.0,0.0,1.0,2.2,2.2,2.125,2.15,490505.0
2016-11-03,2.25,2.29,2.2,2.2,281166.0,0.0,1.0,2.25,2.29,2.2,2.2,281166.0
2016-11-02,2.3,2.35,2.25,2.3,412916.0,0.0,1.0,2.3,2.35,2.25,2.3,412916.0
2016-11-01,2.3,2.35,2.25,2.3,240921.0,0.0,1.0,2.3,2.35,2.25,2.3,240921.0
2016-10-31,2.35,2.35,2.3,2.3,266313.0,0.0,1.0,2.35,2.35,2.3,2.3,266313.0
2016-10-28,2.34,2.36,2.32,2.33,231319.0,0.0,1.0,2.34,2.36,2.32,2.33,231319.0
2016-10-27,2.36,2.361,2.33,2.34,157363.0,0.0,1.0,2.36,2.361,2.33,2.34,157363.0
2016-10-26,2.37,2.38,2.35,2.35,276812.0,0.0,1.0,2.37,2.38,2.35,2.35,276812.0
2016-10-25,2.4,2.43,2.38,2.38,169936.0,0.0,1.0,2.4,2.43,2.38,2.38,169936.0
2016-10-24,2.38,2.4286,2.36,2.4,208331.0,0.0,1.0,2.38,2.4286,2.36,2.4,208331.0
2016-10-21,2.41,2.43,2.36,2.38,292955.0,0.0,1.0,2.41,2.43,2.36,2.38,292955.0
2016-10-20,2.42,2.45,2.405,2.42,145511.0,0.0,1.0,2.42,2.45,2.405,2.42,145511.0
2016-10-19,2.42,2.46,2.41,2.42,270308.0,0.0,1.0,2.42,2.46,2.41,2.42,270308.0
2016-10-18,2.44,2.45,2.41,2.42,170210.0,0.0,1.0,2.44,2.45,2.41,2.42,170210.0
2016-10-17,2.45,2.48,2.41,2.43,157447.0,0.0,1.0,2.45,2.48,2.41,2.43,157447.0
2016-10-14,2.43,2.48,2.42,2.46,236075.0,0.0,1.0,2.43,2.48,2.42,2.46,236075.0
2016-10-13,2.41,2.45,2.41,2.42,177938.0,0.0,1.0,2.41,2.45,2.41,2.42,177938.0
2016-10-12,2.45,2.47,2.41,2.42,171717.0,0.0,1.0,2.45,2.47,2.41,2.42,171717.0
2016-10-11,2.44,2.52,2.43,2.45,276195.0,0.0,1.0,2.44,2.52,2.43,2.45,276195.0
2016-10-10,2.4,2.535,2.4,2.53,296566.0,0.0,1.0,2.4,2.535,2.4,2.53,296566.0
