Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,29.45,29.5,29.0,29.5,10324.0,0.0,1.0,29.45,29.5,29.0,29.5,10324.0
2016-11-16,29.5,29.5,28.95,29.4,4813.0,0.0,1.0,29.5,29.5,28.95,29.4,4813.0
2016-11-15,29.5,29.65,29.35,29.55,8159.0,0.0,1.0,29.5,29.65,29.35,29.55,8159.0
2016-11-14,29.0,29.75,29.0,29.45,10748.0,0.0,1.0,29.0,29.75,29.0,29.45,10748.0
2016-11-11,28.15,29.75,27.65,28.8,41003.0,0.0,1.0,28.15,29.75,27.65,28.8,41003.0
2016-11-10,28.05,28.55,28.0,28.05,27211.0,0.0,1.0,28.05,28.55,28.0,28.05,27211.0
2016-11-09,26.95,28.1,26.9,28.05,12594.0,0.0,1.0,26.95,28.1,26.9,28.05,12594.0
2016-11-08,26.7,26.9,26.7,26.9,7362.0,0.0,1.0,26.7,26.9,26.7,26.9,7362.0
2016-11-07,26.9,26.9,26.6,26.85,4719.0,0.0,1.0,26.9,26.9,26.6,26.85,4719.0
2016-11-04,27.05,27.05,26.7,26.8,6073.0,0.0,1.0,27.05,27.05,26.7,26.8,6073.0
2016-11-03,27.0,27.2,26.95,27.1,1999.0,0.0,1.0,27.0,27.2,26.95,27.1,1999.0
2016-11-02,27.0,27.2,26.85,26.85,3391.0,0.0,1.0,27.0,27.2,26.85,26.85,3391.0
2016-11-01,27.15,27.15,26.8,26.9,4007.0,0.0,1.0,27.15,27.15,26.8,26.9,4007.0
2016-10-31,27.05,27.15,27.05,27.1,7309.0,0.0,1.0,27.05,27.15,27.05,27.1,7309.0
2016-10-28,27.46,27.46,26.9126,27.14,2000.0,0.21,1.0,27.46,27.46,26.9126,27.14,2000.0
2016-10-27,27.1424,27.19,27.13,27.16,2487.0,0.0,1.0,26.933994003656,26.981228519196,26.921689213894,26.951458866545,2487.0
2016-10-26,27.25,27.25,27.15,27.15,2623.0,0.0,1.0,27.040767824497,27.040767824497,26.941535648995,26.941535648995,2623.0
2016-10-25,27.0701,27.19,27.0701,27.09,2176.0,0.0,1.0,26.862249140768,26.981228519196,26.862249140768,26.881996343693,2176.0
2016-10-24,27.18,27.25,27.1,27.18,2888.0,0.0,1.0,26.971305301645,27.040767824497,26.891919561243,26.971305301645,2888.0
2016-10-21,27.02,27.15,27.02,27.15,4899.0,0.0,1.0,26.812533820841,26.941535648995,26.812533820841,26.941535648995,4899.0
2016-10-20,27.07,27.11,27.03,27.11,3593.0,0.0,1.0,26.862149908592,26.901842778793,26.822457038391,26.901842778793,3593.0
2016-10-19,27.1,27.25,27.03,27.2,3201.0,0.0,1.0,26.891919561243,27.040767824497,26.822457038391,26.991151736746,3201.0
2016-10-18,27.27,27.27,27.04,27.06,3951.0,0.0,1.0,27.060614259598,27.060614259598,26.832380255941,26.852226691042,3951.0
2016-10-17,27.03,27.5,27.03,27.19,8010.0,0.0,1.0,26.822457038391,27.288848263254,26.822457038391,26.981228519196,8010.0
2016-10-14,27.11,27.43,27.04,27.05,3191.0,0.0,1.0,26.901842778793,27.219385740402,26.832380255941,26.842303473492,3191.0
2016-10-13,27.23,27.5,27.05,27.12,5195.0,0.0,1.0,27.020921389397,27.288848263254,26.842303473492,26.911765996344,5195.0
2016-10-12,27.07,27.62,27.07,27.45,2663.0,0.0,1.0,26.862149908592,27.407926873857,26.862149908592,27.239232175503,2663.0
2016-10-11,27.23,27.71,27.03,27.13,7712.0,0.0,1.0,27.020921389397,27.49723583181,26.822457038391,26.921689213894,7712.0
2016-10-10,27.24,27.36,27.12,27.32,3273.0,0.0,1.0,27.030844606947,27.14992321755,26.911765996344,27.110230347349,3273.0
2016-10-07,27.26,27.52,27.17,27.17,3921.0,0.0,1.0,27.050691042048,27.308694698355,26.961382084095,26.961382084095,3921.0
2016-10-06,27.56,27.57,27.065,27.37,2043.0,0.0,1.0,27.348387568556,27.358310786106,26.857188299817,27.159846435101,2043.0
2016-10-05,27.22,27.47,27.03,27.43,2888.0,0.0,1.0,27.010998171846,27.259078610603,26.822457038391,27.219385740402,2888.0
2016-10-04,27.07,27.57,27.01,27.1,2682.0,0.0,1.0,26.862149908592,27.358310786106,26.802610603291,26.891919561243,2682.0
2016-10-03,27.57,27.58,27.21,27.26,3212.0,0.0,1.0,27.358310786106,27.368234003656,27.001074954296,27.050691042048,3212.0
2016-09-30,27.5,27.72,27.26,27.66,8201.0,0.0,1.0,27.288848263254,27.50715904936,27.050691042048,27.447619744058,8201.0
2016-09-29,27.1401,27.43,27.1401,27.43,1918.0,0.0,1.0,26.93171166362,27.219385740402,26.93171166362,27.219385740402,1918.0
2016-09-28,27.25,27.77,27.25,27.45,9436.0,0.0,1.0,27.040767824497,27.556775137112,27.040767824497,27.239232175503,9436.0
2016-09-27,27.0,27.45,26.94,27.3,8230.0,0.0,1.0,26.79268738574,27.239232175503,26.733148080439,27.090383912249,8230.0
2016-09-26,27.01,27.28,26.97,27.04,5040.0,0.0,1.0,26.802610603291,27.070537477148,26.76291773309,26.832380255941,5040.0
2016-09-23,27.47,27.47,27.08,27.08,2113.0,0.0,1.0,27.259078610603,27.259078610603,26.872073126143,26.872073126143,2113.0
2016-09-22,27.25,27.49,26.9701,27.49,2765.0,0.0,1.0,27.040767824497,27.278925045704,26.763016965265,27.278925045704,2765.0
2016-09-21,27.13,27.25,26.95,27.25,2702.0,0.0,1.0,26.921689213894,27.040767824497,26.743071297989,27.040767824497,2702.0
2016-09-20,26.96,27.15,26.96,27.15,836.0,0.0,1.0,26.752994515539,26.941535648995,26.752994515539,26.941535648995,836.0
2016-09-19,27.01,27.41,27.01,27.29,1105.0,0.0,1.0,26.802610603291,27.199539305302,26.802610603291,27.080460694698,1105.0
2016-09-16,27.05,27.36,26.82,26.98,20680.0,0.0,1.0,26.842303473492,27.14992321755,26.614069469835,26.77284095064,20680.0
