Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,39.07,40.19,38.95,39.94,11558551.0,0.0,1.0,39.07,40.19,38.95,39.94,11558551.0
2016-11-16,38.51,39.045,38.1401,38.97,8122909.0,0.0,1.0,38.51,39.045,38.1401,38.97,8122909.0
2016-11-15,38.0,39.14,37.94,38.53,12960908.0,0.0,1.0,38.0,39.14,37.94,38.53,12960908.0
2016-11-14,39.21,39.53,37.7402,37.775,14801251.0,0.0,1.0,39.21,39.53,37.7402,37.775,14801251.0
2016-11-11,38.43,39.45,38.23,39.41,10583639.0,0.0,1.0,38.43,39.45,38.23,39.41,10583639.0
2016-11-10,40.35,40.4,38.47,38.7,14951178.0,0.0,1.0,40.35,40.4,38.47,38.7,14951178.0
2016-11-09,40.19,40.7,39.35,40.15,13139263.0,0.0,1.0,40.19,40.7,39.35,40.15,13139263.0
2016-11-08,41.01,41.49,40.82,40.97,14995956.0,0.0,1.0,41.01,41.49,40.82,40.97,14995956.0
2016-11-07,42.52,42.56,40.86,41.1,17803075.0,0.0,1.0,42.52,42.56,40.86,41.1,17803075.0
2016-11-04,41.04,43.245,40.86,41.7,18751864.0,0.0,1.0,41.04,43.245,40.86,41.7,18751864.0
2016-11-03,42.96,43.67,42.6325,43.37,12822720.0,0.0,1.0,42.96,43.67,42.6325,43.37,12822720.0
2016-11-02,42.63,43.0899,42.26,42.6,7760406.0,0.0,1.0,42.63,43.0899,42.26,42.6,7760406.0
2016-11-01,43.27,43.37,42.425,42.58,11176597.0,0.0,1.0,43.27,43.37,42.425,42.58,11176597.0
2016-10-31,43.42,43.63,43.0,43.17,7127485.0,0.0,1.0,43.42,43.63,43.0,43.17,7127485.0
2016-10-28,43.64,43.86,42.96,43.32,8959024.0,0.0,1.0,43.64,43.86,42.96,43.32,8959024.0
2016-10-27,44.65,44.82,43.7,43.72,5543823.0,0.0,1.0,44.65,44.82,43.7,43.72,5543823.0
2016-10-26,44.95,45.01,44.4,44.44,4820895.0,0.0,1.0,44.95,45.01,44.4,44.44,4820895.0
2016-10-25,45.53,45.55,44.96,45.06,3658875.0,0.0,1.0,45.53,45.55,44.96,45.06,3658875.0
2016-10-24,44.9,45.49,44.65,45.47,6523820.0,0.0,1.0,44.9,45.49,44.65,45.47,6523820.0
2016-10-21,44.32,44.65,43.91,44.54,4293259.0,0.0,1.0,44.32,44.65,43.91,44.54,4293259.0
2016-10-20,43.92,44.39,43.52,44.32,4862093.0,0.0,1.0,43.92,44.39,43.52,44.32,4862093.0
2016-10-19,44.23,44.29,43.72,43.79,4495743.0,0.0,1.0,44.23,44.29,43.72,43.79,4495743.0
2016-10-18,44.01,44.75,43.96,44.17,7646360.0,0.0,1.0,44.01,44.75,43.96,44.17,7646360.0
2016-10-17,43.63,43.7,43.33,43.53,4706487.0,0.0,1.0,43.63,43.7,43.33,43.53,4706487.0
2016-10-14,43.57,44.33,43.41,43.69,8498573.0,0.0,1.0,43.57,44.33,43.41,43.69,8498573.0
2016-10-13,42.98,43.43,42.63,43.16,4185146.0,0.0,1.0,42.98,43.43,42.63,43.16,4185146.0
2016-10-12,42.79,43.405,42.7,43.33,5582742.0,0.0,1.0,42.79,43.405,42.7,43.33,5582742.0
2016-10-11,43.56,43.64,42.51,42.905,6929620.0,0.0,1.0,43.56,43.64,42.51,42.905,6929620.0
2016-10-10,43.96,44.24,43.7,43.79,4548279.0,0.0,1.0,43.96,44.24,43.7,43.79,4548279.0
2016-10-07,44.09,44.47,43.72,43.92,5576503.0,0.0,1.0,44.09,44.47,43.72,43.92,5576503.0
2016-10-06,44.55,44.6,43.76,43.99,6201876.0,0.0,1.0,44.55,44.6,43.76,43.99,6201876.0
2016-10-05,44.1,44.61,43.99,44.52,5692838.0,0.0,1.0,44.1,44.61,43.99,44.52,5692838.0
2016-10-04,44.2,44.35,43.78,44.13,5777999.0,0.0,1.0,44.2,44.35,43.78,44.13,5777999.0
2016-10-03,44.3,44.55,43.96,44.1,5447208.0,0.0,1.0,44.3,44.55,43.96,44.1,5447208.0
2016-09-30,44.37,44.455,43.985,44.3,7704938.0,0.0,1.0,44.37,44.455,43.985,44.3,7704938.0
2016-09-29,44.15,44.425,43.83,44.21,8460412.0,0.0,1.0,44.15,44.425,43.83,44.21,8460412.0
2016-09-28,44.2,44.42,43.76,44.16,5565480.0,0.0,1.0,44.2,44.42,43.76,44.16,5565480.0
2016-09-27,43.91,44.27,43.665,44.21,8832230.0,0.0,1.0,43.91,44.27,43.665,44.21,8832230.0
2016-09-26,44.22,44.34,43.93,43.98,4416492.0,0.0,1.0,44.22,44.34,43.93,43.98,4416492.0
2016-09-23,44.98,45.1192,44.1,44.36,8682711.0,0.0,1.0,44.98,45.1192,44.1,44.36,8682711.0
2016-09-22,44.86,45.12,44.41,44.51,5869953.0,0.0,1.0,44.86,45.12,44.41,44.51,5869953.0
2016-09-21,44.89,44.89,43.85,44.67,8976047.0,0.0,1.0,44.89,44.89,43.85,44.67,8976047.0
2016-09-20,44.26,44.78,44.1,44.13,5777741.0,0.0,1.0,44.26,44.78,44.1,44.13,5777741.0
2016-09-19,44.58,44.84,44.0,44.12,8114925.0,0.0,1.0,44.58,44.84,44.0,44.12,8114925.0
2016-09-16,44.67,44.67,44.05,44.41,38697610.0,0.0,1.0,44.67,44.67,44.05,44.41,38697610.0
