Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,15.3,15.3,14.75,14.85,79715.0,0.0,1.0,15.3,15.3,14.75,14.85,79715.0
2016-11-16,14.75,15.35,14.75,15.3,74004.0,0.0,1.0,14.75,15.35,14.75,15.3,74004.0
2016-11-15,15.25,15.35,13.28,14.85,66134.0,0.0,1.0,15.25,15.35,13.28,14.85,66134.0
2016-11-14,14.4,15.65,14.4,15.4,181198.0,0.0,1.0,14.4,15.65,14.4,15.4,181198.0
2016-11-11,13.3,14.55,13.3,14.45,191151.0,0.0,1.0,13.3,14.55,13.3,14.45,191151.0
2016-11-10,13.6,13.75,12.455,13.3,252890.0,0.0,1.0,13.6,13.75,12.455,13.3,252890.0
2016-11-09,12.6,13.45,12.45,13.4,161611.0,0.0,1.0,12.6,13.45,12.45,13.4,161611.0
2016-11-08,12.65,13.1,12.5,12.75,115067.0,0.0,1.0,12.65,13.1,12.5,12.75,115067.0
2016-11-07,12.45,12.75,12.3,12.4,131303.0,0.0,1.0,12.45,12.75,12.3,12.4,131303.0
2016-11-04,11.75,12.3,11.7,12.1,89973.0,0.0,1.0,11.75,12.3,11.7,12.1,89973.0
2016-11-03,11.4,11.7,11.35,11.7,99874.0,0.0,1.0,11.4,11.7,11.35,11.7,99874.0
2016-11-02,11.4,11.875,11.1,11.4,162173.0,0.0,1.0,11.4,11.875,11.1,11.4,162173.0
2016-11-01,11.5,11.65,11.1,11.3,68538.0,0.0,1.0,11.5,11.65,11.1,11.3,68538.0
2016-10-31,11.8,11.8,11.25,11.5,88165.0,0.0,1.0,11.8,11.8,11.25,11.5,88165.0
2016-10-28,11.4,11.9,11.35,11.8,83477.0,0.0,1.0,11.4,11.9,11.35,11.8,83477.0
2016-10-27,11.95,12.35,11.3,11.35,63696.0,0.0,1.0,11.95,12.35,11.3,11.35,63696.0
2016-10-26,11.8,12.4,11.75,11.85,127504.0,0.0,1.0,11.8,12.4,11.75,11.85,127504.0
2016-10-25,12.45,12.5,11.85,11.9,53332.0,0.0,1.0,12.45,12.5,11.85,11.9,53332.0
2016-10-24,12.15,12.65,12.05,12.5,76545.0,0.0,1.0,12.15,12.65,12.05,12.5,76545.0
2016-10-21,12.5,12.8,12.3,12.3,46862.0,0.0,1.0,12.5,12.8,12.3,12.3,46862.0
2016-10-20,12.8,12.8,12.45,12.7,45620.0,0.0,1.0,12.8,12.8,12.45,12.7,45620.0
2016-10-19,12.8,12.95,11.4,12.8,169049.0,0.0,1.0,12.8,12.95,11.4,12.8,169049.0
2016-10-18,13.0,13.05,12.65,12.75,71231.0,0.0,1.0,13.0,13.05,12.65,12.75,71231.0
2016-10-17,13.0,13.1,12.75,12.8,65364.0,0.0,1.0,13.0,13.1,12.75,12.8,65364.0
2016-10-14,13.04,13.17,12.71,12.82,43289.0,0.0,1.0,13.04,13.17,12.71,12.82,43289.0
2016-10-13,13.27,13.51,12.88,12.97,93796.0,0.0,1.0,13.27,13.51,12.88,12.97,93796.0
2016-10-12,13.35,13.96,13.21,13.29,83535.0,0.0,1.0,13.35,13.96,13.21,13.29,83535.0
2016-10-11,13.85,13.85,13.36,13.43,129863.0,0.0,1.0,13.85,13.85,13.36,13.43,129863.0
2016-10-10,13.62,13.98,13.62,13.89,97586.0,0.0,1.0,13.62,13.98,13.62,13.89,97586.0
2016-10-07,13.99,13.99,13.42,13.5,128260.0,0.0,1.0,13.99,13.99,13.42,13.5,128260.0
2016-10-06,13.83,14.12,13.57,13.91,44756.0,0.0,1.0,13.83,14.12,13.57,13.91,44756.0
2016-10-05,13.78,13.99,13.62,13.82,88873.0,0.0,1.0,13.78,13.99,13.62,13.82,88873.0
2016-10-04,13.8,14.17,13.55,13.67,85146.0,0.0,1.0,13.8,14.17,13.55,13.67,85146.0
2016-10-03,13.91,13.99,13.62,13.75,63334.0,0.0,1.0,13.91,13.99,13.62,13.75,63334.0
2016-09-30,13.85,14.01,13.675,13.9,77730.0,0.0,1.0,13.85,14.01,13.675,13.9,77730.0
2016-09-29,14.21,14.35,13.69,13.7,78641.0,0.0,1.0,14.21,14.35,13.69,13.7,78641.0
2016-09-28,13.66,14.39,13.66,14.25,199731.0,0.12,1.0,13.66,14.39,13.66,14.25,199731.0
2016-09-27,13.85,14.2,13.66,13.78,94397.0,0.0,1.0,13.734342379958,14.081419624217,13.545929018789,13.664926931106,94397.0
2016-09-26,14.1,14.35,13.85,13.89,86268.0,0.0,1.0,13.982254697286,14.230167014614,13.734342379958,13.774008350731,86268.0
2016-09-23,14.4,14.49,14.02,14.06,100735.0,0.0,1.0,14.279749478079,14.368997912317,13.902922755741,13.942588726514,100735.0
2016-09-22,14.33,14.52,14.2,14.49,74797.0,0.0,1.0,14.210334029228,14.398747390397,14.081419624217,14.368997912317,74797.0
2016-09-21,14.02,14.92,13.66,14.0,101098.0,0.0,1.0,13.902922755741,14.795407098121,13.545929018789,13.883089770355,101098.0
2016-09-20,14.83,15.15,13.93,13.94,63713.0,0.0,1.0,14.706158663883,15.023486430063,13.813674321503,13.823590814196,63713.0
2016-09-19,14.35,15.51,14.15,14.65,151909.0,0.0,1.0,14.230167014614,15.380480167015,14.031837160752,14.527661795407,151909.0
2016-09-16,14.07,14.41,13.96,14.08,127284.0,0.0,1.0,13.952505219207,14.289665970772,13.843423799582,13.9624217119,127284.0
2016-09-15,13.62,14.24,13.48,14.09,84245.0,0.0,1.0,13.506263048017,14.12108559499,13.367432150313,13.972338204593,84245.0
2016-09-14,13.54,13.8,13.45,13.68,65046.0,0.0,1.0,13.426931106472,13.684759916493,13.337682672234,13.565762004175,65046.0
2016-09-13,13.69,13.86,13.46,13.58,92624.0,0.0,1.0,13.575678496868,13.744258872651,13.347599164927,13.466597077244,92624.0
2016-09-12,13.81,14.09,13.61,13.95,80624.0,0.0,1.0,13.694676409186,13.972338204593,13.496346555324,13.833507306889,80624.0
2016-09-09,14.34,14.6,13.57,13.59,77393.0,0.0,1.0,14.220250521921,14.478079331942,13.456680584551,13.476513569937,77393.0
2016-09-08,14.37,14.585,14.35,14.57,62397.0,0.0,1.0,14.25,14.463204592902,14.230167014614,14.448329853862,62397.0
2016-09-07,14.45,14.825,14.245,14.52,86642.0,0.0,1.0,14.329331941545,14.701200417537,14.126043841336,14.398747390397,86642.0
2016-09-06,14.71,14.9,14.31,14.52,78654.0,0.0,1.0,14.587160751566,14.775574112735,14.190501043841,14.398747390397,78654.0
2016-09-02,14.68,14.84,14.44,14.79,64472.0,0.0,1.0,14.557411273486,14.716075156576,14.319415448852,14.666492693111,64472.0
2016-09-01,14.05,14.61,13.91,14.59,130267.0,0.0,1.0,13.93267223382,14.487995824635,13.793841336117,14.468162839248,130267.0
2016-08-31,14.22,14.36,13.88,13.95,114165.0,0.0,1.0,14.101252609603,14.240083507307,13.764091858038,13.833507306889,114165.0
2016-08-30,14.13,14.49,14.01,14.29,59406.0,0.0,1.0,14.012004175365,14.368997912317,13.893006263048,14.170668058455,59406.0
