Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,54.89,55.7,54.6,54.69,98917.0,0.0,1.0,54.89,55.7,54.6,54.69,98917.0
2016-11-16,54.09,55.5,54.09,54.75,86137.0,0.0,1.0,54.09,55.5,54.09,54.75,86137.0
2016-11-15,53.02,54.29,52.16,54.04,77279.0,0.0,1.0,53.02,54.29,52.16,54.04,77279.0
2016-11-14,52.89,54.89,52.6,52.73,101164.0,0.0,1.0,52.89,54.89,52.6,52.73,101164.0
2016-11-11,49.9,53.28,47.266,52.58,162112.0,0.0,1.0,49.9,53.28,47.266,52.58,162112.0
2016-11-10,48.8,50.5,48.5127,50.14,82444.0,0.0,1.0,48.8,50.5,48.5127,50.14,82444.0
2016-11-09,43.0,49.01,43.0,48.89,150745.0,0.0,1.0,43.0,49.01,43.0,48.89,150745.0
2016-11-08,44.9201,46.14,44.43,46.07,62525.0,0.0,1.0,44.9201,46.14,44.43,46.07,62525.0
2016-11-07,44.81,45.59,44.585,45.42,24811.0,0.0,1.0,44.81,45.59,44.585,45.42,24811.0
2016-11-04,43.68,45.2,43.68,44.05,34434.0,0.0,1.0,43.68,45.2,43.68,44.05,34434.0
2016-11-03,43.77,44.25,43.43,43.69,34037.0,0.0,1.0,43.77,44.25,43.43,43.69,34037.0
2016-11-02,44.07,44.41,43.29,44.06,48990.0,0.0,1.0,44.07,44.41,43.29,44.06,48990.0
2016-11-01,45.03,45.03,43.62,43.79,23848.0,0.0,1.0,45.03,45.03,43.62,43.79,23848.0
2016-10-31,45.49,45.49,44.2,44.83,53041.0,0.0,1.0,45.49,45.49,44.2,44.83,53041.0
2016-10-28,44.05,45.62,44.05,45.11,64391.0,0.0,1.0,44.05,45.62,44.05,45.11,64391.0
2016-10-27,44.26,44.26,42.59,43.84,32404.0,0.0,1.0,44.26,44.26,42.59,43.84,32404.0
2016-10-26,44.5,44.96,43.935,44.04,20326.0,0.0,1.0,44.5,44.96,43.935,44.04,20326.0
2016-10-25,45.37,45.39,44.0901,44.83,33792.0,0.0,1.0,45.37,45.39,44.0901,44.83,33792.0
2016-10-24,45.38,45.78,45.09,45.33,34340.0,0.0,1.0,45.38,45.78,45.09,45.33,34340.0
2016-10-21,44.74,47.11,44.43,45.01,38945.0,0.0,1.0,44.74,47.11,44.43,45.01,38945.0
2016-10-20,46.71,47.62,44.88,44.96,43157.0,0.0,1.0,46.71,47.62,44.88,44.96,43157.0
2016-10-19,46.97,46.97,45.98,46.62,64742.0,0.0,1.0,46.97,46.97,45.98,46.62,64742.0
2016-10-18,47.6,47.6621,46.63,46.76,42934.0,0.0,1.0,47.6,47.6621,46.63,46.76,42934.0
2016-10-17,46.91,47.31,46.66,47.19,49545.0,0.0,1.0,46.91,47.31,46.66,47.19,49545.0
2016-10-14,47.7,48.08,46.69,47.0,35919.0,0.0,1.0,47.7,48.08,46.69,47.0,35919.0
2016-10-13,47.46,47.77,46.3,47.4,95350.0,0.0,1.0,47.46,47.77,46.3,47.4,95350.0
2016-10-12,47.75,48.28,47.54,47.68,37761.0,0.0,1.0,47.75,48.28,47.54,47.68,37761.0
2016-10-11,48.94,48.94,47.32,47.61,52494.0,0.0,1.0,48.94,48.94,47.32,47.61,52494.0
2016-10-10,48.06,49.48,48.06,49.23,63992.0,0.0,1.0,48.06,49.48,48.06,49.23,63992.0
2016-10-07,48.98,49.56,47.73,47.89,38766.0,0.0,1.0,48.98,49.56,47.73,47.89,38766.0
2016-10-06,49.6505,49.6505,48.85,48.94,57854.0,0.0,1.0,49.6505,49.6505,48.85,48.94,57854.0
2016-10-05,49.98,50.53,49.51,49.68,64176.0,0.0,1.0,49.98,50.53,49.51,49.68,64176.0
2016-10-04,48.3971,49.94,48.3971,49.86,57411.0,0.0,1.0,48.3971,49.94,48.3971,49.86,57411.0
2016-10-03,49.45,49.93,49.01,49.77,32418.0,0.0,1.0,49.45,49.93,49.01,49.77,32418.0
2016-09-30,48.54,49.75,48.3,49.635,44722.0,0.0,1.0,48.54,49.75,48.3,49.635,44722.0
2016-09-29,49.06,49.09,47.94,48.29,35006.0,0.0,1.0,49.06,49.09,47.94,48.29,35006.0
2016-09-28,48.74,49.43,48.5,49.305,89382.0,0.0,1.0,48.74,49.43,48.5,49.305,89382.0
2016-09-27,47.65,48.72,47.65,48.46,39130.0,0.0,1.0,47.65,48.72,47.65,48.46,39130.0
2016-09-26,47.63,48.17,46.74,47.83,52209.0,0.0,1.0,47.63,48.17,46.74,47.83,52209.0
2016-09-23,48.07,48.35,47.4,47.68,54381.0,0.0,1.0,48.07,48.35,47.4,47.68,54381.0
2016-09-22,48.48,48.57,47.2,48.0,68710.0,0.0,1.0,48.48,48.57,47.2,48.0,68710.0
2016-09-21,48.14,48.4,47.16,47.87,55099.0,0.0,1.0,48.14,48.4,47.16,47.87,55099.0
2016-09-20,47.79,47.934,47.49,47.6,52532.0,0.0,1.0,47.79,47.934,47.49,47.6,52532.0
2016-09-19,47.06,47.58,46.32,47.22,72031.0,0.0,1.0,47.06,47.58,46.32,47.22,72031.0
2016-09-16,47.26,47.6999,46.385,46.76,69844.0,0.0,1.0,47.26,47.6999,46.385,46.76,69844.0
2016-09-15,46.09,47.918,45.8,47.41,148971.0,0.0,1.0,46.09,47.918,45.8,47.41,148971.0
2016-09-14,45.78,46.09,44.85,45.35,65101.0,0.0,1.0,45.78,46.09,44.85,45.35,65101.0
2016-09-13,46.26,46.475,45.5,45.55,55541.0,0.0,1.0,46.26,46.475,45.5,45.55,55541.0
2016-09-12,45.73,46.73,41.99,46.52,59854.0,0.0,1.0,45.73,46.73,41.99,46.52,59854.0
2016-09-09,46.59,46.84,45.94,46.19,111083.0,0.0,1.0,46.59,46.84,45.94,46.19,111083.0
2016-09-08,47.5,47.925,46.63,46.98,56749.0,0.0,1.0,47.5,47.925,46.63,46.98,56749.0
2016-09-07,47.5,47.82,46.76,47.37,65549.0,0.0,1.0,47.5,47.82,46.76,47.37,65549.0
2016-09-06,48.31,48.64,47.55,47.76,55422.0,0.0,1.0,48.31,48.64,47.55,47.76,55422.0
2016-09-02,47.53,48.67,47.35,48.32,79513.0,0.0,1.0,47.53,48.67,47.35,48.32,79513.0
2016-09-01,46.85,47.63,46.1,47.49,49766.0,0.0,1.0,46.85,47.63,46.1,47.49,49766.0
2016-08-31,47.23,47.39,45.85,46.66,56355.0,0.0,1.0,47.23,47.39,45.85,46.66,56355.0
2016-08-30,48.01,48.01,46.64,47.39,40955.0,0.0,1.0,48.01,48.01,46.64,47.39,40955.0
2016-08-29,47.5,48.33,46.87,47.57,68862.0,0.0,1.0,47.5,48.33,46.87,47.57,68862.0
2016-08-26,48.45,48.88,47.39,47.62,84917.0,0.0,1.0,48.45,48.88,47.39,47.62,84917.0
2016-08-25,46.89,48.25,46.75,48.21,74784.0,0.0,1.0,46.89,48.25,46.75,48.21,74784.0
2016-08-24,46.64,47.58,46.46,46.86,103873.0,0.0,1.0,46.64,47.58,46.46,46.86,103873.0
2016-08-23,46.49,47.36,46.49,46.79,112300.0,0.0,1.0,46.49,47.36,46.49,46.79,112300.0
2016-08-22,46.68,47.87,46.355,46.46,61683.0,0.0,1.0,46.68,47.87,46.355,46.46,61683.0
2016-08-19,47.24,47.345,46.15,47.04,45352.0,0.0,1.0,47.24,47.345,46.15,47.04,45352.0
2016-08-18,46.2,47.43,45.64,47.28,75124.0,0.22,1.0,46.2,47.43,45.64,47.28,75124.0
2016-08-17,45.69,46.755,45.46,46.44,80430.0,0.0,1.0,45.478383157895,46.538450526316,45.249448421053,46.224909473684,80430.0
2016-08-16,46.48,47.38,45.52,46.16,63778.0,0.0,1.0,46.264724210526,47.160555789474,45.309170526316,45.946206315789,63778.0
2016-08-15,45.39,46.64,45.21,46.46,59472.0,0.0,1.0,45.179772631579,46.423983157895,45.000606315789,46.244816842105,59472.0
2016-08-12,44.74,45.37,43.77,45.18,61694.0,0.0,1.0,44.532783157895,45.159865263158,43.567275789474,44.970745263158,61694.0
2016-08-11,44.7,44.9799,42.72,44.57,71587.0,0.0,1.0,44.492968421053,44.771572042105,42.522138947368,44.363570526316,71587.0
2016-08-10,44.88,46.57,43.17,44.33,63786.0,0.0,1.0,44.672134736842,46.354307368421,42.970054736842,44.124682105263,63786.0
2016-08-09,43.32,44.42,43.0,44.19,72811.0,0.0,1.0,43.11936,44.214265263158,42.800842105263,43.985330526316,72811.0
2016-08-08,44.34,44.439,43.65,43.98,59490.0,0.0,1.0,44.134635789474,44.233177263158,43.447831578947,43.776303157895,59490.0
2016-08-05,43.38,44.86,43.38,44.46,47073.0,0.0,1.0,43.179082105263,44.652227368421,43.179082105263,44.25408,47073.0
2016-08-04,43.75,44.275,43.02,43.1,68692.0,0.0,1.0,43.547368421053,44.069936842105,42.820749473684,42.900378947368,68692.0
2016-08-03,42.33,43.83,42.33,43.59,37037.0,0.0,1.0,42.133945263158,43.626997894737,42.133945263158,43.388109473684,37037.0
2016-08-02,42.62,44.66,41.061,43.16,68124.0,0.0,1.0,42.422602105263,44.453153684211,40.870822736842,42.960101052632,68124.0
