Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,10.09,10.09,9.63,9.64,1811782.0,0.0,1.0,10.09,10.09,9.63,9.64,1811782.0
2016-11-16,9.65,9.795,9.64,9.74,1281041.0,0.0,1.0,9.65,9.795,9.64,9.74,1281041.0
2016-11-15,9.67,9.75,9.56,9.75,1192874.0,0.0,1.0,9.67,9.75,9.56,9.75,1192874.0
2016-11-14,9.5,9.78,9.36,9.68,1601267.0,0.0,1.0,9.5,9.78,9.36,9.68,1601267.0
2016-11-11,9.3,9.47,9.2101,9.45,2351000.0,0.0,1.0,9.3,9.47,9.2101,9.45,2351000.0
2016-11-10,9.23,9.55,9.12,9.29,2883254.0,0.0,1.0,9.23,9.55,9.12,9.29,2883254.0
2016-11-09,8.78,9.2,8.74,9.14,2040330.0,0.0,1.0,8.78,9.2,8.74,9.14,2040330.0
2016-11-08,8.68,8.8,8.6,8.8,1074718.0,0.0,1.0,8.68,8.8,8.6,8.8,1074718.0
2016-11-07,8.54,8.66,8.465,8.66,818205.0,0.0,1.0,8.54,8.66,8.465,8.66,818205.0
2016-11-04,8.42,8.53,8.37,8.41,1540103.0,0.0,1.0,8.42,8.53,8.37,8.41,1540103.0
2016-11-03,8.46,8.5,8.36,8.37,835713.0,0.0,1.0,8.46,8.5,8.36,8.37,835713.0
2016-11-02,8.59,8.59,8.44,8.45,655593.0,0.0,1.0,8.59,8.59,8.44,8.45,655593.0
2016-11-01,9.36,9.36,8.54,8.58,1230162.0,0.0,1.0,9.36,9.36,8.54,8.58,1230162.0
2016-10-31,8.67,8.67,8.56,8.59,1351181.0,0.0,1.0,8.67,8.67,8.56,8.59,1351181.0
2016-10-28,8.87,8.87,8.59,8.625,1471535.0,0.0,1.0,8.87,8.87,8.59,8.625,1471535.0
2016-10-27,8.96,8.98,8.795,8.87,1220588.0,0.0,1.0,8.96,8.98,8.795,8.87,1220588.0
2016-10-26,8.96,9.01,8.83,8.96,940241.0,0.0,1.0,8.96,9.01,8.83,8.96,940241.0
2016-10-25,9.21,9.21,8.85,8.92,554139.0,0.0,1.0,9.21,9.21,8.85,8.92,554139.0
2016-10-24,8.99,9.01,8.88,8.94,595450.0,0.0,1.0,8.99,9.01,8.88,8.94,595450.0
2016-10-21,8.8,8.945,8.8,8.91,798784.0,0.0,1.0,8.8,8.945,8.8,8.91,798784.0
2016-10-20,8.96,8.975,8.835,8.88,742647.0,0.0,1.0,8.96,8.975,8.835,8.88,742647.0
2016-10-19,8.9,8.98,8.84,8.95,853560.0,0.0,1.0,8.9,8.98,8.84,8.95,853560.0
2016-10-18,8.84,8.89,8.7842,8.85,860824.0,0.0,1.0,8.84,8.89,8.7842,8.85,860824.0
2016-10-17,8.89,8.925,8.715,8.75,956924.0,0.0,1.0,8.89,8.925,8.715,8.75,956924.0
2016-10-14,8.82,8.88,8.72,8.88,893951.0,0.0,1.0,8.82,8.88,8.72,8.88,893951.0
2016-10-13,8.78,8.78,8.64,8.75,927906.0,0.0,1.0,8.78,8.78,8.64,8.75,927906.0
2016-10-12,8.87,8.91,8.795,8.83,648163.0,0.0,1.0,8.87,8.91,8.795,8.83,648163.0
2016-10-11,9.02,9.06,8.88,8.89,1447638.0,0.0,1.0,9.02,9.06,8.88,8.89,1447638.0
2016-10-10,8.98,9.075,8.93,9.06,1850474.0,0.0,1.0,8.98,9.075,8.93,9.06,1850474.0
2016-10-07,8.71,8.91,8.655,8.9,2322089.0,0.0,1.0,8.71,8.91,8.655,8.9,2322089.0
2016-10-06,8.64,8.7,8.515,8.7,1026680.0,0.0,1.0,8.64,8.7,8.515,8.7,1026680.0
2016-10-05,8.56,8.64,8.5,8.64,1595238.0,0.0,1.0,8.56,8.64,8.5,8.64,1595238.0
2016-10-04,8.67,8.67,8.52,8.56,1077600.0,0.0,1.0,8.67,8.67,8.52,8.56,1077600.0
2016-10-03,8.75,8.75,8.6,8.68,1035559.0,0.0,1.0,8.75,8.75,8.6,8.68,1035559.0
2016-09-30,8.77,8.81,8.53,8.75,1908237.0,0.0,1.0,8.77,8.81,8.53,8.75,1908237.0
2016-09-29,8.94,8.95,8.79,8.79,801062.0,0.0,1.0,8.94,8.95,8.79,8.79,801062.0
2016-09-28,8.97,8.97,8.83,8.93,695883.0,0.0,1.0,8.97,8.97,8.83,8.93,695883.0
2016-09-27,8.84,8.96,8.81,8.93,1254332.0,0.0,1.0,8.84,8.96,8.81,8.93,1254332.0
2016-09-26,9.12,9.12,8.86,8.88,863165.0,0.0,1.0,9.12,9.12,8.86,8.88,863165.0
2016-09-23,9.07,9.13,9.04,9.05,659693.0,0.0,1.0,9.07,9.13,9.04,9.05,659693.0
2016-09-22,9.05,9.09,9.0,9.09,950350.0,0.0,1.0,9.05,9.09,9.0,9.09,950350.0
2016-09-21,8.97,8.99,8.84,8.98,866697.0,0.0,1.0,8.97,8.99,8.84,8.98,866697.0
2016-09-20,9.05,9.06,8.93,8.94,755728.0,0.0,1.0,9.05,9.06,8.93,8.94,755728.0
2016-09-19,9.06,9.07,8.92,8.99,885946.0,0.0,1.0,9.06,9.07,8.92,8.99,885946.0
2016-09-16,8.99,9.04,8.84,8.94,3211149.0,0.0,1.0,8.99,9.04,8.84,8.94,3211149.0
2016-09-15,8.85,9.06,8.85,8.97,1067059.0,0.0,1.0,8.85,9.06,8.85,8.97,1067059.0
2016-09-14,8.97,9.03,8.86,8.87,1302927.0,0.0,1.0,8.97,9.03,8.86,8.87,1302927.0
