Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,464.5,464.5,444.575,447.68,8938.0,0.0,1.0,464.5,464.5,444.575,447.68,8938.0
2016-11-16,453.92,467.54,451.03,464.33,4925.0,0.0,1.0,453.92,467.54,451.03,464.33,4925.0
2016-11-15,464.3,464.3,453.95,454.06,4874.0,0.0,1.0,464.3,464.3,453.95,454.06,4874.0
2016-11-14,473.78,473.78,460.0,465.16,7641.0,0.0,1.0,473.78,473.78,460.0,465.16,7641.0
2016-11-11,459.33,480.0,446.89,474.78,9518.0,0.0,1.0,459.33,480.0,446.89,474.78,9518.0
2016-11-10,449.4,466.65,448.08,462.32,8145.0,0.0,1.0,449.4,466.65,448.08,462.32,8145.0
2016-11-09,434.25,448.99,428.415,448.78,4278.0,0.0,1.0,434.25,448.99,428.415,448.78,4278.0
2016-11-08,421.9,442.12,415.416,436.43,6609.0,0.0,1.0,421.9,442.12,415.416,436.43,6609.0
2016-11-07,421.2,426.99,415.01,422.2,5817.0,0.0,1.0,421.2,426.99,415.01,422.2,5817.0
2016-11-04,417.2,422.33,410.77,419.03,2044.0,0.0,1.0,417.2,422.33,410.77,419.03,2044.0
2016-11-03,433.06,433.06,411.2,415.6,3370.0,0.0,1.0,433.06,433.06,411.2,415.6,3370.0
2016-11-02,422.5,431.2,418.98,427.9,3219.0,0.0,1.0,422.5,431.2,418.98,427.9,3219.0
2016-11-01,438.0,438.0,424.86,426.0,3682.0,0.0,1.0,438.0,438.0,424.86,426.0,3682.0
2016-10-31,432.0,440.0,431.0,438.18,4102.0,0.0,1.0,432.0,440.0,431.0,438.18,4102.0
2016-10-28,431.42,437.12,431.42,435.0,1777.0,0.0,1.0,431.42,437.12,431.42,435.0,1777.0
2016-10-27,432.9,435.8,432.0,432.06,977.0,0.0,1.0,432.9,435.8,432.0,432.06,977.0
2016-10-26,436.21,441.5,432.0,433.95,763.0,0.0,1.0,436.21,441.5,432.0,433.95,763.0
2016-10-25,446.0,446.4,435.5,437.43,2571.0,0.0,1.0,446.0,446.4,435.5,437.43,2571.0
2016-10-24,440.81,448.14,439.5,447.8,1822.0,0.0,1.0,440.81,448.14,439.5,447.8,1822.0
