Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-06-30,32.8,33.06,32.737,32.8,1808485.0,0.0,1.0,32.8,33.06,32.737,32.8,1808485.0
2015-06-29,33.26,33.26,32.63,32.68,2045690.0,0.0,1.0,33.26,33.26,32.63,32.68,2045690.0
2015-06-26,33.23,33.7,33.05,33.64,1672780.0,0.0,1.0,33.23,33.7,33.05,33.64,1672780.0
2015-06-25,33.32,33.43,33.01,33.26,798047.0,0.0,1.0,33.32,33.43,33.01,33.26,798047.0
2015-06-24,32.78,33.24,32.6,33.16,1558040.0,0.0,1.0,32.78,33.24,32.6,33.16,1558040.0
2015-06-23,33.03,33.12,32.72,32.9,660476.0,0.0,1.0,33.03,33.12,32.72,32.9,660476.0
2015-06-22,32.79,33.14,32.62,33.03,820363.0,0.0,1.0,32.79,33.14,32.62,33.03,820363.0
2015-06-19,32.05,32.71,31.93,32.66,1476876.0,0.0,1.0,32.05,32.71,31.93,32.66,1476876.0
2015-06-18,32.64,32.64,31.82,31.85,2347992.0,0.0,1.0,32.64,32.64,31.82,31.85,2347992.0
2015-06-17,33.83,33.965,32.25,32.59,1687880.0,0.0,1.0,33.83,33.965,32.25,32.59,1687880.0
2015-06-16,32.81,34.35,32.81,33.96,1212436.0,0.0,1.0,32.81,34.35,32.81,33.96,1212436.0
2015-06-15,33.32,33.67,32.92,33.51,986883.0,0.0,1.0,33.32,33.67,32.92,33.51,986883.0
2015-06-12,33.29,33.68,33.17,33.61,626902.0,0.0,1.0,33.29,33.68,33.17,33.61,626902.0
2015-06-11,33.53,33.68,33.1,33.4,920811.0,0.0,1.0,33.53,33.68,33.1,33.4,920811.0
2015-06-10,33.35,33.69,33.31,33.53,591543.0,0.0,1.0,33.35,33.69,33.31,33.53,591543.0
2015-06-09,33.22,33.36,33.065,33.31,563503.0,0.0,1.0,33.22,33.36,33.065,33.31,563503.0
2015-06-08,33.68,33.8799,33.13,33.17,468739.0,0.0,1.0,33.68,33.8799,33.13,33.17,468739.0
2015-06-05,33.68,33.87,33.41,33.77,235035.0,0.0,1.0,33.68,33.87,33.41,33.77,235035.0
2015-06-04,33.82,33.89,33.43,33.66,463135.0,0.0,1.0,33.82,33.89,33.43,33.66,463135.0
2015-06-03,33.75,34.06,33.64,34.0,321081.0,0.0,1.0,33.75,34.06,33.64,34.0,321081.0
2015-06-02,33.55,33.92,33.55,33.7,780461.0,0.0,1.0,33.55,33.92,33.55,33.7,780461.0
2015-06-01,33.34,33.74,33.26,33.57,527100.0,0.0,1.0,33.34,33.74,33.26,33.57,527100.0
2015-05-29,33.3,33.44,33.03,33.29,456171.0,0.0,1.0,33.3,33.44,33.03,33.29,456171.0
2015-05-28,32.89,33.36,32.8505,33.27,717907.0,0.0,1.0,32.89,33.36,32.8505,33.27,717907.0
2015-05-27,32.82,33.08,32.545,33.01,680524.0,0.0,1.0,32.82,33.08,32.545,33.01,680524.0
2015-05-26,32.92,33.12,32.53,32.71,411481.0,0.0,1.0,32.92,33.12,32.53,32.71,411481.0
2015-05-22,33.12,33.18,32.81,33.08,398766.0,0.0,1.0,33.12,33.18,32.81,33.08,398766.0
2015-05-21,33.0,33.48,32.8,33.24,1055141.0,0.0,1.0,33.0,33.48,32.8,33.24,1055141.0
2015-05-20,33.72,33.72,32.98,33.0,800416.0,0.0,1.0,33.72,33.72,32.98,33.0,800416.0
2015-05-19,33.47,33.85,33.32,33.65,1064116.0,0.0,1.0,33.47,33.85,33.32,33.65,1064116.0
2015-05-18,33.39,33.555,33.24,33.52,672179.0,0.0,1.0,33.39,33.555,33.24,33.52,672179.0
2015-05-15,33.54,33.57,33.26,33.49,629387.0,0.0,1.0,33.54,33.57,33.26,33.49,629387.0
2015-05-14,33.6,33.6,33.41,33.54,714417.0,0.0,1.0,33.6,33.6,33.41,33.54,714417.0
2015-05-13,33.29,33.72,33.14,33.44,1021882.0,0.0,1.0,33.29,33.72,33.14,33.44,1021882.0
2015-05-12,33.19,33.29,32.502,33.21,1409931.0,0.0,1.0,33.19,33.29,32.502,33.21,1409931.0
2015-05-11,33.58,33.72,33.4,33.42,687686.0,0.0,1.0,33.58,33.72,33.4,33.42,687686.0
2015-05-08,34.39,34.39,33.64,33.64,1556821.0,0.0,1.0,34.39,34.39,33.64,33.64,1556821.0
2015-05-07,34.41,34.64,33.12,34.04,1878378.0,0.0,1.0,34.41,34.64,33.12,34.04,1878378.0
2015-05-06,31.91,32.07,31.61,31.87,404746.0,0.0,1.0,31.91,32.07,31.61,31.87,404746.0
2015-05-05,32.38,32.435,31.67,31.73,811131.0,0.0,1.0,32.38,32.435,31.67,31.73,811131.0
2015-05-04,32.05,32.49,32.05,32.3,604508.0,0.0,1.0,32.05,32.49,32.05,32.3,604508.0
2015-05-01,32.38,32.49,31.95,32.05,644816.0,0.0,1.0,32.38,32.49,31.95,32.05,644816.0
2015-04-30,32.58,32.77,32.25,32.32,713011.0,0.0,1.0,32.58,32.77,32.25,32.32,713011.0
2015-04-29,32.62,32.83,32.43,32.65,581912.0,0.0,1.0,32.62,32.83,32.43,32.65,581912.0
2015-04-28,32.23,32.75,32.21,32.7,455964.0,0.0,1.0,32.23,32.75,32.21,32.7,455964.0
2015-04-27,32.43,32.6,32.23,32.29,1049070.0,0.0,1.0,32.43,32.6,32.23,32.29,1049070.0
2015-04-24,32.47,32.65,32.2,32.32,678614.0,0.0,1.0,32.47,32.65,32.2,32.32,678614.0
