Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,28.65,29.35,28.6,28.85,804501.0,0.0,1.0,28.65,29.35,28.6,28.85,804501.0
2016-11-16,28.5,28.95,28.3,28.75,938216.0,0.0,1.0,28.5,28.95,28.3,28.75,938216.0
2016-11-15,28.1,28.875,27.85,28.65,859692.0,0.0,1.0,28.1,28.875,27.85,28.65,859692.0
2016-11-14,28.0,29.0,27.75,28.45,1121496.0,0.0,1.0,28.0,29.0,27.75,28.45,1121496.0
2016-11-11,26.55,27.7,26.35,27.6,995767.0,0.0,1.0,26.55,27.7,26.35,27.6,995767.0
2016-11-10,25.9,27.0,25.6,26.55,1258701.0,0.0,1.0,25.9,27.0,25.6,26.55,1258701.0
2016-11-09,24.3,25.55,24.15,25.5,910639.0,0.0,1.0,24.3,25.55,24.15,25.5,910639.0
2016-11-08,23.85,24.0,23.65,23.8,351597.0,0.0,1.0,23.85,24.0,23.65,23.8,351597.0
2016-11-07,23.55,24.05,23.5,24.0,432859.0,0.0,1.0,23.55,24.05,23.5,24.0,432859.0
2016-11-04,23.15,23.475,22.95,23.05,381287.0,0.0,1.0,23.15,23.475,22.95,23.05,381287.0
2016-11-03,23.1,23.3,22.95,23.15,325388.0,0.0,1.0,23.1,23.3,22.95,23.15,325388.0
2016-11-02,23.15,23.2,22.85,22.95,467569.0,0.0,1.0,23.15,23.2,22.85,22.95,467569.0
2016-11-01,23.6,23.8,23.018,23.3,519531.0,0.0,1.0,23.6,23.8,23.018,23.3,519531.0
2016-10-31,23.55,23.7,23.3,23.5,483870.0,0.0,1.0,23.55,23.7,23.3,23.5,483870.0
2016-10-28,23.7,23.85,23.425,23.5,521436.0,0.0,1.0,23.7,23.85,23.425,23.5,521436.0
2016-10-27,23.95,24.0,23.65,23.75,734375.0,0.0,1.0,23.95,24.0,23.65,23.75,734375.0
2016-10-26,23.6,23.95,23.55,23.7,586822.0,0.0,1.0,23.6,23.95,23.55,23.7,586822.0
2016-10-25,24.05,24.15,23.65,23.65,591089.0,0.0,1.0,24.05,24.15,23.65,23.65,591089.0
2016-10-24,23.5,24.1,23.35,24.1,662479.0,0.0,1.0,23.5,24.1,23.35,24.1,662479.0
2016-10-21,22.7,23.3,22.7,23.15,652363.0,0.0,1.0,22.7,23.3,22.7,23.15,652363.0
2016-10-20,23.65,23.8,23.3,23.45,636948.0,0.0,1.0,23.65,23.8,23.3,23.45,636948.0
2016-10-19,23.4,23.75,23.3,23.65,657280.0,0.0,1.0,23.4,23.75,23.3,23.65,657280.0
2016-10-18,23.1,23.4,22.8,23.25,743503.0,0.0,1.0,23.1,23.4,22.8,23.25,743503.0
2016-10-17,22.65,23.05,22.65,22.85,796944.0,0.0,1.0,22.65,23.05,22.65,22.85,796944.0
2016-10-14,22.78,22.99,22.51,22.66,671116.0,0.0,1.0,22.78,22.99,22.51,22.66,671116.0
2016-10-13,22.79,22.81,22.23,22.42,789998.0,0.0,1.0,22.79,22.81,22.23,22.42,789998.0
2016-10-12,23.13,23.27,23.0,23.06,471349.0,0.0,1.0,23.13,23.27,23.0,23.06,471349.0
