Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,36.22,36.56,35.93,36.52,3198973.0,0.0,1.0,36.22,36.56,35.93,36.52,3198973.0
2016-11-16,35.86,36.37,35.86,36.27,3906465.0,0.0,1.0,35.86,36.37,35.86,36.27,3906465.0
2016-11-15,35.54,36.0,35.48,35.82,3643407.0,0.0,1.0,35.54,36.0,35.48,35.82,3643407.0
2016-11-14,34.9,35.79,34.815,35.49,7189918.0,0.0,1.0,34.9,35.79,34.815,35.49,7189918.0
2016-11-11,34.22,35.07,33.6135,34.93,8546316.0,0.0,1.0,34.22,35.07,33.6135,34.93,8546316.0
2016-11-10,36.93,37.365,33.73,34.3,12058695.0,0.0,1.0,36.93,37.365,33.73,34.3,12058695.0
2016-11-09,47.33,47.94,46.73,47.84,3033502.0,0.0,1.0,47.33,47.94,46.73,47.84,3033502.0
2016-11-08,47.93,48.86,47.93,48.68,4091466.0,0.0,1.0,47.93,48.86,47.93,48.68,4091466.0
2016-11-07,47.0,48.08,47.0,48.06,2633069.0,0.0,1.0,47.0,48.08,47.0,48.06,2633069.0
2016-11-04,47.11,47.31,46.55,46.56,1807759.0,0.0,1.0,47.11,47.31,46.55,46.56,1807759.0
2016-11-03,47.76,47.88,46.97,47.08,2345967.0,0.0,1.0,47.76,47.88,46.97,47.08,2345967.0
2016-11-02,47.64,47.87,47.395,47.63,2217297.0,0.0,1.0,47.64,47.87,47.395,47.63,2217297.0
2016-11-01,48.16,48.21,47.44,47.59,2500938.0,0.0,1.0,48.16,48.21,47.44,47.59,2500938.0
2016-10-31,48.03,48.42,47.9869,48.18,2243660.0,0.0,1.0,48.03,48.42,47.9869,48.18,2243660.0
2016-10-28,47.46,48.253,47.46,48.09,2359529.0,0.0,1.0,47.46,48.253,47.46,48.09,2359529.0
2016-10-27,47.73,47.87,47.42,47.46,1750902.0,0.25,1.0,47.73,47.87,47.42,47.46,1750902.0
2016-10-26,47.86,48.12,47.7,48.05,2202388.0,0.0,1.0,47.609214001258,47.867851603437,47.450052399916,47.798218402851,2202388.0
2016-10-25,47.74,48.04,47.68,47.84,1645245.0,0.0,1.0,47.489842800252,47.788270802767,47.430157199748,47.58931880109,1645245.0
2016-10-24,48.2,48.29,47.635,47.69,1958164.0,0.0,1.0,47.947432404108,48.036960804863,47.385392999371,47.440104799832,1958164.0
2016-10-21,47.28,48.579,47.0,48.01,3993663.0,0.0,1.0,47.032253196395,48.324446447286,46.753720394047,47.758428002515,3993663.0
2016-10-20,47.82,47.87,47.215,47.48,2760129.0,0.0,1.0,47.569423600922,47.619161601341,46.96759379585,47.231205198072,2760129.0
2016-10-19,48.4,48.59,47.44,47.85,3644446.0,0.0,1.0,48.146384405785,48.335388807378,47.191414797736,47.599266401174,3644446.0
2016-10-18,47.89,48.81,47.64,48.38,4198439.0,0.0,1.0,47.639056801509,48.554236009222,47.390366799413,48.126489205617,4198439.0
2016-10-17,47.59,47.645,47.42,47.5,1963061.0,0.0,1.0,47.340628798994,47.395340599455,47.171519597569,47.251100398239,1963061.0
2016-10-14,47.66,47.8,47.31,47.55,3227694.0,0.0,1.0,47.410261999581,47.549528400755,47.062095996646,47.300838398659,3227694.0
2016-10-13,46.99,47.05,46.4901,46.92,1941208.0,0.0,1.0,46.743772793964,46.803458394467,46.246492265772,46.674139593377,1941208.0
2016-10-12,47.03,47.37,47.02,47.22,2211834.0,0.0,1.0,46.783563194299,47.121781597149,46.773615594215,46.972567595892,2211834.0
2016-10-11,47.38,47.5,46.86,46.98,2310678.0,0.0,1.0,47.131729197233,47.251100398239,46.614453992874,46.73382519388,2310678.0
2016-10-10,47.03,47.49,47.0,47.38,1837757.0,0.0,1.0,46.783563194299,47.241152798156,46.753720394047,47.131729197233,1837757.0
2016-10-07,47.2,47.22,46.61,46.83,2930253.0,0.0,1.0,46.952672395724,46.972567595892,46.365763990778,46.584611192622,2930253.0
2016-10-06,46.96,47.25,46.865,47.12,2323697.0,0.0,1.0,46.713929993712,47.002410396143,46.619427792916,46.873091595053,2323697.0
2016-10-05,47.45,47.65,47.12,47.15,4037573.0,0.0,1.0,47.20136239782,47.400314399497,46.873091595053,46.902934395305,4037573.0
2016-10-04,47.53,47.89,47.34,47.49,3992041.0,0.0,1.0,47.280943198491,47.639056801509,47.091938796898,47.241152798156,3992041.0
2016-10-03,46.84,47.9,46.81,47.53,4441572.0,0.0,1.0,46.594558792706,47.649004401593,46.564715992454,47.280943198491,4441572.0
2016-09-30,46.57,47.36,46.5,47.11,5884477.0,0.0,1.0,46.325973590442,47.111833997066,46.256340389855,46.86314399497,5884477.0
2016-09-29,45.29,46.71,44.93,46.25,10167886.0,0.0,1.0,45.052680779711,46.465239991616,44.694567176693,46.007650387759,10167886.0
2016-09-28,43.17,43.29,42.92,43.13,2899838.0,0.0,1.0,42.943789561937,43.063160762943,42.695099559841,42.903999161601,2899838.0
2016-09-27,43.21,43.53,43.06,43.24,2811886.0,0.0,1.0,42.983579962272,43.301903164955,42.834365961014,43.013422762524,2811886.0
2016-09-26,43.38,43.54,43.02,43.04,3319193.0,0.0,1.0,43.152689163697,43.311850765039,42.794575560679,42.814470760847,3319193.0
2016-09-23,43.45,43.76,43.35,43.55,3454660.0,0.0,1.0,43.222322364284,43.530697966883,43.122846363446,43.321798365123,3454660.0
2016-09-22,43.51,43.7,43.285,43.59,3030509.0,0.0,1.0,43.282007964787,43.47101236638,43.058186962901,43.361588765458,3030509.0
2016-09-21,42.69,43.32,42.505,43.25,3518110.0,0.0,1.0,42.466304757912,43.093003563194,42.282274156361,43.023370362607,3518110.0
2016-09-20,43.44,43.44,42.66,42.7,5649838.0,0.0,1.0,43.2123747642,43.2123747642,42.436461957661,42.476252357996,5649838.0
2016-09-19,43.32,43.4,43.0,43.2,2977247.0,0.0,1.0,43.093003563194,43.172584363865,42.774680360511,42.973632362188,2977247.0
2016-09-16,43.58,43.59,43.07,43.25,4868781.0,0.0,1.0,43.351641165374,43.361588765458,42.844313561098,43.023370362607,4868781.0
2016-09-15,43.58,43.86,43.41,43.66,2175792.0,0.0,1.0,43.351641165374,43.630173967722,43.182531963949,43.431221966045,2175792.0
2016-09-14,44.05,44.07,43.675,43.82,2001374.0,0.0,1.0,43.819178369315,43.839073569482,43.446143366171,43.590383567386,2001374.0
2016-09-13,44.28,44.42,43.91,43.99,2138930.0,0.0,1.0,44.047973171243,44.187239572417,43.679911968141,43.759492768812,2138930.0
2016-09-12,43.42,44.545,43.34,44.46,3734549.0,0.0,1.0,43.192479564033,44.311584573465,43.112898763362,44.227029972752,3734549.0
2016-09-09,44.53,44.53,43.32,43.32,4876196.0,0.0,1.0,44.296663173339,44.296663173339,43.093003563194,43.093003563194,4876196.0
2016-09-08,45.62,45.63,44.87,44.88,4406652.0,0.0,1.0,45.380951582477,45.390899182561,44.634881576189,44.644829176273,4406652.0
2016-09-07,46.29,46.4,45.71,45.84,1933248.0,0.0,1.0,46.047440788095,46.156864389017,45.470479983232,45.599798784322,1933248.0
2016-09-06,46.58,46.7,46.18,46.41,1608607.0,0.0,1.0,46.335921190526,46.455292391532,45.938017187172,46.166811989101,1608607.0
2016-09-02,46.17,46.77,46.13,46.64,1563938.0,0.0,1.0,45.928069587089,46.524925592119,45.888279186753,46.395606791029,1563938.0
2016-09-01,46.41,46.604,45.77,46.02,2515958.0,0.0,1.0,46.166811989101,46.359795430727,45.530165583735,45.778855585831,2515958.0
2016-08-31,46.37,46.705,46.14,46.61,2599476.0,0.0,1.0,46.127021588765,46.460266191574,45.898226786837,46.365763990778,2599476.0
2016-08-30,46.51,46.51,46.14,46.35,2180891.0,0.0,1.0,46.266287989939,46.266287989939,45.898226786837,46.107126388598,2180891.0
2016-08-29,46.18,46.67,46.15,46.57,1423460.0,0.0,1.0,45.938017187172,46.425449591281,45.908174386921,46.325973590442,1423460.0
2016-08-26,46.19,46.57,45.93,46.04,1613248.0,0.0,1.0,45.947964787256,46.325973590442,45.689327185077,45.798750785999,1613248.0
2016-08-25,46.29,46.42,46.03,46.07,1494853.0,0.0,1.0,46.047440788095,46.176759589185,45.788803185915,45.82859358625,1494853.0
2016-08-24,46.35,46.3758,45.99,46.23,2793923.0,0.0,1.0,46.107126388598,46.132791196814,45.74901278558,45.987755187592,2793923.0
2016-08-23,47.05,47.05,46.17,46.25,2494537.0,0.0,1.0,46.803458394467,46.803458394467,45.928069587089,46.007650387759,2494537.0
2016-08-22,46.92,47.15,46.7,47.05,1573685.0,0.0,1.0,46.674139593377,46.902934395305,46.455292391532,46.803458394467,1573685.0
2016-08-19,46.71,46.9899,46.51,46.94,1570593.0,0.0,1.0,46.465239991616,46.743673317963,46.266287989939,46.694034793544,1570593.0
2016-08-18,46.25,46.93,46.05,46.86,2069706.0,0.0,1.0,46.007650387759,46.68408719346,45.808698386083,46.614453992874,2069706.0
2016-08-17,45.78,46.32,45.53,46.31,3362112.0,0.0,1.0,45.540113183819,46.077283588346,45.291423181723,46.067335988262,3362112.0
2016-08-16,46.04,46.09,45.79,45.8,1584106.0,0.0,1.0,45.798750785999,45.848488786418,45.550060783903,45.560008383987,1584106.0
2016-08-15,46.53,46.58,46.27,46.28,1312798.0,0.0,1.0,46.286183190107,46.335921190526,46.027545587927,46.037493188011,1312798.0
2016-08-12,46.25,46.64,46.07,46.58,2001732.0,0.0,1.0,46.007650387759,46.395606791029,45.82859358625,46.335921190526,2001732.0
2016-08-11,46.45,46.53,46.065,46.15,2268362.0,0.0,1.0,46.206602389436,46.286183190107,45.823619786208,45.908174386921,2268362.0
2016-08-10,46.74,46.74,46.28,46.36,2211142.0,0.0,1.0,46.495082791868,46.495082791868,46.037493188011,46.117073988682,2211142.0
2016-08-09,46.33,46.73,46.29,46.66,1776008.0,0.0,1.0,46.08723118843,46.485135191784,46.047440788095,46.415501991197,1776008.0
2016-08-08,46.43,46.84,46.34,46.65,2256108.0,0.0,1.0,46.186707189268,46.594558792706,46.097178788514,46.405554391113,2256108.0
2016-08-05,47.0,47.15,46.28,46.31,3493828.0,0.0,1.0,46.753720394047,46.902934395305,46.037493188011,46.067335988262,3493828.0
2016-08-04,46.94,47.24,46.68,46.81,1672675.0,0.0,1.0,46.694034793544,46.99246279606,46.435397191364,46.564715992454,1672675.0
2016-08-03,46.74,47.12,46.51,46.94,3638505.0,0.0,1.0,46.495082791868,46.873091595053,46.266287989939,46.694034793544,3638505.0
2016-08-02,47.26,47.26,46.65,46.74,3113844.0,0.0,1.0,47.012357996227,47.012357996227,46.405554391113,46.495082791868,3113844.0
