Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,34.97,35.44,34.855,35.13,315262.0,0.0,1.0,34.97,35.44,34.855,35.13,315262.0
2016-11-16,34.98,35.24,34.78,34.9,419260.0,0.0,1.0,34.98,35.24,34.78,34.9,419260.0
2016-11-15,35.22,35.45,34.64,35.26,482315.0,0.0,1.0,35.22,35.45,34.64,35.26,482315.0
2016-11-14,34.9,36.19,34.86,35.33,551177.0,0.0,1.0,34.9,36.19,34.86,35.33,551177.0
2016-11-11,33.01,34.495,32.9,34.49,761346.0,0.0,1.0,33.01,34.495,32.9,34.49,761346.0
2016-11-10,32.1,33.48,32.0,33.07,799933.0,0.0,1.0,32.1,33.48,32.0,33.07,799933.0
2016-11-09,30.15,31.99,29.93,31.79,755102.0,0.0,1.0,30.15,31.99,29.93,31.79,755102.0
2016-11-08,29.67,30.26,29.41,30.03,314439.0,0.0,1.0,29.67,30.26,29.41,30.03,314439.0
2016-11-07,29.67,29.85,29.5,29.76,394857.0,0.0,1.0,29.67,29.85,29.5,29.76,394857.0
2016-11-04,29.22,29.5,28.87,29.0,234091.0,0.0,1.0,29.22,29.5,28.87,29.0,234091.0
2016-11-03,29.07,29.25,28.89,29.12,284770.0,0.0,1.0,29.07,29.25,28.89,29.12,284770.0
2016-11-02,29.43,29.43,28.84,28.89,246333.0,0.0,1.0,29.43,29.43,28.84,28.89,246333.0
2016-11-01,30.11,30.11,29.35,29.54,228696.0,0.0,1.0,30.11,30.11,29.35,29.54,228696.0
2016-10-31,29.93,30.11,29.805,29.95,292803.0,0.0,1.0,29.93,30.11,29.805,29.95,292803.0
2016-10-28,30.3,30.3,29.77,29.88,191765.0,0.0,1.0,30.3,30.3,29.77,29.88,191765.0
2016-10-27,30.29,30.39,30.07,30.23,273370.0,0.0,1.0,30.29,30.39,30.07,30.23,273370.0
2016-10-26,29.98,30.42,29.955,30.02,200997.0,0.0,1.0,29.98,30.42,29.955,30.02,200997.0
2016-10-25,30.28,30.41,30.04,30.21,212662.0,0.0,1.0,30.28,30.41,30.04,30.21,212662.0
2016-10-24,30.32,30.69,30.215,30.37,164990.0,0.0,1.0,30.32,30.69,30.215,30.37,164990.0
2016-10-21,30.02,30.175,29.91,30.05,222570.0,0.0,1.0,30.02,30.175,29.91,30.05,222570.0
2016-10-20,30.56,30.91,30.25,30.27,403834.0,0.0,1.0,30.56,30.91,30.25,30.27,403834.0
2016-10-19,30.66,30.89,30.52,30.84,302893.0,0.0,1.0,30.66,30.89,30.52,30.84,302893.0
2016-10-18,30.72,30.72,30.29,30.48,264754.0,0.0,1.0,30.72,30.72,30.29,30.48,264754.0
2016-10-17,30.44,30.65,30.29,30.37,262194.0,0.0,1.0,30.44,30.65,30.29,30.37,262194.0
2016-10-14,30.53,30.67,30.28,30.5,317532.0,0.0,1.0,30.53,30.67,30.28,30.5,317532.0
2016-10-13,30.8,30.8,29.94,30.18,437016.0,0.0,1.0,30.8,30.8,29.94,30.18,437016.0
2016-10-12,31.15,31.38,31.015,31.09,192127.0,0.0,1.0,31.15,31.38,31.015,31.09,192127.0
2016-10-11,31.44,31.61,30.91,31.135,336522.0,0.0,1.0,31.44,31.61,30.91,31.135,336522.0
2016-10-10,31.36,31.68,31.36,31.48,202268.0,0.0,1.0,31.36,31.68,31.36,31.48,202268.0
2016-10-07,31.04,31.23,30.763,31.16,292463.0,0.0,1.0,31.04,31.23,30.763,31.16,292463.0
2016-10-06,31.23,31.28,31.03,31.13,264389.0,0.0,1.0,31.23,31.28,31.03,31.13,264389.0
2016-10-05,30.81,31.46,30.77,31.17,431226.0,0.0,1.0,30.81,31.46,30.77,31.17,431226.0
2016-10-04,30.53,30.89,30.41,30.61,199457.0,0.0,1.0,30.53,30.89,30.41,30.61,199457.0
2016-10-03,30.47,30.75,30.31,30.39,305560.0,0.0,1.0,30.47,30.75,30.31,30.39,305560.0
2016-09-30,30.51,30.9999,30.39,30.78,399777.0,0.0,1.0,30.51,30.9999,30.39,30.78,399777.0
2016-09-29,30.99,31.1,30.35,30.37,183384.0,0.0,1.0,30.99,31.1,30.35,30.37,183384.0
2016-09-28,30.64,30.91,30.35,30.9,199346.0,0.0,1.0,30.64,30.91,30.35,30.9,199346.0
2016-09-27,30.2,30.5,30.09,30.47,161067.0,0.0,1.0,30.2,30.5,30.09,30.47,161067.0
2016-09-26,30.76,30.89,30.29,30.3,340467.0,0.0,1.0,30.76,30.89,30.29,30.3,340467.0
2016-09-23,31.2,31.3,31.0,31.08,276040.0,0.0,1.0,31.2,31.3,31.0,31.08,276040.0
2016-09-22,30.92,31.2,30.87,31.17,257082.0,0.0,1.0,30.92,31.2,30.87,31.17,257082.0
2016-09-21,30.15,31.0,30.15,30.84,228125.0,0.0,1.0,30.15,31.0,30.15,30.84,228125.0
2016-09-20,30.86,30.86,30.64,30.64,233138.0,0.0,1.0,30.86,30.86,30.64,30.64,233138.0
2016-09-19,30.61,30.81,30.4401,30.71,259767.0,0.0,1.0,30.61,30.81,30.4401,30.71,259767.0
2016-09-16,30.61,30.61,30.18,30.46,657355.0,0.0,1.0,30.61,30.61,30.18,30.46,657355.0
2016-09-15,30.3,30.6824,30.28,30.66,289936.0,0.0,1.0,30.3,30.6824,30.28,30.66,289936.0
2016-09-14,30.7,30.85,30.25,30.28,436202.0,0.0,1.0,30.7,30.85,30.25,30.28,436202.0
2016-09-13,31.35,31.35,30.49,30.74,614183.0,0.0,1.0,31.35,31.35,30.49,30.74,614183.0
2016-09-12,31.2,31.58,30.73,31.5,777543.0,0.0,1.0,31.2,31.58,30.73,31.5,777543.0
2016-09-09,31.18,31.62,31.16,31.3,1001314.0,0.0,1.0,31.18,31.62,31.16,31.3,1001314.0
2016-09-08,31.19,31.34,31.08,31.27,268697.0,0.0,1.0,31.19,31.34,31.08,31.27,268697.0
2016-09-07,30.72,31.25,30.72,31.25,343637.0,0.0,1.0,30.72,31.25,30.72,31.25,343637.0
2016-09-06,31.57,31.6,30.74,30.82,278342.0,0.0,1.0,31.57,31.6,30.74,30.82,278342.0
2016-09-02,31.43,31.54,31.09,31.53,347824.0,0.0,1.0,31.43,31.54,31.09,31.53,347824.0
2016-09-01,31.5,31.65,31.01,31.25,395161.0,0.0,1.0,31.5,31.65,31.01,31.25,395161.0
2016-08-31,31.45,31.57,31.09,31.42,440321.0,0.0,1.0,31.45,31.57,31.09,31.42,440321.0
2016-08-30,31.21,31.44,31.16,31.44,310388.0,0.18,1.0,31.21,31.44,31.16,31.44,310388.0
2016-08-29,31.2,31.36,30.75,31.26,384814.0,0.0,1.0,31.022390891841,31.181480075901,30.57495256167,31.082049335863,384814.0
2016-08-26,31.05,31.24,30.925,31.14,468545.0,0.0,1.0,30.873244781784,31.062163187856,30.748956356736,30.962732447818,468545.0
2016-08-25,30.85,31.05,30.77,31.04,329402.0,0.0,1.0,30.674383301708,30.873244781784,30.594838709677,30.86330170778,329402.0
2016-08-24,30.94,31.06,30.77,30.84,242505.0,0.0,1.0,30.763870967742,30.883187855787,30.594838709677,30.664440227704,242505.0
2016-08-23,31.08,31.11,30.81,30.89,271857.0,0.0,1.0,30.903074003795,30.932903225806,30.634611005693,30.714155597723,271857.0
2016-08-22,30.9,31.01,30.65,30.9,258189.0,0.0,1.0,30.724098671727,30.833472485768,30.475521821632,30.724098671727,258189.0
2016-08-19,31.06,31.12,30.77,30.98,368705.0,0.0,1.0,30.883187855787,30.94284629981,30.594838709677,30.803643263757,368705.0
2016-08-18,30.81,31.1,30.68,31.07,273980.0,0.0,1.0,30.634611005693,30.922960151803,30.505351043643,30.893130929791,273980.0
2016-08-17,30.61,30.91,30.53,30.81,216712.0,0.0,1.0,30.435749525617,30.734041745731,30.356204933586,30.634611005693,216712.0
2016-08-16,30.8,30.94,30.64,30.66,338680.0,0.0,1.0,30.624667931689,30.763870967742,30.465578747628,30.485464895636,338680.0
2016-08-15,30.63,30.97,30.4,30.93,166328.0,0.0,1.0,30.455635673624,30.793700189753,30.226944971537,30.753927893738,166328.0
2016-08-12,30.4,30.51,30.28,30.5,203962.0,0.0,1.0,30.226944971537,30.336318785579,30.107628083491,30.326375711575,203962.0
2016-08-11,30.59,30.74,30.4,30.6,262528.0,0.0,1.0,30.415863377609,30.565009487666,30.226944971537,30.425806451613,262528.0
2016-08-10,30.83,30.83,30.2975,30.4,229054.0,0.0,1.0,30.6544971537,30.6544971537,30.125028462998,30.226944971537,229054.0
2016-08-09,30.49,30.87,30.49,30.82,255301.0,0.0,1.0,30.316432637571,30.694269449715,30.316432637571,30.644554079696,255301.0
2016-08-08,30.89,30.95,30.435,30.56,223736.0,0.0,1.0,30.714155597723,30.773814041746,30.26174573055,30.386034155598,223736.0
2016-08-05,30.11,30.82,30.11,30.81,677673.0,0.0,1.0,29.938595825427,30.644554079696,29.938595825427,30.634611005693,677673.0
2016-08-04,29.76,30.0,29.51,29.76,243635.0,0.0,1.0,29.590588235294,29.829222011385,29.342011385199,29.590588235294,243635.0
2016-08-03,29.52,29.91,29.52,29.91,263442.0,0.0,1.0,29.351954459203,29.739734345351,29.351954459203,29.739734345351,263442.0
2016-08-02,29.77,29.84,29.41,29.48,278880.0,0.0,1.0,29.600531309298,29.670132827324,29.242580645161,29.312182163188,278880.0
