Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,18.9,19.45,18.75,18.8,201783.0,0.0,1.0,18.9,19.45,18.75,18.8,201783.0
2016-11-16,18.5,19.0,18.45,18.9,137722.0,0.0,1.0,18.5,19.0,18.45,18.9,137722.0
2016-11-15,18.7,18.75,18.2001,18.5,190725.0,0.0,1.0,18.7,18.75,18.2001,18.5,190725.0
2016-11-14,19.25,19.3212,18.65,18.7,324630.0,0.0,1.0,19.25,19.3212,18.65,18.7,324630.0
2016-11-11,18.65,19.55,18.407,19.2,285401.0,0.0,1.0,18.65,19.55,18.407,19.2,285401.0
2016-11-10,19.0,19.1,17.33,18.4,373776.0,0.0,1.0,19.0,19.1,17.33,18.4,373776.0
2016-11-09,17.95,19.0,17.7,18.9,256348.0,0.0,1.0,17.95,19.0,17.7,18.9,256348.0
2016-11-08,17.9,18.4,17.75,18.3,170342.0,0.0,1.0,17.9,18.4,17.75,18.3,170342.0
2016-11-07,18.3,18.4,17.801,17.9,192231.0,0.0,1.0,18.3,18.4,17.801,17.9,192231.0
2016-11-04,18.1,18.3,17.9,18.0,174696.0,0.0,1.0,18.1,18.3,17.9,18.0,174696.0
2016-11-03,17.95,18.2,17.85,18.05,360684.0,0.0,1.0,17.95,18.2,17.85,18.05,360684.0
2016-11-02,19.1,19.1,17.75,18.0,568798.0,0.0,1.0,19.1,19.1,17.75,18.0,568798.0
2016-11-01,19.65,19.75,18.9,19.3,242042.0,0.0,1.0,19.65,19.75,18.9,19.3,242042.0
2016-10-31,19.75,19.85,19.375,19.65,169433.0,0.0,1.0,19.75,19.85,19.375,19.65,169433.0
2016-10-28,20.1,20.15,19.6,19.75,139190.0,0.0,1.0,20.1,20.15,19.6,19.75,139190.0
2016-10-27,19.7,20.15,19.4,20.1,140020.0,0.0,1.0,19.7,20.15,19.4,20.1,140020.0
2016-10-26,19.55,19.9,19.5,19.6,90286.0,0.0,1.0,19.55,19.9,19.5,19.6,90286.0
2016-10-25,20.1,20.25,19.7,19.7,84607.0,0.0,1.0,20.1,20.25,19.7,19.7,84607.0
2016-10-24,19.95,20.35,19.8,20.1,120004.0,0.0,1.0,19.95,20.35,19.8,20.1,120004.0
2016-10-21,19.5,19.75,19.35,19.75,105757.0,0.0,1.0,19.5,19.75,19.35,19.75,105757.0
2016-10-20,20.0,20.0,19.55,19.75,72840.0,0.0,1.0,20.0,20.0,19.55,19.75,72840.0
2016-10-19,19.95,20.25,19.75,20.0,135708.0,0.0,1.0,19.95,20.25,19.75,20.0,135708.0
2016-10-18,19.9,20.15,19.65,19.75,116581.0,0.0,1.0,19.9,20.15,19.65,19.75,116581.0
2016-10-17,19.45,19.8,19.35,19.55,238126.0,0.0,1.0,19.45,19.8,19.35,19.55,238126.0
2016-10-14,19.94,20.16,19.46,19.49,220844.0,0.0,1.0,19.94,20.16,19.46,19.49,220844.0
2016-10-13,19.31,19.98,19.11,19.88,200979.0,0.0,1.0,19.31,19.98,19.11,19.88,200979.0
