Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,31.75,31.965,31.33,31.4,1901602.0,0.0,1.0,31.75,31.965,31.33,31.4,1901602.0
2016-11-16,31.56,31.86,31.12,31.37,1917390.0,0.0,1.0,31.56,31.86,31.12,31.37,1917390.0
2016-11-15,31.43,31.95,31.03,31.88,2180902.0,0.0,1.0,31.43,31.95,31.03,31.88,2180902.0
2016-11-14,30.58,31.06,30.05,31.01,2654504.0,0.0,1.0,30.58,31.06,30.05,31.01,2654504.0
2016-11-11,31.07,31.31,30.05,30.54,2404685.0,0.0,1.0,31.07,31.31,30.05,30.54,2404685.0
2016-11-10,31.27,31.63,30.58,31.05,3417506.0,0.0,1.0,31.27,31.63,30.58,31.05,3417506.0
2016-11-09,29.94,31.57,29.61,30.44,5339326.0,0.0,1.0,29.94,31.57,29.61,30.44,5339326.0
2016-11-08,28.43,28.5,27.53,28.09,1569858.0,0.0,1.0,28.43,28.5,27.53,28.09,1569858.0
2016-11-07,29.58,29.6789,28.555,28.56,1704125.0,0.0,1.0,29.58,29.6789,28.555,28.56,1704125.0
2016-11-04,29.77,29.88,28.895,29.02,1944781.0,0.0,1.0,29.77,29.88,28.895,29.02,1944781.0
2016-11-03,29.8,30.1,29.09,29.92,1549448.0,0.0,1.0,29.8,30.1,29.09,29.92,1549448.0
2016-11-02,31.31,31.57,29.75,29.77,2569088.0,0.0,1.0,31.31,31.57,29.75,29.77,2569088.0
2016-11-01,32.08,32.39,31.22,31.69,2148049.0,0.0,1.0,32.08,32.39,31.22,31.69,2148049.0
2016-10-31,32.01,32.61,31.81,32.02,2032083.0,0.0,1.0,32.01,32.61,31.81,32.02,2032083.0
2016-10-28,28.9,32.06,28.81,31.92,4819950.0,0.0,1.0,28.9,32.06,28.81,31.92,4819950.0
2016-10-27,27.53,27.71,27.27,27.62,1246004.0,0.0,1.0,27.53,27.71,27.27,27.62,1246004.0
2016-10-26,26.58,27.589,26.55,27.23,1054122.0,0.0,1.0,26.58,27.589,26.55,27.23,1054122.0
2016-10-25,27.31,27.3753,26.65,26.84,1388808.0,0.0,1.0,27.31,27.3753,26.65,26.84,1388808.0
2016-10-24,27.75,27.78,27.15,27.34,1468019.0,0.0,1.0,27.75,27.78,27.15,27.34,1468019.0
2016-10-21,27.32,27.81,27.0,27.62,2054301.0,0.0,1.0,27.32,27.81,27.0,27.62,2054301.0
2016-10-20,27.56,27.9,27.26,27.76,1803035.0,0.0,1.0,27.56,27.9,27.26,27.76,1803035.0
2016-10-19,27.81,28.16,27.66,27.89,894336.0,0.0,1.0,27.81,28.16,27.66,27.89,894336.0
2016-10-18,27.81,27.87,27.41,27.73,966814.0,0.0,1.0,27.81,27.87,27.41,27.73,966814.0
