Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,1.76,1.79,1.75,1.79,188712.0,0.0,1.0,1.76,1.79,1.75,1.79,188712.0
2016-11-16,1.68,1.76,1.67,1.75,187360.0,0.0,1.0,1.68,1.76,1.67,1.75,187360.0
2016-11-15,1.5861,1.7,1.57,1.68,365038.0,0.0,1.0,1.5861,1.7,1.57,1.68,365038.0
2016-11-14,1.58,1.7,1.58,1.59,284888.0,0.0,1.0,1.58,1.7,1.58,1.59,284888.0
2016-11-11,1.55,1.595,1.53,1.58,175180.0,0.0,1.0,1.55,1.595,1.53,1.58,175180.0
2016-11-10,1.48,1.58,1.4,1.57,286942.0,0.0,1.0,1.48,1.58,1.4,1.57,286942.0
2016-11-09,1.45,1.49,1.425,1.48,183219.0,0.0,1.0,1.45,1.49,1.425,1.48,183219.0
2016-11-08,1.53,1.54,1.45,1.47,163812.0,0.0,1.0,1.53,1.54,1.45,1.47,163812.0
2016-11-07,1.47,1.58,1.47,1.51,209111.0,0.0,1.0,1.47,1.58,1.47,1.51,209111.0
2016-11-04,1.51,1.69,1.46,1.47,2377201.0,0.0,1.0,1.51,1.69,1.46,1.47,2377201.0
2016-11-03,1.24,1.3,1.21,1.21,40221.0,0.0,1.0,1.24,1.3,1.21,1.21,40221.0
2016-11-02,1.25,1.27,1.22,1.25,36188.0,0.0,1.0,1.25,1.27,1.22,1.25,36188.0
2016-11-01,1.29,1.3,1.2,1.23,281257.0,0.0,1.0,1.29,1.3,1.2,1.23,281257.0
2016-10-31,1.34,1.34,1.25,1.28,99495.0,0.0,1.0,1.34,1.34,1.25,1.28,99495.0
2016-10-28,1.37,1.39,1.31,1.32,230043.0,0.0,1.0,1.37,1.39,1.31,1.32,230043.0
2016-10-27,1.35,1.39,1.35,1.37,103911.0,0.0,1.0,1.35,1.39,1.35,1.37,103911.0
2016-10-26,1.35,1.39,1.33,1.35,147216.0,0.0,1.0,1.35,1.39,1.33,1.35,147216.0
2016-10-25,1.4,1.44,1.37,1.38,42925.0,0.0,1.0,1.4,1.44,1.37,1.38,42925.0
2016-10-24,1.42,1.42,1.4,1.41,78859.0,0.0,1.0,1.42,1.42,1.4,1.41,78859.0
2016-10-21,1.4,1.42,1.38,1.4,93241.0,0.0,1.0,1.4,1.42,1.38,1.4,93241.0
2016-10-20,1.44,1.44,1.37,1.41,55465.0,0.0,1.0,1.44,1.44,1.37,1.41,55465.0
2016-10-19,1.43,1.44,1.42,1.42,14619.0,0.0,1.0,1.43,1.44,1.42,1.42,14619.0
2016-10-18,1.4,1.44,1.37,1.4,13705.0,0.0,1.0,1.4,1.44,1.37,1.4,13705.0
2016-10-17,1.41,1.42,1.38,1.4,64036.0,0.0,1.0,1.41,1.42,1.38,1.4,64036.0
2016-10-14,1.34,1.43,1.34,1.41,93109.0,0.0,1.0,1.34,1.43,1.34,1.41,93109.0
2016-10-13,1.39,1.43,1.365,1.4,97582.0,0.0,1.0,1.39,1.43,1.365,1.4,97582.0
2016-10-12,1.4,1.405,1.35,1.39,120077.0,0.0,1.0,1.4,1.405,1.35,1.39,120077.0
2016-10-11,1.4,1.45,1.4,1.41,72315.0,0.0,1.0,1.4,1.45,1.4,1.41,72315.0
2016-10-10,1.43,1.48,1.4,1.4,197665.0,0.0,1.0,1.43,1.48,1.4,1.4,197665.0
