Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,68.46,69.01,68.38,68.87,519224.0,0.0,1.0,68.46,69.01,68.38,68.87,519224.0
2016-11-16,68.2,68.66,67.92,68.6,589581.0,0.0,1.0,68.2,68.66,67.92,68.6,589581.0
2016-11-15,68.43,68.6,67.97,68.53,835777.0,0.0,1.0,68.43,68.6,67.97,68.53,835777.0
2016-11-14,68.09,68.95,67.86,68.77,1858167.0,0.0,1.0,68.09,68.95,67.86,68.77,1858167.0
2016-11-11,67.4,68.17,66.99,67.94,2133049.0,0.0,1.0,67.4,68.17,66.99,67.94,2133049.0
2016-11-10,66.51,68.36,65.2488,67.64,1612706.0,0.0,1.0,66.51,68.36,65.2488,67.64,1612706.0
2016-11-09,63.86,66.22,63.63,66.19,1274345.0,0.0,1.0,63.86,66.22,63.63,66.19,1274345.0
2016-11-08,63.4,63.88,62.97,63.59,850686.0,0.0,1.0,63.4,63.88,62.97,63.59,850686.0
2016-11-07,63.92,64.055,62.75,63.7,807510.0,0.0,1.0,63.92,64.055,62.75,63.7,807510.0
2016-11-04,63.22,64.09,62.68,63.4,549781.0,0.0,1.0,63.22,64.09,62.68,63.4,549781.0
2016-11-03,62.74,63.44,62.73,62.99,657153.0,0.0,1.0,62.74,63.44,62.73,62.99,657153.0
2016-11-02,62.8,63.46,62.8,62.9,442359.0,0.0,1.0,62.8,63.46,62.8,62.9,442359.0
2016-11-01,63.01,63.4,62.58,63.11,812799.0,0.0,1.0,63.01,63.4,62.58,63.11,812799.0
2016-10-31,62.98,63.44,62.4,63.21,879159.0,0.0,1.0,62.98,63.44,62.4,63.21,879159.0
2016-10-28,62.07,63.49,61.715,63.24,1116815.0,0.0,1.0,62.07,63.49,61.715,63.24,1116815.0
2016-10-27,62.67,62.79,61.58,62.16,1380576.0,0.0,1.0,62.67,62.79,61.58,62.16,1380576.0
2016-10-26,63.77,64.0,63.31,63.51,968464.0,0.0,1.0,63.77,64.0,63.31,63.51,968464.0
2016-10-25,64.52,64.54,63.75,63.92,693315.0,0.0,1.0,64.52,64.54,63.75,63.92,693315.0
2016-10-24,64.15,64.45,63.965,64.33,504714.0,0.0,1.0,64.15,64.45,63.965,64.33,504714.0
2016-10-21,63.68,64.04,62.89,63.92,1346835.0,0.0,1.0,63.68,64.04,62.89,63.92,1346835.0
2016-10-20,65.2,65.2,63.77,63.78,595870.0,0.0,1.0,65.2,65.2,63.77,63.78,595870.0
2016-10-19,64.97,65.14,64.61,64.85,894094.0,0.0,1.0,64.97,65.14,64.61,64.85,894094.0
2016-10-18,65.21,65.35,64.71,64.99,705884.0,0.0,1.0,65.21,65.35,64.71,64.99,705884.0
2016-10-17,65.94,65.985,64.52,64.58,818594.0,0.0,1.0,65.94,65.985,64.52,64.58,818594.0
2016-10-14,66.19,66.54,65.81,66.09,580639.0,0.0,1.0,66.19,66.54,65.81,66.09,580639.0
2016-10-13,66.22,66.665,65.69,65.89,1077866.0,0.0,1.0,66.22,66.665,65.69,65.89,1077866.0
2016-10-12,66.85,67.5,66.17,66.81,687240.0,0.0,1.0,66.85,67.5,66.17,66.81,687240.0
2016-10-11,67.35,67.655,66.3,67.1,1311552.0,0.0,1.0,67.35,67.655,66.3,67.1,1311552.0
2016-10-10,68.01,68.4299,66.61,66.89,783863.0,0.0,1.0,68.01,68.4299,66.61,66.89,783863.0
2016-10-07,67.23,68.25,67.105,67.85,710575.0,0.0,1.0,67.23,68.25,67.105,67.85,710575.0
2016-10-06,67.05,67.58,66.705,67.56,476533.0,0.0,1.0,67.05,67.58,66.705,67.56,476533.0
2016-10-05,66.99,67.56,66.53,67.41,1179000.0,0.0,1.0,66.99,67.56,66.53,67.41,1179000.0
2016-10-04,66.76,67.33,66.33,66.84,1363984.0,0.0,1.0,66.76,67.33,66.33,66.84,1363984.0
2016-10-03,64.91,65.93,64.64,65.76,993996.0,0.0,1.0,64.91,65.93,64.64,65.76,993996.0
2016-09-30,65.5,65.61,64.62,64.85,1162511.0,0.0,1.0,65.5,65.61,64.62,64.85,1162511.0
2016-09-29,66.29,66.68,64.94,65.27,1014152.0,0.0,1.0,66.29,66.68,64.94,65.27,1014152.0
2016-09-28,67.2,67.34,65.77,66.31,1555784.0,0.0,1.0,67.2,67.34,65.77,66.31,1555784.0
2016-09-27,67.13,67.26,66.3,66.91,2599525.0,0.0,1.0,67.13,67.26,66.3,66.91,2599525.0
2016-09-26,69.16,70.53,66.27,66.59,3240708.0,0.0,1.0,69.16,70.53,66.27,66.59,3240708.0
2016-09-23,69.56,71.05,67.94,70.3,1864825.0,0.0,1.0,69.56,71.05,67.94,70.3,1864825.0
2016-09-22,69.98,69.98,69.22,69.41,380296.0,0.0,1.0,69.98,69.98,69.22,69.41,380296.0
2016-09-21,69.59,69.99,69.12,69.74,410648.0,0.0,1.0,69.59,69.99,69.12,69.74,410648.0
2016-09-20,69.84,69.98,69.39,69.62,275093.0,0.0,1.0,69.84,69.98,69.39,69.62,275093.0
2016-09-19,69.16,69.66,68.67,69.4,351947.0,0.0,1.0,69.16,69.66,68.67,69.4,351947.0
2016-09-16,68.4,69.07,67.67,68.94,735753.0,0.0,1.0,68.4,69.07,67.67,68.94,735753.0
2016-09-15,67.44,68.22,66.7718,68.15,365629.0,0.0,1.0,67.44,68.22,66.7718,68.15,365629.0
2016-09-14,68.6,68.67,67.64,67.75,393086.0,0.0,1.0,68.6,68.67,67.64,67.75,393086.0
2016-09-13,69.25,69.34,68.08,68.31,355168.0,0.0,1.0,69.25,69.34,68.08,68.31,355168.0
2016-09-12,67.99,69.61,67.57,69.42,501746.0,0.0,1.0,67.99,69.61,67.57,69.42,501746.0
2016-09-09,68.16,68.72,68.0,68.0,383606.0,0.0,1.0,68.16,68.72,68.0,68.0,383606.0
2016-09-08,68.51,68.65,68.21,68.54,212612.0,0.0,1.0,68.51,68.65,68.21,68.54,212612.0
2016-09-07,68.17,68.97,67.63,68.63,365882.0,0.0,1.0,68.17,68.97,67.63,68.63,365882.0
2016-09-06,68.3,68.55,67.96,68.51,434135.0,0.0,1.0,68.3,68.55,67.96,68.51,434135.0
2016-09-02,68.28,68.9,68.01,68.53,529344.0,0.0,1.0,68.28,68.9,68.01,68.53,529344.0
2016-09-01,68.74,69.22,68.44,68.95,331738.0,0.0,1.0,68.74,69.22,68.44,68.95,331738.0
2016-08-31,68.92,69.2375,68.535,68.69,395318.0,0.25,1.0,68.92,69.2375,68.535,68.69,395318.0
2016-08-30,69.12,69.12,68.26,69.08,383727.0,0.0,1.0,68.869347258486,68.869347258486,68.012465912388,68.829492312155,383727.0
2016-08-29,68.96,69.44,68.945,69.05,279262.0,0.0,1.0,68.709927473165,69.188186829127,68.694981868291,68.799601102408,279262.0
2016-08-26,68.57,69.21,68.48,68.9,439228.0,0.0,1.0,68.321341746446,68.959020887728,68.231668117203,68.65014505367,439228.0
2016-08-25,68.64,68.885,68.245,68.61,381680.0,0.0,1.0,68.391087902524,68.635199448796,67.997520307514,68.361196692776,381680.0
2016-08-24,68.0,68.72,67.91,68.72,273446.0,0.0,1.0,67.753408761242,68.470797795184,67.663735131999,68.470797795184,273446.0
2016-08-23,68.41,68.66,68.16,68.23,201683.0,0.0,1.0,68.161921961126,68.411015375689,67.912828546562,67.98257470264,201683.0
2016-08-22,68.2,68.7,68.05,68.4,164942.0,0.0,1.0,67.952683492892,68.450870322019,67.803227444154,68.151958224543,164942.0
2016-08-19,68.48,68.67,68.03,68.2,272609.0,0.0,1.0,68.231668117203,68.420979112272,67.783299970989,67.952683492892,272609.0
2016-08-18,68.29,68.88,68.08,68.63,265141.0,0.0,1.0,68.042357122135,68.630217580505,67.833118653902,68.381124165941,265141.0
2016-08-17,67.25,68.3099,67.12,68.24,429501.0,0.0,1.0,67.006128517552,68.062184957934,66.876599941979,67.992538439223,429501.0
2016-08-16,68.1,68.16,67.17,67.22,323361.0,0.0,1.0,67.853046127067,67.912828546562,66.926418624891,66.976237307804,323361.0
2016-08-15,67.16,68.15,66.8,68.14,570946.0,0.0,1.0,66.916454888309,67.90286480998,66.557760371337,67.892901073397,570946.0
