Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,56.53,57.44,56.4,57.2,385000.0,0.0,1.0,56.53,57.44,56.4,57.2,385000.0
2016-11-16,56.64,57.0,56.072,56.39,362618.0,0.0,1.0,56.64,57.0,56.072,56.39,362618.0
2016-11-15,57.03,57.15,56.04,57.11,1015634.0,0.0,1.0,57.03,57.15,56.04,57.11,1015634.0
2016-11-14,55.95,58.04,55.44,57.34,674235.0,0.0,1.0,55.95,58.04,55.44,57.34,674235.0
2016-11-11,53.95,55.53,53.78,55.37,764747.0,0.0,1.0,53.95,55.53,53.78,55.37,764747.0
2016-11-10,52.65,54.58,52.62,54.09,658625.0,0.0,1.0,52.65,54.58,52.62,54.09,658625.0
2016-11-09,50.35,52.31,50.15,51.99,655741.0,0.0,1.0,50.35,52.31,50.15,51.99,655741.0
2016-11-08,49.87,50.29,49.55,49.85,386822.0,0.0,1.0,49.87,50.29,49.55,49.85,386822.0
2016-11-07,49.8,50.225,49.8,49.99,489691.0,0.0,1.0,49.8,50.225,49.8,49.99,489691.0
2016-11-04,49.32,49.91,48.98,49.25,252461.0,0.0,1.0,49.32,49.91,48.98,49.25,252461.0
2016-11-03,49.1,49.42,48.9,49.31,245188.0,0.0,1.0,49.1,49.42,48.9,49.31,245188.0
2016-11-02,49.42,49.55,48.96,49.03,284686.0,0.0,1.0,49.42,49.55,48.96,49.03,284686.0
2016-11-01,50.12,50.275,49.32,49.7,295602.0,0.0,1.0,50.12,50.275,49.32,49.7,295602.0
2016-10-31,49.88,50.08,49.59,49.82,793166.0,0.0,1.0,49.88,50.08,49.59,49.82,793166.0
2016-10-28,50.22,50.22,49.45,49.71,306013.0,0.0,1.0,50.22,50.22,49.45,49.71,306013.0
2016-10-27,50.28,50.29,49.87,50.1,477074.0,0.0,1.0,50.28,50.29,49.87,50.1,477074.0
2016-10-26,49.21,49.99,49.21,49.94,536324.0,0.0,1.0,49.21,49.99,49.21,49.94,536324.0
2016-10-25,49.78,49.86,49.28,49.41,306558.0,0.0,1.0,49.78,49.86,49.28,49.41,306558.0
2016-10-24,49.71,50.11,49.61,49.84,266755.0,0.0,1.0,49.71,50.11,49.61,49.84,266755.0
2016-10-21,49.22,49.65,49.06,49.54,272103.0,0.0,1.0,49.22,49.65,49.06,49.54,272103.0
