Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,27.62,27.78,26.945,27.09,5507136.0,0.0,1.0,27.62,27.78,26.945,27.09,5507136.0
2016-11-16,27.7,27.85,27.44,27.44,3500845.0,0.0,1.0,27.7,27.85,27.44,27.44,3500845.0
2016-11-15,28.04,28.25,27.4125,27.8,5605787.0,0.0,1.0,28.04,28.25,27.4125,27.8,5605787.0
2016-11-14,27.83,28.3,27.42,28.2,5716021.0,0.0,1.0,27.83,28.3,27.42,28.2,5716021.0
2016-11-11,27.1,28.0,26.91,27.79,6932290.0,0.0,1.0,27.1,28.0,26.91,27.79,6932290.0
2016-11-10,26.53,28.23,26.53,27.13,9144445.0,0.3,1.0,26.53,28.23,26.53,27.13,9144445.0
2016-11-09,24.05,26.72,23.725,26.48,10534649.0,0.0,1.0,23.786966824645,26.427765220561,23.465521327014,26.19039008385,10534649.0
2016-11-08,23.2,24.49,23.04,24.34,8285959.0,0.0,1.0,22.946263215458,24.222154575283,22.788013124316,24.073795114838,8285959.0
2016-11-07,23.51,23.66,23.12,23.29,5823447.0,0.0,1.0,23.252872767043,23.401232227488,22.867138169887,23.035278891724,5823447.0
2016-11-04,22.65,23.42,22.58,23.11,7892020.0,0.0,1.0,22.40227852716,23.163857090777,22.333044112286,22.857247539191,7892020.0
2016-11-03,23.57,23.57,22.18,22.6,19306318.0,0.0,1.0,23.312216551221,23.312216551221,21.937418884433,22.352825373678,19306318.0
2016-11-02,24.79,25.11,24.56,24.7,5548359.0,0.0,1.0,24.518873496172,24.835373678454,24.291388990157,24.429857819905,5548359.0
2016-11-01,24.15,25.01,23.92,24.89,7406844.0,0.0,1.0,23.885873131608,24.736467371491,23.658388625592,24.617779803135,7406844.0
2016-10-31,24.46,24.8,23.94,24.01,3488599.0,0.0,1.0,24.192482683194,24.528764126868,23.678169886985,23.747404301859,3488599.0
2016-10-28,24.62,24.93,24.09,24.52,4702189.0,0.0,1.0,24.350732774335,24.657342325921,23.82652934743,24.251826467371,4702189.0
2016-10-27,25.87,25.95,24.46,24.53,4557924.0,0.0,1.0,25.587061611374,25.666186656945,24.192482683194,24.261717098068,4557924.0
2016-10-26,25.45,26.0,25.24,25.55,4562288.0,0.0,1.0,25.171655122129,25.715639810427,24.963951877506,25.270561429092,4562288.0
2016-10-25,25.39,25.8,25.2,25.54,4851177.0,0.0,1.0,25.112311337951,25.5178271965,24.924389354721,25.260670798396,4851177.0
