Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,42.3,42.65,42.1,42.2,3726.0,0.0,1.0,42.3,42.65,42.1,42.2,3726.0
2016-11-16,41.95,42.35,41.4,42.35,12443.0,0.0,1.0,41.95,42.35,41.4,42.35,12443.0
2016-11-15,42.5,43.2,41.5,42.35,8983.0,0.0,1.0,42.5,43.2,41.5,42.35,8983.0
2016-11-14,42.5,42.5,42.175,42.5,4043.0,0.0,1.0,42.5,42.5,42.175,42.5,4043.0
2016-11-11,42.35,42.65,41.6,42.35,22961.0,0.0,1.0,42.35,42.65,41.6,42.35,22961.0
2016-11-10,41.65,43.1,41.25,42.7,11018.0,0.0,1.0,41.65,43.1,41.25,42.7,11018.0
2016-11-09,42.45,42.6,41.25,41.5,13791.0,0.0,1.0,42.45,42.6,41.25,41.5,13791.0
2016-11-08,41.9,42.4,41.9,42.3,1921.0,0.0,1.0,41.9,42.4,41.9,42.3,1921.0
2016-11-07,41.4,42.15,41.4,42.15,2779.0,0.0,1.0,41.4,42.15,41.4,42.15,2779.0
2016-11-04,41.8,41.85,41.0,41.0,2291.0,0.0,1.0,41.8,41.85,41.0,41.0,2291.0
2016-11-03,41.8,42.15,41.4,41.9,4199.0,0.0,1.0,41.8,42.15,41.4,41.9,4199.0
2016-11-02,41.35,42.0,41.3,41.95,4226.0,0.0,1.0,41.35,42.0,41.3,41.95,4226.0
2016-11-01,41.75,42.55,41.15,41.85,9352.0,0.0,1.0,41.75,42.55,41.15,41.85,9352.0
2016-10-31,42.4,42.4,41.75,41.8,4331.0,0.0,1.0,42.4,42.4,41.75,41.8,4331.0
2016-10-28,42.08,42.58,41.6,42.58,7655.0,0.0,1.0,42.08,42.58,41.6,42.58,7655.0
2016-10-27,41.57,42.94,41.28,42.0,9214.0,0.0,1.0,41.57,42.94,41.28,42.0,9214.0
2016-10-26,42.03,42.95,41.2,42.29,7234.0,0.0,1.0,42.03,42.95,41.2,42.29,7234.0
2016-10-25,42.28,43.545,41.622,42.33,6351.0,0.0,1.0,42.28,43.545,41.622,42.33,6351.0
2016-10-24,40.0136,42.72,40.0136,42.22,17402.0,0.0,1.0,40.0136,42.72,40.0136,42.22,17402.0
2016-10-21,41.84,42.41,41.84,42.41,1963.0,0.0,1.0,41.84,42.41,41.84,42.41,1963.0
2016-10-20,44.188,44.188,42.64,42.64,941.0,0.0,1.0,44.188,44.188,42.64,42.64,941.0
2016-10-19,42.835,42.835,42.39,42.39,1077.0,0.0,1.0,42.835,42.835,42.39,42.39,1077.0
2016-10-18,42.93,42.93,42.93,42.93,446.0,0.0,1.0,42.93,42.93,42.93,42.93,446.0
2016-10-17,42.75,42.75,42.17,42.54,3758.0,0.0,1.0,42.75,42.75,42.17,42.54,3758.0
2016-10-14,42.69,42.9831,42.61,42.61,2496.0,0.0,1.0,42.69,42.9831,42.61,42.61,2496.0
2016-10-13,42.8,43.2,42.75,42.82,6956.0,0.0,1.0,42.8,43.2,42.75,42.82,6956.0
2016-10-12,43.775,43.775,42.87,42.87,2687.0,0.0,1.0,43.775,43.775,42.87,42.87,2687.0
2016-10-11,43.36,43.632,42.75,42.93,7943.0,0.0,1.0,43.36,43.632,42.75,42.93,7943.0
