Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,33.35,33.95,33.325,33.55,42168.0,0.0,1.0,33.35,33.95,33.325,33.55,42168.0
2016-11-16,33.4,33.6,32.8,33.5,40893.0,0.0,1.0,33.4,33.6,32.8,33.5,40893.0
2016-11-15,32.3,33.5,31.35,33.45,45802.0,0.0,1.0,32.3,33.5,31.35,33.45,45802.0
2016-11-14,32.95,33.5,32.3,32.65,64185.0,0.0,1.0,32.95,33.5,32.3,32.65,64185.0
2016-11-11,31.0,32.95,31.0,32.6,55596.0,0.0,1.0,31.0,32.95,31.0,32.6,55596.0
2016-11-10,30.2,31.3,29.8,30.9,43174.0,0.0,1.0,30.2,31.3,29.8,30.9,43174.0
2016-11-09,28.35,30.45,27.65,30.05,41404.0,0.0,1.0,28.35,30.45,27.65,30.05,41404.0
2016-11-08,28.45,29.1,28.45,28.75,20952.0,0.0,1.0,28.45,29.1,28.45,28.75,20952.0
2016-11-07,28.2,28.7,27.75,28.65,19623.0,0.0,1.0,28.2,28.7,27.75,28.65,19623.0
2016-11-04,26.8,28.2,26.8,27.85,42825.0,0.0,1.0,26.8,28.2,26.8,27.85,42825.0
2016-11-03,27.75,27.85,26.8,26.9,22044.0,0.0,1.0,27.75,27.85,26.8,26.9,22044.0
2016-11-02,27.75,28.05,27.55,27.6,22013.0,0.0,1.0,27.75,28.05,27.55,27.6,22013.0
2016-11-01,27.95,28.3,27.45,27.95,39158.0,0.0,1.0,27.95,28.3,27.45,27.95,39158.0
2016-10-31,28.2,28.55,28.0,28.0,32199.0,0.0,1.0,28.2,28.55,28.0,28.0,32199.0
2016-10-28,27.95,28.8,27.9,28.15,30995.0,0.0,1.0,27.95,28.8,27.9,28.15,30995.0
2016-10-27,28.75,29.15,27.75,27.85,27053.0,0.0,1.0,28.75,29.15,27.75,27.85,27053.0
2016-10-26,28.85,29.05,28.7,28.7,45154.0,0.0,1.0,28.85,29.05,28.7,28.7,45154.0
2016-10-25,29.3,30.249,28.8442,28.95,25630.0,0.0,1.0,29.3,30.249,28.8442,28.95,25630.0
2016-10-24,29.05,29.65,28.5,29.3,46342.0,0.0,1.0,29.05,29.65,28.5,29.3,46342.0
2016-10-21,29.15,29.3,28.7,29.05,55196.0,0.0,1.0,29.15,29.3,28.7,29.05,55196.0
2016-10-20,29.95,30.15,29.3,29.45,28459.0,0.0,1.0,29.95,30.15,29.3,29.45,28459.0
2016-10-19,30.15,30.45,29.825,30.05,23952.0,0.0,1.0,30.15,30.45,29.825,30.05,23952.0
2016-10-18,29.9,30.3,29.6,30.15,25328.0,0.0,1.0,29.9,30.3,29.6,30.15,25328.0
2016-10-17,29.95,30.3,29.35,29.6,28425.0,0.0,1.0,29.95,30.3,29.35,29.6,28425.0
2016-10-14,29.65,30.1,29.6,29.9,35515.0,0.0,1.0,29.65,30.1,29.6,29.9,35515.0
2016-10-13,30.0,30.1,29.35,29.4,31479.0,0.0,1.0,30.0,30.1,29.35,29.4,31479.0
2016-10-12,30.0,30.7999,29.75,30.25,36511.0,0.0,1.0,30.0,30.7999,29.75,30.25,36511.0
2016-10-11,30.0,30.05,29.9,29.95,33292.0,0.0,1.0,30.0,30.05,29.9,29.95,33292.0
2016-10-10,29.6,30.3,29.3,29.85,76023.0,0.0,1.0,29.6,30.3,29.3,29.85,76023.0
2016-10-07,29.75,30.05,29.3,29.6,37257.0,0.0,1.0,29.75,30.05,29.3,29.6,37257.0
2016-10-06,29.65,29.75,29.45,29.65,20575.0,0.0,1.0,29.65,29.75,29.45,29.65,20575.0
2016-10-05,29.9,29.95,29.65,29.8,40544.0,0.0,1.0,29.9,29.95,29.65,29.8,40544.0
2016-10-04,29.55,30.0,29.55,29.75,38133.0,0.0,1.0,29.55,30.0,29.55,29.75,38133.0
2016-10-03,29.77,30.3,29.55,29.8,34659.0,0.0,1.0,29.77,30.3,29.55,29.8,34659.0
2016-09-30,29.72,30.26,29.3177,29.77,35342.0,0.0,1.0,29.72,30.26,29.3177,29.77,35342.0
2016-09-29,30.73,30.73,29.29,29.69,54043.0,0.07,1.0,30.73,30.73,29.29,29.69,54043.0
2016-09-28,31.2,31.56,30.66,30.91,60237.0,0.0,1.0,31.126612903226,31.485766129032,30.587883064516,30.837295026882,60237.0
2016-09-27,31.66,31.85,31.28,31.48,51593.0,0.0,1.0,31.585530913978,31.775084005376,31.206424731183,31.405954301075,51593.0
2016-09-26,32.56,32.56,31.345,31.8,56001.0,0.0,1.0,32.483413978495,32.483413978495,31.271271841398,31.725201612903,56001.0
2016-09-23,32.6,33.05,32.1,32.54,63174.0,0.0,1.0,32.523319892473,32.972261424731,32.024495967742,32.463461021505,63174.0
2016-09-22,32.13,32.91,31.7,32.88,37219.0,0.0,1.0,32.054425403226,32.832590725806,31.625436827957,32.802661290323,37219.0
2016-09-21,31.26,32.1,31.06,31.99,31656.0,0.0,1.0,31.186471774194,32.024495967742,30.986942204301,31.914754704301,31656.0
2016-09-20,31.58,31.77,30.98,31.46,102971.0,0.0,1.0,31.505719086022,31.695272177419,30.907130376344,31.386001344086,102971.0
2016-09-19,31.93,31.93,31.27,31.53,45653.0,0.0,1.0,31.854895833333,31.854895833333,31.196448252688,31.455836693548,45653.0
2016-09-16,31.65,32.42,30.91,31.69,148343.0,0.0,1.0,31.575554435484,32.34374327957,30.837295026882,31.615460349462,148343.0
2016-09-15,31.38,31.875,31.04,31.55,35350.0,0.0,1.0,31.306189516129,31.800025201613,30.966989247312,31.475789650538,35350.0
