Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,11.3,11.4,11.3,11.3,25998.0,0.0,1.0,11.3,11.4,11.3,11.3,25998.0
2016-11-16,11.35,11.4,11.3,11.35,75470.0,0.0,1.0,11.35,11.4,11.3,11.35,75470.0
2016-11-15,11.3,11.35,11.25,11.3,26115.0,0.0,1.0,11.3,11.35,11.25,11.3,26115.0
2016-11-14,11.3,11.35,11.3,11.3,23635.0,0.0,1.0,11.3,11.35,11.3,11.3,23635.0
2016-11-11,11.35,11.35,11.3,11.3012,8008.0,0.0,1.0,11.35,11.35,11.3,11.3012,8008.0
2016-11-10,11.35,11.35,11.3,11.35,11787.0,0.0,1.0,11.35,11.35,11.3,11.35,11787.0
2016-11-09,11.35,11.35,11.2505,11.35,19764.0,0.0,1.0,11.35,11.35,11.2505,11.35,19764.0
2016-11-08,11.3,11.35,11.25,11.3,28291.0,0.0,1.0,11.3,11.35,11.25,11.3,28291.0
2016-11-07,11.3,11.3,11.2501,11.3,34138.0,0.0,1.0,11.3,11.3,11.2501,11.3,34138.0
2016-11-04,11.25,11.3,11.25,11.3,13985.0,0.0,1.0,11.25,11.3,11.25,11.3,13985.0
2016-11-03,11.3,11.3,11.275,11.3,41725.0,0.0,1.0,11.3,11.3,11.275,11.3,41725.0
2016-11-02,11.275,11.3,11.2577,11.3,1699.0,0.0,1.0,11.275,11.3,11.2577,11.3,1699.0
2016-11-01,11.25,11.3,11.25,11.25,34734.0,0.0,1.0,11.25,11.3,11.25,11.25,34734.0
2016-10-31,11.26,11.3,11.25,11.25,15604.0,0.0,1.0,11.26,11.3,11.25,11.25,15604.0
2016-10-28,11.25,11.3,11.25,11.3,2501.0,0.0,1.0,11.25,11.3,11.25,11.3,2501.0
2016-10-27,11.3,11.3,11.3,11.3,535.0,0.0,1.0,11.3,11.3,11.3,11.3,535.0
2016-10-26,11.25,11.2669,11.25,11.25,3996.0,0.0,1.0,11.25,11.2669,11.25,11.25,3996.0
2016-10-25,11.25,11.25,11.25,11.25,347.0,0.0,1.0,11.25,11.25,11.25,11.25,347.0
2016-10-24,11.3,11.3,11.2746,11.3,3946.0,0.0,1.0,11.3,11.3,11.2746,11.3,3946.0
2016-10-21,11.25,11.3,11.2,11.25,8956.0,0.0,1.0,11.25,11.3,11.2,11.25,8956.0
2016-10-20,11.2415,11.25,11.2,11.25,36077.0,0.0,1.0,11.2415,11.25,11.2,11.25,36077.0
2016-10-19,11.25,11.25,11.2,11.25,24389.0,0.0,1.0,11.25,11.25,11.2,11.25,24389.0
2016-10-18,11.2,11.25,11.2,11.25,10582.0,0.0,1.0,11.2,11.25,11.2,11.25,10582.0
2016-10-17,11.1999,11.25,11.15,11.1765,39603.0,0.0,1.0,11.1999,11.25,11.15,11.1765,39603.0
2016-10-14,11.2087,11.2087,11.17,11.17,361.0,0.0,1.0,11.2087,11.2087,11.17,11.17,361.0
2016-10-13,11.234,11.234,11.2068,11.21,1509.0,0.0,1.0,11.234,11.234,11.2068,11.21,1509.0
2016-10-12,11.2,11.25,11.19,11.24,14008.0,0.0,1.0,11.2,11.25,11.19,11.24,14008.0
2016-10-11,11.1701,11.2,11.17,11.2,7100.0,0.0,1.0,11.1701,11.2,11.17,11.2,7100.0
2016-10-10,11.17,11.2,11.1118,11.1118,7954.0,0.0,1.0,11.17,11.2,11.1118,11.1118,7954.0
2016-10-07,11.2,11.27,11.18,11.22,3168.0,0.0,1.0,11.2,11.27,11.18,11.22,3168.0
2016-10-06,11.1899,11.2889,11.17,11.28,9988.0,0.0,1.0,11.1899,11.2889,11.17,11.28,9988.0
2016-10-05,11.1817,11.21,11.1817,11.2,130084.0,0.0,1.0,11.1817,11.21,11.1817,11.2,130084.0
2016-10-04,11.2,11.2,11.18,11.2,8287.0,0.0,1.0,11.2,11.2,11.18,11.2,8287.0
2016-10-03,11.14,11.2,11.14,11.2,11536.0,0.0,1.0,11.14,11.2,11.14,11.2,11536.0
2016-09-30,11.1601,11.17,11.15,11.17,6393.0,0.0,1.0,11.1601,11.17,11.15,11.17,6393.0
2016-09-29,11.2,11.2,11.14,11.1508,5242.0,0.0,1.0,11.2,11.2,11.14,11.1508,5242.0
2016-09-28,11.17,11.19,11.1619,11.18,1067.0,0.0,1.0,11.17,11.19,11.1619,11.18,1067.0
2016-09-27,11.15,11.15,11.14,11.15,5819.0,0.0,1.0,11.15,11.15,11.14,11.15,5819.0
2016-09-26,11.15,11.18,11.15,11.15,1915.0,0.0,1.0,11.15,11.18,11.15,11.15,1915.0
2016-09-23,11.19,11.19,11.14,11.14,3652.0,0.0,1.0,11.19,11.19,11.14,11.14,3652.0
2016-09-22,11.19,11.19,11.12,11.12,2720.0,0.0,1.0,11.19,11.19,11.12,11.12,2720.0
2016-09-21,11.14,11.2,11.13,11.15,18821.0,0.0,1.0,11.14,11.2,11.13,11.15,18821.0
2016-09-20,11.1695,11.17,11.13,11.14,5154.0,0.0,1.0,11.1695,11.17,11.13,11.14,5154.0
2016-09-19,11.137,11.19,11.137,11.15,4971.0,0.0,1.0,11.137,11.19,11.137,11.15,4971.0
2016-09-16,11.1,11.2,11.1,11.15,16994.0,0.0,1.0,11.1,11.2,11.1,11.15,16994.0
2016-09-15,11.1999,11.1999,11.15,11.15,8305.0,0.0,1.0,11.1999,11.1999,11.15,11.15,8305.0
2016-09-14,11.17,11.1899,11.12,11.1799,2114.0,0.0,1.0,11.17,11.1899,11.12,11.1799,2114.0
2016-09-13,10.9,11.19,10.9,11.01,13728.0,0.0,1.0,10.9,11.19,10.9,11.01,13728.0
2016-09-12,11.18,11.2,11.16,11.2,22000.0,0.0,1.0,11.18,11.2,11.16,11.2,22000.0
2016-09-09,11.18,11.1885,11.179,11.179,1767.0,0.0,1.0,11.18,11.1885,11.179,11.179,1767.0
2016-09-08,11.11,11.2,11.11,11.19,46510.0,0.0,1.0,11.11,11.2,11.11,11.19,46510.0
2016-09-07,11.1865,11.19,11.1865,11.19,368.0,0.0,1.0,11.1865,11.19,11.1865,11.19,368.0
2016-09-06,11.2,11.2,11.13,11.2,21098.0,0.0,1.0,11.2,11.2,11.13,11.2,21098.0
2016-09-02,11.1732,11.2,11.1732,11.2,1548.0,0.0,1.0,11.1732,11.2,11.1732,11.2,1548.0
2016-09-01,11.19,11.2,11.16,11.2,8097.0,0.0,1.0,11.19,11.2,11.16,11.2,8097.0
2016-08-31,11.16,11.2,11.16,11.2,6090.0,0.0,1.0,11.16,11.2,11.16,11.2,6090.0
2016-08-30,11.2,11.2,11.18,11.19,24418.0,0.0,1.0,11.2,11.2,11.18,11.19,24418.0
