Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,6.62,6.62,4.8,5.0,9423767.0,0.0,1.0,6.62,6.62,4.8,5.0,9423767.0
2016-11-16,6.81,6.92,6.48,6.65,1958009.0,0.0,1.0,6.81,6.92,6.48,6.65,1958009.0
2016-11-15,7.37,7.37,6.735,6.86,2197747.0,0.0,1.0,7.37,7.37,6.735,6.86,2197747.0
2016-11-14,7.45,7.73,7.33,7.37,2018190.0,0.0,1.0,7.45,7.73,7.33,7.37,2018190.0
2016-11-11,7.65,7.65,6.8601,7.42,2914720.0,0.0,1.0,7.65,7.65,6.8601,7.42,2914720.0
2016-11-10,7.9,8.035,6.955,7.59,4950199.0,0.0,1.0,7.9,8.035,6.955,7.59,4950199.0
2016-11-09,7.4,7.85,7.36,7.47,6218569.0,0.0,1.0,7.4,7.85,7.36,7.47,6218569.0
2016-11-08,6.51,6.795,6.451,6.59,1323666.0,0.0,1.0,6.51,6.795,6.451,6.59,1323666.0
2016-11-07,6.69,6.88,6.49,6.57,1659054.0,0.0,1.0,6.69,6.88,6.49,6.57,1659054.0
2016-11-04,6.49,6.68,6.14,6.59,2215897.0,0.0,1.0,6.49,6.68,6.14,6.59,2215897.0
2016-11-03,6.62,6.81,6.46,6.55,2382419.0,0.0,1.0,6.62,6.81,6.46,6.55,2382419.0
2016-11-02,6.56,6.67,6.3114,6.62,2232655.0,0.0,1.0,6.56,6.67,6.3114,6.62,2232655.0
2016-11-01,6.28,6.69,6.2,6.59,2556819.0,0.0,1.0,6.28,6.69,6.2,6.59,2556819.0
2016-10-31,6.0,6.18,5.88,6.16,2283910.0,0.0,1.0,6.0,6.18,5.88,6.16,2283910.0
2016-10-28,6.0,6.2299,5.78,6.01,4294710.0,0.0,1.0,6.0,6.2299,5.78,6.01,4294710.0
2016-10-27,5.27,5.35,5.1,5.33,1623341.0,0.0,1.0,5.27,5.35,5.1,5.33,1623341.0
2016-10-26,5.28,5.45,5.14,5.26,1760312.0,0.0,1.0,5.28,5.45,5.14,5.26,1760312.0
2016-10-25,5.42,5.78,5.42,5.48,2043175.0,0.0,1.0,5.42,5.78,5.42,5.48,2043175.0
2016-10-24,5.89,5.95,5.23,5.42,2860418.0,0.0,1.0,5.89,5.95,5.23,5.42,2860418.0
2016-10-21,6.12,6.15,5.81,5.89,1867040.0,0.0,1.0,6.12,6.15,5.81,5.89,1867040.0
2016-10-20,6.03,6.25,5.98,6.13,1858734.0,0.0,1.0,6.03,6.25,5.98,6.13,1858734.0
2016-10-19,6.15,6.37,6.01,6.2,1658907.0,0.0,1.0,6.15,6.37,6.01,6.2,1658907.0
2016-10-18,5.83,6.38,5.75,6.14,2874194.0,0.0,1.0,5.83,6.38,5.75,6.14,2874194.0
2016-10-17,5.63,5.85,5.58,5.75,1321007.0,0.0,1.0,5.63,5.85,5.58,5.75,1321007.0
2016-10-14,5.59,5.8,5.49,5.55,1603759.0,0.0,1.0,5.59,5.8,5.49,5.55,1603759.0
2016-10-13,5.55,5.7,5.31,5.55,1262570.0,0.0,1.0,5.55,5.7,5.31,5.55,1262570.0
2016-10-12,5.57,5.68,5.49,5.54,992230.0,0.0,1.0,5.57,5.68,5.49,5.54,992230.0
2016-10-11,5.69,5.7,5.4,5.57,864911.0,0.0,1.0,5.69,5.7,5.4,5.57,864911.0
2016-10-10,5.62,5.85,5.61,5.64,1123365.0,0.0,1.0,5.62,5.85,5.61,5.64,1123365.0
2016-10-07,5.57,5.63,5.3817,5.56,1073834.0,0.0,1.0,5.57,5.63,5.3817,5.56,1073834.0
2016-10-06,5.41,5.62,5.3302,5.53,1412855.0,0.0,1.0,5.41,5.62,5.3302,5.53,1412855.0
2016-10-05,5.58,5.85,5.3101,5.36,2283780.0,0.0,1.0,5.58,5.85,5.3101,5.36,2283780.0
2016-10-04,5.49,5.68,5.3,5.36,2106757.0,0.0,1.0,5.49,5.68,5.3,5.36,2106757.0
2016-10-03,5.45,5.57,5.37,5.46,1749429.0,0.0,1.0,5.45,5.57,5.37,5.46,1749429.0
2016-09-30,5.07,5.44,5.0,5.44,2702130.0,0.0,1.0,5.07,5.44,5.0,5.44,2702130.0
2016-09-29,5.02,5.25,4.83,5.06,2218809.0,0.0,1.0,5.02,5.25,4.83,5.06,2218809.0
2016-09-28,4.65,5.02,4.36,4.95,2127757.0,0.0,1.0,4.65,5.02,4.36,4.95,2127757.0
2016-09-27,4.48,4.56,4.165,4.3,1547977.0,0.0,1.0,4.48,4.56,4.165,4.3,1547977.0
2016-09-26,4.5,4.73,4.46,4.51,1301198.0,0.0,1.0,4.5,4.73,4.46,4.51,1301198.0
2016-09-23,4.31,4.56,4.26,4.5,1042347.0,0.0,1.0,4.31,4.56,4.26,4.5,1042347.0
2016-09-22,4.62,4.85,4.23,4.28,2442614.0,0.0,1.0,4.62,4.85,4.23,4.28,2442614.0
2016-09-21,3.92,4.75,3.92,4.57,4876677.0,0.0,1.0,3.92,4.75,3.92,4.57,4876677.0
2016-09-20,3.58,4.03,3.52,3.9,1546416.0,0.0,1.0,3.58,4.03,3.52,3.9,1546416.0
2016-09-19,3.44,3.62,3.425,3.58,1042605.0,0.0,1.0,3.44,3.62,3.425,3.58,1042605.0
2016-09-16,3.48,3.57,3.38,3.41,1764092.0,0.0,1.0,3.48,3.57,3.38,3.41,1764092.0
2016-09-15,3.73,3.768,3.48,3.56,1006723.0,0.0,1.0,3.73,3.768,3.48,3.56,1006723.0
2016-09-14,3.68,3.84,3.66,3.67,809965.0,0.0,1.0,3.68,3.84,3.66,3.67,809965.0
2016-09-13,3.79,3.87,3.55,3.73,1307737.0,0.0,1.0,3.79,3.87,3.55,3.73,1307737.0
2016-09-12,3.99,4.09,3.79,3.91,1218514.0,0.0,1.0,3.99,4.09,3.79,3.91,1218514.0
2016-09-09,4.05,4.13,4.0,4.04,791596.0,0.0,1.0,4.05,4.13,4.0,4.04,791596.0
2016-09-08,3.93,4.14,3.93,4.1,1124824.0,0.0,1.0,3.93,4.14,3.93,4.1,1124824.0
2016-09-07,4.14,4.24,3.88,3.92,1496704.0,0.0,1.0,4.14,4.24,3.88,3.92,1496704.0
2016-09-06,4.15,4.18,4.0,4.13,942650.0,0.0,1.0,4.15,4.18,4.0,4.13,942650.0
2016-09-02,4.08,4.145,3.94,4.03,2744853.0,0.0,1.0,4.08,4.145,3.94,4.03,2744853.0
2016-09-01,4.1,4.12,3.925,4.0,923554.0,0.0,1.0,4.1,4.12,3.925,4.0,923554.0
2016-08-31,4.06,4.15,4.01,4.13,1098444.0,0.0,1.0,4.06,4.15,4.01,4.13,1098444.0
2016-08-30,4.25,4.2786,3.975,4.08,1102132.0,0.0,1.0,4.25,4.2786,3.975,4.08,1102132.0
2016-08-29,3.8,4.28,3.75,4.19,2152032.0,0.0,1.0,3.8,4.28,3.75,4.19,2152032.0
2016-08-26,3.85,3.98,3.77,3.83,926532.0,0.0,1.0,3.85,3.98,3.77,3.83,926532.0
2016-08-25,3.68,3.83,3.66,3.83,550812.0,0.0,1.0,3.68,3.83,3.66,3.83,550812.0
2016-08-24,3.83,3.94,3.65,3.71,915384.0,0.0,1.0,3.83,3.94,3.65,3.71,915384.0
2016-08-23,3.73,3.93,3.63,3.84,1325591.0,0.0,1.0,3.73,3.93,3.63,3.84,1325591.0
2016-08-22,3.48,3.776,3.38,3.77,835718.0,0.0,1.0,3.48,3.776,3.38,3.77,835718.0
2016-08-19,3.73,3.73,3.47,3.55,657577.0,0.0,1.0,3.73,3.73,3.47,3.55,657577.0
2016-08-18,3.55,3.73,3.54,3.69,658361.0,0.0,1.0,3.55,3.73,3.54,3.69,658361.0
2016-08-17,3.56,3.565,3.395,3.54,522788.0,0.0,1.0,3.56,3.565,3.395,3.54,522788.0
2016-08-16,3.57,3.67,3.47,3.63,765907.0,0.0,1.0,3.57,3.67,3.47,3.63,765907.0
2016-08-15,3.38,3.595,3.36,3.53,905919.0,0.0,1.0,3.38,3.595,3.36,3.53,905919.0
2016-08-12,3.3,3.45,3.22,3.37,1122610.0,0.0,1.0,3.3,3.45,3.22,3.37,1122610.0
2016-08-11,3.65,3.65,3.29,3.3,1245653.0,0.0,1.0,3.65,3.65,3.29,3.3,1245653.0
2016-08-10,3.56,3.68,3.54,3.61,636047.0,0.0,1.0,3.56,3.68,3.54,3.61,636047.0
2016-08-09,3.69,3.8,3.52,3.54,771971.0,0.0,1.0,3.69,3.8,3.52,3.54,771971.0
2016-08-08,3.57,3.7,3.5,3.69,904124.0,0.0,1.0,3.57,3.7,3.5,3.69,904124.0
2016-08-05,3.79,3.89,3.48,3.49,1820598.0,0.0,1.0,3.79,3.89,3.48,3.49,1820598.0
2016-08-04,3.53,3.8601,3.51,3.75,2459134.0,0.0,1.0,3.53,3.8601,3.51,3.75,2459134.0
2016-08-03,3.31,3.56,3.1639,3.55,1859552.0,0.0,1.0,3.31,3.56,3.1639,3.55,1859552.0
2016-08-02,3.41,3.46,3.14,3.31,1483031.0,0.0,1.0,3.41,3.46,3.14,3.31,1483031.0
2016-08-01,3.39,3.49,3.16,3.38,2682625.0,0.0,1.0,3.39,3.49,3.16,3.38,2682625.0
2016-07-29,2.91,3.65,2.85,3.41,8406805.0,0.0,1.0,2.91,3.65,2.85,3.41,8406805.0
2016-07-28,2.71,2.78,2.635,2.74,960250.0,0.0,1.0,2.71,2.78,2.635,2.74,960250.0
2016-07-27,2.66,2.76,2.53,2.7,1359374.0,0.0,1.0,2.66,2.76,2.53,2.7,1359374.0
2016-07-26,2.49,2.67,2.455,2.65,1296221.0,0.0,1.0,2.49,2.67,2.455,2.65,1296221.0
2016-07-25,2.53,2.58,2.42,2.51,671415.0,0.0,1.0,2.53,2.58,2.42,2.51,671415.0
