Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,10.06,10.11,9.97,9.99,975597.0,0.0,1.0,10.06,10.11,9.97,9.99,975597.0
2016-11-16,9.94,10.075,9.93,10.03,1108186.0,0.0,1.0,9.94,10.075,9.93,10.03,1108186.0
2016-11-15,9.9,9.9475,9.78,9.94,776923.0,0.0,1.0,9.9,9.9475,9.78,9.94,776923.0
2016-11-14,9.83,9.9,9.81,9.89,727995.0,0.0,1.0,9.83,9.9,9.81,9.89,727995.0
2016-11-11,9.68,9.86,9.66,9.85,893956.0,0.0,1.0,9.68,9.86,9.66,9.85,893956.0
2016-11-10,9.75,9.77,9.565,9.66,1152152.0,0.0,1.0,9.75,9.77,9.565,9.66,1152152.0
2016-11-09,9.49,9.74,9.4,9.72,1203242.0,0.0,1.0,9.49,9.74,9.4,9.72,1203242.0
2016-11-08,9.55,9.67,9.52,9.65,548017.0,0.0,1.0,9.55,9.67,9.52,9.65,548017.0
2016-11-07,9.55,9.62,9.51,9.55,851261.0,0.0,1.0,9.55,9.62,9.51,9.55,851261.0
2016-11-04,9.35,9.52,9.34,9.5,1024506.0,0.0,1.0,9.35,9.52,9.34,9.5,1024506.0
2016-11-03,9.31,9.47,9.31,9.36,614171.0,0.0,1.0,9.31,9.47,9.31,9.36,614171.0
2016-11-02,9.34,9.36,9.29,9.31,417907.0,0.0,1.0,9.34,9.36,9.29,9.31,417907.0
2016-11-01,9.5,9.51,9.3,9.32,795115.0,0.0,1.0,9.5,9.51,9.3,9.32,795115.0
2016-10-31,9.46,9.54,9.43,9.51,628862.0,0.0,1.0,9.46,9.54,9.43,9.51,628862.0
2016-10-28,9.46,9.5,9.4,9.46,769442.0,0.0,1.0,9.46,9.5,9.4,9.46,769442.0
2016-10-27,9.3,9.535,9.28,9.49,811115.0,0.0,1.0,9.3,9.535,9.28,9.49,811115.0
2016-10-26,9.46,9.545,9.44,9.5,563700.0,0.0,1.0,9.46,9.545,9.44,9.5,563700.0
2016-10-25,9.32,9.5,9.32,9.5,377290.0,0.0,1.0,9.32,9.5,9.32,9.5,377290.0
2016-10-24,9.25,9.37,9.25,9.36,380506.0,0.0,1.0,9.25,9.37,9.25,9.36,380506.0
2016-10-21,9.24,9.29,9.22,9.25,289207.0,0.0,1.0,9.24,9.29,9.22,9.25,289207.0
2016-10-20,9.24,9.26,9.165,9.24,417048.0,0.0,1.0,9.24,9.26,9.165,9.24,417048.0
2016-10-19,9.15,9.23,9.14,9.21,458705.0,0.0,1.0,9.15,9.23,9.14,9.21,458705.0
2016-10-18,9.15,9.22,9.1,9.15,333704.0,0.0,1.0,9.15,9.22,9.1,9.15,333704.0
2016-10-17,9.15,9.1785,9.12,9.12,399614.0,0.0,1.0,9.15,9.1785,9.12,9.12,399614.0
2016-10-14,9.16,9.19,9.09,9.13,496151.0,0.0,1.0,9.16,9.19,9.09,9.13,496151.0
2016-10-13,9.15,9.43,9.1399,9.16,600048.0,0.0,1.0,9.15,9.43,9.1399,9.16,600048.0
2016-10-12,9.07,9.23,9.06,9.16,500234.0,0.0,1.0,9.07,9.23,9.06,9.16,500234.0
2016-10-11,9.04,9.105,9.02,9.08,455049.0,0.0,1.0,9.04,9.105,9.02,9.08,455049.0
2016-10-10,8.97,9.11,8.97,9.08,454378.0,0.0,1.0,8.97,9.11,8.97,9.08,454378.0
2016-10-07,9.0,9.06,8.93,9.0,524897.0,0.0,1.0,9.0,9.06,8.93,9.0,524897.0
2016-10-06,9.05,9.0799,8.95,8.98,495210.0,0.0,1.0,9.05,9.0799,8.95,8.98,495210.0
2016-10-05,9.12,9.18,9.06,9.06,629571.0,0.0,1.0,9.12,9.18,9.06,9.06,629571.0
2016-10-04,9.32,9.32,9.07,9.11,1016656.0,0.0,1.0,9.32,9.32,9.07,9.11,1016656.0
2016-10-03,9.42,9.42,9.3,9.33,464693.0,0.0,1.0,9.42,9.42,9.3,9.33,464693.0
2016-09-30,9.42,9.48,9.37,9.43,1186872.0,0.0,1.0,9.42,9.48,9.37,9.43,1186872.0
2016-09-29,9.47,9.5,9.35,9.41,631383.0,0.0,1.0,9.47,9.5,9.35,9.41,631383.0
2016-09-28,9.47,9.49,9.37,9.46,637411.0,0.23,1.0,9.47,9.49,9.37,9.46,637411.0
2016-09-27,9.75,9.76,9.66,9.69,684317.0,0.0,1.0,9.5185758513932,9.5283384932921,9.4307120743034,9.46,684317.0
2016-09-26,9.78,9.88,9.72,9.72,852924.0,0.0,1.0,9.5478637770898,9.6454901960784,9.4892879256966,9.4892879256966,852924.0
2016-09-23,9.9,9.91,9.76,9.78,700996.0,0.0,1.0,9.6650154798762,9.674778121775,9.5283384932921,9.5478637770898,700996.0
