Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,4.8,5.35,4.77,5.27,928696.0,0.0,1.0,4.8,5.35,4.77,5.27,928696.0
2016-11-16,4.85,5.0,4.705,4.79,398170.0,0.0,1.0,4.85,5.0,4.705,4.79,398170.0
2016-11-15,4.92,4.981,4.7,4.89,335353.0,0.0,1.0,4.92,4.981,4.7,4.89,335353.0
2016-11-14,4.79,5.11,4.655,4.95,637757.0,0.0,1.0,4.79,5.11,4.655,4.95,637757.0
2016-11-11,4.6,4.81,4.45,4.77,628118.0,0.0,1.0,4.6,4.81,4.45,4.77,628118.0
2016-11-10,4.6,4.8104,4.41,4.62,606781.0,0.0,1.0,4.6,4.8104,4.41,4.62,606781.0
2016-11-09,4.35,4.58,4.2401,4.55,847300.0,0.0,1.0,4.35,4.58,4.2401,4.55,847300.0
2016-11-08,3.93,4.17,3.89,4.1,526517.0,0.0,1.0,3.93,4.17,3.89,4.1,526517.0
2016-11-07,3.75,4.03,3.75,3.9,968395.0,0.0,1.0,3.75,4.03,3.75,3.9,968395.0
2016-11-04,3.67,3.87,3.67,3.75,604848.0,0.0,1.0,3.67,3.87,3.67,3.75,604848.0
2016-11-03,3.89,3.92,3.66,3.68,569166.0,0.0,1.0,3.89,3.92,3.66,3.68,569166.0
2016-11-02,4.13,4.15,3.85,3.86,591631.0,0.0,1.0,4.13,4.15,3.85,3.86,591631.0
2016-11-01,4.05,4.16,4.01,4.13,397990.0,0.0,1.0,4.05,4.16,4.01,4.13,397990.0
2016-10-31,4.21,4.21,4.0,4.05,351698.0,0.0,1.0,4.21,4.21,4.0,4.05,351698.0
2016-10-28,4.34,4.34,4.12,4.18,336596.0,0.0,1.0,4.34,4.34,4.12,4.18,336596.0
2016-10-27,4.35,4.44,4.325,4.33,280007.0,0.0,1.0,4.35,4.44,4.325,4.33,280007.0
2016-10-26,4.45,4.5522,4.21,4.31,585685.0,0.0,1.0,4.45,4.5522,4.21,4.31,585685.0
2016-10-25,4.51,4.51,4.34,4.45,506905.0,0.0,1.0,4.51,4.51,4.34,4.45,506905.0
2016-10-24,4.63,4.7,4.45,4.49,429265.0,0.0,1.0,4.63,4.7,4.45,4.49,429265.0
2016-10-21,4.73,4.745,4.55,4.58,516281.0,0.0,1.0,4.73,4.745,4.55,4.58,516281.0
2016-10-20,4.65,4.85,4.62,4.76,759683.0,0.0,1.0,4.65,4.85,4.62,4.76,759683.0
2016-10-19,4.83,4.83,4.61,4.65,328130.0,0.0,1.0,4.83,4.83,4.61,4.65,328130.0
2016-10-18,4.66,4.9,4.6549,4.84,431167.0,0.0,1.0,4.66,4.9,4.6549,4.84,431167.0
2016-10-17,4.54,4.67,4.47,4.61,363571.0,0.0,1.0,4.54,4.67,4.47,4.61,363571.0
2016-10-14,4.74,4.795,4.51,4.52,322252.0,0.0,1.0,4.74,4.795,4.51,4.52,322252.0
2016-10-13,4.68,4.77,4.51,4.69,367799.0,0.0,1.0,4.68,4.77,4.51,4.69,367799.0
2016-10-12,5.0,5.0501,4.7,4.72,501379.0,0.0,1.0,5.0,5.0501,4.7,4.72,501379.0
2016-10-11,5.13,5.2,4.96,4.99,360898.0,0.0,1.0,5.13,5.2,4.96,4.99,360898.0
2016-10-10,5.14,5.25,5.09,5.17,313106.0,0.0,1.0,5.14,5.25,5.09,5.17,313106.0
2016-10-07,5.24,5.32,5.08,5.12,391382.0,0.0,1.0,5.24,5.32,5.08,5.12,391382.0
2016-10-06,5.5,5.52,5.23,5.25,435000.0,0.0,1.0,5.5,5.52,5.23,5.25,435000.0
2016-10-05,5.49,5.635,5.48,5.54,235443.0,0.0,1.0,5.49,5.635,5.48,5.54,235443.0
2016-10-04,5.51,5.62,5.43,5.46,321068.0,0.0,1.0,5.51,5.62,5.43,5.46,321068.0
2016-10-03,5.51,5.615,5.42,5.52,246989.0,0.0,1.0,5.51,5.615,5.42,5.52,246989.0
2016-09-30,5.58,5.64,5.41,5.54,451808.0,0.0,1.0,5.58,5.64,5.41,5.54,451808.0
2016-09-29,5.89,5.9,5.53,5.55,687946.0,0.0,1.0,5.89,5.9,5.53,5.55,687946.0
2016-09-28,5.76,5.92,5.63,5.89,542208.0,0.0,1.0,5.76,5.92,5.63,5.89,542208.0
2016-09-27,5.57,5.829,5.57,5.77,365627.0,0.0,1.0,5.57,5.829,5.57,5.77,365627.0
2016-09-26,5.65,5.75,5.57,5.6,392424.0,0.0,1.0,5.65,5.75,5.57,5.6,392424.0
2016-09-23,5.75,5.86,5.7,5.72,317661.0,0.0,1.0,5.75,5.86,5.7,5.72,317661.0
2016-09-22,5.94,5.94,5.7,5.75,516522.0,0.0,1.0,5.94,5.94,5.7,5.75,516522.0
2016-09-21,5.94,5.96,5.7,5.84,975604.0,0.0,1.0,5.94,5.96,5.7,5.84,975604.0
2016-09-20,5.64,5.93,5.5201,5.86,1044732.0,0.0,1.0,5.64,5.93,5.5201,5.86,1044732.0
2016-09-19,5.55,5.71,5.36,5.54,898442.0,0.0,1.0,5.55,5.71,5.36,5.54,898442.0
2016-09-16,5.25,5.59,5.11,5.55,1383098.0,0.0,1.0,5.25,5.59,5.11,5.55,1383098.0
2016-09-15,4.9,5.265,4.845,5.22,1355378.0,0.0,1.0,4.9,5.265,4.845,5.22,1355378.0
2016-09-14,4.82,4.96,4.8198,4.89,256824.0,0.0,1.0,4.82,4.96,4.8198,4.89,256824.0
2016-09-13,4.78,4.865,4.65,4.84,378886.0,0.0,1.0,4.78,4.865,4.65,4.84,378886.0
2016-09-12,4.7,4.8509,4.68,4.82,323191.0,0.0,1.0,4.7,4.8509,4.68,4.82,323191.0
2016-09-09,4.94,5.0,4.76,4.76,432211.0,0.0,1.0,4.94,5.0,4.76,4.76,432211.0
2016-09-08,4.91,5.025,4.79,5.01,549630.0,0.0,1.0,4.91,5.025,4.79,5.01,549630.0
2016-09-07,4.9,5.02,4.84,4.93,428896.0,0.0,1.0,4.9,5.02,4.84,4.93,428896.0
2016-09-06,4.65,4.94,4.61,4.91,604501.0,0.0,1.0,4.65,4.94,4.61,4.91,604501.0
2016-09-02,4.66,4.78,4.59,4.62,286853.0,0.0,1.0,4.66,4.78,4.59,4.62,286853.0
2016-09-01,4.87,4.912,4.59,4.625,481094.0,0.0,1.0,4.87,4.912,4.59,4.625,481094.0
2016-08-31,4.58,4.845,4.41,4.81,1086162.0,0.0,1.0,4.58,4.845,4.41,4.81,1086162.0
2016-08-30,4.49,4.68,4.49,4.58,216005.0,0.0,1.0,4.49,4.68,4.49,4.58,216005.0
2016-08-29,4.5,4.52,4.41,4.5,324977.0,0.0,1.0,4.5,4.52,4.41,4.5,324977.0
