Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,21.9,22.525,21.15,22.4,78118.0,0.0,1.0,21.9,22.525,21.15,22.4,78118.0
2016-11-16,21.55,21.8,20.85,21.7,107954.0,0.0,1.0,21.55,21.8,20.85,21.7,107954.0
2016-11-15,21.2,21.655,20.85,21.65,45611.0,0.0,1.0,21.2,21.655,20.85,21.65,45611.0
2016-11-14,21.5,22.2,20.95,21.35,70708.0,0.0,1.0,21.5,22.2,20.95,21.35,70708.0
2016-11-11,20.2,21.2,20.2,21.15,178462.0,0.0,1.0,20.2,21.2,20.2,21.15,178462.0
2016-11-10,19.9,20.75,19.7594,20.2,131125.0,0.0,1.0,19.9,20.75,19.7594,20.2,131125.0
2016-11-09,18.55,20.15,18.55,19.75,145775.0,0.0,1.0,18.55,20.15,18.55,19.75,145775.0
2016-11-08,18.45,18.55,18.25,18.45,43576.0,0.0,1.0,18.45,18.55,18.25,18.45,43576.0
2016-11-07,18.45,18.5,18.25,18.45,61133.0,0.0,1.0,18.45,18.5,18.25,18.45,61133.0
2016-11-04,18.2,18.35,18.0,18.1,45324.0,0.0,1.0,18.2,18.35,18.0,18.1,45324.0
2016-11-03,18.2,18.45,18.0,18.15,32742.0,0.0,1.0,18.2,18.45,18.0,18.15,32742.0
2016-11-02,18.35,18.45,18.05,18.2,31655.0,0.0,1.0,18.35,18.45,18.05,18.2,31655.0
2016-11-01,18.45,18.5,18.2,18.35,53118.0,0.0,1.0,18.45,18.5,18.2,18.35,53118.0
2016-10-31,18.35,18.45,18.25,18.35,46582.0,0.0,1.0,18.35,18.45,18.25,18.35,46582.0
2016-10-28,18.35,18.45,18.2,18.3,30058.0,0.0,1.0,18.35,18.45,18.2,18.3,30058.0
2016-10-27,18.5,18.5,18.2,18.25,66604.0,0.0,1.0,18.5,18.5,18.2,18.25,66604.0
2016-10-26,18.5,18.55,18.255,18.4,47537.0,0.0,1.0,18.5,18.55,18.255,18.4,47537.0
2016-10-25,18.2,18.6,17.9,18.45,89431.0,0.0,1.0,18.2,18.6,17.9,18.45,89431.0
2016-10-24,17.95,18.0,17.875,17.95,54314.0,0.0,1.0,17.95,18.0,17.875,17.95,54314.0
2016-10-21,17.75,18.0,17.75,17.8,64662.0,0.0,1.0,17.75,18.0,17.75,17.8,64662.0
2016-10-20,18.5,18.5,17.95,17.95,174865.0,0.0,1.0,18.5,18.5,17.95,17.95,174865.0
2016-10-19,18.25,18.6,18.25,18.5,26181.0,0.0,1.0,18.25,18.6,18.25,18.5,26181.0
2016-10-18,18.25,18.3,18.15,18.2,25410.0,0.0,1.0,18.25,18.3,18.15,18.2,25410.0
2016-10-17,18.15,18.45,18.05,18.15,17687.0,0.0,1.0,18.15,18.45,18.05,18.15,17687.0
2016-10-14,18.13,18.355,17.9279,18.22,58181.0,0.0,1.0,18.13,18.355,17.9279,18.22,58181.0
2016-10-13,18.19,18.19,17.75,17.97,60121.0,0.0,1.0,18.19,18.19,17.75,17.97,60121.0
2016-10-12,17.95,18.52,17.94,18.26,45009.0,0.075,1.0,17.95,18.52,17.94,18.26,45009.0
2016-10-11,18.29,18.38,17.97,18.03,63966.0,0.0,1.0,18.215184074175,18.304815925825,17.896493046087,17.956247613853,63966.0
2016-10-10,18.01,18.38,18.01,18.25,44400.0,0.0,1.0,17.936329424598,18.304815925825,17.936329424598,18.175347695664,44400.0
2016-10-07,18.2,18.21,17.85,17.94,93583.0,0.0,1.0,18.125552222525,18.135511317153,17.776983910554,17.866615762203,93583.0
2016-10-06,18.11,18.26,18.03,18.21,36335.0,0.0,1.0,18.035920370875,18.185306790292,17.956247613853,18.135511317153,36335.0
2016-10-05,17.86,18.25,17.86,18.18,58203.0,0.0,1.0,17.786943005181,18.175347695664,17.786943005181,18.10563403327,58203.0
2016-10-04,17.84,18.08,17.4,17.88,56400.0,0.0,1.0,17.767024815926,18.006043086992,17.328824652304,17.806861194437,56400.0
2016-10-03,18.13,18.13,17.66,17.78,46976.0,0.0,1.0,18.055838560131,18.055838560131,17.587761112626,17.707270248159,46976.0
2016-09-30,18.21,18.32,18.02,18.04,97148.0,0.0,1.0,18.135511317153,18.245061358058,17.946288519226,17.966206708481,97148.0
2016-09-29,18.28,18.41,18.05,18.07,41896.0,0.0,1.0,18.205224979547,18.334693209708,17.976165803109,17.996083992364,41896.0
2016-09-28,18.36,18.41,18.16,18.39,40608.0,0.0,1.0,18.284897736569,18.334693209708,18.085715844014,18.314775020453,40608.0
2016-09-27,18.05,18.39,18.05,18.36,39234.0,0.0,1.0,17.976165803109,18.314775020453,17.976165803109,18.284897736569,39234.0
2016-09-26,18.58,18.58,18.02,18.02,31727.0,0.0,1.0,18.50399781838,18.50399781838,17.946288519226,17.946288519226,31727.0
2016-09-23,18.67,18.81,18.6,18.7,36854.0,0.0,1.0,18.59362967003,18.733056994819,18.523916007636,18.623506953913,36854.0
2016-09-22,18.38,18.82,18.38,18.75,38208.0,0.0,1.0,18.304815925825,18.743016089446,18.304815925825,18.673302427052,38208.0
2016-09-21,18.37,18.485,18.11,18.38,34124.0,0.0,1.0,18.294856831197,18.409386419416,18.035920370875,18.304815925825,34124.0
2016-09-20,18.34,18.44,18.28,18.28,24089.0,0.0,1.0,18.264979547314,18.364570493591,18.205224979547,18.205224979547,24089.0
2016-09-19,18.39,18.5899,18.21,18.32,36130.0,0.0,1.0,18.314775020453,18.513857322062,18.135511317153,18.245061358058,36130.0
2016-09-16,18.23,18.52,17.8,18.4,192082.0,0.0,1.0,18.155429506409,18.444243250614,17.727188437415,18.32473411508,192082.0
2016-09-15,17.85,18.17,17.79,18.16,45165.0,0.0,1.0,17.776983910554,18.095674938642,17.717229342787,18.085715844014,45165.0
2016-09-14,17.98,18.135,17.83,17.85,22606.0,0.0,1.0,17.906452140714,18.060818107445,17.757065721298,17.776983910554,22606.0
2016-09-13,18.39,18.39,17.9601,18.1,47265.0,0.0,1.0,18.314775020453,18.314775020453,17.886633542405,18.025961276248,47265.0
2016-09-12,18.58,18.58,18.2,18.52,39460.0,0.0,1.0,18.50399781838,18.50399781838,18.125552222525,18.444243250614,39460.0
2016-09-09,18.87,18.91,18.53,18.55,73164.0,0.0,1.0,18.792811562585,18.832647941096,18.454202345241,18.474120534497,73164.0
2016-09-08,18.64,18.91,18.52,18.86,38102.0,0.0,1.0,18.563752386147,18.832647941096,18.444243250614,18.782852467957,38102.0
2016-09-07,18.7,18.7,18.431,18.59,55012.0,0.0,1.0,18.623506953913,18.623506953913,18.355607308427,18.513956913008,55012.0
2016-09-06,18.7,18.7,18.29,18.42,46035.0,0.0,1.0,18.623506953913,18.623506953913,18.215184074175,18.344652304336,46035.0
2016-09-02,18.15,18.62,18.15,18.62,77155.0,0.0,1.0,18.075756749386,18.543834196891,18.075756749386,18.543834196891,77155.0
2016-09-01,17.84,18.15,17.78,18.13,58668.0,0.0,1.0,17.767024815926,18.075756749386,17.707270248159,18.055838560131,58668.0
2016-08-31,18.05,18.24,17.76,17.79,102496.0,0.0,1.0,17.976165803109,18.165388601036,17.687352058904,17.717229342787,102496.0
2016-08-30,18.08,18.2,17.945,18.03,26846.0,0.0,1.0,18.006043086992,18.125552222525,17.871595309517,17.956247613853,26846.0
2016-08-29,17.918,18.22,17.918,18.04,44386.0,0.0,1.0,17.844705754022,18.145470411781,17.844705754022,17.966206708481,44386.0
2016-08-26,17.81,17.98,17.75,17.92,38655.0,0.0,1.0,17.737147532043,17.906452140714,17.677392964276,17.846697572948,38655.0
2016-08-25,17.51,17.88,17.4,17.87,49631.0,0.0,1.0,17.43837469321,17.806861194437,17.328824652304,17.796902099809,49631.0
2016-08-24,17.32,17.54,17.25,17.52,43149.0,0.0,1.0,17.249151895282,17.468251977093,17.179438232888,17.448333787837,43149.0
2016-08-23,17.325,17.49,17.23,17.25,33097.0,0.0,1.0,17.254131442596,17.418456503954,17.159520043632,17.179438232888,33097.0
2016-08-22,17.13,17.32,17.08,17.32,32739.0,0.0,1.0,17.059929097355,17.249151895282,17.010133624216,17.249151895282,32739.0
2016-08-19,17.11,17.2929,17.1,17.25,65260.0,0.0,1.0,17.040010908099,17.222162748841,17.030051813472,17.179438232888,65260.0
2016-08-18,17.26,17.26,17.08,17.15,30207.0,0.0,1.0,17.189397327516,17.189397327516,17.010133624216,17.07984728661,30207.0
2016-08-17,17.29,17.3,17.175,17.19,27670.0,0.0,1.0,17.219274611399,17.229233706027,17.10474502318,17.119683665121,27670.0
2016-08-16,17.34,17.35,17.17,17.28,26238.0,0.0,1.0,17.269070084538,17.279029179166,17.099765475866,17.209315516771,26238.0
2016-08-15,17.32,17.4,17.04,17.31,39256.0,0.0,1.0,17.249151895282,17.328824652304,16.970297245705,17.239192800654,39256.0
2016-08-12,17.27,17.27,17.02,17.21,44717.0,0.0,1.0,17.199356422143,17.199356422143,16.950379056449,17.139601854377,44717.0
2016-08-11,17.32,17.4,17.31,17.34,31258.0,0.0,1.0,17.249151895282,17.328824652304,17.239192800654,17.269070084538,31258.0
2016-08-10,17.49,17.5,17.28,17.3,55714.0,0.0,1.0,17.418456503954,17.428415598582,17.209315516771,17.229233706027,55714.0
2016-08-09,17.19,17.52,17.18,17.5,107210.0,0.0,1.0,17.119683665121,17.448333787837,17.109724570494,17.428415598582,107210.0
2016-08-08,17.21,17.34,16.94,17.19,19980.0,0.0,1.0,17.139601854377,17.269070084538,16.870706299427,17.119683665121,19980.0
2016-08-05,16.95,17.29,16.95,17.26,151233.0,0.0,1.0,16.880665394055,17.219274611399,16.880665394055,17.189397327516,151233.0
2016-08-04,16.97,17.002,16.75,16.78,20267.0,0.0,1.0,16.900583583311,16.932452686119,16.6814835015,16.711360785383,20267.0
2016-08-03,16.84,17.0,16.82,16.92,28776.0,0.0,1.0,16.77111535315,16.930460867194,16.751197163894,16.850788110172,28776.0
2016-08-02,16.94,17.025,16.79,16.79,55647.0,0.0,1.0,16.870706299427,16.955358603763,16.721319880011,16.721319880011,55647.0
2016-08-01,16.94,17.08,16.79,16.9,76906.0,0.0,1.0,16.870706299427,17.010133624216,16.721319880011,16.830869920916,76906.0
2016-07-29,16.88,17.03,16.66,16.91,62796.0,0.0,1.0,16.810951731661,16.960338151077,16.59185164985,16.840829015544,62796.0
2016-07-28,17.14,17.14,16.89,16.93,69391.0,0.0,1.0,17.069888191983,17.069888191983,16.820910826289,16.8607472048,69391.0
2016-07-27,17.25,17.28,17.16,17.23,44469.0,0.0,1.0,17.179438232888,17.209315516771,17.089806381238,17.159520043632,44469.0
2016-07-26,17.17,17.25,17.05,17.22,45024.0,0.0,1.0,17.099765475866,17.179438232888,16.980256340333,17.149560949005,45024.0
2016-07-25,17.05,17.16,16.46,17.09,44171.0,0.0,1.0,16.980256340333,17.089806381238,16.392669757295,17.020092718844,44171.0
2016-07-22,16.59,17.11,16.43,17.06,148966.0,0.0,1.0,16.522137987456,17.040010908099,16.362792473412,16.99021543496,148966.0
2016-07-21,16.07,16.1,15.94,15.95,21739.0,0.0,1.0,16.004265066812,16.034142350695,15.874796836651,15.884755931279,21739.0
2016-07-20,16.4,16.4,16.04,16.09,87304.0,0.0,1.0,16.332915189528,16.332915189528,15.974387782929,16.024183256068,87304.0
2016-07-19,16.46,16.5,16.31,16.37,28537.0,0.0,1.0,16.392669757295,16.432506135806,16.243283337878,16.303037905645,28537.0
2016-07-18,16.64,16.65,16.37,16.38,37566.0,0.0,1.0,16.571933460594,16.581892555222,16.303037905645,16.312997000273,37566.0
2016-07-15,16.63,16.74,16.42,16.64,28396.0,0.0,1.0,16.561974365967,16.671524406872,16.352833378784,16.571933460594,28396.0
2016-07-14,16.34,16.53,16.29,16.48,138532.0,0.075,1.0,16.273160621762,16.462383419689,16.223365148623,16.41258794655,138532.0
2016-07-13,16.17,16.34,16.15,16.24,40037.0,0.0,1.0,16.03089985477,16.199437453738,16.01107190195,16.100297689639,40037.0
2016-07-12,15.92,16.25,15.86,16.15,49716.0,0.0,1.0,15.783050444523,16.110211666049,15.723566586064,16.01107190195,49716.0
2016-07-11,15.58,15.88,15.58,15.86,54720.0,0.0,1.0,15.445975246587,15.743394538884,15.445975246587,15.723566586064,54720.0
2016-07-08,15.44,15.6999,15.44,15.55,47416.0,0.0,1.0,15.307179576849,15.564843823742,15.307179576849,15.416233317358,47416.0
2016-07-07,15.33,15.51,15.15,15.27,27368.0,0.0,1.0,15.19812583634,15.376577411718,15.019674260963,15.138641977881,27368.0
2016-07-06,15.14,15.43,15.09,15.33,37534.0,0.0,1.0,15.009760284553,15.297265600439,14.960190402503,15.19812583634,37534.0
2016-07-05,15.4,15.4,15.15,15.22,35537.0,0.0,1.0,15.26752367121,15.26752367121,15.019674260963,15.089072095832,35537.0
2016-07-01,15.65,15.73,15.41,15.45,30893.0,0.0,1.0,15.515373081457,15.594684892736,15.277437647619,15.317093553259,30893.0
2016-06-30,15.48,15.69,15.1301,15.69,51440.0,0.0,1.0,15.346835482489,15.555028987096,14.999945447907,15.555028987096,51440.0
2016-06-29,15.3,15.38,15.12,15.38,44507.0,0.0,1.0,15.168383907111,15.24769571839,14.989932331733,15.24769571839,44507.0
2016-06-28,15.34,15.34,15.09,15.14,82438.0,0.0,1.0,15.20803981275,15.20803981275,14.960190402503,15.009760284553,82438.0
2016-06-27,15.32,15.35,15.1,15.12,94009.0,0.0,1.0,15.188211859931,15.21795378916,14.970104378913,14.989932331733,94009.0
2016-06-24,15.46,15.76,15.34,15.53,181273.0,0.0,1.0,15.327007529669,15.624426821965,15.20803981275,15.396405364538,181273.0
2016-06-23,15.75,16.01,15.63,15.93,57095.0,0.0,1.0,15.614512845555,15.872276232212,15.495545128637,15.792964420933,57095.0
2016-06-22,15.59,15.7,15.53,15.58,94978.0,0.0,1.0,15.455889222997,15.564942963506,15.396405364538,15.445975246587,94978.0
2016-06-21,15.55,15.71,15.5,15.65,26132.0,0.0,1.0,15.416233317358,15.574856939916,15.366663435308,15.515373081457,26132.0
2016-06-20,15.74,15.92,15.63,15.66,43580.0,0.0,1.0,15.604598869145,15.783050444523,15.495545128637,15.525287057866,43580.0
2016-06-17,15.69,15.76,15.51,15.64,166443.0,0.0,1.0,15.555028987096,15.624426821965,15.376577411718,15.505459105047,166443.0
2016-06-16,15.51,15.72,15.48,15.69,34571.0,0.0,1.0,15.376577411718,15.584770916326,15.346835482489,15.555028987096,34571.0
2016-06-15,15.71,15.96,15.55,15.71,77263.0,0.0,1.0,15.574856939916,15.822706350163,15.416233317358,15.574856939916,77263.0
2016-06-14,15.67,15.79,15.5,15.62,50507.0,0.0,1.0,15.535201034276,15.654168751195,15.366663435308,15.485631152227,50507.0
2016-06-13,15.81,15.8249,15.58,15.74,72741.0,0.0,1.0,15.673996704015,15.688768528865,15.445975246587,15.604598869145,72741.0
2016-06-10,15.81,16.0,15.75,15.85,31940.0,0.0,1.0,15.673996704015,15.862362255802,15.614512845555,15.713652609654,31940.0
2016-06-09,15.92,16.01,15.76,15.96,35384.0,0.0,1.0,15.783050444523,15.872276232212,15.624426821965,15.822706350163,35384.0
2016-06-08,15.98,16.15,15.88,15.99,103208.0,0.0,1.0,15.842534302982,16.01107190195,15.743394538884,15.852448279392,103208.0
2016-06-07,15.99,16.03,15.95,15.98,75431.0,0.0,1.0,15.852448279392,15.892104185032,15.812792373753,15.842534302982,75431.0
2016-06-06,16.0,16.18,15.82,15.95,139744.0,0.0,1.0,15.862362255802,16.04081383118,15.683910680424,15.812792373753,139744.0
2016-06-03,16.44,16.44,15.94,15.99,42523.0,0.0,1.0,16.298577217837,16.298577217837,15.802878397343,15.852448279392,42523.0
2016-06-02,16.16,16.5,16.09,16.48,64239.0,0.0,1.0,16.02098587836,16.358061076296,15.951588043491,16.338233123476,64239.0
2016-06-01,15.69,16.13,15.63,16.0,36664.0,0.0,1.0,15.555028987096,15.991243949131,15.495545128637,15.862362255802,36664.0
