Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,14.89,15.11,14.75,14.91,117892.0,0.0,1.0,14.89,15.11,14.75,14.91,117892.0
2016-11-16,14.86,15.04,14.72,15.0,75808.0,0.0,1.0,14.86,15.04,14.72,15.0,75808.0
2016-11-15,14.91,15.0,14.62,15.0,94706.0,0.0,1.0,14.91,15.0,14.62,15.0,94706.0
2016-11-14,15.02,15.5,14.73,15.0,200697.0,0.0,1.0,15.02,15.5,14.73,15.0,200697.0
2016-11-11,14.43,15.21,14.42,15.0,207245.0,0.0,1.0,14.43,15.21,14.42,15.0,207245.0
2016-11-10,14.39,14.66,13.95,14.45,170301.0,0.0,1.0,14.39,14.66,13.95,14.45,170301.0
2016-11-09,12.83,14.0,12.83,14.0,163599.0,0.0,1.0,12.83,14.0,12.83,14.0,163599.0
2016-11-08,12.88,12.88,12.71,12.74,38570.0,0.0,1.0,12.88,12.88,12.71,12.74,38570.0
2016-11-07,12.78,12.92,12.59,12.86,89396.0,0.0,1.0,12.78,12.92,12.59,12.86,89396.0
2016-11-04,12.51,12.73,12.42,12.52,42299.0,0.0,1.0,12.51,12.73,12.42,12.52,42299.0
2016-11-03,12.46,12.61,12.42,12.57,41509.0,0.0,1.0,12.46,12.61,12.42,12.57,41509.0
2016-11-02,12.67,12.69,12.4,12.4,47725.0,0.0,1.0,12.67,12.69,12.4,12.4,47725.0
2016-11-01,12.74,12.81,12.54,12.59,63972.0,0.0,1.0,12.74,12.81,12.54,12.59,63972.0
2016-10-31,12.89,12.9329,12.68,12.72,75549.0,0.0,1.0,12.89,12.9329,12.68,12.72,75549.0
2016-10-28,12.97,13.08,12.81,12.89,60910.0,0.0,1.0,12.97,13.08,12.81,12.89,60910.0
2016-10-27,13.04,13.13,12.98,13.01,45847.0,0.05,1.0,13.04,13.13,12.98,13.01,45847.0
2016-10-26,13.2,13.32,12.92,13.04,84751.0,0.0,1.0,13.149464012251,13.269004594181,12.870535987749,12.990076569678,84751.0
2016-10-25,13.2,13.3,13.16,13.23,51629.0,0.0,1.0,13.149464012251,13.249081163859,13.109617151608,13.179349157734,51629.0
2016-10-24,13.14,13.53,12.83,13.3,94402.0,0.0,1.0,13.089693721286,13.478200612557,12.780880551302,13.249081163859,94402.0
2016-10-21,13.25,13.6,13.23,13.52,99020.0,0.0,1.0,13.199272588055,13.547932618683,13.179349157734,13.468238897397,99020.0
2016-10-20,13.1,13.25,13.1,13.24,30633.0,0.0,1.0,13.049846860643,13.199272588055,13.049846860643,13.189310872894,30633.0
2016-10-19,12.99,13.28,12.98,13.23,99059.0,0.0,1.0,12.940267993874,13.229157733538,12.930306278714,13.179349157734,99059.0
2016-10-18,13.05,13.05,12.88,12.89,23133.0,0.0,1.0,13.000038284839,13.000038284839,12.830689127106,12.840650842266,23133.0
2016-10-17,13.14,13.17,12.92,12.96,21926.0,0.0,1.0,13.089693721286,13.119578866769,12.870535987749,12.910382848392,21926.0
2016-10-14,13.09,13.18,13.03,13.07,39914.0,0.0,1.0,13.039885145482,13.12954058193,12.980114854518,13.019961715161,39914.0
2016-10-13,13.12,13.12,12.91,12.98,39330.0,0.0,1.0,13.069770290965,13.069770290965,12.860574272588,12.930306278714,39330.0
2016-10-12,13.11,13.25,13.1,13.2,45020.0,0.0,1.0,13.059808575804,13.199272588055,13.049846860643,13.149464012251,45020.0
2016-10-11,13.24,13.37,12.98,13.07,52502.0,0.0,1.0,13.189310872894,13.318813169985,12.930306278714,13.019961715161,52502.0
2016-10-10,13.08,13.39,13.08,13.34,50060.0,0.0,1.0,13.029923430322,13.338736600306,13.029923430322,13.288928024502,50060.0
