Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,151.23,151.4,149.55,151.2,2091262.0,0.0,1.0,151.23,151.4,149.55,151.2,2091262.0
2016-11-16,152.19,152.55,151.7975,152.14,2143952.0,0.0,1.0,152.19,152.55,151.7975,152.14,2143952.0
2016-11-15,151.98,152.0,150.29,151.15,2681464.0,0.0,1.0,151.98,152.0,150.29,151.15,2681464.0
2016-11-14,150.92,152.1385,149.5,152.05,3879214.0,0.0,1.0,150.92,152.1385,149.5,152.05,3879214.0
2016-11-11,146.61,149.62,145.38,149.36,3215715.0,0.0,1.0,146.61,149.62,145.38,149.36,3215715.0
2016-11-10,147.06,150.0,146.61,146.7,3922904.0,0.0,1.0,147.06,150.0,146.61,146.7,3922904.0
2016-11-09,143.54,147.39,143.54,146.79,3055355.0,0.0,1.0,143.54,147.39,143.54,146.79,3055355.0
2016-11-08,143.89,146.63,143.8,146.09,3490655.0,0.0,1.0,143.89,146.63,143.8,146.09,3490655.0
2016-11-07,143.38,143.655,142.75,143.54,2967778.0,0.0,1.0,143.38,143.655,142.75,143.54,2967778.0
2016-11-04,143.0,145.0,142.11,142.24,2702134.0,0.0,1.0,143.0,145.0,142.11,142.24,2702134.0
2016-11-03,146.7,146.7,144.14,144.45,2168211.0,0.0,1.0,146.7,146.7,144.14,144.45,2168211.0
2016-11-02,146.43,147.34,146.12,146.27,2250063.0,0.45,1.0,146.43,147.34,146.12,146.27,2250063.0
2016-11-01,148.48,148.63,146.3805,146.66,2074839.0,0.0,1.0,148.02460196292,148.17414190294,145.93154126908,146.21018402399,2074839.0
2016-10-31,148.89,149.35,147.1,147.87,3214968.0,0.0,1.0,148.43334446565,148.89193361505,146.64883451472,147.4164728735,3214968.0
2016-10-28,150.44,150.86,149.38,149.76,1840347.0,0.0,1.0,149.97859051254,150.3973023446,148.92184160305,149.30067611778,1840347.0
2016-10-27,150.83,151.46,149.82,150.86,1978041.0,0.0,1.0,150.3673943566,150.99546210469,149.36049209378,150.3973023446,1978041.0
2016-10-26,150.35,151.41,150.28,150.98,2226497.0,0.0,1.0,149.88886654853,150.94561545802,149.81908124318,150.51693429662,2226497.0
2016-10-25,149.9,151.97,149.9,150.99,2056494.0,0.0,1.0,149.44024672846,151.50389790076,149.44024672846,150.52690362595,2056494.0
2016-10-24,149.35,152.317,149.29,152.12,2398281.0,0.0,1.0,148.89193361505,151.84983362868,148.83211763904,151.65343784079,2398281.0
2016-10-21,149.51,150.29,148.5,148.97,2156133.0,0.0,1.0,149.05144288441,149.82905057252,148.04454062159,148.51309910033,2156133.0
2016-10-20,149.85,150.78,149.6,150.04,2242448.0,0.0,1.0,149.39040008179,150.31754770992,149.14116684842,149.57981733915,2242448.0
2016-10-19,150.7,151.32,149.31,149.45,1789557.0,0.0,1.0,150.23779307525,150.855891494,148.85205629771,148.9916269084,1789557.0
2016-10-18,149.51,149.62,148.41,149.11,1841294.0,0.0,1.0,149.05144288441,149.16110550709,147.95481665758,148.65266971101,1841294.0
2016-10-17,150.08,150.2,148.63,148.7,1931015.0,0.0,1.0,149.61969465649,149.73932660851,148.17414190294,148.24392720829,1931015.0
2016-10-14,150.18,151.0,149.28,150.17,1723032.0,0.0,1.0,149.71938794984,150.53687295529,148.82214830971,149.7094186205,1723032.0
2016-10-13,149.93,151.34,149.72,150.22,1779548.0,0.0,1.0,149.47015471647,150.87583015267,149.26079880044,149.75926526718,1779548.0
2016-10-12,150.97,151.49,150.39,150.46,1651510.0,0.0,1.0,150.50696496728,151.02537009269,149.92874386587,149.99852917121,1651510.0
2016-10-11,149.67,151.14,149.515,151.01,2523894.0,0.0,1.0,149.21095215376,150.67644356598,149.05642754907,150.54684228462,2523894.0
2016-10-10,150.35,150.85,149.75,150.28,1572617.0,0.0,1.0,149.88886654853,150.38733301527,149.29070678844,149.81908124318,1572617.0
2016-10-07,149.77,150.19,148.79,149.99,2249304.0,0.0,1.0,149.31064544711,149.72935727917,148.3336511723,149.52997069248,2249304.0
2016-10-06,150.23,150.64,149.0,149.47,2463624.0,0.0,1.0,149.76923459651,150.17797709924,148.54300708833,149.01156556707,2463624.0
2016-10-05,150.63,150.92,149.83,149.99,2356770.0,0.0,1.0,150.1680077699,150.45711832061,149.37046142312,149.52997069248,2356770.0
2016-10-04,151.47,151.62,149.49,150.48,2753446.0,0.0,1.0,151.00543143402,151.15497137405,149.03150422574,150.01846782988,2753446.0
2016-10-03,152.22,152.2504,150.32,151.01,3188804.0,0.0,1.0,151.75313113413,151.78343789531,149.85895856052,150.54684228462,3188804.0
2016-09-30,151.79,154.85,151.6,152.51,7040976.0,0.0,1.0,151.32444997274,154.37506474918,151.13503271538,152.04224168484,7040976.0
2016-09-29,149.19,149.69,147.2,147.49,4193295.0,0.0,1.0,148.73242434569,149.23089081243,146.74852780807,147.03763835878,4193295.0
2016-09-28,150.6,150.67,148.94,149.41,2579029.0,0.0,1.0,150.1380997819,150.20788508724,148.48319111232,148.95174959106,2579029.0
2016-09-27,151.42,151.77,150.0,150.45,2526324.0,0.0,1.0,150.95558478735,151.30451131407,149.53994002181,149.98855984188,2526324.0
2016-09-26,152.08,152.28,151.01,151.19,1826077.0,0.0,1.0,151.61356052345,151.81294711014,150.54684228462,150.72629021265,1826077.0
2016-09-23,153.15,153.77,152.17,152.53,2211497.0,0.0,1.0,152.68027876227,153.29837718103,151.70328448746,152.06218034351,2211497.0
2016-09-22,153.03,154.28,152.68,153.15,2468167.0,0.0,1.0,152.56064681025,153.8068129771,152.21172028353,152.68027876227,2468167.0
2016-09-21,152.59,152.9,151.25,152.7,1502116.0,0.0,1.0,152.12199631952,152.4310455289,150.78610618866,152.2316589422,1502116.0
2016-09-20,152.43,152.71,151.67,152.17,1358920.0,0.0,1.0,151.96248705016,152.24162827154,151.20481802072,151.70328448746,1358920.0
2016-09-19,152.13,153.03,151.6,151.79,1311047.0,0.0,1.0,151.66340717012,152.56064681025,151.13503271538,151.32444997274,1311047.0
2016-09-16,151.96,152.66,151.14,152.35,2769688.0,0.0,1.0,151.49392857143,152.19178162486,150.67644356598,151.88273241549,2769688.0
2016-09-15,150.72,152.97,150.11,152.67,2265349.0,0.0,1.0,150.25773173391,152.50083083424,149.64960264449,152.2017509542,2265349.0
2016-09-14,150.71,152.25,150.2,150.69,2175369.0,0.0,1.0,150.24776240458,151.78303912214,149.73932660851,150.22782374591,2175369.0
2016-09-13,151.18,151.58,150.07,150.74,2114131.0,0.0,1.0,150.71632088332,151.11509405671,149.60972532715,150.27767039258,2114131.0
2016-09-12,150.5,151.99,150.26,151.69,2922404.0,0.0,1.0,150.03840648855,151.52383655943,149.79914258451,151.22475667939,2922404.0
2016-09-09,152.59,152.79,150.7,150.7,2874714.0,0.0,1.0,152.12199631952,152.32138290622,150.23779307525,150.23779307525,2874714.0
2016-09-08,155.19,155.4899,152.94,153.47,2778295.0,0.0,1.0,154.71402194656,155.01300213332,152.47092284624,152.99929730098,2778295.0
2016-09-07,157.64,157.87,155.4,155.64,2970054.0,0.0,1.0,157.15650763359,157.38580220829,154.9233778626,155.16264176663,2970054.0
