Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,91.53,92.48,89.91,91.5,301966.0,0.0,1.0,91.53,92.48,89.91,91.5,301966.0
2016-11-16,90.57,91.75,88.78,91.0,678189.0,0.0,1.0,90.57,91.75,88.78,91.0,678189.0
2016-11-15,88.35,90.58,88.0,88.99,517582.0,0.0,1.0,88.35,90.58,88.0,88.99,517582.0
2016-11-14,85.14,88.26,85.1,88.0,667965.0,0.0,1.0,85.14,88.26,85.1,88.0,667965.0
2016-11-11,90.29,91.39,83.335,85.31,946396.0,0.0,1.0,90.29,91.39,83.335,85.31,946396.0
2016-11-10,94.25,97.0,90.61,91.15,1329065.0,0.0,1.0,94.25,97.0,90.61,91.15,1329065.0
2016-11-09,92.0,95.775,91.0,93.17,1114160.0,0.0,1.0,92.0,95.775,91.0,93.17,1114160.0
2016-11-08,90.48,91.93,88.68,91.56,679133.0,0.0,1.0,90.48,91.93,88.68,91.56,679133.0
2016-11-07,90.52,92.3099,89.9,90.46,401996.0,0.0,1.0,90.52,92.3099,89.9,90.46,401996.0
2016-11-04,88.93,91.84,88.21,88.91,434476.0,0.0,1.0,88.93,91.84,88.21,88.91,434476.0
2016-11-03,91.11,92.16,89.26,89.34,363050.0,0.0,1.0,91.11,92.16,89.26,89.34,363050.0
2016-11-02,89.94,91.37,89.36,90.61,383336.0,0.0,1.0,89.94,91.37,89.36,90.61,383336.0
2016-11-01,92.32,93.255,89.77,90.03,548381.0,0.0,1.0,92.32,93.255,89.77,90.03,548381.0
2016-10-31,93.16,93.53,91.31,92.23,439712.0,0.0,1.0,93.16,93.53,91.31,92.23,439712.0
2016-10-28,92.15,92.95,90.83,92.56,396277.0,0.0,1.0,92.15,92.95,90.83,92.56,396277.0
2016-10-27,90.11,92.56,89.91,92.35,509610.0,0.0,1.0,90.11,92.56,89.91,92.35,509610.0
2016-10-26,92.0,92.21,89.77,90.11,693185.0,0.0,1.0,92.0,92.21,89.77,90.11,693185.0
2016-10-25,93.38,95.0,93.0,93.13,391718.0,0.0,1.0,93.38,95.0,93.0,93.13,391718.0
2016-10-24,94.47,94.91,92.78,93.6,372057.0,0.0,1.0,94.47,94.91,92.78,93.6,372057.0
2016-10-21,92.92,94.72,92.01,93.99,310725.0,0.0,1.0,92.92,94.72,92.01,93.99,310725.0
2016-10-20,91.78,93.95,91.3,93.51,357848.0,0.0,1.0,91.78,93.95,91.3,93.51,357848.0
2016-10-19,92.01,92.77,91.69,92.47,433612.0,0.0,1.0,92.01,92.77,91.69,92.47,433612.0
2016-10-18,92.0,92.425,90.87,92.01,386469.0,0.0,1.0,92.0,92.425,90.87,92.01,386469.0
2016-10-17,89.88,91.87,89.775,90.69,594033.0,0.0,1.0,89.88,91.87,89.775,90.69,594033.0
2016-10-14,89.26,90.739,88.55,90.09,529939.0,0.0,1.0,89.26,90.739,88.55,90.09,529939.0
2016-10-13,86.02,88.9,85.45,88.68,487308.0,0.0,1.0,86.02,88.9,85.45,88.68,487308.0
2016-10-12,85.22,87.1575,85.09,86.53,399122.0,0.0,1.0,85.22,87.1575,85.09,86.53,399122.0
2016-10-11,87.15,87.74,84.49,85.08,288179.0,0.0,1.0,87.15,87.74,84.49,85.08,288179.0
2016-10-10,86.07,88.45,85.31,86.9,345211.0,0.0,1.0,86.07,88.45,85.31,86.9,345211.0
2016-10-07,84.37,85.09,83.34,84.39,358743.0,0.0,1.0,84.37,85.09,83.34,84.39,358743.0
2016-10-06,85.22,85.93,83.32,84.63,357473.0,0.0,1.0,85.22,85.93,83.32,84.63,357473.0
2016-10-05,84.01,86.73,84.01,85.98,438482.0,0.0,1.0,84.01,86.73,84.01,85.98,438482.0
2016-10-04,87.49,87.6781,83.26,84.21,1478680.0,0.0,1.0,87.49,87.6781,83.26,84.21,1478680.0
2016-10-03,87.82,89.21,86.53,87.0,484423.0,0.0,1.0,87.82,89.21,86.53,87.0,484423.0
2016-09-30,87.33,88.71,86.35,87.93,587012.0,0.0,1.0,87.33,88.71,86.35,87.93,587012.0
2016-09-29,85.51,88.58,85.035,87.31,679584.0,0.0,1.0,85.51,88.58,85.035,87.31,679584.0
2016-09-28,86.33,86.74,85.06,85.86,245816.0,0.0,1.0,86.33,86.74,85.06,85.86,245816.0
2016-09-27,86.45,87.22,84.33,86.14,624839.0,0.0,1.0,86.45,87.22,84.33,86.14,624839.0
2016-09-26,90.05,90.75,85.92,86.15,1329770.0,0.0,1.0,90.05,90.75,85.92,86.15,1329770.0
2016-09-23,86.97,90.67,86.3321,90.5,978972.0,0.0,1.0,86.97,90.67,86.3321,90.5,978972.0
2016-09-22,90.0,90.25,87.06,87.83,528413.0,0.0,1.0,90.0,90.25,87.06,87.83,528413.0
2016-09-21,90.1,90.1,87.315,88.96,561358.0,0.0,1.0,90.1,90.1,87.315,88.96,561358.0
2016-09-20,89.95,89.99,85.96,89.02,836273.0,0.0,1.0,89.95,89.99,85.96,89.02,836273.0
2016-09-19,90.0,90.34,88.09,88.19,531261.0,0.0,1.0,90.0,90.34,88.09,88.19,531261.0
2016-09-16,88.81,89.49,88.218,88.8,407776.0,0.0,1.0,88.81,89.49,88.218,88.8,407776.0
2016-09-15,88.87,89.7299,87.74,89.2,576151.0,0.0,1.0,88.87,89.7299,87.74,89.2,576151.0
2016-09-14,87.01,89.06,87.01,87.68,658373.0,0.0,1.0,87.01,89.06,87.01,87.68,658373.0
2016-09-13,89.0,89.76,85.35,87.16,1299328.0,0.0,1.0,89.0,89.76,85.35,87.16,1299328.0
2016-09-12,82.61,89.25,82.42,88.95,1250440.0,0.0,1.0,82.61,89.25,82.42,88.95,1250440.0
2016-09-09,84.47,84.92,81.99,83.44,1029016.0,0.0,1.0,84.47,84.92,81.99,83.44,1029016.0
2016-09-08,80.89,85.97,80.529,85.7,919509.0,0.0,1.0,80.89,85.97,80.529,85.7,919509.0
2016-09-07,77.68,79.52,77.68,79.51,355605.0,0.0,1.0,77.68,79.52,77.68,79.51,355605.0
2016-09-06,77.78,77.84,77.03,77.58,342328.0,0.0,1.0,77.78,77.84,77.03,77.58,342328.0
2016-09-02,77.12,78.19,77.04,77.42,302884.0,0.0,1.0,77.12,78.19,77.04,77.42,302884.0
2016-09-01,76.69,77.17,75.81,76.79,262330.0,0.0,1.0,76.69,77.17,75.81,76.79,262330.0
2016-08-31,77.88,77.95,75.74,76.43,514810.0,0.0,1.0,77.88,77.95,75.74,76.43,514810.0
2016-08-30,78.6,78.73,77.37,77.94,381876.0,0.0,1.0,78.6,78.73,77.37,77.94,381876.0
2016-08-29,78.15,79.21,78.15,78.74,381307.0,0.51,1.0,78.15,79.21,78.15,78.74,381307.0
2016-08-26,81.2,81.86,78.71,79.51,601487.0,0.0,1.0,80.677451104101,81.333203785489,78.203475078864,78.99832681388,601487.0
2016-08-25,81.27,81.965,80.49,80.99,365412.0,0.0,1.0,80.747000630915,81.43752807571,79.972020189274,80.468802523659,365412.0
2016-08-24,81.78,82.11,80.02,81.78,355068.0,0.0,1.0,81.253718611987,81.581594952681,79.505044794953,81.253718611987,355068.0
2016-08-23,82.88,82.9,81.76,82.09,397717.0,0.0,1.0,82.346639747634,82.366511041009,81.233847318612,81.561723659306,397717.0
2016-08-22,81.42,83.25,81.03,82.27,326863.0,0.0,1.0,80.89603533123,82.714258675079,80.50854511041,81.740565299685,326863.0
2016-08-19,83.19,83.74,82.0505,82.55,618947.0,0.0,1.0,82.654644794953,83.201105362776,81.52247785489,82.01876340694,618947.0
2016-08-18,84.09,85.3,83.31,84.25,526402.0,0.0,1.0,83.548852996845,84.751066246057,82.773872555205,83.707823343849,526402.0
2016-08-17,82.58,84.48,81.25,83.74,964720.0,0.0,1.0,82.048570347003,83.936343217666,80.727129337539,83.201105362776,964720.0
2016-08-16,83.5,85.17,82.63,83.45,685789.0,0.0,1.0,82.962649842271,84.621902839117,82.098248580442,82.912971608833,685789.0
2016-08-15,82.08,83.46,81.5,82.75,434720.0,0.0,1.0,81.551788012618,82.92290725552,80.975520504732,82.217476340694,434720.0
2016-08-12,80.05,82.47,79.51,82.08,598391.0,0.0,1.0,79.534851735016,81.939278233438,78.99832681388,81.551788012618,598391.0
