Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,29.85,30.45,29.795,29.97,129184.0,0.0,1.0,29.85,30.45,29.795,29.97,129184.0
2016-11-16,29.66,29.985,29.66,29.86,131891.0,0.0,1.0,29.66,29.985,29.66,29.86,131891.0
2016-11-15,29.51,29.96,29.03,29.85,126921.0,0.0,1.0,29.51,29.96,29.03,29.85,126921.0
2016-11-14,29.87,30.71,29.38,29.71,236334.0,0.0,1.0,29.87,30.71,29.38,29.71,236334.0
2016-11-11,28.65,29.74,28.4,29.62,304119.0,0.0,1.0,28.65,29.74,28.4,29.62,304119.0
2016-11-10,27.98,28.84,27.71,28.7,195822.0,0.0,1.0,27.98,28.84,27.71,28.7,195822.0
2016-11-09,26.0,27.65,26.0,27.48,121653.0,0.0,1.0,26.0,27.65,26.0,27.48,121653.0
2016-11-08,25.94,26.21,25.71,25.92,77017.0,0.0,1.0,25.94,26.21,25.71,25.92,77017.0
2016-11-07,25.77,26.09,25.66,26.0,99871.0,0.0,1.0,25.77,26.09,25.66,26.0,99871.0
2016-11-04,25.23,25.64,24.98,25.23,116871.0,0.0,1.0,25.23,25.64,24.98,25.23,116871.0
2016-11-03,25.12,25.3,25.02,25.21,75746.0,0.0,1.0,25.12,25.3,25.02,25.21,75746.0
2016-11-02,25.44,25.52,25.0,25.04,73745.0,0.0,1.0,25.44,25.52,25.0,25.04,73745.0
2016-11-01,25.65,25.88,25.37,25.43,113303.0,0.0,1.0,25.65,25.88,25.37,25.43,113303.0
2016-10-31,25.38,25.66,25.0611,25.63,173744.0,0.0,1.0,25.38,25.66,25.0611,25.63,173744.0
2016-10-28,25.61,26.15,25.295,25.33,130754.0,0.0,1.0,25.61,26.15,25.295,25.33,130754.0
2016-10-27,24.95,25.51,24.54,25.34,117301.0,0.0,1.0,24.95,25.51,24.54,25.34,117301.0
2016-10-26,24.96,25.35,24.96,25.03,67790.0,0.0,1.0,24.96,25.35,24.96,25.03,67790.0
2016-10-25,25.27,25.55,25.03,25.16,59589.0,0.0,1.0,25.27,25.55,25.03,25.16,59589.0
2016-10-24,25.08,25.5,25.08,25.31,63745.0,0.0,1.0,25.08,25.5,25.08,25.31,63745.0
2016-10-21,24.72,25.12,24.72,24.95,67500.0,0.0,1.0,24.72,25.12,24.72,24.95,67500.0
2016-10-20,25.01,25.21,24.8901,25.03,50060.0,0.0,1.0,25.01,25.21,24.8901,25.03,50060.0
2016-10-19,24.74,25.22,24.68,25.01,76209.0,0.0,1.0,24.74,25.22,24.68,25.01,76209.0
2016-10-18,24.6,24.85,24.5831,24.67,116035.0,0.0,1.0,24.6,24.85,24.5831,24.67,116035.0
2016-10-17,24.64,24.85,24.58,24.59,78670.0,0.0,1.0,24.64,24.85,24.58,24.59,78670.0
2016-10-14,25.0,25.3,24.626,24.67,192543.0,0.0,1.0,25.0,25.3,24.626,24.67,192543.0
2016-10-13,25.34,25.34,24.56,24.62,190877.0,0.0,1.0,25.34,25.34,24.56,24.62,190877.0
2016-10-12,25.58,25.73,25.48,25.57,52999.0,0.0,1.0,25.58,25.73,25.48,25.57,52999.0
2016-10-11,25.82,25.96,25.39,25.55,72326.0,0.0,1.0,25.82,25.96,25.39,25.55,72326.0
2016-10-10,25.75,26.085,25.68,25.83,81328.0,0.0,1.0,25.75,26.085,25.68,25.83,81328.0
2016-10-07,25.77,25.78,25.355,25.62,109004.0,0.0,1.0,25.77,25.78,25.355,25.62,109004.0
2016-10-06,25.65,25.81,25.44,25.71,73673.0,0.0,1.0,25.65,25.81,25.44,25.71,73673.0
2016-10-05,25.37,25.87,25.2,25.69,131355.0,0.0,1.0,25.37,25.87,25.2,25.69,131355.0
2016-10-04,24.91,25.35,24.73,25.15,68374.0,0.0,1.0,24.91,25.35,24.73,25.15,68374.0
