Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,7.55,7.58,7.04,7.07,492113.0,0.0,1.0,7.55,7.58,7.04,7.07,492113.0
2016-11-16,7.24,7.43,7.12,7.35,455389.0,0.0,1.0,7.24,7.43,7.12,7.35,455389.0
2016-11-15,7.24,7.58,7.11,7.29,704187.0,0.0,1.0,7.24,7.58,7.11,7.29,704187.0
2016-11-14,7.04,7.1811,6.9,7.14,506349.0,0.0,1.0,7.04,7.1811,6.9,7.14,506349.0
2016-11-11,6.98,7.14,6.83,7.03,590763.0,0.0,1.0,6.98,7.14,6.83,7.03,590763.0
2016-11-10,6.9,7.215,6.9,7.05,1228564.0,0.0,1.0,6.9,7.215,6.9,7.05,1228564.0
2016-11-09,6.2,6.96,6.2,6.86,1211171.0,0.0,1.0,6.2,6.96,6.2,6.86,1211171.0
2016-11-08,6.23,6.28,6.05,6.24,515010.0,0.0,1.0,6.23,6.28,6.05,6.24,515010.0
2016-11-07,6.38,6.5,6.12,6.19,620757.0,0.0,1.0,6.38,6.5,6.12,6.19,620757.0
2016-11-04,6.44,6.48,6.1901,6.25,882984.0,0.0,1.0,6.44,6.48,6.1901,6.25,882984.0
2016-11-03,6.41,6.7,6.2301,6.42,900881.0,0.0,1.0,6.41,6.7,6.2301,6.42,900881.0
2016-11-02,5.97,6.5,5.9,6.41,1196254.0,0.0,1.0,5.97,6.5,5.9,6.41,1196254.0
2016-11-01,6.37,6.53,5.85,6.08,1676352.0,0.0,1.0,6.37,6.53,5.85,6.08,1676352.0
2016-10-31,6.13,6.205,5.66,6.1,2410880.0,0.0,1.0,6.13,6.205,5.66,6.1,2410880.0
2016-10-28,6.98,6.98,6.03,6.2,3157477.0,0.0,1.0,6.98,6.98,6.03,6.2,3157477.0
2016-10-27,9.49,9.889,7.14,7.17,5478196.0,0.0,1.0,9.49,9.889,7.14,7.17,5478196.0
2016-10-26,9.55,9.85,9.45,9.78,870362.0,0.0,1.0,9.55,9.85,9.45,9.78,870362.0
2016-10-25,9.91,10.25,9.59,9.65,782038.0,0.0,1.0,9.91,10.25,9.59,9.65,782038.0
2016-10-24,10.67,10.76,9.9,10.09,819167.0,0.0,1.0,10.67,10.76,9.9,10.09,819167.0
2016-10-21,10.77,11.0,10.68,10.78,317768.0,0.0,1.0,10.77,11.0,10.68,10.78,317768.0
2016-10-20,10.87,11.0,10.64,10.88,450254.0,0.0,1.0,10.87,11.0,10.64,10.88,450254.0
2016-10-19,10.7,11.17,10.6101,11.06,622076.0,0.0,1.0,10.7,11.17,10.6101,11.06,622076.0
2016-10-18,10.82,10.95,10.38,10.56,656643.0,0.0,1.0,10.82,10.95,10.38,10.56,656643.0
2016-10-17,10.67,10.84,10.48,10.54,384837.0,0.0,1.0,10.67,10.84,10.48,10.54,384837.0
2016-10-14,11.06,11.1,10.54,10.71,336498.0,0.0,1.0,11.06,11.1,10.54,10.71,336498.0
2016-10-13,10.94,11.11,10.8,10.94,359390.0,0.0,1.0,10.94,11.11,10.8,10.94,359390.0
2016-10-12,11.07,11.18,10.8,11.06,441954.0,0.0,1.0,11.07,11.18,10.8,11.06,441954.0
2016-10-11,11.31,11.36,10.9,11.08,373699.0,0.0,1.0,11.31,11.36,10.9,11.08,373699.0
2016-10-10,11.71,11.85,11.31,11.38,529540.0,0.0,1.0,11.71,11.85,11.31,11.38,529540.0
2016-10-07,11.5,11.7,11.33,11.38,837276.0,0.0,1.0,11.5,11.7,11.33,11.38,837276.0
2016-10-06,11.69,11.95,11.46,11.53,905995.0,0.0,1.0,11.69,11.95,11.46,11.53,905995.0
2016-10-05,12.06,12.1565,11.6,11.62,562561.0,0.0,1.0,12.06,12.1565,11.6,11.62,562561.0
2016-10-04,11.93,12.08,11.52,11.64,575651.0,0.0,1.0,11.93,12.08,11.52,11.64,575651.0
2016-10-03,11.0,12.09,10.77,11.87,1661509.0,0.0,1.0,11.0,12.09,10.77,11.87,1661509.0
2016-09-30,11.06,11.33,10.81,10.94,868881.0,0.0,1.0,11.06,11.33,10.81,10.94,868881.0
2016-09-29,10.9,11.565,10.83,10.87,894531.0,0.0,1.0,10.9,11.565,10.83,10.87,894531.0
2016-09-28,10.12,10.84,9.86,10.83,629039.0,0.0,1.0,10.12,10.84,9.86,10.83,629039.0
2016-09-27,9.92,10.04,9.48,10.0,788547.0,0.0,1.0,9.92,10.04,9.48,10.0,788547.0
2016-09-26,10.44,10.665,10.05,10.07,645939.0,0.0,1.0,10.44,10.665,10.05,10.07,645939.0
2016-09-23,10.75,10.94,10.09,10.27,680746.0,0.0,1.0,10.75,10.94,10.09,10.27,680746.0
2016-09-22,11.12,11.24,10.7,10.86,499438.0,0.0,1.0,11.12,11.24,10.7,10.86,499438.0
2016-09-21,10.98,11.0711,10.735,10.96,628521.0,0.0,1.0,10.98,11.0711,10.735,10.96,628521.0
2016-09-20,10.91,11.0,10.52,10.63,661255.0,0.0,1.0,10.91,11.0,10.52,10.63,661255.0
2016-09-19,11.52,11.76,10.89,10.94,693986.0,0.0,1.0,11.52,11.76,10.89,10.94,693986.0
2016-09-16,11.67,11.75,11.22,11.37,701024.0,0.0,1.0,11.67,11.75,11.22,11.37,701024.0
2016-09-15,11.75,12.13,11.67,11.96,352910.0,0.0,1.0,11.75,12.13,11.67,11.96,352910.0
2016-09-14,11.88,12.105,11.55,11.66,525615.0,0.0,1.0,11.88,12.105,11.55,11.66,525615.0
2016-09-13,12.31,12.37,11.58,12.0,759703.0,0.0,1.0,12.31,12.37,11.58,12.0,759703.0
2016-09-12,12.07,12.81,11.96,12.63,634583.0,0.0,1.0,12.07,12.81,11.96,12.63,634583.0
2016-09-09,12.61,12.69,12.1,12.27,911128.0,0.0,1.0,12.61,12.69,12.1,12.27,911128.0
2016-09-08,12.32,13.05,12.04,12.9,876647.0,0.0,1.0,12.32,13.05,12.04,12.9,876647.0
2016-09-07,12.29,12.45,12.04,12.19,557405.0,0.0,1.0,12.29,12.45,12.04,12.19,557405.0
2016-09-06,12.39,12.54,12.02,12.24,676355.0,0.0,1.0,12.39,12.54,12.02,12.24,676355.0
2016-09-02,12.46,12.65,12.23,12.31,427262.0,0.0,1.0,12.46,12.65,12.23,12.31,427262.0
2016-09-01,12.41,12.52,12.09,12.22,571461.0,0.0,1.0,12.41,12.52,12.09,12.22,571461.0
2016-08-31,12.76,13.0,12.46,12.53,581022.0,0.0,1.0,12.76,13.0,12.46,12.53,581022.0
2016-08-30,13.15,13.31,12.7797,12.91,756818.0,0.0,1.0,13.15,13.31,12.7797,12.91,756818.0
2016-08-29,12.98,13.3,12.87,13.07,314674.0,0.0,1.0,12.98,13.3,12.87,13.07,314674.0
2016-08-26,13.22,13.64,13.0,13.03,385311.0,0.0,1.0,13.22,13.64,13.0,13.03,385311.0
2016-08-25,13.4,13.7,13.1,13.15,503456.0,0.0,1.0,13.4,13.7,13.1,13.15,503456.0
2016-08-24,14.3,14.62,13.39,13.44,514971.0,0.0,1.0,14.3,14.62,13.39,13.44,514971.0
2016-08-23,14.15,14.865,13.99,14.43,679588.0,0.0,1.0,14.15,14.865,13.99,14.43,679588.0
2016-08-22,14.23,14.31,13.83,14.27,421623.0,0.0,1.0,14.23,14.31,13.83,14.27,421623.0
2016-08-19,14.6,14.6,14.155,14.44,389553.0,0.0,1.0,14.6,14.6,14.155,14.44,389553.0
2016-08-18,14.03,14.89,13.97,14.72,728290.0,0.0,1.0,14.03,14.89,13.97,14.72,728290.0
2016-08-17,14.09,14.09,13.68,13.94,393059.0,0.0,1.0,14.09,14.09,13.68,13.94,393059.0
2016-08-16,14.29,14.46,14.0,14.19,451919.0,0.0,1.0,14.29,14.46,14.0,14.19,451919.0
2016-08-15,14.44,14.62,14.0,14.34,548754.0,0.0,1.0,14.44,14.62,14.0,14.34,548754.0
2016-08-12,14.45,14.8,14.02,14.21,586894.0,0.0,1.0,14.45,14.8,14.02,14.21,586894.0
2016-08-11,14.21,14.55,14.09,14.38,516608.0,0.0,1.0,14.21,14.55,14.09,14.38,516608.0
2016-08-10,14.72,14.88,13.915,14.03,558994.0,0.0,1.0,14.72,14.88,13.915,14.03,558994.0
2016-08-09,14.67,14.895,14.44,14.63,407667.0,0.0,1.0,14.67,14.895,14.44,14.63,407667.0
2016-08-08,14.39,15.0,13.99,14.67,901198.0,0.0,1.0,14.39,15.0,13.99,14.67,901198.0
2016-08-05,13.87,14.32,13.49,14.2,696486.0,0.0,1.0,13.87,14.32,13.49,14.2,696486.0
2016-08-04,13.64,14.14,13.54,13.76,599838.0,0.0,1.0,13.64,14.14,13.54,13.76,599838.0
2016-08-03,13.25,14.11,13.2,13.84,625910.0,0.0,1.0,13.25,14.11,13.2,13.84,625910.0
2016-08-02,13.82,13.83,12.865,13.32,806432.0,0.0,1.0,13.82,13.83,12.865,13.32,806432.0
2016-08-01,14.11,14.17,13.52,13.66,843507.0,0.0,1.0,14.11,14.17,13.52,13.66,843507.0
2016-07-29,12.51,14.41,12.51,14.1,1429152.0,0.0,1.0,12.51,14.41,12.51,14.1,1429152.0
2016-07-28,11.68,13.0,11.33,12.71,1546075.0,0.0,1.0,11.68,13.0,11.33,12.71,1546075.0
2016-07-27,12.02,12.41,11.63,11.92,627287.0,0.0,1.0,12.02,12.41,11.63,11.92,627287.0
2016-07-26,11.82,12.0201,11.45,11.94,867677.0,0.0,1.0,11.82,12.0201,11.45,11.94,867677.0
2016-07-25,12.51,12.64,11.77,11.94,915056.0,0.0,1.0,12.51,12.64,11.77,11.94,915056.0
2016-07-22,12.62,12.79,12.45,12.67,400994.0,0.0,1.0,12.62,12.79,12.45,12.67,400994.0
2016-07-21,12.83,13.25,12.44,12.62,695972.0,0.0,1.0,12.83,13.25,12.44,12.62,695972.0
2016-07-20,12.7,13.0401,12.4,12.81,523781.0,0.0,1.0,12.7,13.0401,12.4,12.81,523781.0
2016-07-19,13.44,13.6,12.826,12.87,471306.0,0.0,1.0,13.44,13.6,12.826,12.87,471306.0
2016-07-18,13.59,13.59,13.003,13.39,404023.0,0.0,1.0,13.59,13.59,13.003,13.39,404023.0
2016-07-15,14.21,14.38,13.6,13.78,511742.0,0.0,1.0,14.21,14.38,13.6,13.78,511742.0
2016-07-14,13.88,14.44,13.795,14.06,458555.0,0.0,1.0,13.88,14.44,13.795,14.06,458555.0
