Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,19.3,19.55,19.25,19.4,177049.0,0.0,1.0,19.3,19.55,19.25,19.4,177049.0
2016-11-16,19.2,19.45,18.9,19.25,187846.0,0.0,1.0,19.2,19.45,18.9,19.25,187846.0
2016-11-15,18.7,19.25,18.65,19.25,229540.0,0.0,1.0,18.7,19.25,18.65,19.25,229540.0
2016-11-14,19.15,19.2075,18.35,18.7,250934.0,0.0,1.0,19.15,19.2075,18.35,18.7,250934.0
2016-11-11,18.35,19.15,18.0781,18.8,257085.0,0.0,1.0,18.35,19.15,18.0781,18.8,257085.0
2016-11-10,17.9,18.4007,17.5,18.25,284541.0,0.0,1.0,17.9,18.4007,17.5,18.25,284541.0
2016-11-09,16.63,17.65,16.5,17.6,186486.0,0.0,1.0,16.63,17.65,16.5,17.6,186486.0
2016-11-08,17.25,17.4,16.865,17.2,127389.0,0.0,1.0,17.25,17.4,16.865,17.2,127389.0
2016-11-07,16.65,17.35,16.55,17.25,183683.0,0.0,1.0,16.65,17.35,16.55,17.25,183683.0
2016-11-04,16.55,16.95,16.4,16.45,154685.0,0.0,1.0,16.55,16.95,16.4,16.45,154685.0
2016-11-03,16.6,16.85,16.451,16.65,135409.0,0.0,1.0,16.6,16.85,16.451,16.65,135409.0
2016-11-02,17.1,17.1,16.6,16.6,104770.0,0.0,1.0,17.1,17.1,16.6,16.6,104770.0
2016-11-01,17.0,17.2,16.75,17.05,184757.0,0.0,1.0,17.0,17.2,16.75,17.05,184757.0
2016-10-31,17.1,17.2,16.5,17.0,292822.0,0.0,1.0,17.1,17.2,16.5,17.0,292822.0
2016-10-28,16.9,17.3,16.75,17.0,302581.0,0.0,1.0,16.9,17.3,16.75,17.0,302581.0
2016-10-27,17.35,18.25,16.75,16.75,420930.0,0.0,1.0,17.35,18.25,16.75,16.75,420930.0
2016-10-26,16.9,16.9,16.525,16.7,280855.0,0.0,1.0,16.9,16.9,16.525,16.7,280855.0
2016-10-25,17.3,17.3,16.8,17.0,150602.0,0.0,1.0,17.3,17.3,16.8,17.0,150602.0
2016-10-24,17.25,17.45,17.15,17.25,120615.0,0.0,1.0,17.25,17.45,17.15,17.25,120615.0
