Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,33.91,34.09,33.79,33.96,10879322.0,0.0,1.0,33.91,34.09,33.79,33.96,10879322.0
2016-11-16,34.48,34.48,33.83,33.85,12175497.0,0.0,1.0,34.48,34.48,33.83,33.85,12175497.0
2016-11-15,34.65,34.77,33.98,34.53,9600390.0,0.0,1.0,34.65,34.77,33.98,34.53,9600390.0
2016-11-14,34.72,35.12,34.545,34.78,11023353.0,0.0,1.0,34.72,35.12,34.545,34.78,11023353.0
2016-11-11,34.21,34.61,34.06,34.57,12288124.0,0.0,1.0,34.21,34.61,34.06,34.57,12288124.0
2016-11-10,34.06,34.75,33.94,34.53,15402450.0,0.0,1.0,34.06,34.75,33.94,34.53,15402450.0
2016-11-09,32.4,34.28,32.39,33.88,22964946.0,0.0,1.0,32.4,34.28,32.39,33.88,22964946.0
2016-11-08,32.06,32.14,31.63,32.07,10568161.0,0.0,1.0,32.06,32.14,31.63,32.07,10568161.0
2016-11-07,31.3,32.07,31.3,32.05,10522827.0,0.0,1.0,31.3,32.07,31.3,32.05,10522827.0
2016-11-04,30.94,31.38,30.92,30.92,9336851.0,0.0,1.0,30.94,31.38,30.92,30.92,9336851.0
2016-11-03,30.86,31.21,30.64,31.13,12008472.0,0.0,1.0,30.86,31.21,30.64,31.13,12008472.0
2016-11-02,30.53,30.885,30.43,30.74,10841028.0,0.0,1.0,30.53,30.885,30.43,30.74,10841028.0
2016-11-01,30.64,30.76,30.15,30.4,6464935.0,0.0,1.0,30.64,30.76,30.15,30.4,6464935.0
2016-10-31,30.46,30.86,30.38,30.51,5818614.0,0.0,1.0,30.46,30.86,30.38,30.51,5818614.0
2016-10-28,30.22,30.68,30.01,30.28,6978597.0,0.0,1.0,30.22,30.68,30.01,30.28,6978597.0
2016-10-27,30.4,30.46,30.22,30.31,5870644.0,0.0,1.0,30.4,30.46,30.22,30.31,5870644.0
2016-10-26,30.79,30.83,30.34,30.38,8794868.0,0.0,1.0,30.79,30.83,30.34,30.38,8794868.0
2016-10-25,30.32,31.02,30.161,30.85,8965331.0,0.0,1.0,30.32,31.02,30.161,30.85,8965331.0
2016-10-24,30.56,30.7,30.38,30.41,8610859.0,0.0,1.0,30.56,30.7,30.38,30.41,8610859.0
2016-10-21,30.12,30.39,30.04,30.29,7399131.0,0.0,1.0,30.12,30.39,30.04,30.29,7399131.0
2016-10-20,30.83,30.94,30.22,30.34,13507601.0,0.0,1.0,30.83,30.94,30.22,30.34,13507601.0
2016-10-19,30.51,31.285,30.51,31.07,6209144.0,0.0,1.0,30.51,31.285,30.51,31.07,6209144.0
2016-10-18,31.35,31.445,30.95,31.02,6866220.0,0.0,1.0,31.35,31.445,30.95,31.02,6866220.0
2016-10-17,31.03,31.2,30.82,31.01,6581130.0,0.0,1.0,31.03,31.2,30.82,31.01,6581130.0
2016-10-14,31.45,31.73,31.01,31.025,9895614.0,0.0,1.0,31.45,31.73,31.01,31.025,9895614.0
2016-10-13,30.63,31.28,30.26,31.15,15001787.0,0.0,1.0,30.63,31.28,30.26,31.15,15001787.0
2016-10-12,30.43,30.44,30.11,30.21,11904229.0,0.0,1.0,30.43,30.44,30.11,30.21,11904229.0
2016-10-11,30.81,30.82,30.305,30.47,9770377.0,0.0,1.0,30.81,30.82,30.305,30.47,9770377.0
2016-10-10,31.1,31.31,30.765,30.83,9233052.0,0.0,1.0,31.1,31.31,30.765,30.83,9233052.0
2016-10-07,30.97,31.15,30.82,31.05,10580403.0,0.0,1.0,30.97,31.15,30.82,31.05,10580403.0
2016-10-06,30.78,31.155,30.6003,31.06,13299380.0,0.0,1.0,30.78,31.155,30.6003,31.06,13299380.0
2016-10-05,30.36,30.77,30.24,30.71,5291365.0,0.0,1.0,30.36,30.77,30.24,30.71,5291365.0
2016-10-04,30.48,30.66,30.15,30.17,5839856.0,0.0,1.0,30.48,30.66,30.15,30.17,5839856.0
2016-10-03,30.33,30.5,30.23,30.43,4268744.0,0.0,1.0,30.33,30.5,30.23,30.43,4268744.0
2016-09-30,30.16,30.595,30.01,30.5,6957589.0,0.0,1.0,30.16,30.595,30.01,30.5,6957589.0
2016-09-29,30.06,30.23,29.79,29.99,7139212.0,0.0,1.0,30.06,30.23,29.79,29.99,7139212.0
2016-09-28,29.76,30.05,29.595,30.01,4402484.0,0.0,1.0,29.76,30.05,29.595,30.01,4402484.0
2016-09-27,29.76,29.9,29.59,29.62,5210680.0,0.0,1.0,29.76,29.9,29.59,29.62,5210680.0
2016-09-26,29.43,29.925,29.39,29.71,6852695.0,0.0,1.0,29.43,29.925,29.39,29.71,6852695.0
2016-09-23,29.38,29.71,29.32,29.64,4981506.0,0.0,1.0,29.38,29.71,29.32,29.64,4981506.0
2016-09-22,29.95,30.11,29.56,29.57,5353541.0,0.0,1.0,29.95,30.11,29.56,29.57,5353541.0
2016-09-21,29.24,29.76,29.21,29.71,6609275.0,0.0,1.0,29.24,29.76,29.21,29.71,6609275.0
2016-09-20,29.5,29.53,29.09,29.1,5845799.0,0.0,1.0,29.5,29.53,29.09,29.1,5845799.0
2016-09-19,29.46,29.5893,29.2,29.27,4545276.0,0.0,1.0,29.46,29.5893,29.2,29.27,4545276.0
2016-09-16,29.13,29.405,28.87,29.325,10864401.0,0.0,1.0,29.13,29.405,28.87,29.325,10864401.0
2016-09-15,28.99,29.32,28.7389,29.23,9383041.0,0.0,1.0,28.99,29.32,28.7389,29.23,9383041.0
2016-09-14,28.51,29.19,28.455,28.95,9944028.0,0.0,1.0,28.51,29.19,28.455,28.95,9944028.0
2016-09-13,28.51,28.88,28.41,28.59,10811086.0,0.0,1.0,28.51,28.88,28.41,28.59,10811086.0
2016-09-12,28.0,28.85,27.91,28.67,10734456.0,0.0,1.0,28.0,28.85,27.91,28.67,10734456.0
2016-09-09,28.64,28.78,27.89,27.89,8249853.0,0.0,1.0,28.64,28.78,27.89,27.89,8249853.0
2016-09-08,28.68,28.98,28.56,28.95,5912031.0,0.0,1.0,28.68,28.98,28.56,28.95,5912031.0
2016-09-07,28.27,28.82,28.2,28.81,7986754.0,0.0,1.0,28.27,28.82,28.2,28.81,7986754.0
2016-09-06,28.13,28.27,28.015,28.12,4566841.0,0.0,1.0,28.13,28.27,28.015,28.12,4566841.0
2016-09-02,28.27,28.445,28.12,28.14,2964431.0,0.0,1.0,28.27,28.445,28.12,28.14,2964431.0
2016-09-01,28.37,28.38,27.93,28.18,4108139.0,0.0,1.0,28.37,28.38,27.93,28.18,4108139.0
2016-08-31,28.39,28.49,28.22,28.28,5195493.0,0.0,1.0,28.39,28.49,28.22,28.28,5195493.0
2016-08-30,28.39,28.55,28.32,28.49,4998792.0,0.0,1.0,28.39,28.55,28.32,28.49,4998792.0
2016-08-29,28.14,28.73,27.99,28.38,6808743.0,0.18,1.0,28.14,28.73,27.99,28.38,6808743.0
2016-08-26,28.18,28.41,28.0,28.19,5090831.0,0.0,1.0,28.002394957983,28.230945378151,27.823529411765,28.012331932773,5090831.0
2016-08-25,28.48,28.49,28.02,28.05,5174354.0,0.0,1.0,28.300504201681,28.310441176471,27.843403361345,27.873214285714,5174354.0
2016-08-24,28.49,28.58,28.4,28.48,4278565.0,0.0,1.0,28.310441176471,28.39987394958,28.221008403361,28.300504201681,4278565.0
2016-08-23,28.62,28.74,28.4,28.53,2951807.0,0.0,1.0,28.439621848739,28.558865546218,28.221008403361,28.35018907563,2951807.0
2016-08-22,28.59,28.59,28.34,28.45,3336192.0,0.0,1.0,28.40981092437,28.40981092437,28.161386554622,28.270693277311,3336192.0
2016-08-19,28.57,28.75,28.5,28.67,4765445.0,0.0,1.0,28.38993697479,28.568802521008,28.320378151261,28.489306722689,4765445.0
2016-08-18,28.14,28.67,28.12,28.67,7246421.0,0.0,1.0,27.962647058824,28.489306722689,27.942773109244,28.489306722689,7246421.0
2016-08-17,27.95,28.19,27.815,28.18,4172577.0,0.0,1.0,27.773844537815,28.012331932773,27.639695378151,28.002394957983,4172577.0
