Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-02-09,29.4,32.03,29.11,32.01,6571232.0,0.0,1.0,29.4,32.03,29.11,32.01,6571232.0
2016-02-08,30.7,30.96,29.3,30.62,1616390.0,0.0,1.0,30.7,30.96,29.3,30.62,1616390.0
2016-02-05,30.82,31.0,30.56,30.7,730043.0,0.0,1.0,30.82,31.0,30.56,30.7,730043.0
2016-02-04,31.43,31.447,30.56,30.86,726303.0,0.0,1.0,31.43,31.447,30.56,30.86,726303.0
2016-02-03,31.5,31.54,31.38,31.44,969220.0,0.0,1.0,31.5,31.54,31.38,31.44,969220.0
2016-02-02,31.34,31.48,31.1,31.28,548544.0,0.0,1.0,31.34,31.48,31.1,31.28,548544.0
2016-02-01,31.49,31.63,31.33,31.47,858040.0,0.0,1.0,31.49,31.63,31.33,31.47,858040.0
2016-01-29,31.37,31.7,31.37,31.61,718726.0,0.0,1.0,31.37,31.7,31.37,31.61,718726.0
2016-01-28,31.21,31.45,31.11,31.37,280867.0,0.0,1.0,31.21,31.45,31.11,31.37,280867.0
2016-01-27,31.08,31.42,31.04,31.17,443274.0,0.0,1.0,31.08,31.42,31.04,31.17,443274.0
2016-01-26,30.75,31.16,30.63,31.09,241477.0,0.0,1.0,30.75,31.16,30.63,31.09,241477.0
2016-01-25,30.69,30.95,30.5,30.7,158073.0,0.0,1.0,30.69,30.95,30.5,30.7,158073.0
2016-01-22,30.51,30.85,30.45,30.84,395337.0,0.0,1.0,30.51,30.85,30.45,30.84,395337.0
2016-01-21,29.96,30.89,29.67,30.2,415682.0,0.0,1.0,29.96,30.89,29.67,30.2,415682.0
2016-01-20,30.03,30.39,29.5,29.95,499857.0,0.0,1.0,30.03,30.39,29.5,29.95,499857.0
2016-01-19,29.89,30.63,29.54,30.34,290557.0,0.0,1.0,29.89,30.63,29.54,30.34,290557.0
2016-01-15,28.38,30.0,28.38,29.74,773438.0,0.0,1.0,28.38,30.0,28.38,29.74,773438.0
2016-01-14,28.3,28.97,28.29,28.83,318090.0,0.0,1.0,28.3,28.97,28.29,28.83,318090.0
2016-01-13,28.89,29.0,28.06,28.1,414485.0,0.0,1.0,28.89,29.0,28.06,28.1,414485.0
2016-01-12,29.01,29.132,28.47,28.84,373188.0,0.0,1.0,29.01,29.132,28.47,28.84,373188.0
2016-01-11,28.82,29.05,28.73,28.8,544992.0,0.0,1.0,28.82,29.05,28.73,28.8,544992.0
2016-01-08,28.99,29.3599,28.25,28.64,848101.0,0.0,1.0,28.99,29.3599,28.25,28.64,848101.0
2016-01-07,28.61,29.16,28.49,29.0,463612.0,0.0,1.0,28.61,29.16,28.49,29.0,463612.0
2016-01-06,28.23,29.42,28.23,28.98,768412.0,0.0,1.0,28.23,29.42,28.23,28.98,768412.0
2016-01-05,28.83,28.91,28.26,28.45,566038.0,0.0,1.0,28.83,28.91,28.26,28.45,566038.0
2016-01-04,29.06,29.18,28.73,28.8,738353.0,0.0,1.0,29.06,29.18,28.73,28.8,738353.0
2015-12-31,29.2,29.35,28.955,29.24,408100.0,0.0,1.0,29.2,29.35,28.955,29.24,408100.0
2015-12-30,29.25,29.28,29.07,29.16,268167.0,0.0,1.0,29.25,29.28,29.07,29.16,268167.0
2015-12-29,29.12,29.2,28.9,29.2,254639.0,0.0,1.0,29.12,29.2,28.9,29.2,254639.0
2015-12-28,28.72,29.06,28.72,29.06,201176.0,0.0,1.0,28.72,29.06,28.72,29.06,201176.0
2015-12-24,28.64,28.92,28.51,28.71,290277.0,0.0,1.0,28.64,28.92,28.51,28.71,290277.0
2015-12-23,28.88,28.95,28.4,28.5,249375.0,0.0,1.0,28.88,28.95,28.4,28.5,249375.0
2015-12-22,28.66,28.88,28.28,28.79,158846.0,0.0,1.0,28.66,28.88,28.28,28.79,158846.0
2015-12-21,29.17,29.23,28.33,28.5,453292.0,0.0,1.0,29.17,29.23,28.33,28.5,453292.0
2015-12-18,28.76,29.35,28.65,28.95,742461.0,0.0,1.0,28.76,29.35,28.65,28.95,742461.0
2015-12-17,29.5,29.5,27.49,28.69,3480964.0,0.0,1.0,29.5,29.5,27.49,28.69,3480964.0
2015-12-16,31.12,31.38,29.78,30.14,5314124.0,0.0,1.0,31.12,31.38,29.78,30.14,5314124.0
2015-12-15,31.55,31.69,31.46,31.65,722543.0,0.0,1.0,31.55,31.69,31.46,31.65,722543.0
2015-12-14,31.54,31.62,31.415,31.49,736643.0,0.0,1.0,31.54,31.62,31.415,31.49,736643.0
