Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,4.13,4.255,4.08,4.24,183175.0,0.0,1.0,4.13,4.255,4.08,4.24,183175.0
2016-11-16,4.1,4.12,4.0,4.09,21912.0,0.0,1.0,4.1,4.12,4.0,4.09,21912.0
2016-11-15,4.14,4.19,4.02,4.08,72676.0,0.0,1.0,4.14,4.19,4.02,4.08,72676.0
2016-11-14,4.15,4.2,4.1001,4.14,16975.0,0.0,1.0,4.15,4.2,4.1001,4.14,16975.0
2016-11-11,4.16,4.7,4.16,4.18,24375.0,0.0,1.0,4.16,4.7,4.16,4.18,24375.0
2016-11-10,4.05,4.27,4.0232,4.18,43752.0,0.0,1.0,4.05,4.27,4.0232,4.18,43752.0
2016-11-09,3.98,4.2,3.87,4.19,22396.0,0.0,1.0,3.98,4.2,3.87,4.19,22396.0
2016-11-08,4.15,4.23,3.96,4.08,109991.0,0.0,1.0,4.15,4.23,3.96,4.08,109991.0
2016-11-07,4.19,4.2999,4.14,4.205,26231.0,0.0,1.0,4.19,4.2999,4.14,4.205,26231.0
2016-11-04,4.25,4.33,4.2,4.21,135627.0,0.0,1.0,4.25,4.33,4.2,4.21,135627.0
2016-11-03,4.29,4.4099,4.25,4.25,83052.0,0.0,1.0,4.29,4.4099,4.25,4.25,83052.0
2016-11-02,4.37,4.37,4.29,4.315,163532.0,0.0,1.0,4.37,4.37,4.29,4.315,163532.0
2016-11-01,4.36,4.43,4.36,4.38,42637.0,0.0,1.0,4.36,4.43,4.36,4.38,42637.0
2016-10-31,4.37,4.4,4.36,4.36,19918.0,0.0,1.0,4.37,4.4,4.36,4.36,19918.0
2016-10-28,4.42,4.46,4.351,4.4,57124.0,0.0,1.0,4.42,4.46,4.351,4.4,57124.0
2016-10-27,4.45,4.45,4.39,4.42,64865.0,0.0,1.0,4.45,4.45,4.39,4.42,64865.0
2016-10-26,4.43,4.447,4.41,4.41,30543.0,0.0,1.0,4.43,4.447,4.41,4.41,30543.0
2016-10-25,4.7,4.7,4.4,4.45,41474.0,0.0,1.0,4.7,4.7,4.4,4.45,41474.0
2016-10-24,4.58,4.6863,4.58,4.66,21695.0,0.0,1.0,4.58,4.6863,4.58,4.66,21695.0
2016-10-21,4.47,4.58,4.47,4.51,8016.0,0.0,1.0,4.47,4.58,4.47,4.51,8016.0
2016-10-20,4.8544,4.8544,4.58,4.6,18389.0,0.0,1.0,4.8544,4.8544,4.58,4.6,18389.0
2016-10-19,4.59,4.64,4.4,4.64,46907.0,0.0,1.0,4.59,4.64,4.4,4.64,46907.0
2016-10-18,4.5,4.5,4.42,4.44,98303.0,0.0,1.0,4.5,4.5,4.42,4.44,98303.0
2016-10-17,4.57,4.57,4.4,4.5,45292.0,0.0,1.0,4.57,4.57,4.4,4.5,45292.0
2016-10-14,4.72,4.72,4.55,4.56,89779.0,0.0,1.0,4.72,4.72,4.55,4.56,89779.0
2016-10-13,4.74,4.8,4.69,4.69,8560.0,0.0,1.0,4.74,4.8,4.69,4.69,8560.0
2016-10-12,4.75,4.99,4.67,4.69,15294.0,0.0,1.0,4.75,4.99,4.67,4.69,15294.0
