Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,0.3787,0.4363,0.3771,0.402,1267348.0,0.0,1.0,0.3787,0.4363,0.3771,0.402,1267348.0
2016-11-16,0.39,0.3981,0.386,0.3901,217747.0,0.0,1.0,0.39,0.3981,0.386,0.3901,217747.0
2016-11-15,0.4007,0.4007,0.3861,0.3981,272197.0,0.0,1.0,0.4007,0.4007,0.3861,0.3981,272197.0
2016-11-14,0.404,0.41,0.395,0.4046,485233.0,0.0,1.0,0.404,0.41,0.395,0.4046,485233.0
2016-11-11,0.3825,0.405,0.38,0.3955,466807.0,0.0,1.0,0.3825,0.405,0.38,0.3955,466807.0
2016-11-10,0.39,0.4028,0.371,0.3908,523234.0,0.0,1.0,0.39,0.4028,0.371,0.3908,523234.0
2016-11-09,0.393,0.405,0.3765,0.405,634547.0,0.0,1.0,0.393,0.405,0.3765,0.405,634547.0
2016-11-08,0.365,0.375,0.36,0.37,446149.0,0.0,1.0,0.365,0.375,0.36,0.37,446149.0
2016-11-07,0.375,0.3799,0.36,0.36,220878.0,0.0,1.0,0.375,0.3799,0.36,0.36,220878.0
2016-11-04,0.369,0.3799,0.364,0.3722,190518.0,0.0,1.0,0.369,0.3799,0.364,0.3722,190518.0
2016-11-03,0.38,0.3808,0.37,0.37,432812.0,0.0,1.0,0.38,0.3808,0.37,0.37,432812.0
2016-11-02,0.38,0.3839,0.3636,0.37,285282.0,0.0,1.0,0.38,0.3839,0.3636,0.37,285282.0
2016-11-01,0.387,0.389,0.37,0.373,237952.0,0.0,1.0,0.387,0.389,0.37,0.373,237952.0
2016-10-31,0.387,0.39,0.38,0.3836,231744.0,0.0,1.0,0.387,0.39,0.38,0.3836,231744.0
2016-10-28,0.39,0.3917,0.385,0.39,223068.0,0.0,1.0,0.39,0.3917,0.385,0.39,223068.0
2016-10-27,0.4002,0.4037,0.3957,0.4022,590138.0,0.0,1.0,0.4002,0.4037,0.3957,0.4022,590138.0
2016-10-26,0.3964,0.4058,0.3941,0.4058,291187.0,0.0,1.0,0.3964,0.4058,0.3941,0.4058,291187.0
2016-10-25,0.394,0.416,0.394,0.405,597910.0,0.0,1.0,0.394,0.416,0.394,0.405,597910.0
2016-10-24,0.392,0.4093,0.392,0.4079,569190.0,0.0,1.0,0.392,0.4093,0.392,0.4079,569190.0
2016-10-21,0.394,0.41,0.39,0.4028,300808.0,0.0,1.0,0.394,0.41,0.39,0.4028,300808.0
2016-10-20,0.3922,0.42,0.3851,0.4087,555675.0,0.0,1.0,0.3922,0.42,0.3851,0.4087,555675.0
2016-10-19,0.3791,0.3992,0.3791,0.3911,316988.0,0.0,1.0,0.3791,0.3992,0.3791,0.3911,316988.0
2016-10-18,0.3784,0.3827,0.3775,0.3814,158275.0,0.0,1.0,0.3784,0.3827,0.3775,0.3814,158275.0
2016-10-17,0.379,0.387,0.3778,0.3808,504170.0,0.0,1.0,0.379,0.387,0.3778,0.3808,504170.0
2016-10-14,0.378,0.3801,0.3702,0.3768,115430.0,0.0,1.0,0.378,0.3801,0.3702,0.3768,115430.0
2016-10-13,0.388,0.388,0.3772,0.3794,191806.0,0.0,1.0,0.388,0.388,0.3772,0.3794,191806.0
2016-10-12,0.3884,0.3914,0.385,0.3914,555383.0,0.0,1.0,0.3884,0.3914,0.385,0.3914,555383.0
2016-10-11,0.3895,0.3943,0.3875,0.3943,241477.0,0.0,1.0,0.3895,0.3943,0.3875,0.3943,241477.0
2016-10-10,0.3949,0.398,0.3879,0.39,240018.0,0.0,1.0,0.3949,0.398,0.3879,0.39,240018.0
2016-10-07,0.396,0.396,0.374,0.3908,938897.0,0.0,1.0,0.396,0.396,0.374,0.3908,938897.0
2016-10-06,0.3992,0.3999,0.3901,0.3957,159493.0,0.0,1.0,0.3992,0.3999,0.3901,0.3957,159493.0
2016-10-05,0.401,0.401,0.39,0.397,198799.0,0.0,1.0,0.401,0.401,0.39,0.397,198799.0
2016-10-04,0.3916,0.399,0.3911,0.3964,354875.0,0.0,1.0,0.3916,0.399,0.3911,0.3964,354875.0
2016-10-03,0.3982,0.4001,0.383,0.385,660602.0,0.0,1.0,0.3982,0.4001,0.383,0.385,660602.0
2016-09-30,0.371,0.383,0.371,0.3743,224225.0,0.0,1.0,0.371,0.383,0.371,0.3743,224225.0
2016-09-29,0.38,0.385,0.3719,0.3719,361645.0,0.0,1.0,0.38,0.385,0.3719,0.3719,361645.0
2016-09-28,0.39,0.39,0.373,0.3809,279436.0,0.0,1.0,0.39,0.39,0.373,0.3809,279436.0
2016-09-27,0.383,0.3878,0.3763,0.38,256676.0,0.0,1.0,0.383,0.3878,0.3763,0.38,256676.0
2016-09-26,0.39,0.3924,0.373,0.383,262091.0,0.0,1.0,0.39,0.3924,0.373,0.383,262091.0
2016-09-23,0.4,0.4069,0.3814,0.385,401610.0,0.0,1.0,0.4,0.4069,0.3814,0.385,401610.0
2016-09-22,0.393,0.4079,0.39,0.39,1529289.0,0.0,1.0,0.393,0.4079,0.39,0.39,1529289.0
2016-09-21,0.3615,0.3749,0.36,0.3715,585655.0,0.0,1.0,0.3615,0.3749,0.36,0.3715,585655.0
2016-09-20,0.3642,0.3698,0.3553,0.3597,280946.0,0.0,1.0,0.3642,0.3698,0.3553,0.3597,280946.0
2016-09-19,0.3675,0.38,0.3569,0.359,359923.0,0.0,1.0,0.3675,0.38,0.3569,0.359,359923.0
2016-09-16,0.3655,0.3679,0.3559,0.3559,329135.0,0.0,1.0,0.3655,0.3679,0.3559,0.3559,329135.0
2016-09-15,0.366,0.3749,0.36,0.3655,668086.0,0.0,1.0,0.366,0.3749,0.36,0.3655,668086.0
2016-09-14,0.384,0.389,0.366,0.3691,464377.0,0.0,1.0,0.384,0.389,0.366,0.3691,464377.0
2016-09-13,0.4,0.409,0.376,0.378,729910.0,0.0,1.0,0.4,0.409,0.376,0.378,729910.0
2016-09-12,0.406,0.417,0.3938,0.3959,437608.0,0.0,1.0,0.406,0.417,0.3938,0.3959,437608.0
2016-09-09,0.411,0.42,0.4,0.401,638668.0,0.0,1.0,0.411,0.42,0.4,0.401,638668.0
2016-09-08,0.4111,0.414,0.4012,0.4113,744858.0,0.0,1.0,0.4111,0.414,0.4012,0.4113,744858.0
2016-09-07,0.3922,0.42,0.3922,0.3929,1088978.0,0.0,1.0,0.3922,0.42,0.3922,0.3929,1088978.0
2016-09-06,0.4,0.4139,0.3905,0.3925,929211.0,0.0,1.0,0.4,0.4139,0.3905,0.3925,929211.0
2016-09-02,0.3999,0.4,0.39,0.3922,535230.0,0.0,1.0,0.3999,0.4,0.39,0.3922,535230.0
2016-09-01,0.399,0.4061,0.39,0.39,838084.0,0.0,1.0,0.399,0.4061,0.39,0.39,838084.0
2016-08-31,0.408,0.4163,0.3839,0.393,1272850.0,0.0,1.0,0.408,0.4163,0.3839,0.393,1272850.0
2016-08-30,0.423,0.439,0.4,0.403,2240785.0,0.0,1.0,0.423,0.439,0.4,0.403,2240785.0
2016-08-29,0.4366,0.458,0.3841,0.402,8946691.0,0.0,1.0,0.4366,0.458,0.3841,0.402,8946691.0
2016-08-26,0.344,0.3532,0.344,0.35,347697.0,0.0,1.0,0.344,0.3532,0.344,0.35,347697.0
2016-08-25,0.35,0.3699,0.34,0.345,819580.0,0.0,1.0,0.35,0.3699,0.34,0.345,819580.0
2016-08-24,0.35,0.3783,0.35,0.3548,937804.0,0.0,1.0,0.35,0.3783,0.35,0.3548,937804.0
2016-08-23,0.351,0.3573,0.347,0.3539,462790.0,0.0,1.0,0.351,0.3573,0.347,0.3539,462790.0
2016-08-22,0.35,0.3583,0.345,0.3582,219354.0,0.0,1.0,0.35,0.3583,0.345,0.3582,219354.0
2016-08-19,0.344,0.3568,0.344,0.3501,313797.0,0.0,1.0,0.344,0.3568,0.344,0.3501,313797.0
2016-08-18,0.3519,0.3579,0.3437,0.3502,278220.0,0.0,1.0,0.3519,0.3579,0.3437,0.3502,278220.0
2016-08-17,0.36,0.36,0.34,0.35,580056.0,0.0,1.0,0.36,0.36,0.34,0.35,580056.0
2016-08-16,0.36,0.369,0.35,0.35,1232650.0,0.0,1.0,0.36,0.369,0.35,0.35,1232650.0
2016-08-15,0.354,0.355,0.35,0.352,292869.0,0.0,1.0,0.354,0.355,0.35,0.352,292869.0
2016-08-12,0.3461,0.3588,0.3432,0.3476,1076776.0,0.0,1.0,0.3461,0.3588,0.3432,0.3476,1076776.0
2016-08-11,0.3498,0.3577,0.3299,0.337,498324.0,0.0,1.0,0.3498,0.3577,0.3299,0.337,498324.0
2016-08-10,0.36,0.36,0.34,0.3401,354998.0,0.0,1.0,0.36,0.36,0.34,0.3401,354998.0
2016-08-09,0.3541,0.36,0.35,0.358,157581.0,0.0,1.0,0.3541,0.36,0.35,0.358,157581.0
2016-08-08,0.3502,0.36,0.3502,0.3555,343759.0,0.0,1.0,0.3502,0.36,0.3502,0.3555,343759.0
2016-08-05,0.367,0.3699,0.3523,0.3556,811382.0,0.0,1.0,0.367,0.3699,0.3523,0.3556,811382.0
2016-08-04,0.356,0.385,0.35,0.371,1372453.0,0.0,1.0,0.356,0.385,0.35,0.371,1372453.0
2016-08-03,0.336,0.4,0.3319,0.36,537083.0,0.0,1.0,0.336,0.4,0.3319,0.36,537083.0
2016-08-02,0.3359,0.34,0.328,0.3357,649227.0,0.0,1.0,0.3359,0.34,0.328,0.3357,649227.0
2016-08-01,0.3399,0.35,0.329,0.3376,1223656.0,0.0,1.0,0.3399,0.35,0.329,0.3376,1223656.0
2016-07-29,0.344,0.347,0.33,0.335,1135666.0,0.0,1.0,0.344,0.347,0.33,0.335,1135666.0
2016-07-28,0.3427,0.345,0.325,0.3294,794672.0,0.0,1.0,0.3427,0.345,0.325,0.3294,794672.0
2016-07-27,0.3445,0.3445,0.33,0.3339,1359441.0,0.0,1.0,0.3445,0.3445,0.33,0.3339,1359441.0
2016-07-26,0.35,0.357,0.3163,0.3199,4290332.0,0.0,1.0,0.35,0.357,0.3163,0.3199,4290332.0
2016-07-25,0.36,0.3617,0.347,0.352,543722.0,0.0,1.0,0.36,0.3617,0.347,0.352,543722.0
2016-07-22,0.3621,0.366,0.355,0.3568,525039.0,0.0,1.0,0.3621,0.366,0.355,0.3568,525039.0
2016-07-21,0.3651,0.3775,0.3612,0.3648,337974.0,0.0,1.0,0.3651,0.3775,0.3612,0.3648,337974.0
2016-07-20,0.3698,0.378,0.36,0.3646,499340.0,0.0,1.0,0.3698,0.378,0.36,0.3646,499340.0
2016-07-19,0.3602,0.38,0.3579,0.36,968776.0,0.0,1.0,0.3602,0.38,0.3579,0.36,968776.0
2016-07-18,0.3753,0.38,0.365,0.3686,497718.0,0.0,1.0,0.3753,0.38,0.365,0.3686,497718.0
2016-07-15,0.3702,0.3793,0.37,0.3721,372337.0,0.0,1.0,0.3702,0.3793,0.37,0.3721,372337.0
2016-07-14,0.3715,0.3799,0.37,0.3701,542353.0,0.0,1.0,0.3715,0.3799,0.37,0.3701,542353.0
2016-07-13,0.3781,0.384,0.36,0.3688,715320.0,0.0,1.0,0.3781,0.384,0.36,0.3688,715320.0
2016-07-12,0.38,0.3876,0.37,0.378,1403008.0,0.0,1.0,0.38,0.3876,0.37,0.378,1403008.0
2016-07-11,0.367,0.3789,0.36,0.3614,1370262.0,0.0,1.0,0.367,0.3789,0.36,0.3614,1370262.0
2016-07-08,0.3523,0.3871,0.35,0.3501,1860984.0,0.0,1.0,0.3523,0.3871,0.35,0.3501,1860984.0
2016-07-07,0.3401,0.3705,0.3401,0.3634,979191.0,0.0,1.0,0.3401,0.3705,0.3401,0.3634,979191.0
2016-07-06,0.3339,0.355,0.3252,0.3399,864209.0,0.0,1.0,0.3339,0.355,0.3252,0.3399,864209.0
2016-07-05,0.3559,0.3559,0.335,0.3416,1352116.0,0.0,1.0,0.3559,0.3559,0.335,0.3416,1352116.0
2016-07-01,0.3531,0.36,0.34,0.3584,2494043.0,0.0,1.0,0.3531,0.36,0.34,0.3584,2494043.0
2016-06-30,0.37,0.37,0.34,0.34,1134209.0,0.0,1.0,0.37,0.37,0.34,0.34,1134209.0
