Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,13.62,13.8,13.58,13.62,833536.0,0.0,1.0,13.62,13.8,13.58,13.62,833536.0
2016-11-16,13.58,13.74,13.48,13.62,998232.0,0.0,1.0,13.58,13.74,13.48,13.62,998232.0
2016-11-15,13.72,13.8,13.45,13.56,4006692.0,0.0,1.0,13.72,13.8,13.45,13.56,4006692.0
2016-11-14,13.6,13.99,13.48,13.99,322892.0,0.0,1.0,13.6,13.99,13.48,13.99,322892.0
2016-11-11,13.45,13.73,13.36,13.55,587100.0,0.0,1.0,13.45,13.73,13.36,13.55,587100.0
2016-11-10,13.44,13.5656,12.93,13.38,489991.0,0.0,1.0,13.44,13.5656,12.93,13.38,489991.0
2016-11-09,12.98,13.46,12.7,13.42,298246.0,0.0,1.0,12.98,13.46,12.7,13.42,298246.0
2016-11-08,13.75,13.75,13.3,13.34,358027.0,0.0,1.0,13.75,13.75,13.3,13.34,358027.0
2016-11-07,13.52,13.76,13.48,13.75,176877.0,0.0,1.0,13.52,13.76,13.48,13.75,176877.0
2016-11-04,13.26,13.48,13.07,13.39,262296.0,0.0,1.0,13.26,13.48,13.07,13.39,262296.0
2016-11-03,13.5,13.73,13.13,13.18,291624.0,0.0,1.0,13.5,13.73,13.13,13.18,291624.0
2016-11-02,13.64,13.73,13.36,13.45,326708.0,0.0,1.0,13.64,13.73,13.36,13.45,326708.0
2016-11-01,13.97,14.04,13.57,13.67,351808.0,0.0,1.0,13.97,14.04,13.57,13.67,351808.0
2016-10-31,13.81,14.09,13.65,14.08,187650.0,0.0,1.0,13.81,14.09,13.65,14.08,187650.0
2016-10-28,13.9,14.23,13.77,13.8,206688.0,0.0,1.0,13.9,14.23,13.77,13.8,206688.0
2016-10-27,14.12,14.19,13.7406,13.87,289791.0,0.0,1.0,14.12,14.19,13.7406,13.87,289791.0
2016-10-26,14.15,14.19,14.09,14.12,272649.0,0.0,1.0,14.15,14.19,14.09,14.12,272649.0
2016-10-25,14.21,14.3,14.13,14.19,273621.0,0.0,1.0,14.21,14.3,14.13,14.19,273621.0
2016-10-24,14.23,14.44,14.12,14.24,188403.0,0.0,1.0,14.23,14.44,14.12,14.24,188403.0
2016-10-21,14.3,14.4569,14.25,14.27,114300.0,0.0,1.0,14.3,14.4569,14.25,14.27,114300.0
2016-10-20,14.39,14.49,14.33,14.38,159039.0,0.0,1.0,14.39,14.49,14.33,14.38,159039.0
2016-10-19,14.33,14.51,14.24,14.45,170877.0,0.0,1.0,14.33,14.51,14.24,14.45,170877.0
2016-10-18,14.27,14.44,14.19,14.32,157007.0,0.0,1.0,14.27,14.44,14.19,14.32,157007.0
2016-10-17,14.16,14.28,14.07,14.13,275919.0,0.0,1.0,14.16,14.28,14.07,14.13,275919.0
2016-10-14,14.08,14.515,14.02,14.04,235971.0,0.0,1.0,14.08,14.515,14.02,14.04,235971.0
2016-10-13,13.87,14.22,13.84,14.05,231040.0,0.0,1.0,13.87,14.22,13.84,14.05,231040.0
2016-10-12,13.57,14.091,13.57,14.0,369263.0,0.0,1.0,13.57,14.091,13.57,14.0,369263.0
2016-10-11,13.84,13.88,13.52,13.53,212754.0,0.0,1.0,13.84,13.88,13.52,13.53,212754.0
2016-10-10,13.74,13.92,13.5841,13.88,173133.0,0.0,1.0,13.74,13.92,13.5841,13.88,173133.0
2016-10-07,13.84,14.0,13.63,13.66,181486.0,0.0,1.0,13.84,14.0,13.63,13.66,181486.0
2016-10-06,13.99,13.99,13.63,13.81,337481.0,0.0,1.0,13.99,13.99,13.63,13.81,337481.0
2016-10-05,14.6,14.6,13.81,13.92,441356.0,0.0,1.0,14.6,14.6,13.81,13.92,441356.0
2016-10-04,14.69,14.69,14.23,14.45,564157.0,0.0,1.0,14.69,14.69,14.23,14.45,564157.0
2016-10-03,14.84,15.035,14.53,14.69,279916.0,0.0,1.0,14.84,15.035,14.53,14.69,279916.0
2016-09-30,14.83,14.94,14.65,14.78,480420.0,0.0,1.0,14.83,14.94,14.65,14.78,480420.0
2016-09-29,14.92,14.99,14.708,14.73,362187.0,0.0,1.0,14.92,14.99,14.708,14.73,362187.0
2016-09-28,14.8,15.12,14.79,15.06,199706.0,0.0,1.0,14.8,15.12,14.79,15.06,199706.0
2016-09-27,15.15,15.15,14.9,14.96,199433.0,0.0,1.0,15.15,15.15,14.9,14.96,199433.0
2016-09-26,15.12,15.2,15.025,15.12,161315.0,0.0,1.0,15.12,15.2,15.025,15.12,161315.0
2016-09-23,14.88,15.23,14.78,15.12,265840.0,0.0,1.0,14.88,15.23,14.78,15.12,265840.0
2016-09-22,14.82,15.05,14.75,15.0,288620.0,0.0,1.0,14.82,15.05,14.75,15.0,288620.0
2016-09-21,14.47,14.72,14.24,14.71,216276.0,0.0,1.0,14.47,14.72,14.24,14.71,216276.0
2016-09-20,14.61,14.72,14.42,14.5,439014.0,0.0,1.0,14.61,14.72,14.42,14.5,439014.0
2016-09-19,14.63,14.69,14.4,14.52,247641.0,0.0,1.0,14.63,14.69,14.4,14.52,247641.0
2016-09-16,14.26,14.74,14.23,14.54,543774.0,0.0,1.0,14.26,14.74,14.23,14.54,543774.0
2016-09-15,14.26,14.32,14.08,14.22,329657.0,0.0,1.0,14.26,14.32,14.08,14.22,329657.0
2016-09-14,14.43,14.45,14.2201,14.31,207234.0,0.0,1.0,14.43,14.45,14.2201,14.31,207234.0
2016-09-13,14.93,14.96,14.31,14.31,242643.0,0.0,1.0,14.93,14.96,14.31,14.31,242643.0
2016-09-12,14.87,15.07,14.7756,14.96,261908.0,0.0,1.0,14.87,15.07,14.7756,14.96,261908.0
2016-09-09,15.37,15.37,14.82,14.82,361226.0,0.0,1.0,15.37,15.37,14.82,14.82,361226.0
2016-09-08,15.75,15.79,15.4,15.49,188450.0,0.0,1.0,15.75,15.79,15.4,15.49,188450.0
2016-09-07,15.6,15.875,15.55,15.85,432949.0,0.0,1.0,15.6,15.875,15.55,15.85,432949.0
2016-09-06,15.53,15.68,15.3364,15.53,610707.0,0.0,1.0,15.53,15.68,15.3364,15.53,610707.0
2016-09-02,14.81,15.26,14.81,15.245,303719.0,0.0,1.0,14.81,15.26,14.81,15.245,303719.0
2016-09-01,14.9,14.9099,14.65,14.79,219156.0,0.0,1.0,14.9,14.9099,14.65,14.79,219156.0
2016-08-31,15.0,15.0,14.76,14.86,254804.0,0.0,1.0,15.0,15.0,14.76,14.86,254804.0
2016-08-30,15.14,15.14,14.92,15.06,144690.0,0.0,1.0,15.14,15.14,14.92,15.06,144690.0
2016-08-29,15.09,15.19,14.92,15.07,261150.0,0.0,1.0,15.09,15.19,14.92,15.07,261150.0
2016-08-26,15.16,15.16,14.89,14.98,270599.0,0.0,1.0,15.16,15.16,14.89,14.98,270599.0
2016-08-25,14.95,15.21,14.87,15.14,234685.0,0.0,1.0,14.95,15.21,14.87,15.14,234685.0
2016-08-24,14.89,14.98,14.7576,14.93,266070.0,0.0,1.0,14.89,14.98,14.7576,14.93,266070.0
2016-08-23,14.6,14.87,14.6,14.82,216841.0,0.0,1.0,14.6,14.87,14.6,14.82,216841.0
2016-08-22,14.4,14.67,14.4,14.59,191256.0,0.0,1.0,14.4,14.67,14.4,14.59,191256.0
2016-08-19,14.66,14.89,14.44,14.5,199403.0,0.0,1.0,14.66,14.89,14.44,14.5,199403.0
2016-08-18,14.74,14.79,14.63,14.68,97816.0,0.0,1.0,14.74,14.79,14.63,14.68,97816.0
2016-08-17,14.61,14.76,14.49,14.7,140444.0,0.0,1.0,14.61,14.76,14.49,14.7,140444.0
2016-08-16,15.14,15.145,14.6,14.64,205503.0,0.0,1.0,15.14,15.145,14.6,14.64,205503.0
2016-08-15,15.12,15.37,15.11,15.12,511929.0,0.0,1.0,15.12,15.37,15.11,15.12,511929.0
2016-08-12,14.9,15.19,14.9,15.09,179745.0,0.0,1.0,14.9,15.19,14.9,15.09,179745.0
2016-08-11,14.87,15.057,14.65,14.84,305647.0,0.0,1.0,14.87,15.057,14.65,14.84,305647.0
