Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,1.82,1.89,1.78,1.79,501360.0,0.0,1.0,1.82,1.89,1.78,1.79,501360.0
2016-11-16,1.76,1.87,1.7099,1.8,907790.0,0.0,1.0,1.76,1.87,1.7099,1.8,907790.0
2016-11-15,1.75,1.82,1.745,1.76,1519653.0,0.0,1.0,1.75,1.82,1.745,1.76,1519653.0
2016-11-14,1.59,1.74,1.57,1.72,1094619.0,0.0,1.0,1.59,1.74,1.57,1.72,1094619.0
2016-11-11,1.63,1.63,1.48,1.59,574726.0,0.0,1.0,1.63,1.63,1.48,1.59,574726.0
2016-11-10,1.57,1.68,1.57,1.64,791850.0,0.0,1.0,1.57,1.68,1.57,1.64,791850.0
2016-11-09,1.42,1.62,1.4001,1.59,1355005.0,0.0,1.0,1.42,1.62,1.4001,1.59,1355005.0
2016-11-08,1.39,1.495,1.35,1.45,805609.0,0.0,1.0,1.39,1.495,1.35,1.45,805609.0
2016-11-07,1.4,1.4699,1.37,1.39,911832.0,0.0,1.0,1.4,1.4699,1.37,1.39,911832.0
2016-11-04,1.4,1.44,1.36,1.4,707980.0,0.0,1.0,1.4,1.44,1.36,1.4,707980.0
2016-11-03,1.35,1.5289,1.345,1.42,2473525.0,0.0,1.0,1.35,1.5289,1.345,1.42,2473525.0
2016-11-02,1.18,1.35,1.15,1.34,1845679.0,0.0,1.0,1.18,1.35,1.15,1.34,1845679.0
2016-11-01,1.14,1.2,1.14,1.2,654147.0,0.0,1.0,1.14,1.2,1.14,1.2,654147.0
2016-10-31,1.22,1.24,1.1,1.13,928187.0,0.0,1.0,1.22,1.24,1.1,1.13,928187.0
2016-10-28,1.15,1.15,1.08,1.12,1010048.0,0.0,1.0,1.15,1.15,1.08,1.12,1010048.0
2016-10-27,1.15,1.16,1.13,1.15,671112.0,0.0,1.0,1.15,1.16,1.13,1.15,671112.0
2016-10-26,1.14,1.17,1.12,1.15,264136.0,0.0,1.0,1.14,1.17,1.12,1.15,264136.0
2016-10-25,1.18,1.2,1.14,1.16,464938.0,0.0,1.0,1.18,1.2,1.14,1.16,464938.0
2016-10-24,1.22,1.23,1.11,1.18,1053567.0,0.0,1.0,1.22,1.23,1.11,1.18,1053567.0
2016-10-21,1.22,1.23,1.21,1.22,197383.0,0.0,1.0,1.22,1.23,1.21,1.22,197383.0
2016-10-20,1.25,1.29,1.2,1.24,709419.0,0.0,1.0,1.25,1.29,1.2,1.24,709419.0
2016-10-19,1.18,1.25,1.17,1.25,1617439.0,0.0,1.0,1.18,1.25,1.17,1.25,1617439.0
2016-10-18,1.15,1.19,1.13,1.16,605476.0,0.0,1.0,1.15,1.19,1.13,1.16,605476.0
2016-10-17,1.11,1.15,1.1,1.13,249323.0,0.0,1.0,1.11,1.15,1.1,1.13,249323.0
2016-10-14,1.1344,1.15,1.1,1.11,178750.0,0.0,1.0,1.1344,1.15,1.1,1.11,178750.0
2016-10-13,1.11,1.15,1.06,1.13,476503.0,0.0,1.0,1.11,1.15,1.06,1.13,476503.0
2016-10-12,1.13,1.15,1.09,1.13,441447.0,0.0,1.0,1.13,1.15,1.09,1.13,441447.0
2016-10-11,1.19,1.19,1.08,1.13,365815.0,0.0,1.0,1.19,1.19,1.08,1.13,365815.0
2016-10-10,1.16,1.1911,1.14,1.18,742491.0,0.0,1.0,1.16,1.1911,1.14,1.18,742491.0
2016-10-07,1.17,1.18,1.12,1.13,329299.0,0.0,1.0,1.17,1.18,1.12,1.13,329299.0
2016-10-06,1.18,1.19,1.13,1.17,393741.0,0.0,1.0,1.18,1.19,1.13,1.17,393741.0
2016-10-05,1.12,1.18,1.115,1.18,925996.0,0.0,1.0,1.12,1.18,1.115,1.18,925996.0
2016-10-04,1.2,1.2,1.11,1.11,296078.0,0.0,1.0,1.2,1.2,1.11,1.11,296078.0
2016-10-03,1.16,1.19,1.1,1.18,571536.0,0.0,1.0,1.16,1.19,1.1,1.18,571536.0
2016-09-30,1.14,1.18,1.12,1.14,541590.0,0.0,1.0,1.14,1.18,1.12,1.14,541590.0
2016-09-29,1.13,1.2,1.1,1.11,692531.0,0.0,1.0,1.13,1.2,1.1,1.11,692531.0
2016-09-28,1.01,1.1697,1.01,1.13,1320573.0,0.0,1.0,1.01,1.1697,1.01,1.13,1320573.0
2016-09-27,1.02,1.07,1.0,1.01,1345414.0,0.0,1.0,1.02,1.07,1.0,1.01,1345414.0
2016-09-26,1.04,1.06,1.02,1.03,357657.0,0.0,1.0,1.04,1.06,1.02,1.03,357657.0
2016-09-23,1.03,1.1,1.03,1.04,400652.0,0.0,1.0,1.03,1.1,1.03,1.04,400652.0
2016-09-22,1.1,1.13,1.03,1.04,769674.0,0.0,1.0,1.1,1.13,1.03,1.04,769674.0
2016-09-21,1.08,1.1,1.06,1.08,787305.0,0.0,1.0,1.08,1.1,1.06,1.08,787305.0
2016-09-20,1.11,1.16,1.06,1.06,304494.0,0.0,1.0,1.11,1.16,1.06,1.06,304494.0
2016-09-19,1.19,1.19,1.12,1.13,352400.0,0.0,1.0,1.19,1.19,1.12,1.13,352400.0
2016-09-16,1.07,1.19,1.06,1.19,678444.0,0.0,1.0,1.07,1.19,1.06,1.19,678444.0
2016-09-15,1.03,1.14,1.03,1.07,571204.0,0.0,1.0,1.03,1.14,1.03,1.07,571204.0
2016-09-14,1.03,1.065,1.01,1.03,871968.0,0.0,1.0,1.03,1.065,1.01,1.03,871968.0
2016-09-13,1.11,1.14,1.026,1.05,1220247.0,0.0,1.0,1.11,1.14,1.026,1.05,1220247.0
2016-09-12,1.13,1.15,1.1,1.13,264771.0,0.0,1.0,1.13,1.15,1.1,1.13,264771.0
2016-09-09,1.22,1.24,1.12,1.14,785265.0,0.0,1.0,1.22,1.24,1.12,1.14,785265.0
2016-09-08,1.15,1.275,1.14,1.22,1044146.0,0.0,1.0,1.15,1.275,1.14,1.22,1044146.0
2016-09-07,1.14,1.159,1.11,1.14,184143.0,0.0,1.0,1.14,1.159,1.11,1.14,184143.0
2016-09-06,1.18,1.18,1.1,1.15,526814.0,0.0,1.0,1.18,1.18,1.1,1.15,526814.0
2016-09-02,1.16,1.19,1.13,1.14,480794.0,0.0,1.0,1.16,1.19,1.13,1.14,480794.0
2016-09-01,1.14,1.2,1.08,1.14,654297.0,0.0,1.0,1.14,1.2,1.08,1.14,654297.0
2016-08-31,1.2,1.22,1.13,1.15,534273.0,0.0,1.0,1.2,1.22,1.13,1.15,534273.0
2016-08-30,1.26,1.29,1.2,1.21,388335.0,0.0,1.0,1.26,1.29,1.2,1.21,388335.0
2016-08-29,1.28,1.32,1.25,1.26,342684.0,0.0,1.0,1.28,1.32,1.25,1.26,342684.0
2016-08-26,1.3,1.36,1.3,1.3,351552.0,0.0,1.0,1.3,1.36,1.3,1.3,351552.0
2016-08-25,1.32,1.34,1.3,1.31,364053.0,0.0,1.0,1.32,1.34,1.3,1.31,364053.0
2016-08-24,1.36,1.4,1.32,1.33,495811.0,0.0,1.0,1.36,1.4,1.32,1.33,495811.0
2016-08-23,1.35,1.39,1.34,1.37,288382.0,0.0,1.0,1.35,1.39,1.34,1.37,288382.0
2016-08-22,1.38,1.4,1.35,1.36,277864.0,0.0,1.0,1.38,1.4,1.35,1.36,277864.0
