Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,98.51,99.55,98.51,98.97,267982.0,0.0,1.0,98.51,99.55,98.51,98.97,267982.0
2016-11-16,98.0,98.57,97.26,98.41,245668.0,0.0,1.0,98.0,98.57,97.26,98.41,245668.0
2016-11-15,97.47,98.2,96.88,98.02,259139.0,0.0,1.0,97.47,98.2,96.88,98.02,259139.0
2016-11-14,96.34,98.06,96.175,97.41,423311.0,0.0,1.0,96.34,98.06,96.175,97.41,423311.0
2016-11-11,94.22,95.97,92.75,95.26,493195.0,0.0,1.0,94.22,95.97,92.75,95.26,493195.0
2016-11-10,94.01,95.76,93.51,95.43,334134.0,0.0,1.0,94.01,95.76,93.51,95.43,334134.0
2016-11-09,86.37,93.59,85.49,93.09,453448.0,0.0,1.0,86.37,93.59,85.49,93.09,453448.0
2016-11-08,87.84,88.7,87.65,87.84,138762.0,0.0,1.0,87.84,88.7,87.65,87.84,138762.0
2016-11-07,87.4,88.26,86.88,87.95,173299.0,0.0,1.0,87.4,88.26,86.88,87.95,173299.0
2016-11-04,85.08,86.86,85.08,85.61,212049.0,0.0,1.0,85.08,86.86,85.08,85.61,212049.0
2016-11-03,85.94,86.22,85.07,85.19,184593.0,0.0,1.0,85.94,86.22,85.07,85.19,184593.0
2016-11-02,88.27,88.48,85.58,85.6,324926.0,0.0,1.0,88.27,88.48,85.58,85.6,324926.0
2016-11-01,89.87,90.4999,88.22,88.32,263738.0,0.0,1.0,89.87,90.4999,88.22,88.32,263738.0
2016-10-31,89.73,89.93,88.88,89.62,232880.0,0.0,1.0,89.73,89.93,88.88,89.62,232880.0
2016-10-28,88.44,90.32,88.44,89.48,366943.0,0.0,1.0,88.44,90.32,88.44,89.48,366943.0
2016-10-27,86.2,88.79,85.8,88.58,553828.0,0.0,1.0,86.2,88.79,85.8,88.58,553828.0
2016-10-26,84.14,85.71,84.14,84.25,172916.0,0.0,1.0,84.14,85.71,84.14,84.25,172916.0
2016-10-25,84.34,85.17,84.08,84.78,152664.0,0.0,1.0,84.34,85.17,84.08,84.78,152664.0
2016-10-24,84.95,85.13,84.51,84.72,163660.0,0.0,1.0,84.95,85.13,84.51,84.72,163660.0
2016-10-21,83.73,84.005,83.48,83.67,294344.0,0.0,1.0,83.73,84.005,83.48,83.67,294344.0
2016-10-20,85.48,85.98,84.34,84.59,209618.0,0.0,1.0,85.48,85.98,84.34,84.59,209618.0
2016-10-19,85.85,86.63,85.63,85.93,154520.0,0.0,1.0,85.85,86.63,85.63,85.93,154520.0
2016-10-18,86.56,86.57,85.39,85.64,288354.0,0.0,1.0,86.56,86.57,85.39,85.64,288354.0
2016-10-17,86.0,86.5,85.67,85.73,662280.0,0.0,1.0,86.0,86.5,85.67,85.73,662280.0
2016-10-14,86.81,87.2,86.02,86.13,223037.0,0.0,1.0,86.81,87.2,86.02,86.13,223037.0
2016-10-13,86.2,87.03,85.72,86.39,374540.0,0.0,1.0,86.2,87.03,85.72,86.39,374540.0
2016-10-12,86.74,87.905,86.4616,87.26,130197.0,0.0,1.0,86.74,87.905,86.4616,87.26,130197.0
2016-10-11,88.01,88.12,86.08,86.49,194081.0,0.0,1.0,88.01,88.12,86.08,86.49,194081.0
2016-10-10,88.31,88.81,88.13,88.36,199922.0,0.0,1.0,88.31,88.81,88.13,88.36,199922.0
2016-10-07,91.06,91.06,87.84,87.87,426676.0,0.0,1.0,91.06,91.06,87.84,87.87,426676.0
2016-10-06,91.39,91.58,89.16,91.44,241253.0,0.0,1.0,91.39,91.58,89.16,91.44,241253.0
2016-10-05,90.75,92.08,90.48,91.86,160260.0,0.13,1.0,90.75,92.08,90.48,91.86,160260.0
2016-10-04,91.1,91.74,90.12,90.53,168875.0,0.0,1.0,90.971257745407,91.610353299272,89.992642678552,90.402063267746,168875.0
2016-10-03,90.72,91.155,90.36,90.79,235727.0,0.0,1.0,90.5917947603,91.026180019567,90.232303511251,90.661695836504,235727.0
2016-09-30,90.49,91.65,89.68,91.11,206768.0,0.0,1.0,90.36211979563,91.520480487009,89.55326448527,90.981243613436,206768.0
2016-09-29,91.13,91.26,89.64,89.9,128989.0,0.0,1.0,91.001215349495,91.131031633873,89.513321013154,89.772953581911,128989.0
2016-09-28,90.18,91.41,89.84,91.31,154233.0,0.0,1.0,90.052557886727,91.28081965431,89.713038373736,91.180960974019,154233.0
2016-09-27,88.66,90.29,88.41,90.02,378779.0,0.0,1.0,88.534705946299,90.162402435047,88.28505924557,89.892783998261,378779.0
2016-09-26,88.01,89.23,87.55,88.52,175750.0,0.0,1.0,87.885624524405,89.103900423959,87.426274595065,88.394903793891,175750.0
2016-09-23,89.03,89.199,88.33,88.4,176246.0,0.0,1.0,88.904183063376,89.072944233069,88.205172301337,88.275073377541,176246.0
2016-09-22,88.69,89.6,87.89,89.37,235034.0,0.0,1.0,88.564663550386,89.473377541037,87.765794108055,89.243702576367,235034.0
2016-09-21,86.71,87.93,86.32,87.89,123976.0,0.0,1.0,86.587461680617,87.805737580172,86.198012827481,87.765794108055,123976.0
2016-09-20,87.19,87.19,86.15,86.26,149971.0,0.0,1.0,87.066783346016,87.066783346016,86.028253070986,86.138097619306,149971.0
2016-09-19,85.98,86.91,85.68,86.48,163035.0,0.0,1.0,85.858493314491,86.7871790412,85.558917273617,86.357786715947,163035.0
2016-09-16,86.57,86.57,85.4,85.51,290829.0,0.0,1.0,86.44765952821,86.44765952821,85.279312968801,85.389157517121,290829.0
2016-09-15,85.46,86.95,85.11,86.68,184385.0,0.0,1.0,85.339228176976,86.827122513317,84.989722795956,86.55750407653,184385.0
2016-09-14,85.96,86.51,85.2,85.24,195491.0,0.0,1.0,85.838521578432,86.387744320035,85.079595608218,85.119539080335,195491.0
2016-09-13,87.36,87.7,85.87,86.04,190065.0,0.0,1.0,87.236543102511,87.576062615502,85.74864876617,85.918408522666,190065.0
2016-09-12,86.71,88.15,86.01,87.91,258128.0,0.0,1.0,86.587461680617,88.025426676813,85.888450918578,87.785765844113,258128.0
2016-09-09,89.48,89.48,86.77,86.78,263408.0,0.0,1.0,89.353547124687,89.353547124687,86.647376888792,86.657362756821,263408.0
2016-09-08,90.6,90.6,89.85,90.15,109591.0,0.0,1.0,90.47196434395,90.47196434395,89.723024241765,90.022600282639,109591.0
2016-09-07,90.46,90.82,89.92,90.68,173111.0,0.0,1.0,90.332162191543,90.691653440591,89.792925317969,90.551851288184,173111.0
2016-09-06,91.41,91.56,90.145,90.45,159923.0,0.0,1.0,91.28081965431,91.430607674747,90.017607348625,90.322176323513,159923.0
2016-09-02,90.88,91.13,90.395,91.12,146180.0,0.0,1.0,90.751568648766,91.001215349495,90.267254049353,90.991229481465,146180.0
2016-09-01,90.18,90.28,89.21,90.12,124829.0,0.0,1.0,90.052557886727,90.152416567018,89.083928687901,89.992642678552,124829.0
2016-08-31,91.12,91.12,89.56,89.9,136593.0,0.0,1.0,90.991229481465,90.991229481465,89.433434068921,89.772953581911,136593.0
2016-08-30,91.18,91.36,90.5801,91.15,94354.0,0.0,1.0,91.05114468964,91.230890314165,90.452092466572,91.021187085553,94354.0
