Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,24.24,24.66,23.93,23.99,121559.0,0.0,1.0,24.24,24.66,23.93,23.99,121559.0
2016-11-16,24.2,24.31,23.44,24.0,99345.0,0.0,1.0,24.2,24.31,23.44,24.0,99345.0
2016-11-15,24.48,24.61,23.07,23.98,225617.0,0.0,1.0,24.48,24.61,23.07,23.98,225617.0
2016-11-14,24.5,24.97,24.22,24.5,526787.0,0.0,1.0,24.5,24.97,24.22,24.5,526787.0
2016-11-11,22.605,24.38,22.32,24.03,1041964.0,0.0,1.0,22.605,24.38,22.32,24.03,1041964.0
2016-11-10,22.16,22.46,21.9301,22.27,222294.0,0.0,1.0,22.16,22.46,21.9301,22.27,222294.0
2016-11-09,20.71,21.98,20.51,21.94,168701.0,0.0,1.0,20.71,21.98,20.51,21.94,168701.0
2016-11-08,21.21,21.5,20.895,21.01,166820.0,0.0,1.0,21.21,21.5,20.895,21.01,166820.0
2016-11-07,22.15,22.255,21.28,21.28,109246.0,0.0,1.0,22.15,22.255,21.28,21.28,109246.0
2016-11-04,21.66,22.16,21.6,22.03,254544.0,0.0,1.0,21.66,22.16,21.6,22.03,254544.0
2016-11-03,21.55,21.868,21.41,21.66,175240.0,0.0,1.0,21.55,21.868,21.41,21.66,175240.0
2016-11-02,21.95,22.54,21.5,21.58,467842.0,0.0,1.0,21.95,22.54,21.5,21.58,467842.0
2016-11-01,22.21,22.49,21.9,21.94,273187.0,0.0,1.0,22.21,22.49,21.9,21.94,273187.0
2016-10-31,22.46,22.6799,22.15,22.36,156277.0,0.0,1.0,22.46,22.6799,22.15,22.36,156277.0
2016-10-28,22.09,22.7,22.08,22.36,191100.0,0.0,1.0,22.09,22.7,22.08,22.36,191100.0
2016-10-27,22.82,22.84,22.0,22.26,239567.0,0.0,1.0,22.82,22.84,22.0,22.26,239567.0
2016-10-26,23.03,23.03,22.45,22.69,141965.0,0.0,1.0,23.03,23.03,22.45,22.69,141965.0
2016-10-25,22.4,22.97,22.4,22.76,154970.0,0.0,1.0,22.4,22.97,22.4,22.76,154970.0
2016-10-24,22.15,23.0,22.0,22.47,384022.0,0.0,1.0,22.15,23.0,22.0,22.47,384022.0
2016-10-21,21.55,22.18,21.53,21.92,314343.0,0.0,1.0,21.55,22.18,21.53,21.92,314343.0
2016-10-20,21.75,21.75,21.15,21.68,295042.0,0.0,1.0,21.75,21.75,21.15,21.68,295042.0
2016-10-19,21.27,21.56,21.07,21.36,373442.0,0.0,1.0,21.27,21.56,21.07,21.36,373442.0
2016-10-18,20.58,21.36,20.5,21.15,284453.0,0.0,1.0,20.58,21.36,20.5,21.15,284453.0
2016-10-17,21.03,21.03,20.45,20.52,321013.0,0.0,1.0,21.03,21.03,20.45,20.52,321013.0
2016-10-14,21.05,21.186,20.85,21.06,285277.0,0.0,1.0,21.05,21.186,20.85,21.06,285277.0
2016-10-13,21.5,21.5,20.83,21.0,665763.0,0.0,1.0,21.5,21.5,20.83,21.0,665763.0
2016-10-12,21.62,21.8,21.1,21.4,742749.0,0.0,1.0,21.62,21.8,21.1,21.4,742749.0
2016-10-11,22.16,22.305,21.6,21.7,713714.0,0.0,1.0,22.16,22.305,21.6,21.7,713714.0
2016-10-10,22.61,22.99,22.0,22.26,946205.0,0.0,1.0,22.61,22.99,22.0,22.26,946205.0
2016-10-07,23.75,24.35,22.03,22.5,11437686.0,0.0,1.0,23.75,24.35,22.03,22.5,11437686.0
2014-07-31,27.06,27.14,26.82,26.86,1471561.0,0.0,1.0,27.06,27.14,26.82,26.86,1471561.0
2014-07-30,27.27,27.3,26.86,27.19,768841.0,0.0,1.0,27.27,27.3,26.86,27.19,768841.0
2014-07-29,27.16,27.31,26.99,27.22,864478.0,0.0,1.0,27.16,27.31,26.99,27.22,864478.0
2014-07-28,27.24,27.27,27.11,27.2,835848.0,0.0,1.0,27.24,27.27,27.11,27.2,835848.0
2014-07-25,27.17,27.25,27.08,27.23,317712.0,0.0,1.0,27.17,27.25,27.08,27.23,317712.0
2014-07-24,27.11,27.24,27.01,27.14,863954.0,0.0,1.0,27.11,27.24,27.01,27.14,863954.0
2014-07-23,27.02,27.08,26.86,27.03,654698.0,0.0,1.0,27.02,27.08,26.86,27.03,654698.0
2014-07-22,26.925,27.0,26.77,26.93,1009733.0,0.0,1.0,26.925,27.0,26.77,26.93,1009733.0
2014-07-21,26.52,26.82,26.45,26.81,1220844.0,0.0,1.0,26.52,26.82,26.45,26.81,1220844.0
2014-07-18,26.7,26.86,26.52,26.58,944328.0,0.0,1.0,26.7,26.86,26.52,26.58,944328.0
2014-07-17,26.44,26.78,26.35,26.57,429571.0,0.0,1.0,26.44,26.78,26.35,26.57,429571.0
2014-07-16,26.825,27.01,26.5,26.57,411942.0,0.0,1.0,26.825,27.01,26.5,26.57,411942.0
2014-07-15,27.05,27.07,26.72,26.75,2015783.0,0.0,1.0,27.05,27.07,26.72,26.75,2015783.0
2014-07-14,26.81,27.215,26.79,27.1,678479.0,0.0,1.0,26.81,27.215,26.79,27.1,678479.0
2014-07-11,26.72,26.93,26.565,26.87,402303.0,0.0,1.0,26.72,26.93,26.565,26.87,402303.0
2014-07-10,26.29,26.84,26.19,26.84,1387931.0,0.0,1.0,26.29,26.84,26.19,26.84,1387931.0
2014-07-09,25.96,26.06,25.85,25.91,1771143.0,0.0,1.0,25.96,26.06,25.85,25.91,1771143.0
2014-07-08,26.02,26.08,25.89,26.0,1179524.0,0.0,1.0,26.02,26.08,25.89,26.0,1179524.0
2014-07-07,26.22,26.35,26.0,26.0,1440148.0,0.0,1.0,26.22,26.35,26.0,26.0,1440148.0
2014-07-03,26.27,26.35,26.09,26.3,1024954.0,0.0,1.0,26.27,26.35,26.09,26.3,1024954.0
2014-07-02,26.36,26.52,26.2,26.35,485753.0,0.0,1.0,26.36,26.52,26.2,26.35,485753.0
2014-07-01,26.33,26.48,26.15,26.48,699860.0,0.0,1.0,26.33,26.48,26.15,26.48,699860.0
2014-06-30,26.52,26.58,26.23,26.32,1902445.0,0.0,1.0,26.52,26.58,26.23,26.32,1902445.0
2014-06-27,26.69,26.74,26.45,26.48,1648746.0,0.0,1.0,26.69,26.74,26.45,26.48,1648746.0
2014-06-26,26.78,26.87,26.48,26.69,1478395.0,0.0,1.0,26.78,26.87,26.48,26.69,1478395.0
2014-06-25,27.09,27.21,26.79,26.79,828608.0,0.0,1.0,27.09,27.21,26.79,26.79,828608.0
2014-06-24,27.61,27.66,27.12,27.12,641991.0,0.0,1.0,27.61,27.66,27.12,27.12,641991.0
2014-06-23,27.75,28.05,27.59,27.62,769674.0,0.0,1.0,27.75,28.05,27.59,27.62,769674.0
2014-06-20,27.98,28.03,27.6604,27.77,1063534.0,0.0,1.0,27.98,28.03,27.6604,27.77,1063534.0
2014-06-19,27.96,28.28,27.89,27.99,1136576.0,0.0,1.0,27.96,28.28,27.89,27.99,1136576.0
2014-06-18,27.75,28.07,27.71,27.9,2754095.0,0.0,1.0,27.75,28.07,27.71,27.9,2754095.0
2014-06-17,27.54,27.85,27.49,27.7,440505.0,0.0,1.0,27.54,27.85,27.49,27.7,440505.0
2014-06-16,27.49,27.65,27.39,27.56,426119.0,0.0,1.0,27.49,27.65,27.39,27.56,426119.0
2014-06-13,27.85,27.87,27.38,27.57,492859.0,0.0,1.0,27.85,27.87,27.38,27.57,492859.0
2014-06-12,27.45,27.63,27.14,27.34,484931.0,0.0,1.0,27.45,27.63,27.14,27.34,484931.0
2014-06-11,27.44,27.62,27.21,27.56,366633.0,0.0,1.0,27.44,27.62,27.21,27.56,366633.0
2014-06-10,28.01,28.08,27.37,27.43,1164751.0,0.0,1.0,28.01,28.08,27.37,27.43,1164751.0
2014-06-09,28.08,28.23,27.85,27.93,1260136.0,0.0,1.0,28.08,28.23,27.85,27.93,1260136.0
2014-06-06,27.84,28.21,27.67,28.06,2563182.0,0.0,1.0,27.84,28.21,27.67,28.06,2563182.0
2014-06-05,27.22,27.86,27.1,27.74,1872402.0,0.0,1.0,27.22,27.86,27.1,27.74,1872402.0
2014-06-04,26.79,27.1,26.75,27.07,1320263.0,0.0,1.0,26.79,27.1,26.75,27.07,1320263.0
2014-06-03,26.9,27.07,26.74,26.85,687207.0,0.0,1.0,26.9,27.07,26.74,26.85,687207.0
2014-06-02,26.39,27.0,26.1675,26.87,822807.0,0.0,1.0,26.39,27.0,26.1675,26.87,822807.0
2014-05-30,26.23,26.64,26.16,26.31,2339353.0,0.0,1.0,26.23,26.64,26.16,26.31,2339353.0
2014-05-29,26.04,26.47,25.91,26.36,642144.0,0.0,1.0,26.04,26.47,25.91,26.36,642144.0
2014-05-28,26.04,26.09,25.54,25.99,1083521.0,0.0,1.0,26.04,26.09,25.54,25.99,1083521.0
2014-05-27,26.26,26.61,25.99,26.08,1219163.0,0.0,1.0,26.26,26.61,25.99,26.08,1219163.0
2014-05-23,25.79,26.19,25.67,26.15,1039618.0,0.0,1.0,25.79,26.19,25.67,26.15,1039618.0
2014-05-22,25.05,25.93,25.05,25.71,1055011.0,0.0,1.0,25.05,25.93,25.05,25.71,1055011.0
