Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,44.02,44.53,43.78,43.88,388958.0,0.0,1.0,44.02,44.53,43.78,43.88,388958.0
2016-11-16,43.98,44.125,43.5,43.99,734154.0,0.0,1.0,43.98,44.125,43.5,43.99,734154.0
2016-11-15,44.36,44.82,43.87,43.99,1151179.0,0.0,1.0,44.36,44.82,43.87,43.99,1151179.0
2016-11-14,43.42,44.15,42.96,44.15,1187222.0,0.0,1.0,43.42,44.15,42.96,44.15,1187222.0
2016-11-11,43.8,44.11,43.43,43.47,910342.0,0.0,1.0,43.8,44.11,43.43,43.47,910342.0
2016-11-10,44.89,44.89,43.16,43.82,677164.0,0.0,1.0,44.89,44.89,43.16,43.82,677164.0
2016-11-09,44.99,45.37,44.1,44.94,435922.0,0.0,1.0,44.99,45.37,44.1,44.94,435922.0
2016-11-08,45.78,46.06,45.56,45.92,334254.0,0.0,1.0,45.78,46.06,45.56,45.92,334254.0
2016-11-07,45.64,45.96,45.31,45.73,551900.0,0.0,1.0,45.64,45.96,45.31,45.73,551900.0
2016-11-04,45.31,45.75,44.66,44.91,644341.0,0.0,1.0,45.31,45.75,44.66,44.91,644341.0
2016-11-03,44.99,45.39,44.71,44.75,540808.0,0.0,1.0,44.99,45.39,44.71,44.75,540808.0
2016-11-02,45.88,45.88,44.97,45.01,512736.0,0.0,1.0,45.88,45.88,44.97,45.01,512736.0
2016-11-01,46.59,46.6,45.33,45.87,389734.0,0.0,1.0,46.59,46.6,45.33,45.87,389734.0
2016-10-31,45.99,46.8,45.72,46.75,632214.0,0.0,1.0,45.99,46.8,45.72,46.75,632214.0
2016-10-28,46.01,46.3,45.45,45.77,380281.0,0.0,1.0,46.01,46.3,45.45,45.77,380281.0
2016-10-27,46.6,46.6,45.71,45.89,474634.0,0.0,1.0,46.6,46.6,45.71,45.89,474634.0
2016-10-26,47.14,47.16,46.41,46.62,355670.0,0.0,1.0,47.14,47.16,46.41,46.62,355670.0
2016-10-25,47.45,47.56,47.17,47.47,468468.0,0.0,1.0,47.45,47.56,47.17,47.47,468468.0
2016-10-24,47.94,47.96,47.23,47.67,401272.0,0.0,1.0,47.94,47.96,47.23,47.67,401272.0
2016-10-21,47.09,47.42,47.09,47.31,228056.0,0.0,1.0,47.09,47.42,47.09,47.31,228056.0
2016-10-20,47.14,47.58,46.97,47.41,448789.0,0.0,1.0,47.14,47.58,46.97,47.41,448789.0
2016-10-19,46.93,47.25,46.815,47.16,298076.0,0.0,1.0,46.93,47.25,46.815,47.16,298076.0
2016-10-18,47.08,47.77,46.78,47.03,355067.0,0.0,1.0,47.08,47.77,46.78,47.03,355067.0
2016-10-17,46.74,47.3,46.6,46.61,703126.0,0.0,1.0,46.74,47.3,46.6,46.61,703126.0
2016-10-14,46.61,46.93,46.1,46.55,537263.0,0.0,1.0,46.61,46.93,46.1,46.55,537263.0
2016-10-13,45.7,46.83,45.52,46.6,514892.0,0.0,1.0,45.7,46.83,45.52,46.6,514892.0
2016-10-12,45.33,45.905,45.32,45.76,357351.0,0.0,1.0,45.33,45.905,45.32,45.76,357351.0
2016-10-11,45.97,46.12,45.12,45.31,458675.0,0.0,1.0,45.97,46.12,45.12,45.31,458675.0
2016-10-10,45.58,46.23,45.29,46.12,513999.0,0.0,1.0,45.58,46.23,45.29,46.12,513999.0
2016-10-07,45.83,46.47,45.12,45.39,758475.0,0.0,1.0,45.83,46.47,45.12,45.39,758475.0
2016-10-06,45.39,45.88,44.86,45.65,441630.0,0.0,1.0,45.39,45.88,44.86,45.65,441630.0
2016-10-05,47.39,47.46,45.55,45.65,700020.0,0.29,1.0,47.39,47.46,45.55,45.65,700020.0
2016-10-04,47.84,47.95,47.18,47.46,837428.0,0.0,1.0,47.538006094906,47.647311710927,46.882172398781,47.160404875925,837428.0
