Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-09-04,19.0,,,19.01,0.0,0.0,1.0,19.0,,,19.01,0.0
2014-09-03,19.0,19.01,18.98,18.98,56091.0,0.0,1.0,19.0,19.01,18.98,18.98,56091.0
2014-09-02,19.01,19.01,18.98,19.01,19759.0,0.0,1.0,19.01,19.01,18.98,19.01,19759.0
2014-08-29,18.97,19.0,18.97,18.97,52969.0,0.0,1.0,18.97,19.0,18.97,18.97,52969.0
2014-08-28,18.98,19.0,18.97,18.97,46923.0,0.0,1.0,18.98,19.0,18.97,18.97,46923.0
2014-08-27,18.99,19.01,18.96,19.0,41065.0,0.0,1.0,18.99,19.01,18.96,19.0,41065.0
2014-08-26,18.98,19.0,18.97,18.99,28193.0,0.0,1.0,18.98,19.0,18.97,18.99,28193.0
2014-08-25,19.0,19.0,18.95,18.98,24175.0,0.0,1.0,19.0,19.0,18.95,18.98,24175.0
2014-08-22,18.93,19.0,18.93,18.99,38972.0,0.0,1.0,18.93,19.0,18.93,18.99,38972.0
2014-08-21,18.95,18.99,18.94,18.98,30556.0,0.0,1.0,18.95,18.99,18.94,18.98,30556.0
2014-08-20,18.94,18.99,18.94,18.99,25827.0,0.0,1.0,18.94,18.99,18.94,18.99,25827.0
2014-08-19,18.99,18.99,18.93,18.98,23944.0,0.0,1.0,18.99,18.99,18.93,18.98,23944.0
2014-08-18,19.08,19.08,18.94,18.99,39132.0,0.0,1.0,19.08,19.08,18.94,18.99,39132.0
2014-08-15,19.18,19.18,18.92,19.01,47885.0,0.0,1.0,19.18,19.18,18.92,19.01,47885.0
2014-08-14,18.93,18.99,18.9,18.99,20543.0,0.0,1.0,18.93,18.99,18.9,18.99,20543.0
2014-08-13,18.91,18.98,18.87,18.94,24033.0,0.0,1.0,18.91,18.98,18.87,18.94,24033.0
2014-08-12,18.94,18.98,18.88,18.91,299428.0,0.0,1.0,18.94,18.98,18.88,18.91,299428.0
2014-08-11,18.96,18.98,18.9,18.98,43490.0,0.0,1.0,18.96,18.98,18.9,18.98,43490.0
2014-08-08,18.85,18.96,18.85,18.96,32442.0,0.0,1.0,18.85,18.96,18.85,18.96,32442.0
2014-08-07,18.92,18.94,18.88,18.9,27619.0,0.0,1.0,18.92,18.94,18.88,18.9,27619.0
2014-08-06,18.89,18.96,18.84,18.94,27867.0,0.0,1.0,18.89,18.96,18.84,18.94,27867.0
2014-08-05,18.84,18.9,18.8,18.89,15908.0,0.0,1.0,18.84,18.9,18.8,18.89,15908.0
2014-08-04,18.78,18.95,18.78,18.93,36760.0,0.0,1.0,18.78,18.95,18.78,18.93,36760.0
2014-08-01,18.9,18.9,18.45,18.76,43872.0,0.0,1.0,18.9,18.9,18.45,18.76,43872.0
2014-07-31,18.89,18.92,18.88,18.89,51684.0,0.0,1.0,18.89,18.92,18.88,18.89,51684.0
2014-07-30,18.96,18.99,18.89,18.91,32004.0,0.0,1.0,18.96,18.99,18.89,18.91,32004.0
2014-07-29,18.92,18.92,18.89,18.89,19567.0,0.0,1.0,18.92,18.92,18.89,18.89,19567.0
2014-07-28,18.9,18.96,18.89,18.94,32592.0,0.0,1.0,18.9,18.96,18.89,18.94,32592.0
2014-07-25,18.9,18.98,18.87,18.89,40179.0,0.0,1.0,18.9,18.98,18.87,18.89,40179.0
2014-07-24,18.98,18.98,18.89,18.93,77809.0,0.0,1.0,18.98,18.98,18.89,18.93,77809.0
2014-07-23,18.95,18.96,18.89,18.92,40713.0,0.0,1.0,18.95,18.96,18.89,18.92,40713.0
2014-07-22,18.94,18.96,18.88,18.92,144203.0,0.0,1.0,18.94,18.96,18.88,18.92,144203.0
2014-07-21,18.87,18.95,18.87,18.89,27918.0,0.0,1.0,18.87,18.95,18.87,18.89,27918.0
2014-07-18,18.9,19.03,18.9,18.98,45662.0,0.0,1.0,18.9,19.03,18.9,18.98,45662.0
2014-07-17,18.9,18.97,18.9,18.91,58439.0,0.0,1.0,18.9,18.97,18.9,18.91,58439.0
2014-07-16,18.96,18.96,18.9,18.91,49277.0,0.0,1.0,18.96,18.96,18.9,18.91,49277.0
2014-07-15,18.94,18.96,18.9,18.9,43126.0,0.0,1.0,18.94,18.96,18.9,18.9,43126.0
2014-07-14,18.98,18.98,18.9,18.93,32555.0,0.0,1.0,18.98,18.98,18.9,18.93,32555.0
2014-07-11,18.82,18.98,18.8,18.9,44644.0,0.0,1.0,18.82,18.98,18.8,18.9,44644.0
2014-07-10,18.9,18.93,18.9,18.9,44759.0,0.0,1.0,18.9,18.93,18.9,18.9,44759.0
2014-07-09,18.97,18.97,18.9,18.92,27812.0,0.0,1.0,18.97,18.97,18.9,18.92,27812.0
2014-07-08,18.93,18.98,18.9,18.9,24659.0,0.0,1.0,18.93,18.98,18.9,18.9,24659.0
2014-07-07,18.97,18.97,18.9,18.91,19424.0,0.0,1.0,18.97,18.97,18.9,18.91,19424.0
2014-07-03,18.98,18.98,18.9,18.97,13904.0,0.0,1.0,18.98,18.98,18.9,18.97,13904.0
2014-07-02,18.94,18.986,18.9,18.9,25124.0,0.0,1.0,18.94,18.986,18.9,18.9,25124.0
2014-07-01,18.95,19.13,18.88,18.91,72436.0,0.0,1.0,18.95,19.13,18.88,18.91,72436.0
2014-06-30,18.87,18.95,18.87,18.95,48523.0,0.0,1.0,18.87,18.95,18.87,18.95,48523.0
2014-06-27,18.86,18.94,18.86,18.94,166224.0,0.0,1.0,18.86,18.94,18.86,18.94,166224.0
2014-06-26,18.92,18.9,18.86,18.86,22795.0,0.0,1.0,18.92,18.9,18.86,18.86,22795.0
2014-06-25,18.84,18.95,18.84,18.9,31202.0,0.0,1.0,18.84,18.95,18.84,18.9,31202.0
2014-06-24,18.84,18.9,18.84,18.84,82915.0,0.0,1.0,18.84,18.9,18.84,18.84,82915.0
2014-06-23,18.86,18.86,18.84,18.85,52766.0,0.0,1.0,18.86,18.86,18.84,18.85,52766.0
2014-06-20,18.95,18.95,18.84,18.88,65239.0,0.0,1.0,18.95,18.95,18.84,18.88,65239.0
2014-06-19,18.85,19.0,18.84,18.98,62319.0,0.0,1.0,18.85,19.0,18.84,18.98,62319.0
2014-06-18,19.1,19.1,18.84,18.88,147410.0,0.0,1.0,19.1,19.1,18.84,18.88,147410.0
2014-06-17,19.5,19.67,19.05,19.65,39003.0,0.0,1.0,19.5,19.67,19.05,19.65,39003.0
2014-06-16,19.5,19.58,19.46,19.54,27471.0,0.0,1.0,19.5,19.58,19.46,19.54,27471.0
2014-06-13,20.0,20.12,19.3,19.51,20446.0,0.0,1.0,20.0,20.12,19.3,19.51,20446.0
2014-06-12,19.94,20.05,19.785,19.89,49813.0,0.0,1.0,19.94,20.05,19.785,19.89,49813.0
2014-06-11,19.8,20.025,19.8,19.92,29844.0,0.0,1.0,19.8,20.025,19.8,19.92,29844.0
2014-06-10,20.0,20.05,19.4,20.045,89534.0,0.0,1.0,20.0,20.05,19.4,20.045,89534.0
2014-06-09,20.0,20.05,19.99,20.04,38725.0,0.0,1.0,20.0,20.05,19.99,20.04,38725.0
2014-06-06,19.95,20.23,19.75,20.03,76319.0,0.0,1.0,19.95,20.23,19.75,20.03,76319.0
2014-06-05,19.88,20.11,19.73,19.88,52920.0,0.0,1.0,19.88,20.11,19.73,19.88,52920.0
2014-06-04,19.91,20.25,19.5801,19.94,298366.0,0.0,1.0,19.91,20.25,19.5801,19.94,298366.0
2014-06-03,19.5,20.08,19.5,19.93,474574.0,0.0,1.0,19.5,20.08,19.5,19.93,474574.0
2014-06-02,18.89,18.91,18.87,18.88,44322.0,0.0,1.0,18.89,18.91,18.87,18.88,44322.0
2014-05-30,18.92,18.92,18.87,18.88,20751.0,0.0,1.0,18.92,18.92,18.87,18.88,20751.0
2014-05-29,18.91,18.91,18.85,18.9,56406.0,0.0,1.0,18.91,18.91,18.85,18.9,56406.0
2014-05-28,18.89,18.91,18.84,18.87,24251.0,0.0,1.0,18.89,18.91,18.84,18.87,24251.0
2014-05-27,18.9,18.96,18.87,18.92,33783.0,0.0,1.0,18.9,18.96,18.87,18.92,33783.0
2014-05-23,18.9,18.924,18.86,18.92,25510.0,0.0,1.0,18.9,18.924,18.86,18.92,25510.0
2014-05-22,18.88,18.95,18.86,18.9,20216.0,0.0,1.0,18.88,18.95,18.86,18.9,20216.0
2014-05-21,18.88,18.88,18.84,18.88,32667.0,0.0,1.0,18.88,18.88,18.84,18.88,32667.0
2014-05-20,18.86,18.98,18.84,18.84,82424.0,0.0,1.0,18.86,18.98,18.84,18.84,82424.0
2014-05-19,18.84,18.975,18.835,18.91,22908.0,0.0,1.0,18.84,18.975,18.835,18.91,22908.0
2014-05-16,18.82,18.86,18.82,18.86,24584.0,0.0,1.0,18.82,18.86,18.82,18.86,24584.0
2014-05-15,18.83,18.85,18.82,18.82,62808.0,0.0,1.0,18.83,18.85,18.82,18.82,62808.0
2014-05-14,18.87,18.88,18.82,18.82,34282.0,0.0,1.0,18.87,18.88,18.82,18.82,34282.0
2014-05-13,18.87,18.98,18.85,18.87,42453.0,0.0,1.0,18.87,18.98,18.85,18.87,42453.0
2014-05-12,18.91,18.99,18.86,18.87,42968.0,0.0,1.0,18.91,18.99,18.86,18.87,42968.0
2014-05-08,18.85,18.95,18.85,18.86,64491.0,0.0,1.0,18.85,18.95,18.85,18.86,64491.0
2014-05-07,18.81,18.9,18.81,18.87,32262.0,0.0,1.0,18.81,18.9,18.81,18.87,32262.0
2014-05-06,18.83,18.9,18.81,18.85,46026.0,0.0,1.0,18.83,18.9,18.81,18.85,46026.0
2014-05-05,18.84,18.97,18.82,18.84,65621.0,0.0,1.0,18.84,18.97,18.82,18.84,65621.0
2014-05-02,18.9,19.0,18.83,18.85,223503.0,0.0,1.0,18.9,19.0,18.83,18.85,223503.0
2014-05-01,18.17,18.22,17.77,18.1,42276.0,0.0,1.0,18.17,18.22,17.77,18.1,42276.0
2014-04-30,18.39,18.5,18.2,18.28,21344.0,0.0,1.0,18.39,18.5,18.2,18.28,21344.0
2014-04-29,18.73,18.73,18.22,18.32,9656.0,0.0,1.0,18.73,18.73,18.22,18.32,9656.0
2014-04-28,18.49,18.8,18.17,18.6,17223.0,0.0,1.0,18.49,18.8,18.17,18.6,17223.0
2014-04-25,18.73,18.76,18.16,18.34,20259.0,0.0,1.0,18.73,18.76,18.16,18.34,20259.0
2014-04-24,18.82,18.85,18.75,18.824,3296.0,0.0,1.0,18.82,18.85,18.75,18.824,3296.0
2014-04-23,18.74,19.15,18.74,18.75,14384.0,0.0,1.0,18.74,19.15,18.74,18.75,14384.0
2014-04-22,18.69,18.95,18.69,18.86,11502.0,0.0,1.0,18.69,18.95,18.69,18.86,11502.0
2014-04-21,18.24,18.79,18.24,18.57,16174.0,0.0,1.0,18.24,18.79,18.24,18.57,16174.0
2014-04-17,17.72,18.34,17.62,18.12,6946.0,0.0,1.0,17.72,18.34,17.62,18.12,6946.0
2014-04-16,18.03,18.22,17.73,17.73,4101.0,0.0,1.0,18.03,18.22,17.73,17.73,4101.0
2014-04-15,17.99,18.15,17.48,17.82,12759.0,0.0,1.0,17.99,18.15,17.48,17.82,12759.0
2014-04-14,17.84,18.0,17.71,17.93,11200.0,0.0,1.0,17.84,18.0,17.71,17.93,11200.0
2014-04-11,17.55,18.23,17.43,17.61,17100.0,0.0,1.0,17.55,18.23,17.43,17.61,17100.0
2014-04-10,18.1,18.26,17.65,17.73,19700.0,0.0,1.0,18.1,18.26,17.65,17.73,19700.0
2014-04-09,18.3,18.36,18.05,18.3,9700.0,0.0,1.0,18.3,18.36,18.05,18.3,9700.0
2014-04-08,18.87,18.87,18.32,18.39,11000.0,0.0,1.0,18.87,18.87,18.32,18.39,11000.0
2014-04-07,18.53,18.82,17.97,18.2,12600.0,0.0,1.0,18.53,18.82,17.97,18.2,12600.0
2014-04-04,19.21,19.21,18.52,18.53,17800.0,0.0,1.0,19.21,19.21,18.52,18.53,17800.0
2014-04-03,19.3,19.3,18.81,19.02,23200.0,0.0,1.0,19.3,19.3,18.81,19.02,23200.0
2014-04-02,18.86,19.3,18.64,19.21,17700.0,0.0,1.0,18.86,19.3,18.64,19.21,17700.0
2014-04-01,18.69,18.94,18.59,18.88,9400.0,0.0,1.0,18.69,18.94,18.59,18.88,9400.0
2014-03-31,18.41,18.97,18.37,18.88,42200.0,0.0,1.0,18.41,18.97,18.37,18.88,42200.0
2014-03-28,17.81,18.36,17.81,18.33,6500.0,0.0,1.0,17.81,18.36,17.81,18.33,6500.0
2014-03-27,17.8,17.88,17.47,17.79,8700.0,0.0,1.0,17.8,17.88,17.47,17.79,8700.0
2014-03-26,18.29,18.29,17.0,17.71,28200.0,0.0,1.0,18.29,18.29,17.0,17.71,28200.0
2014-03-25,18.43,18.62,18.1,18.1,28800.0,0.0,1.0,18.43,18.62,18.1,18.1,28800.0
2014-03-24,18.74,19.08,18.29,18.63,9500.0,0.0,1.0,18.74,19.08,18.29,18.63,9500.0
2014-03-21,18.95,18.95,18.65,18.77,20600.0,0.0,1.0,18.95,18.95,18.65,18.77,20600.0
2014-03-20,19.06,19.36,18.69,18.81,12000.0,0.0,1.0,19.06,19.36,18.69,18.81,12000.0
2014-03-19,19.33,19.47,19.06,19.06,8400.0,0.0,1.0,19.33,19.47,19.06,19.06,8400.0
2014-03-18,19.42,19.5,19.3,19.49,8400.0,0.0,1.0,19.42,19.5,19.3,19.49,8400.0
2014-03-17,19.1,19.44,19.1,19.37,6800.0,0.0,1.0,19.1,19.44,19.1,19.37,6800.0
2014-03-14,19.13,19.54,19.13,19.29,10200.0,0.0,1.0,19.13,19.54,19.13,19.29,10200.0
2014-03-13,19.54,19.54,19.18,19.26,7800.0,0.0,1.0,19.54,19.54,19.18,19.26,7800.0
2014-03-12,19.42,19.57,19.13,19.56,7200.0,0.0,1.0,19.42,19.57,19.13,19.56,7200.0
