Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,80.27,80.45,79.93,79.97,2803666.0,0.0,1.0,80.27,80.45,79.93,79.97,2803666.0
2016-11-16,79.64,80.26,79.44,80.21,5093297.0,0.0,1.0,79.64,80.26,79.44,80.21,5093297.0
2016-11-15,80.53,80.65,79.36,79.63,4820033.0,0.0,1.0,80.53,80.65,79.36,79.63,4820033.0
2016-11-14,80.87,81.19,79.0,79.1,4474330.0,0.0,1.0,80.87,81.19,79.0,79.1,4474330.0
2016-11-11,80.9,81.3,80.28,80.94,3527173.0,0.0,1.0,80.9,81.3,80.28,80.94,3527173.0
2016-11-10,80.96,81.3,80.08,80.24,3814350.0,0.0,1.0,80.96,81.3,80.08,80.24,3814350.0
2016-11-09,78.94,80.54,78.28,80.23,4453177.0,0.0,1.0,78.94,80.54,78.28,80.23,4453177.0
2016-11-08,78.13,79.409,77.95,78.93,3796901.0,0.0,1.0,78.13,79.409,77.95,78.93,3796901.0
2016-11-07,77.72,78.41,77.71,78.2,3507943.0,0.0,1.0,77.72,78.41,77.71,78.2,3507943.0
2016-11-04,76.66,77.5,76.59,76.94,2597055.0,0.0,1.0,76.66,77.5,76.59,76.94,2597055.0
2016-11-03,76.96,77.3,76.39,76.54,2863389.0,0.0,1.0,76.96,77.3,76.39,76.54,2863389.0
2016-11-02,77.05,77.47,76.68,76.74,2728530.0,0.0,1.0,77.05,77.47,76.68,76.74,2728530.0
2016-11-01,78.71,78.72,76.82,77.03,4050863.0,0.0,1.0,78.71,78.72,76.82,77.03,4050863.0
2016-10-31,78.25,78.57,77.96,78.55,2535254.0,0.0,1.0,78.25,78.57,77.96,78.55,2535254.0
2016-10-28,78.32,78.98,77.82,78.19,2433755.0,0.0,1.0,78.32,78.98,77.82,78.19,2433755.0
2016-10-27,77.96,79.56,77.94,78.33,4199809.0,0.0,1.0,77.96,79.56,77.94,78.33,4199809.0
2016-10-26,78.53,78.53,77.51,77.74,2889022.0,0.0,1.0,78.53,78.53,77.51,77.74,2889022.0
2016-10-25,80.06,80.1,78.73,78.77,3265398.0,0.0,1.0,80.06,80.1,78.73,78.77,3265398.0
2016-10-24,80.72,81.245,80.05,80.29,3397032.0,0.0,1.0,80.72,81.245,80.05,80.29,3397032.0
2016-10-21,79.68,80.28,79.37,80.17,4565137.0,0.0,1.0,79.68,80.28,79.37,80.17,4565137.0
2016-10-20,78.23,80.94,77.637,80.18,6188725.0,0.0,1.0,78.23,80.94,77.637,80.18,6188725.0
2016-10-19,76.58,77.24,76.24,77.16,2788899.0,0.0,1.0,76.58,77.24,76.24,77.16,2788899.0
2016-10-18,76.24,76.63,76.06,76.43,1611275.0,0.0,1.0,76.24,76.63,76.06,76.43,1611275.0
2016-10-17,76.3,76.34,75.71,75.86,2141567.0,0.0,1.0,76.3,76.34,75.71,75.86,2141567.0
2016-10-14,76.76,76.8,76.04,76.16,3209808.0,0.0,1.0,76.76,76.8,76.04,76.16,3209808.0
2016-10-13,76.33,76.67,75.96,76.21,2684228.0,0.0,1.0,76.33,76.67,75.96,76.21,2684228.0
2016-10-12,76.55,77.53,76.55,76.78,3140162.0,0.0,1.0,76.55,77.53,76.55,76.78,3140162.0
2016-10-11,77.81,77.81,75.93,76.34,4022102.0,0.0,1.0,77.81,77.81,75.93,76.34,4022102.0
2016-10-10,78.4,78.78,78.07,78.22,1445962.0,0.0,1.0,78.4,78.78,78.07,78.22,1445962.0
2016-10-07,78.35,78.5,77.73,78.25,2608956.0,0.0,1.0,78.35,78.5,77.73,78.25,2608956.0
2016-10-06,77.74,78.42,77.56,78.32,2950187.0,0.0,1.0,77.74,78.42,77.56,78.32,2950187.0
2016-10-05,77.84,78.0,77.36,77.78,2076799.0,0.0,1.0,77.84,78.0,77.36,77.78,2076799.0
2016-10-04,78.28,78.33,77.43,77.66,1934365.0,0.0,1.0,78.28,78.33,77.43,77.66,1934365.0
2016-10-03,77.96,78.42,77.81,77.99,2661067.0,0.0,1.0,77.96,78.42,77.81,77.99,2661067.0
2016-09-30,77.45,78.71,77.42,78.39,3179292.0,0.0,1.0,77.45,78.71,77.42,78.39,3179292.0
2016-09-29,77.47,77.61,76.83,77.13,3186209.0,0.0,1.0,77.47,77.61,76.83,77.13,3186209.0
2016-09-28,77.37,77.67,77.12,77.62,2002970.0,0.125,1.0,77.37,77.67,77.12,77.62,2002970.0
2016-09-27,76.68,77.71,76.41,77.63,3081783.0,0.0,1.0,76.556712328767,77.585056273715,76.287146440286,77.50518489935,3081783.0
2016-09-26,77.46,77.46,76.4075,76.6,3112910.0,0.0,1.0,77.335458228825,77.335458228825,76.284650459837,76.476840954402,3112910.0
2016-09-23,77.45,77.83,77.34,77.59,2542650.0,0.0,1.0,77.325474307029,77.704863335263,77.215651167278,77.465249212168,2542650.0
