Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,56.83,58.19,56.83,58.06,703458.0,0.0,1.0,56.83,58.19,56.83,58.06,703458.0
2016-11-16,57.62,57.68,56.89,57.04,1072099.0,0.0,1.0,57.62,57.68,56.89,57.04,1072099.0
2016-11-15,58.76,58.76,57.64,57.65,744877.0,0.0,1.0,58.76,58.76,57.64,57.65,744877.0
2016-11-14,58.5,58.68,57.35,58.28,632163.0,0.0,1.0,58.5,58.68,57.35,58.28,632163.0
2016-11-11,58.51,59.1,58.1792,58.62,974463.0,0.0,1.0,58.51,59.1,58.1792,58.62,974463.0
2016-11-10,56.85,58.95,56.2,58.6,1548002.0,0.0,1.0,56.85,58.95,56.2,58.6,1548002.0
2016-11-09,57.18,57.27,54.91,56.73,1743755.0,0.0,1.0,57.18,57.27,54.91,56.73,1743755.0
2016-11-08,58.6,59.59,58.27,58.35,1274482.0,0.0,1.0,58.6,59.59,58.27,58.35,1274482.0
2016-11-07,59.07,59.18,58.0,58.92,993224.0,0.0,1.0,59.07,59.18,58.0,58.92,993224.0
2016-11-04,58.5,59.08,58.18,58.18,583644.0,0.0,1.0,58.5,59.08,58.18,58.18,583644.0
2016-11-03,59.09,59.41,58.4,58.44,733579.0,0.0,1.0,59.09,59.41,58.4,58.44,733579.0
2016-11-02,58.79,59.73,58.74,59.18,643066.0,0.0,1.0,58.79,59.73,58.74,59.18,643066.0
2016-11-01,58.46,59.03,58.28,58.92,810062.0,0.0,1.0,58.46,59.03,58.28,58.92,810062.0
2016-10-31,58.79,58.93,58.3,58.45,595337.0,0.0,1.0,58.79,58.93,58.3,58.45,595337.0
2016-10-28,58.24,58.94,58.24,58.51,546466.0,0.0,1.0,58.24,58.94,58.24,58.51,546466.0
2016-10-27,58.57,58.978,58.33,58.35,610458.0,0.0,1.0,58.57,58.978,58.33,58.35,610458.0
2016-10-26,58.89,59.22,58.53,58.64,732724.0,0.0,1.0,58.89,59.22,58.53,58.64,732724.0
2016-10-25,59.01,59.29,58.83,59.07,795950.0,0.0,1.0,59.01,59.29,58.83,59.07,795950.0
