Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,25.95,26.15,25.75,25.9,185337.0,0.0,1.0,25.95,26.15,25.75,25.9,185337.0
2016-11-16,25.4,26.1,25.35,25.85,239782.0,0.0,1.0,25.4,26.1,25.35,25.85,239782.0
2016-11-15,25.45,25.6,25.0,25.4,152909.0,0.0,1.0,25.45,25.6,25.0,25.4,152909.0
2016-11-14,25.1,25.65,24.8,25.5,515192.0,0.0,1.0,25.1,25.65,24.8,25.5,515192.0
2016-11-11,23.9,25.3,23.9,24.9,419973.0,0.0,1.0,23.9,25.3,23.9,24.9,419973.0
2016-11-10,23.7,24.05,23.1001,23.9,363207.0,0.0,1.0,23.7,24.05,23.1001,23.9,363207.0
2016-11-09,22.55,23.55,22.45,23.5,423595.0,0.0,1.0,22.55,23.55,22.45,23.5,423595.0
2016-11-08,22.45,23.0,22.15,22.9,131084.0,0.0,1.0,22.45,23.0,22.15,22.9,131084.0
2016-11-07,22.35,22.65,22.15,22.45,304370.0,0.0,1.0,22.35,22.65,22.15,22.45,304370.0
2016-11-04,21.3,22.125,21.15,21.95,246811.0,0.0,1.0,21.3,22.125,21.15,21.95,246811.0
2016-11-03,21.4,21.65,21.05,21.15,242463.0,0.0,1.0,21.4,21.65,21.05,21.15,242463.0
2016-11-02,20.9,21.499,20.8,21.3,269815.0,0.0,1.0,20.9,21.499,20.8,21.3,269815.0
2016-11-01,21.15,21.35,20.85,20.9,312196.0,0.0,1.0,21.15,21.35,20.85,20.9,312196.0
2016-10-31,21.15,21.3,20.9,21.2,227887.0,0.0,1.0,21.15,21.3,20.9,21.2,227887.0
2016-10-28,21.4,21.75,21.1,21.1,285982.0,0.0,1.0,21.4,21.75,21.1,21.1,285982.0
2016-10-27,21.6,22.0,20.25,21.55,888890.0,0.0,1.0,21.6,22.0,20.25,21.55,888890.0
2016-10-26,22.55,22.8,22.5,22.65,431833.0,0.0,1.0,22.55,22.8,22.5,22.65,431833.0
2016-10-25,22.85,22.85,22.5,22.8,203393.0,0.0,1.0,22.85,22.85,22.5,22.8,203393.0
2016-10-24,22.7,23.025,22.55,22.85,124961.0,0.0,1.0,22.7,23.025,22.55,22.85,124961.0
2016-10-21,22.2,22.6,22.0,22.55,112625.0,0.0,1.0,22.2,22.6,22.0,22.55,112625.0
2016-10-20,22.05,22.7,22.05,22.45,259450.0,0.0,1.0,22.05,22.7,22.05,22.45,259450.0
2016-10-19,22.2,22.375,22.0,22.2,134156.0,0.0,1.0,22.2,22.375,22.0,22.2,134156.0
2016-10-18,22.55,23.175,22.1,22.2,169977.0,0.0,1.0,22.55,23.175,22.1,22.2,169977.0
2016-10-17,22.35,22.7,22.1,22.3,109791.0,0.0,1.0,22.35,22.7,22.1,22.3,109791.0
2016-10-14,22.44,22.66,22.43,22.45,216555.0,0.0,1.0,22.44,22.66,22.43,22.45,216555.0
2016-10-13,22.78,22.82,22.121,22.45,335324.0,0.0,1.0,22.78,22.82,22.121,22.45,335324.0
2016-10-12,22.91,23.05,22.73,22.98,131475.0,0.0,1.0,22.91,23.05,22.73,22.98,131475.0
2016-10-11,23.1,23.14,22.75,22.83,178284.0,0.0,1.0,23.1,23.14,22.75,22.83,178284.0
2016-10-10,22.87,23.257,22.87,23.14,272240.0,0.0,1.0,22.87,23.257,22.87,23.14,272240.0
2016-10-07,22.85,22.85,22.44,22.71,245479.0,0.0,1.0,22.85,22.85,22.44,22.71,245479.0
2016-10-06,22.76,22.91,22.49,22.8,150435.0,0.0,1.0,22.76,22.91,22.49,22.8,150435.0
2016-10-05,22.98,23.2,22.82,22.87,208854.0,0.0,1.0,22.98,23.2,22.82,22.87,208854.0
2016-10-04,23.01,23.18,22.76,22.84,230243.0,0.0,1.0,23.01,23.18,22.76,22.84,230243.0
2016-10-03,22.99,23.3,22.85,23.02,255269.0,0.0,1.0,22.99,23.3,22.85,23.02,255269.0
2016-09-30,23.14,23.19,22.94,23.06,309783.0,0.0,1.0,23.14,23.19,22.94,23.06,309783.0
2016-09-29,23.07,23.26,22.94,23.0,274915.0,0.0,1.0,23.07,23.26,22.94,23.0,274915.0
2016-09-28,22.99,23.23,22.86,23.05,344697.0,0.0,1.0,22.99,23.23,22.86,23.05,344697.0
2016-09-27,23.07,23.1489,22.91,22.99,409249.0,0.0,1.0,23.07,23.1489,22.91,22.99,409249.0
2016-09-26,22.91,23.2379,22.84,23.07,203829.0,0.0,1.0,22.91,23.2379,22.84,23.07,203829.0
2016-09-23,23.55,23.58,22.91,23.07,215729.0,0.0,1.0,23.55,23.58,22.91,23.07,215729.0
2016-09-22,23.44,23.74,22.97,23.63,296337.0,0.0,1.0,23.44,23.74,22.97,23.63,296337.0
2016-09-21,23.17,23.345,22.81,23.25,404819.0,0.0,1.0,23.17,23.345,22.81,23.25,404819.0
2016-09-20,23.82,23.82,22.97,23.0,516470.0,0.0,1.0,23.82,23.82,22.97,23.0,516470.0
2016-09-19,23.52,23.98,23.27,23.68,237068.0,0.0,1.0,23.52,23.98,23.27,23.68,237068.0
2016-09-16,23.49,23.53,22.99,23.49,521568.0,0.0,1.0,23.49,23.53,22.99,23.49,521568.0
2016-09-15,23.19,23.57,23.12,23.51,146330.0,0.0,1.0,23.19,23.57,23.12,23.51,146330.0
2016-09-14,22.44,23.37,21.56,23.16,330243.0,0.0,1.0,22.44,23.37,21.56,23.16,330243.0
2016-09-13,23.57,23.81,22.9254,23.27,374497.0,0.0,1.0,23.57,23.81,22.9254,23.27,374497.0
2016-09-12,24.2,24.375,23.52,23.86,562634.0,0.0,1.0,24.2,24.375,23.52,23.86,562634.0
2016-09-09,25.24,25.35,24.52,24.79,692345.0,0.0,1.0,25.24,25.35,24.52,24.79,692345.0
2016-09-08,26.59,26.7,24.21,25.34,2032777.0,0.0,1.0,26.59,26.7,24.21,25.34,2032777.0
2016-09-07,26.34,26.67,26.24,26.65,179016.0,0.0,1.0,26.34,26.67,26.24,26.65,179016.0
2016-09-06,26.47,26.68,26.09,26.39,130834.0,0.0,1.0,26.47,26.68,26.09,26.39,130834.0
2016-09-02,26.1,26.38,25.71,26.38,124951.0,0.0,1.0,26.1,26.38,25.71,26.38,124951.0
2016-09-01,25.77,26.08,25.51,26.08,139475.0,0.0,1.0,25.77,26.08,25.51,26.08,139475.0
2016-08-31,25.95,26.25,25.7,25.8,80192.0,0.0,1.0,25.95,26.25,25.7,25.8,80192.0
2016-08-30,25.7,25.96,25.64,25.95,78863.0,0.0,1.0,25.7,25.96,25.64,25.95,78863.0
2016-08-29,25.38,25.63,25.38,25.6,57163.0,0.0,1.0,25.38,25.63,25.38,25.6,57163.0
2016-08-26,25.46,25.7741,25.2701,25.51,69239.0,0.0,1.0,25.46,25.7741,25.2701,25.51,69239.0
2016-08-25,25.68,26.17,25.33,25.49,132557.0,0.0,1.0,25.68,26.17,25.33,25.49,132557.0
2016-08-24,25.7,26.01,25.62,25.72,92985.0,0.0,1.0,25.7,26.01,25.62,25.72,92985.0
2016-08-23,25.65,26.0,25.61,25.79,93850.0,0.0,1.0,25.65,26.0,25.61,25.79,93850.0
2016-08-22,25.51,25.72,25.33,25.59,71529.0,0.0,1.0,25.51,25.72,25.33,25.59,71529.0
