Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,0.7191,0.73,0.705,0.705,88210.0,0.0,1.0,0.7191,0.73,0.705,0.705,88210.0
2016-11-16,0.71,0.74,0.7021,0.7153,46666.0,0.0,1.0,0.71,0.74,0.7021,0.7153,46666.0
2016-11-15,0.729,0.748,0.7,0.71,171360.0,0.0,1.0,0.729,0.748,0.7,0.71,171360.0
2016-11-14,0.705,0.7357,0.7011,0.7117,114842.0,0.0,1.0,0.705,0.7357,0.7011,0.7117,114842.0
2016-11-11,0.705,0.748,0.7,0.7237,95095.0,0.0,1.0,0.705,0.748,0.7,0.7237,95095.0
2016-11-10,0.7351,0.748,0.7039,0.7139,223499.0,0.0,1.0,0.7351,0.748,0.7039,0.7139,223499.0
2016-11-09,0.76,0.9,0.7,0.72,234096.0,0.0,1.0,0.76,0.9,0.7,0.72,234096.0
2016-11-08,0.758,0.77,0.73,0.766,116238.0,0.0,1.0,0.758,0.77,0.73,0.766,116238.0
2016-11-07,0.778,0.798,0.7282,0.7375,132214.0,0.0,1.0,0.778,0.798,0.7282,0.7375,132214.0
2016-11-04,0.75,0.778,0.75,0.75,95264.0,0.0,1.0,0.75,0.778,0.75,0.75,95264.0
2016-11-03,0.75,0.773,0.7399,0.7502,180327.0,0.0,1.0,0.75,0.773,0.7399,0.7502,180327.0
2016-11-02,0.792,0.8088,0.7682,0.7695,145423.0,0.0,1.0,0.792,0.8088,0.7682,0.7695,145423.0
2016-11-01,0.78,0.81,0.78,0.795,75169.0,0.0,1.0,0.78,0.81,0.78,0.795,75169.0
2016-10-31,0.8,0.8329,0.7832,0.79,140034.0,0.0,1.0,0.8,0.8329,0.7832,0.79,140034.0
2016-10-28,0.8232,0.851,0.79,0.8,109410.0,0.0,1.0,0.8232,0.851,0.79,0.8,109410.0
2016-10-27,0.8275,0.858,0.7932,0.8283,255075.0,0.0,1.0,0.8275,0.858,0.7932,0.8283,255075.0
2016-10-26,0.84,0.84,0.7882,0.7882,171585.0,0.0,1.0,0.84,0.84,0.7882,0.7882,171585.0
2016-10-25,0.8332,0.85,0.8105,0.8259,242910.0,0.0,1.0,0.8332,0.85,0.8105,0.8259,242910.0
2016-10-24,0.8551,0.8679,0.8335,0.8335,216321.0,0.0,1.0,0.8551,0.8679,0.8335,0.8335,216321.0
2016-10-21,0.876,0.8962,0.8318,0.849,266343.0,0.0,1.0,0.876,0.8962,0.8318,0.849,266343.0
2016-10-20,0.872,0.901,0.87,0.8773,82955.0,0.0,1.0,0.872,0.901,0.87,0.8773,82955.0
2016-10-19,0.9,0.91,0.862,0.872,1268503.0,0.0,1.0,0.9,0.91,0.862,0.872,1268503.0
2016-10-18,0.901,0.9227,0.87,0.8871,345901.0,0.0,1.0,0.901,0.9227,0.87,0.8871,345901.0
2016-10-17,0.95,0.969,0.9,0.9,56011.0,0.0,1.0,0.95,0.969,0.9,0.9,56011.0
2016-10-14,0.97,0.97,0.918,0.939,55689.0,0.0,1.0,0.97,0.97,0.918,0.939,55689.0
2016-10-13,0.908,0.96,0.905,0.9344,41424.0,0.0,1.0,0.908,0.96,0.905,0.9344,41424.0
2016-10-12,0.95,0.95,0.92,0.92,47604.0,0.0,1.0,0.95,0.95,0.92,0.92,47604.0
2016-10-11,0.96,0.97,0.923,0.9501,44257.0,0.0,1.0,0.96,0.97,0.923,0.9501,44257.0
2016-10-10,0.95,0.988,0.9293,0.9367,36804.0,0.0,1.0,0.95,0.988,0.9293,0.9367,36804.0
2016-10-07,0.9726,1.0,0.9275,0.9511,67115.0,0.0,1.0,0.9726,1.0,0.9275,0.9511,67115.0
2016-10-06,0.92,0.97,0.9,0.97,240142.0,0.0,1.0,0.92,0.97,0.9,0.97,240142.0
2016-10-05,0.941,0.9704,0.941,0.9527,81392.0,0.0,1.0,0.941,0.9704,0.941,0.9527,81392.0
2016-10-04,0.959,0.96,0.94,0.9526,111820.0,0.0,1.0,0.959,0.96,0.94,0.9526,111820.0
2016-10-03,0.93,0.96,0.92,0.9338,200429.0,0.0,1.0,0.93,0.96,0.92,0.9338,200429.0
2016-09-30,1.0,1.0,0.8802,0.9292,85839.0,0.0,1.0,1.0,1.0,0.8802,0.9292,85839.0
2016-09-29,0.93,0.99,0.922,0.9495,178449.0,0.0,1.0,0.93,0.99,0.922,0.9495,178449.0
2016-09-28,0.888,0.95,0.8518,0.9422,267877.0,0.0,1.0,0.888,0.95,0.8518,0.9422,267877.0
2016-09-27,0.8715,0.89,0.8555,0.8764,75994.0,0.0,1.0,0.8715,0.89,0.8555,0.8764,75994.0
2016-09-26,0.91,0.91,0.87,0.894,35768.0,0.0,1.0,0.91,0.91,0.87,0.894,35768.0
2016-09-23,0.96,0.96,0.8626,0.9,136917.0,0.0,1.0,0.96,0.96,0.8626,0.9,136917.0
2016-09-22,0.88,0.942,0.88,0.9335,296404.0,0.0,1.0,0.88,0.942,0.88,0.9335,296404.0
2016-09-21,0.86,0.9,0.86,0.9,136205.0,0.0,1.0,0.86,0.9,0.86,0.9,136205.0
2016-09-20,0.86,0.88,0.8499,0.8799,113799.0,0.0,1.0,0.86,0.88,0.8499,0.8799,113799.0
2016-09-19,0.88,0.895,0.8248,0.84,351252.0,0.0,1.0,0.88,0.895,0.8248,0.84,351252.0
2016-09-16,0.89,0.9,0.81,0.8435,628889.0,0.0,1.0,0.89,0.9,0.81,0.8435,628889.0
2016-09-15,0.94,0.955,0.8761,0.89,550194.0,0.0,1.0,0.94,0.955,0.8761,0.89,550194.0
2016-09-14,0.99,1.0,0.9301,0.9487,221495.0,0.0,1.0,0.99,1.0,0.9301,0.9487,221495.0
2016-09-13,1.02,1.02,0.9805,1.0,85342.0,0.0,1.0,1.02,1.02,0.9805,1.0,85342.0
2016-09-12,1.02,1.03,1.0,1.02,127541.0,0.0,1.0,1.02,1.03,1.0,1.02,127541.0
2016-09-09,1.02,1.04,1.02,1.04,41165.0,0.0,1.0,1.02,1.04,1.02,1.04,41165.0
2016-09-08,1.03,1.05,1.01,1.03,105901.0,0.0,1.0,1.03,1.05,1.01,1.03,105901.0
2016-09-07,1.05,1.06,1.01,1.01,79460.0,0.0,1.0,1.05,1.06,1.01,1.01,79460.0
2016-09-06,1.04,1.06,1.0262,1.03,119067.0,0.0,1.0,1.04,1.06,1.0262,1.03,119067.0
2016-09-02,1.02,1.05,1.02,1.03,119296.0,0.0,1.0,1.02,1.05,1.02,1.03,119296.0
2016-09-01,1.04,1.04,0.98,1.01,226057.0,0.0,1.0,1.04,1.04,0.98,1.01,226057.0
2016-08-31,1.03,1.06,1.0103,1.06,68509.0,0.0,1.0,1.03,1.06,1.0103,1.06,68509.0
