Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,5.14,5.29,5.1,5.24,847412.0,0.0,1.0,5.14,5.29,5.1,5.24,847412.0
2016-11-16,5.45,5.45,4.955,5.12,1697233.0,0.0,1.0,5.45,5.45,4.955,5.12,1697233.0
2016-11-15,5.12,5.18,4.965,5.01,2260306.0,0.0,1.0,5.12,5.18,4.965,5.01,2260306.0
2016-11-14,5.12,5.19,5.08,5.13,1563866.0,0.0,1.0,5.12,5.19,5.08,5.13,1563866.0
2016-11-11,4.88,5.14,4.8499,5.09,2673775.0,0.0,1.0,4.88,5.14,4.8499,5.09,2673775.0
2016-11-10,5.18,5.18,4.87,4.89,2303394.0,0.0,1.0,5.18,5.18,4.87,4.89,2303394.0
2016-11-09,5.22,5.24,5.02,5.07,1844488.0,0.0,1.0,5.22,5.24,5.02,5.07,1844488.0
2016-11-08,5.6,5.61,5.26,5.27,2696329.0,0.0,1.0,5.6,5.61,5.26,5.27,2696329.0
2016-11-07,6.1,6.1001,5.54,5.6,2722198.0,0.0,1.0,6.1,6.1001,5.54,5.6,2722198.0
2016-11-04,5.89,6.295,5.79,6.22,1917821.0,0.0,1.0,5.89,6.295,5.79,6.22,1917821.0
2016-11-03,5.44,5.49,5.38,5.42,440069.0,0.0,1.0,5.44,5.49,5.38,5.42,440069.0
2016-11-02,5.58,5.61,5.39,5.39,415022.0,0.0,1.0,5.58,5.61,5.39,5.39,415022.0
2016-11-01,5.73,5.8571,5.57,5.57,481562.0,0.0,1.0,5.73,5.8571,5.57,5.57,481562.0
2016-10-31,5.89,5.93,5.68,5.72,465723.0,0.0,1.0,5.89,5.93,5.68,5.72,465723.0
2016-10-28,5.95,5.98,5.83,5.85,300242.0,0.0,1.0,5.95,5.98,5.83,5.85,300242.0
2016-10-27,6.07,6.08,5.925,5.96,306810.0,0.0,1.0,6.07,6.08,5.925,5.96,306810.0
2016-10-26,6.1,6.15,6.02,6.03,218653.0,0.0,1.0,6.1,6.15,6.02,6.03,218653.0
2016-10-25,6.11,6.15,6.05,6.11,185453.0,0.0,1.0,6.11,6.15,6.05,6.11,185453.0
2016-10-24,6.08,6.22,6.08,6.14,195018.0,0.0,1.0,6.08,6.22,6.08,6.14,195018.0
2016-10-21,6.0,6.07,5.95,6.05,244354.0,0.0,1.0,6.0,6.07,5.95,6.05,244354.0
2016-10-20,6.15,6.15,5.99,6.07,318527.0,0.0,1.0,6.15,6.15,5.99,6.07,318527.0
2016-10-19,6.16,6.245,6.08,6.16,378565.0,0.0,1.0,6.16,6.245,6.08,6.16,378565.0
2016-10-18,6.05,6.25,6.03,6.18,437317.0,0.0,1.0,6.05,6.25,6.03,6.18,437317.0
