Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,68.21,68.735,67.0,67.05,343948.0,0.0,1.0,68.21,68.735,67.0,67.05,343948.0
2016-11-16,68.21,68.835,67.935,68.26,430808.0,0.0,1.0,68.21,68.835,67.935,68.26,430808.0
2016-11-15,68.96,69.84,67.79,68.12,750278.0,0.0,1.0,68.96,69.84,67.79,68.12,750278.0
2016-11-14,67.61,69.25,65.87,68.94,770819.0,0.0,1.0,67.61,69.25,65.87,68.94,770819.0
2016-11-11,68.26,69.59,67.75,67.78,519767.0,0.0,1.0,68.26,69.59,67.75,67.78,519767.0
2016-11-10,70.92,70.92,68.0,68.26,717982.0,0.0,1.0,70.92,70.92,68.0,68.26,717982.0
2016-11-09,70.71,72.39,70.42,71.1,324574.0,0.0,1.0,70.71,72.39,70.42,71.1,324574.0
2016-11-08,72.27,73.4,72.03,73.16,334215.0,0.0,1.0,72.27,73.4,72.03,73.16,334215.0
2016-11-07,72.63,72.87,71.59,72.18,504187.0,0.0,1.0,72.63,72.87,71.59,72.18,504187.0
2016-11-04,72.73,72.86,71.43,72.06,508935.0,0.0,1.0,72.73,72.86,71.43,72.06,508935.0
2016-11-03,73.59,73.83,72.53,72.61,316738.0,0.0,1.0,73.59,73.83,72.53,72.61,316738.0
2016-11-02,74.27,74.38,73.57,73.65,321004.0,0.0,1.0,74.27,74.38,73.57,73.65,321004.0
2016-11-01,75.44,75.84,73.97,74.17,834565.0,0.0,1.0,75.44,75.84,73.97,74.17,834565.0
2016-10-31,74.53,75.85,74.09,75.84,428054.0,0.0,1.0,74.53,75.85,74.09,75.84,428054.0
2016-10-28,73.0,74.48,73.0,74.16,436993.0,0.0,1.0,73.0,74.48,73.0,74.16,436993.0
2016-10-27,74.49,74.59,72.31,72.88,396516.0,0.0,1.0,74.49,74.59,72.31,72.88,396516.0
2016-10-26,74.58,74.86,73.9,74.78,298152.0,0.0,1.0,74.58,74.86,73.9,74.78,298152.0
2016-10-25,74.8,75.06,74.51,74.97,277323.0,0.0,1.0,74.8,75.06,74.51,74.97,277323.0
2016-10-24,75.13,75.53,74.47,75.08,177775.0,0.0,1.0,75.13,75.53,74.47,75.08,177775.0
2016-10-21,74.55,75.03,74.25,74.73,254937.0,0.0,1.0,74.55,75.03,74.25,74.73,254937.0
2016-10-20,74.91,74.96,74.29,74.8,279802.0,0.0,1.0,74.91,74.96,74.29,74.8,279802.0
2016-10-19,74.73,74.77,73.93,74.68,390820.0,0.0,1.0,74.73,74.77,73.93,74.68,390820.0
2016-10-18,74.1,75.22,73.66,74.76,717405.0,0.0,1.0,74.1,75.22,73.66,74.76,717405.0
2016-10-17,74.35,74.67,74.14,74.53,480921.0,0.0,1.0,74.35,74.67,74.14,74.53,480921.0
2016-10-14,74.7,75.41,74.1,74.33,500405.0,0.0,1.0,74.7,75.41,74.1,74.33,500405.0
2016-10-13,73.46,75.36,73.431,74.98,789298.0,0.0,1.0,73.46,75.36,73.431,74.98,789298.0
2016-10-12,71.49,73.813,71.49,73.71,612241.0,0.0,1.0,71.49,73.813,71.49,73.71,612241.0
2016-10-11,71.56,71.745,70.62,71.35,330884.0,0.0,1.0,71.56,71.745,70.62,71.35,330884.0
2016-10-10,71.59,71.95,71.36,71.46,215876.0,0.0,1.0,71.59,71.95,71.36,71.46,215876.0
2016-10-07,71.7,72.3,70.98,71.5,350458.0,0.0,1.0,71.7,72.3,70.98,71.5,350458.0
2016-10-06,71.02,72.085,70.36,71.35,437892.0,0.0,1.0,71.02,72.085,70.36,71.35,437892.0
2016-10-05,74.5,74.7,71.47,71.48,1045536.0,0.0,1.0,74.5,74.7,71.47,71.48,1045536.0
2016-10-04,75.65,75.65,73.96,74.29,461209.0,0.0,1.0,75.65,75.65,73.96,74.29,461209.0
2016-10-03,77.28,77.33,75.19,75.55,569436.0,0.0,1.0,77.28,77.33,75.19,75.55,569436.0
2016-09-30,78.95,78.95,77.12,77.18,633452.0,0.0,1.0,78.95,78.95,77.12,77.18,633452.0
2016-09-29,78.48,78.705,77.43,78.54,338118.0,0.0,1.0,78.48,78.705,77.43,78.54,338118.0
2016-09-28,78.7,78.99,77.99,78.63,217153.0,0.425,1.0,78.7,78.99,77.99,78.63,217153.0
2016-09-27,79.93,80.0,78.6575,78.76,246540.0,0.0,1.0,79.500295996458,79.569919676175,78.234636961609,78.336585921194,246540.0
2016-09-26,79.76,80.36,79.38,79.7,318534.0,0.0,1.0,79.331209917146,79.927984314718,78.953252798684,79.271532477389,318534.0
2016-09-23,79.3,80.11,78.385,79.95,305376.0,0.0,1.0,78.873682879008,79.67932831573,77.963601922712,79.520188476377,305376.0
2016-09-22,79.11,79.71,78.845,79.56,241829.0,0.0,1.0,78.684704319777,79.281478717349,78.42112896085,79.132285117956,241829.0
2016-09-21,77.28,78.46,76.07,78.39,347605.0,0.0,1.0,76.864542407185,78.038198722408,75.661047372083,77.968575042692,347605.0
2016-09-20,77.84,77.99,77.3,77.35,504715.0,0.0,1.0,77.421531844918,77.570725444311,76.884434887104,76.934166086902,504715.0
2016-09-19,76.56,77.37,76.18,77.32,263996.0,0.0,1.0,76.148413130099,76.954058566821,75.770456011637,76.904327367023,263996.0
2016-09-16,76.24,76.58,76.05,76.26,470729.0,0.0,1.0,75.830133451395,76.168305610018,75.641154892164,75.850025931314,470729.0
2016-09-15,77.14,77.27,76.31,76.65,284239.0,0.0,1.0,76.725295047752,76.854596167225,75.899757131111,76.237929289735,284239.0
2016-09-14,77.23,77.23,76.44,77.03,420602.0,0.0,1.0,76.814811207387,76.814811207387,76.029058250585,76.615886408197,420602.0
2016-09-13,77.48,77.59,76.55,76.95,530295.0,0.0,1.0,77.063467206375,77.17287584593,76.13846689014,76.536316488521,530295.0
2016-09-12,77.17,78.39,77.01,77.84,408066.0,0.0,1.0,76.75513376763,77.968575042692,76.595993928278,77.421531844918,408066.0
2016-09-09,78.18,78.315,76.51,77.25,538847.0,0.0,1.0,77.759704003542,77.893978242995,76.098681930302,76.834703687306,538847.0
2016-09-08,79.46,79.46,78.83,79.36,221765.0,0.0,1.0,79.032822718361,79.032822718361,78.406209600911,78.933360318765,221765.0
2016-09-07,79.5,79.95,78.86,79.95,238928.0,0.0,1.0,79.072607678199,79.520188476377,78.436048320789,79.520188476377,238928.0
2016-09-06,78.87,79.55,78.36,79.55,248853.0,0.0,1.0,78.445994560749,79.122338877996,77.938736322813,79.122338877996,248853.0
2016-09-02,78.39,79.66,78.39,78.86,230486.0,0.0,1.0,77.968575042692,79.231747517551,77.968575042692,78.436048320789,230486.0
2016-09-01,77.5,77.93,76.96,77.9,236404.0,0.0,1.0,77.083359686294,77.511048004554,76.54626272848,77.481209284675,236404.0
2016-08-31,77.58,78.12,77.19,77.53,402307.0,0.0,1.0,77.162929605971,77.700026563785,76.775026247549,77.113198406173,402307.0
2016-08-30,77.79,77.83,76.0901,77.67,567617.0,0.0,1.0,77.37180064512,77.411585604959,75.681039314401,77.252445765606,567617.0
2016-08-29,77.76,78.75,77.56,77.6,226437.0,0.0,1.0,77.341961925242,78.326639681235,77.143037126051,77.18282208589,226437.0
2016-08-26,78.67,78.88,77.2,77.6,381206.0,0.0,1.0,78.247069761558,78.455940800708,76.784972487509,77.18282208589,381206.0
2016-08-25,77.82,78.84,77.82,78.56,342722.0,0.0,1.0,77.401639364999,78.41615584087,77.401639364999,78.137661122004,342722.0
2016-08-24,78.3,78.55,77.45,78.08,232934.0,0.0,1.0,77.879058883056,78.127714882044,77.033628486497,77.660241603947,232934.0
2016-08-23,78.67,78.67,78.185,78.25,184549.0,0.0,1.0,78.247069761558,78.247069761558,77.764677123522,77.829327683258,184549.0
2016-08-22,78.14,78.7,77.89,78.48,242844.0,0.0,1.0,77.719919043704,78.276908481437,77.471263044716,78.058091202328,242844.0
2016-08-19,78.2,78.46,77.39,78.0,320565.0,0.0,1.0,77.779596483461,78.038198722408,76.97395104674,77.58067168427,320565.0
2016-08-18,78.13,78.66,77.545,78.18,336969.0,0.0,1.0,77.709972803744,78.237123521599,77.128117766112,77.759704003542,336969.0
2016-08-17,77.46,78.13,76.34,78.11,604483.0,0.0,1.0,77.043574726456,77.709972803744,75.92959585099,77.690080323825,604483.0
2016-08-16,79.41,79.41,77.16,77.29,560024.0,0.0,1.0,78.983091518563,78.983091518563,76.745187527671,76.874488647144,560024.0
2016-08-15,80.19,80.53,79.43,79.55,325274.0,0.0,1.0,79.758898235406,80.097070394029,79.002983998482,79.122338877996,325274.0
2016-08-12,80.08,80.68,79.71,80.0,250142.0,0.0,1.0,79.649489595851,80.246263993422,79.281478717349,79.569919676175,250142.0
2016-08-11,81.72,81.73,78.98,79.68,487701.0,0.0,1.0,81.280672949213,81.290619189172,78.555403200304,79.25163999747,487701.0
2016-08-10,81.04,81.64,80.91,81.64,292922.0,0.0,1.0,80.604328631965,81.201103029536,80.475027512491,81.201103029536,292922.0
2016-08-09,80.53,80.84,79.96,80.84,348512.0,0.0,1.0,80.097070394029,80.405403832775,79.530134716337,80.405403832775,348512.0
2016-08-08,80.33,80.81,80.06,80.57,351722.0,0.0,1.0,79.898145594839,80.375565112896,79.629597115932,80.136855353868,351722.0
2016-08-05,80.21,80.34,79.53,80.33,514878.0,0.0,1.0,79.778790715325,79.908091834799,79.102446398077,79.898145594839,514878.0
2016-08-04,81.27,81.27,79.951,80.04,301913.0,0.0,1.0,80.833092151034,80.833092151034,79.521183100373,79.609704636013,301913.0
2016-08-03,81.51,81.51,80.78,81.09,453744.0,0.0,1.0,81.071801910063,81.071801910063,80.345726393018,80.654059831763,453744.0
2016-08-02,82.7,82.95,81.45,81.59,441730.0,0.0,1.0,82.255404465246,82.504060464234,81.012124470305,81.151371829739,441730.0
2016-08-01,82.25,83.19,81.95,83.16,289712.0,0.0,1.0,81.807823667067,82.742770223262,81.509436468282,82.712931503384,289712.0
2016-07-29,81.67,82.91,81.51,82.24,497555.0,0.0,1.0,81.230941749415,82.464275504396,81.071801910063,81.797877427108,497555.0
2016-07-28,80.72,82.0,80.39,81.75,251071.0,0.0,1.0,80.28604895326,81.559167668079,79.957823034596,81.310511669091,251071.0
2016-07-27,81.25,81.25,79.79,80.65,309462.0,0.0,1.0,80.813199671115,80.813199671115,79.361048637025,80.216425273544,309462.0
2016-07-26,81.0,81.29,80.83,81.12,310509.0,0.0,1.0,80.564543672127,80.852984630953,80.395457592815,80.683898551641,310509.0
2016-07-25,81.08,81.45,80.48,80.83,294340.0,0.0,1.0,80.644113591803,81.012124470305,80.047339194232,80.395457592815,294340.0
2016-07-22,80.26,81.18,80.145,80.83,243087.0,0.0,1.0,79.828521915122,80.743575991398,79.714140155588,80.395457592815,243087.0
2016-07-21,80.29,80.52,79.86,80.46,497353.0,0.0,1.0,79.858360635001,80.08712415407,79.430672316742,80.027446714313,497353.0
2016-07-20,81.39,81.39,80.05,80.38,497317.0,0.0,1.0,80.952447030548,80.952447030548,79.619650875972,79.947876794637,497317.0
2016-07-19,81.0,81.54,80.42,81.33,468784.0,0.0,1.0,80.564543672127,81.101640629941,79.987661754475,80.892769590791,468784.0
2016-07-18,80.52,81.25,80.51,81.0,464969.0,0.0,1.0,80.08712415407,80.813199671115,80.07717791411,80.564543672127,464969.0
2016-07-15,79.57,80.48,79.5,80.42,670630.0,0.0,1.0,79.142231357915,80.047339194232,79.072607678199,79.987661754475,670630.0
2016-07-14,80.34,80.62,79.83,80.06,472159.0,0.0,1.0,79.908091834799,80.186586553665,79.400833596863,79.629597115932,472159.0
2016-07-13,80.08,80.87,79.63,80.7,375889.0,0.0,1.0,79.649489595851,80.435242552653,79.201908797673,80.266156473341,375889.0
2016-07-12,80.15,80.21,79.55,79.91,362003.0,0.0,1.0,79.719113275568,79.778790715325,79.122338877996,79.480403516539,362003.0
2016-07-11,80.55,80.73,79.64,80.42,310593.0,0.0,1.0,80.116962873949,80.29599519322,79.211855037632,79.987661754475,310593.0
2016-07-08,80.49,80.61,79.74,80.3,346983.0,0.0,1.0,80.057285434191,80.176640313706,79.311317437227,79.86830687496,346983.0
2016-07-07,80.53,80.53,79.43,80.04,287734.0,0.0,1.0,80.097070394029,80.097070394029,79.002983998482,79.609704636013,287734.0
2016-07-06,80.54,80.9456,80.37,80.63,294398.0,0.0,1.0,80.107016633989,80.510436126747,79.937930554677,80.196532793625,294398.0
2016-07-05,79.74,80.73,79.66,80.71,269005.0,0.0,1.0,79.311317437227,80.29599519322,79.231747517551,80.276102713301,269005.0
2016-07-01,80.59,81.05,79.2,79.68,309994.0,0.0,1.0,80.156747833787,80.614274871925,78.774220479413,79.25163999747,309994.0
2016-06-30,79.23,80.07,78.55,80.05,593220.0,0.0,1.0,78.804059199292,79.639543355891,78.127714882044,79.619650875972,593220.0
2016-06-29,78.52,79.19,78.48,79.07,543466.0,0.0,1.0,78.097876162166,78.764274239454,78.058091202328,78.644919359939,543466.0
2016-06-28,75.95,78.18,75.63,78.14,606644.0,0.0,1.0,75.541692492568,77.759704003542,75.223412813864,77.719919043704,606644.0
2016-06-27,75.11,75.88,74.7301,75.55,427430.0,0.0,1.0,74.706208335969,75.472068812852,74.328350679906,75.143842894188,427430.0
2016-06-24,72.73,75.47,72.39,75.1,618252.0,0.0,1.0,72.339003225602,75.064272974511,72.000831066979,74.696262096009,618252.0
2016-06-23,73.84,74.26,73.58,73.69,241733.0,0.0,1.0,73.443035861109,73.860777939409,73.184433622162,73.293842261717,241733.0
2016-06-22,73.72,74.04,73.065,73.7,267704.0,0.425,1.0,73.323680981595,73.6419606603,72.672202264246,73.303788501676,267704.0
2016-06-21,73.33,74.17,73.0,73.88,438435.0,0.0,1.0,72.517596098859,73.348289958439,72.191252082595,73.061502792632,438435.0
2016-06-20,73.75,74.13,73.24,73.26,351383.0,0.0,1.0,72.932943028649,73.308733107983,72.428593185332,72.44837161056,351383.0
2016-06-17,73.92,73.92,73.0001,73.45,545076.0,0.0,1.0,73.101059643088,73.101059643088,72.191350974721,72.636266650227,545076.0
2016-06-16,73.21,74.04,73.205,74.02,311440.0,0.0,1.0,72.39892554749,73.219730194457,72.393980941183,73.199951769228,311440.0
2016-06-15,72.67,73.52,72.565,73.26,383587.0,0.0,1.0,71.864908066331,72.705491138526,71.761071333884,72.44837161056,383587.0
2016-06-14,72.98,73.07,72.26,72.52,339387.0,0.0,1.0,72.171473657367,72.260476570893,71.459450349155,71.71656987712,339387.0
2016-06-13,73.07,73.5,72.7,72.91,270061.0,0.0,1.0,72.260476570893,72.685712713298,71.894575704173,72.102249169068,270061.0
2016-06-10,72.57,73.04,72.25,72.75,209199.0,0.0,1.0,71.766015940191,72.230808933051,71.449561136541,71.944021767244,209199.0
2016-06-09,72.08,72.93,71.55,72.9,269177.0,0.0,1.0,71.281444522102,72.122027594297,70.757316253557,72.092359956454,269177.0
2016-06-08,72.0,72.16,71.59,72.02,506777.0,0.0,1.0,71.20233082119,71.360558223014,70.796873104013,71.222109246418,506777.0
2016-06-07,72.42,72.65,71.68,72.1,294418.0,0.0,1.0,71.61767775098,71.845129641103,70.88587601754,71.30122294733,294418.0
2016-06-06,74.24,74.24,71.73,72.13,358834.0,0.0,1.0,73.417514446738,73.417514446738,70.93532208061,71.330890585172,358834.0
